subject_version_code,main_competence_name,specific_competence_name,learning_activity_name
2023-JSS002-DRS I,Kuhesabu,Kutambua dhana ya namba,Kubaini dhana ya namba kwa kutumia vitu katika mazingira
2023-JSS002-DRS I,Kuhesabu,Kutambua dhana ya namba,Kubaini namba kuanzia 1-100 kwa tarakimu na maneno
2023-JSS002-DRS I,Kuhesabu,Kutambua dhana ya namba,Kupanga namba kwa mfuatano 1-100
2023-JSS002-DRS I,Kuhesabu,Kutumia matendo ya kihisabati,Kutambua namba katika makumi na mamoja
2023-JSS002-DRS I,Kuhesabu,Kutumia matendo ya kihisabati,Kutumia vitu/TEHAMA kumudu dhana ya kujumlisha
2023-JSS002-DRS I,Kuhesabu,Kutumia matendo ya kihisabati,Kujumlisha namba kupata jumla isiyozidi 99
2023-JSS002-DRS I,Kuhesabu,Kutumia matendo ya kihisabati,Kutumia vitu/TEHAMA kumudu dhana ya kutoa
2023-JSS002-DRS I,Kuhesabu,Kutumia matendo ya kihisabati,Kutoa namba zisizozidi 99
2023-JSS002-DRS I,Kuhesabu,Kutumia dhana za kihisabati,Kubaini maumbo ya msingi
2023-JSS002-DRS II,Kuhesabu,Kutumia matendo ya kihisabati,Kutambua namba katika mamia
2023-JSS002-DRS II,Kuhesabu,Kutumia matendo ya kihisabati,Kujumlisha namba kupata jumla isiyozidi 999
2023-JSS002-DRS II,Kuhesabu,Kutumia matendo ya kihisabati,Kutoa namba zisizozidi 999
2023-JSS002-DRS II,Kuhesabu,Kutumia matendo ya kihisabati,Kutumia vitu/TEHAMA kumudu dhana ya kuzidisha kama kujumlisha makundi yanayolingana
2023-JSS002-DRS II,Kuhesabu,Kutumia matendo ya kihisabati,Kuzidisha namba kwa tarakimu moja kupata zao lisilozidi 100
2023-JSS002-DRS II,Kuhesabu,Kutumia matendo ya kihisabati,Kutumia vitu/TEHAMA kumudu dhana ya kugawanya kama kutoa makundi yanayolingana
2023-JSS002-DRS II,Kuhesabu,Kutumia matendo ya kihisabati,Kugawanya namba zisizozidi 100 bila baki
2023-JSS002-DRS II,Kuhesabu,Kutumia dhana za kihisabati,"Kubaini dhana ya sehemu kwa kutumia vitu halisi na TEHAMA (nzima, nusu, robo, theluthi, theluthi mbili n.k)"
2023-JSS002-DRS II,Kuhesabu,Kutumia dhana za kihisabati,"Kuonesha sehemu kwa kutumia namba (1/4, 1/2 n.k)"
2023-JSS002-DRS II,Kuhesabu,Kutumia dhana za kihisabati,Kutumia stadi za vipimo katika miktadha mbalimbali
2023-JSS002-DRS II,Kuhesabu,Kutumia dhana za kihisabati,Kutumia maumbo ya msingi kuumba maumbo mbalimbali
2023-JSS001-DRS IV,Kumudu Misingi ya awali ya kihisabati (iv),Kuonesha uelewa wa dhana ya namba (iv),Kutambua namba za kirumi (hadi M)
2023-JSS001-DRS IV,Kumudu Misingi ya awali ya kihisabati (iv),Kuonesha uelewa wa matendo ya namba (iv),Kuzidisha na kugawanya namba nzima
2023-JSS001-DRS IV,Kumudu Misingi ya awali ya kihisabati (iv),Kuonesha uelewa wa vipimo (iv),"Kubadili vipimo vya urefu, uzani na ujazo katika vijenzi vyake"
2023-JSS001-DRS IV,Kumudu Misingi ya awali ya kihisabati (iv),Kuonesha uelewa wa vipimo (iv),"Kujumlisha na kutoa vipimo vya urefu, uzani na ujazo"
2023-JSS001-DRS IV,Kumudu Misingi ya awali ya kihisabati (iv),Kuonesha uelewa wa stadi za awali za maumbo (iv),"Kutafuta mzingo na maeneo ya maumbo bapa (mstatili, mraba na pembetatu)"
2023-JSS001-DRS IV,Kumudu Misingi ya awali ya kihisabati (iv),Kuonesha uelewa wa stadi za awali za namba (iv),"Kulinganisha sehemu kwa kutumia alama =, < na >"
2023-JSS001-DRS IV,Kumudu Misingi ya awali ya kihisabati (iv),Kuonesha uelewa wa stadi za awali za namba (iv),Kuzidisha na kugawanya sehemu
2023-JSS001-DRS IV,Kumudu Misingi ya awali ya kihisabati (iv),Kuonesha uelewa wa stadi za awali za namba (iv),Kueleza dhana ya desimali
2023-JSS001-DRS IV,Kumudu Misingi ya awali ya kihisabati (iv),Kuonesha uelewa wa stadi za awali za namba (iv),Kujumlisha na kutoa desimali
2023-JSS001-DRS IV,Kumudu matumizi ya stadi za kihisabati (iv),Kuonesha uelewa wa hesabu za muda (iv),Kubadili vipimo vya muda katika vijenzi vyake (sekunde hadi saa)
2023-JSS001-DRS IV,Kumudu matumizi ya stadi za kihisabati (iv),Kuonesha uelewa wa hesabu za muda (iv),Kujumlisha na kutoa muda katika saa
2023-JSS001-DRS IV,Kumudu matumizi ya stadi za kihisabati (iv),Kuonesha uelewa wa hesabu za fedha (iv),Kuzidisha na kugawanya fedha za kitanzania
