category,language,is_awali,is_active,teaching_sw,learning_sw,indicator_primary_sw,indicator_secondary_sw,reflection_sw,reflection_comment_sw,teaching_en,learning_en,indicator_primary_en,indicator_secondary_en,reflection_en,reflection_comment_en
intro,sw,0,1,Kuwahoji wanafunzi kwa maswali kuhusu,Kujibu maswali ya mahojiano kuhusu,Maswali kuhusu,,,,,,,,,
intro,sw,0,1,Kuwaongoza wanafunzi kukumbuka mafunzo ya awali kuhusu,Kukumbuka na kueleza mafunzo ya awali kuhusu,Maelezo sahihi kuhusu,,,,,,,,,
intro,en,0,1,,,,,,,Asking students questions about,Answering questions about,Questions about,,,
intro,en,0,1,,,,,,,Guiding students to recall previous lessons about,Recalling and explaining previous lessons about,Correct explanation about,,,
development,sw,0,1,Kuwapa wanafunzi mazoezi ya ziada kuhusu,Kufanya mazoezi ya ziada kuhusu,,Mazoezi kuhusu,,,,,,,,
development,sw,0,1,Kuwaongoza wanafunzi kufanya kazi kwa vikundi kuhusu,Kufanya kazi kwa vikundi kuhusu,,Kazi za vikundi kuhusu,,,,,,,,
development,en,0,1,,,,,,,Giving students extra practice on,Doing extra practice on,,Practice on,,
development,en,0,1,,,,,,,Guiding students to work in groups on,Working in groups on,,Group work on,,
conclusion,sw,0,1,Kutoa jaribio fupi kuhusu umahiri uliofundishwa,Kufanya jaribio fupi kuhusu umahiri uliofundishwa,,Jaribio fupi limefanywa kwa usahihi,,,,,,,,
conclusion,sw,0,1,Kuwauliza wanafunzi maswali ya kufunga kipindi,Kujibu maswali ya kufunga kipindi,,Maswali ya kufunga kipindi yamejibiwa kwa usahihi,,,,,,,,
conclusion,en,0,1,,,,,,,Giving a short quiz on the competence taught,Doing a short quiz on the competence taught,,The short quiz was completed correctly,,
conclusion,en,0,1,,,,,,,Asking students closing questions about the session,Answering the closing questions about the session,,The closing questions were answered correctly,,
reflection,sw,0,1,,,,,Wanafunzi wameshiriki kikamilifu na kuonesha uelewa mzuri wa umahiri.,Nitaendelea na umahiri unaofuata kipindi kijacho.,,,,,,
reflection,sw,0,1,,,,,Kipindi kimekwenda vizuri na wanafunzi wengi wameweza kufikia malengo ya umahiri.,Nitafanya mapitio kidogo kabla ya kuendelea na umahiri mpya.,,,,,,
reflection,en,0,1,,,,,,,,,,,Students participated fully and showed good understanding of the competence.,I will continue with the next competence in the next session.
reflection,en,0,1,,,,,,,,,,,The session went well and most students were able to meet the competence objectives.,I will do a brief review before moving to a new competence.
intro,sw,1,1,Kuwaonesha watoto picha na kuwauliza kuhusu,Kutazama picha na kujibu maswali kuhusu,Majibu sahihi kuhusu,,,,,,,,,
intro,sw,1,1,Kuwaongoza watoto kukumbuka wimbo au mchezo wa awali kuhusu,Kukumbuka na kuonesha wimbo au mchezo wa awali kuhusu,Maelezo sahihi kuhusu,,,,,,,,,
intro,en,1,1,,,,,,,Showing children pictures and asking about,Looking at pictures and answering questions about,Correct answers about,,,
intro,en,1,1,,,,,,,Guiding children to recall a previous song or game about,Recalling and showing a previous song or game about,Correct explanation about,,,
development,sw,1,1,Kuwapa watoto zoezi la ziada la kucheza kuhusu,Kucheza zoezi la ziada kuhusu,,Zoezi la ziada limefanyika kwa furaha kuhusu,,,,,,,,
development,sw,1,1,Kuwaongoza watoto kufanya kazi kwa vikundi vidogo kuhusu,Kufanya kazi kwa vikundi vidogo kuhusu,,Kazi za vikundi vidogo zimefanyika kuhusu,,,,,,,,
development,en,1,1,,,,,,,Giving children an extra playful activity on,Doing an extra playful activity on,,Extra activity completed happily on,,
development,en,1,1,,,,,,,Guiding children to work in small groups on,Working in small groups on,,Small group work on,,
conclusion,sw,1,1,Kuwaongoza watoto kuimba wimbo wa kufunga shughuli kuhusu,Kuimba wimbo wa kufunga shughuli kuhusu,,Wimbo wa kufunga shughuli umeimbwa kwa furaha,,,,,,,,
conclusion,sw,1,1,Kuwauliza watoto maswali rahisi ya kufunga shughuli,Kujibu maswali rahisi ya kufunga shughuli,,Maswali rahisi yamejibiwa kwa usahihi,,,,,,,,
conclusion,en,1,1,,,,,,,Guiding children to sing a closing song about,Singing a closing song about,,The closing song was sung happily,,
conclusion,en,1,1,,,,,,,Asking children simple closing questions about the activity,Answering simple closing questions about the activity,,The simple questions were answered correctly,,
reflection,sw,1,1,,,,,Watoto wameshiriki kwa furaha na kuonesha uelewa mzuri wa shughuli ya leo.,Nitaendelea na shughuli inayofuata kipindi kijacho.,,,,,,
reflection,sw,1,1,,,,,Shughuli imekwenda vizuri na watoto wengi wameshiriki kikamilifu.,Nitarudia baadhi ya vipengele kabla ya kuendelea na shughuli mpya.,,,,,,
reflection,en,1,1,,,,,,,,,,,Children participated joyfully and showed good understanding of today's activity.,I will continue with the next activity in the next session.
reflection,en,1,1,,,,,,,,,,,The activity went well and most children participated fully.,I will revisit some parts before moving to a new activity.
