subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,question_type,difficulty,prompt,options,word_bank,correct_answer,solution_steps,marks,source,language
2023-JSS005-DRS I,Kutunza Afya na Mazingira,Kutunza afya yake na jamii inayomzunguka,Kusafisha mwili wake,mcq,easy,Ni kifaa gani kinachotumika kusugua meno wakati wa kusafisha kinywa?,Mswaki|Kitana|Taulo|Kikata kucha,,Mswaki,,1,"TET(2023), KUTUNZA AFYA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM",sw
2023-JSS005-DRS I,Kutunza Afya na Mazingira,Kutunza afya yake na jamii inayomzunguka,Kusafisha mwili wake,fill_blank,easy,Ninaweka ___ kwenye mswaki kabla ya kusugua meno yangu.,,dawa ya meno|maji|sabuni|mafuta,dawa ya meno,,1,"TET(2023), KUTUNZA AFYA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM",sw
2023-JSS005-DRS I,Kutunza Afya na Mazingira,Kutunza afya yake na jamii inayomzunguka,Kusafisha mwili wake,sequencing,medium,"Panga hatua hizi za kusafisha kinywa kwa mpangilio sahihi: (A) Ninasukutua kwa maji safi, (B) Ninaweka dawa ya meno kwenye mswaki, (C) Ninasugua meno pande zote, (D) Ninahifadhi mswaki mahali safi baada ya kuusafisha.",,,"B, C, A, D",,1,"TET(2023), KUTUNZA AFYA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM",sw
2023-JSS005-DRS I,Kutunza Afya na Mazingira,Kutunza afya yake na jamii inayomzunguka,Kusafisha mwili wake,short_answer,medium,Kwa nini ni muhimu kusafisha kinywa chako kila siku?,,,Ili kuepuka magonjwa ya kinywa na meno na kuwa na pumzi nzuri,,2,"TET(2023), KUTUNZA AFYA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM",sw
2023-JSS005-DRS I,Kutunza Afya na Mazingira,Kutunza afya yake na jamii inayomzunguka,Kusafisha mwili wake,mcq,easy,Ni kifaa gani hutumika kukausha uso baada ya kuunawa?,Kitana|Taulo|Wembe|Kikata kucha,,Taulo,,1,"TET(2023), KUTUNZA AFYA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM",sw
2023-JSS005-DRS I,Kutunza Afya na Mazingira,Kutunza afya yake na jamii inayomzunguka,Kusafisha mwili wake,matching,medium,Oanisha kifaa na kazi yake katika usafi wa mwili.,Mswaki::Kusugua meno||Kitana::Kuchana nywele||Kikata kucha::Kukata kucha||Sabuni::Kutakasa mwili,,"Mswaki-Kusugua meno, Kitana-Kuchana nywele, Kikata kucha-Kukata kucha, Sabuni-Kutakasa mwili",,1,"TET(2023), KUTUNZA AFYA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM",sw
2023-JSS005-DRS I,Kutunza Afya na Mazingira,Kutunza afya yake na jamii inayomzunguka,Kusafisha mwili wake,true_false,easy,Kweli au Uongo: Tunatumia wembe kusafisha nywele zetu.,,,Uongo,,1,"TET(2023), KUTUNZA AFYA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM",sw
2023-JSS005-DRS I,Kutunza Afya na Mazingira,Kutunza afya yake na jamii inayomzunguka,Kusafisha mwili wake,fill_blank,medium,"Baada ya kuoga, ninatumia ___ kujikausha mwili.",,taulo|sabuni|mafuta|kitana,taulo,,1,"TET(2023), KUTUNZA AFYA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM",sw
2023-JSS005-DRS I,Kutunza Afya na Mazingira,Kutunza afya yake na jamii inayomzunguka,Kusafisha mwili wake,mcq,hard,Ni kifaa gani kinachotengenezwa mahususi kwa ajili ya kukata kucha?,Kikata kucha|Mkasi|Wembe|Kisu,,Kikata kucha,,1,"TET(2023), KUTUNZA AFYA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM",sw
2023-JSS005-DRS I,Kutunza Afya na Mazingira,Kutunza afya yake na jamii inayomzunguka,Kusafisha mwili wake,short_answer,hard,"Baada ya kupaka sabuni kwenye nywele na kuzisugua, taja hatua mbili zinazofuata za kusafisha nywele.",,,Kusuuza nywele kwa maji safi kisha kuzikausha kwa taulo,,2,"TET(2023), KUTUNZA AFYA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM",sw
