subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,question_type,difficulty,prompt,options,word_bank,correct_answer,solution_steps,marks,source,language
2023-JSS015-DRS III,Kuonesha uelewa wa jambo alilolisikiliza au kulisoma,Kusoma matini kwa ufasaha na ufahamu,Kusoma sentensi kwa kuzingatia kupanda na kushuka kwa mawimbi ya sauti,mcq,easy,"Unaposoma sentensi yenye alama ya kiulizo (?), sauti yako hupaswa kufanya nini karibu na mwisho wake?",Kupanda|Kushuka ghafla|Kubaki tuli bila mabadiliko|Kunyamaza kabisa,,Kupanda,,1,"TET(2023), KISWAHILI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS015-DRS III,Kuonesha uelewa wa jambo alilolisikiliza au kulisoma,Kusoma matini kwa ufasaha na ufahamu,Kusoma sentensi kwa kuzingatia kupanda na kushuka kwa mawimbi ya sauti,mcq,easy,Sentensi yenye alama ya mshangao (!) inasomwaje kwa kuzingatia mawimbi ya sauti?,Kwa sauti ya kawaida tu isiyobadilika|Kwa mkazo au hisia kali kulingana na tukio|Kwa kunong'ona kimya|Kwa kusita sita bila mpangilio,,Kwa mkazo au hisia kali kulingana na tukio,,1,"TET(2023), KISWAHILI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS015-DRS III,Kuonesha uelewa wa jambo alilolisikiliza au kulisoma,Kusoma matini kwa ufasaha na ufahamu,Kusoma sentensi kwa kuzingatia kupanda na kushuka kwa mawimbi ya sauti,true_false,medium,"Sauti ya msomaji hushuka kidogo mara baada ya alama ya mkato (,) ili msikilizaji apate nafasi ya kuelewa.",,,Kweli,,1,"TET(2023), KISWAHILI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS015-DRS III,Kuonesha uelewa wa jambo alilolisikiliza au kulisoma,Kusoma matini kwa ufasaha na ufahamu,Kusoma sentensi kwa kuzingatia kupanda na kushuka kwa mawimbi ya sauti,short_answer,medium,Kwa nini ni muhimu kubadilisha kupanda na kushuka kwa sauti unaposoma hadithi mbele ya wenzako?,,,Mfano: Ili usomaji uvutie zaidi na msikilizaji aelewe hisia na ujumbe unaowasilishwa,,2,"TET(2023), KISWAHILI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS015-DRS III,Kuonesha uelewa wa jambo alilolisikiliza au kulisoma,Kusoma matini kwa ufasaha na ufahamu,Kusoma sentensi kwa kuzingatia kupanda na kushuka kwa mawimbi ya sauti,mcq,medium,Sentensi 'Lo! Mtoto ameanguka.' inapaswa kusomwa kwa mawimbi ya sauti ya aina gani?,Ya mshangao/mshtuko|Ya kawaida tulivu bila mkazo|Ya kunong'ona kimya|Ya kuuliza swali,,Ya mshangao/mshtuko,,1,"TET(2023), KISWAHILI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS015-DRS III,Kuonesha uelewa wa jambo alilolisikiliza au kulisoma,Kusoma matini kwa ufasaha na ufahamu,Kueleza ujumbe mkuu uliomo katika matini fupi aliyoisoma,mcq,easy,Ujumbe mkuu wa hadithi ya 'Urafiki wa uongo' kati ya Kuku na Mwewe ni upi?,"Urafiki wa kweli unahitaji uaminifu, si udanganyifu|Wanyama wote ni maadui wa asili|Kuku hapaswi kuwa na watoto|Mwewe ni rafiki bora wa kuku",,"Urafiki wa kweli unahitaji uaminifu, si udanganyifu",,1,"TET(2023), KISWAHILI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS015-DRS III,Kuonesha uelewa wa jambo alilolisikiliza au kulisoma,Kusoma matini kwa ufasaha na ufahamu,Kueleza ujumbe mkuu uliomo katika matini fupi aliyoisoma,mcq,easy,Shairi la 'Tuyatunze mazingira' linatufundisha nini hasa?,Kutunza mazingira ili tupate faida kama hewa safi na afya bora|Kutokwenda shule kabisa|Kutokutunza mazingira ili yatuchafue|Kuwinda wanyama pori,,Kutunza mazingira ili tupate faida kama hewa safi na afya bora,,1,"TET(2023), KISWAHILI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS015-DRS III,Kuonesha uelewa wa jambo alilolisikiliza au kulisoma,Kusoma matini kwa ufasaha na ufahamu,Kueleza ujumbe mkuu uliomo katika matini fupi aliyoisoma,short_answer,medium,Taja fundisho mojawapo linalopatikana katika habari ya 'Kituo cha afya'.,,,Mfano: Ni muhimu kumsaidia mtu mwenye tatizo la kiafya kwa kumpeleka haraka kituo cha afya,,2,"TET(2023), KISWAHILI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS015-DRS III,Kuonesha uelewa wa jambo alilolisikiliza au kulisoma,Kusoma matini kwa ufasaha na ufahamu,Kueleza ujumbe mkuu uliomo katika matini fupi aliyoisoma,mcq,medium,Habari ya 'Siku ambayo sitaisahau' (kuhusu ajali ya gari) inatufundisha nini hasa?,Kila raia anapaswa kufuata sheria za usalama barabarani|Kusafiri kwa gari ni marufuku kabisa|Madereva hawapaswi kuchukua tahadhari|Ajali hazizuiliki kamwe,,Kila raia anapaswa kufuata sheria za usalama barabarani,,1,"TET(2023), KISWAHILI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS015-DRS III,Kuonesha uelewa wa jambo alilolisikiliza au kulisoma,Kusoma matini kwa ufasaha na ufahamu,Kueleza ujumbe mkuu uliomo katika matini fupi aliyoisoma,short_answer,medium,Ujumbe mkuu wa hadithi ya 'Mfalme mjinga' ni upi?,,,Mfano: Kiongozi hapaswi kutoa maamuzi mabaya yasiyowasaidia wananchi wake,,2,"TET(2023), KISWAHILI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS015-DRS III,Kuonesha uelewa wa jambo alilolisikiliza au kulisoma,Kusoma matini kwa ufasaha na ufahamu,Kueleza ujumbe mkuu uliomo katika matini fupi aliyoisoma,mcq,hard,"Katika hadithi ya 'Ndege wetu', ndege mbalimbali walikuwa wakifanya nini walipokutana?",Walikuwa wakitambia sifa zao wenyewe (majigambo)|Walikuwa wakipigana vikali|Walikuwa wakijenga viota pamoja|Walikuwa wakila chakula pamoja,,Walikuwa wakitambia sifa zao wenyewe (majigambo),,1,"TET(2023), KISWAHILI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS015-DRS III,Kuonesha uelewa wa jambo alilolisikiliza au kulisoma,Kusoma matini kwa ufasaha na ufahamu,Kueleza ujumbe mkuu uliomo katika matini fupi aliyoisoma,short_answer,easy,Habari ya 'Kusoma ni haki yetu' inatufundisha nini kuhusu elimu?,,,"Mfano: Kila mtoto ana haki ya kupata elimu, hivyo hatakiwi kuzuiwa kwenda shule",,2,"TET(2023), KISWAHILI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS015-DRS III,Kuonesha uelewa wa jambo alilolisikiliza au kulisoma,Kusoma matini kwa ufasaha na ufahamu,Kueleza ujumbe mkuu uliomo katika matini fupi aliyoisoma,mcq,medium,Nini fundisho kuu la hadithi ya 'Ndovu na Mbogo'?,Urafiki wa kweli unahusisha kusaidiana na kushirikiana|Marafiki hawapaswi kutembeleana kamwe|Zawadi si muhimu kwa marafiki|Ndovu na Mbogo walikuwa maadui,,Urafiki wa kweli unahusisha kusaidiana na kushirikiana,,1,"TET(2023), KISWAHILI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS015-DRS III,Kuonesha uelewa wa jambo alilolisikiliza au kulisoma,Kusoma matini kwa ufasaha na ufahamu,Kusoma matini fupi na sahili kwa kasi mwafaka na matamshi sahihi,mcq,easy,Kusoma kwa 'kasi mwafaka' maana yake ni kusoma vipi?,"Kwa mwendo unaofaa, si mwepesi mno wala mzito mno|Kwa haraka sana bila kupumzika|Kwa taratibu sana hadi kuchosha msikilizaji|Bila kuzingatia alama za uandishi",,"Kwa mwendo unaofaa, si mwepesi mno wala mzito mno",,1,"TET(2023), KISWAHILI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS015-DRS III,Kuonesha uelewa wa jambo alilolisikiliza au kulisoma,Kusoma matini kwa ufasaha na ufahamu,Kusoma matini fupi na sahili kwa kasi mwafaka na matamshi sahihi,true_false,easy,Matamshi sahihi ni sehemu muhimu ya kusoma matini kwa ufasaha.,,,Kweli,,1,"TET(2023), KISWAHILI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS015-DRS III,Kuonesha uelewa wa jambo alilolisikiliza au kulisoma,Kusoma matini kwa ufasaha na ufahamu,Kusoma matini fupi na sahili kwa kasi mwafaka na matamshi sahihi,mcq,medium,"Kati ya maneno haya, ni lipi lina sauti ya herufi mwambatano inayohitaji umakini wa matamshi?",chungwa|kiti|meza|kalamu,,chungwa,,1,"TET(2023), KISWAHILI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS015-DRS III,Kuonesha uelewa wa jambo alilolisikiliza au kulisoma,Kusoma matini kwa ufasaha na ufahamu,Kusoma matini fupi na sahili kwa kasi mwafaka na matamshi sahihi,short_answer,medium,Kwa nini ni muhimu kusoma kwa kufuata alama za uandishi kama nukta na mkato?,,,Mfano: Husaidia kupumzika mahali sahihi na kuwasilisha maana kwa usahihi kwa msikilizaji,,2,"TET(2023), KISWAHILI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS015-DRS III,Kuonesha uelewa wa jambo alilolisikiliza au kulisoma,Kusoma matini kwa ufasaha na ufahamu,Kusoma matini fupi na sahili kwa kasi mwafaka na matamshi sahihi,mcq,hard,Sentensi 'Wafungwa hulindwa popote wanapokuwa.' ina neno lenye sauti gani ya herufi mwambatano inayohitaji matamshi makini?,ndw (hulindwa)|ngw|njw|mbw,,ndw (hulindwa),,1,"TET(2023), KISWAHILI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS015-DRS III,Kuonesha uelewa wa jambo alilolisikiliza au kulisoma,Kuonesha stadi za kusikiliza na kuelewa,Kutumia kamusi kupata maana ya msamiati mpya uliojitokeza katika matini fupi sahili,mcq,easy,Kamusi ni nini?,Kitabu chenye maneno yaliyopangwa kwa alfabeti kinachoeleza maana za maneno|Kitabu cha hadithi za watoto|Kitabu cha nyimbo za shule|Daftari la kuandikia kazi za nyumbani,,Kitabu chenye maneno yaliyopangwa kwa alfabeti kinachoeleza maana za maneno,,1,"TET(2023), KISWAHILI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS015-DRS III,Kuonesha uelewa wa jambo alilolisikiliza au kulisoma,Kuonesha stadi za kusikiliza na kuelewa,Kutumia kamusi kupata maana ya msamiati mpya uliojitokeza katika matini fupi sahili,mcq,easy,Neno 'adabu' hutafutwa kwenye ukurasa wa kamusi wenye herufi gani ya mwanzo?,A|B|D|K,,A,,1,"TET(2023), KISWAHILI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS015-DRS III,Kuonesha uelewa wa jambo alilolisikiliza au kulisoma,Kuonesha stadi za kusikiliza na kuelewa,Kutumia kamusi kupata maana ya msamiati mpya uliojitokeza katika matini fupi sahili,short_answer,medium,"Kwa mujibu wa kamusi, neno 'mzigo' lina maana gani?",,,Kitu chochote kinachofungwa na kubebwa,,1,"TET(2023), KISWAHILI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS015-DRS III,Kuonesha uelewa wa jambo alilolisikiliza au kulisoma,Kuonesha stadi za kusikiliza na kuelewa,Kutumia kamusi kupata maana ya msamiati mpya uliojitokeza katika matini fupi sahili,mcq,medium,"Ili kupata neno 'mzigo' kwa haraka kwenye kamusi, ni herufi gani ya kwanza unayotafuta?",m|z|i|g,,m,,1,"TET(2023), KISWAHILI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS015-DRS III,Kuonesha uelewa wa jambo alilolisikiliza au kulisoma,Kuonesha stadi za kusikiliza na kuelewa,Kutumia kamusi kupata maana ya msamiati mpya uliojitokeza katika matini fupi sahili,fill_blank,easy,Alfabeti ya Kiswahili huanzia na herufi ___ na kuishia na herufi z.,,a|b|m|n,a,,1,"TET(2023), KISWAHILI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS015-DRS III,Kuonesha uelewa wa jambo alilolisikiliza au kulisoma,Kuonesha stadi za kusikiliza na kuelewa,Kutumia kamusi kupata maana ya msamiati mpya uliojitokeza katika matini fupi sahili,short_answer,medium,"Kwa mujibu wa kamusi, neno 'adabu' lina maana gani?",,,"Tabia njema, nidhamu na heshima; mwenendo mwema wa mtu kwake na kwa watu wengine",,2,"TET(2023), KISWAHILI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS015-DRS III,Kuonesha uelewa wa jambo alilolisikiliza au kulisoma,Kuonesha stadi za kusikiliza na kuelewa,Kutumia kamusi kupata maana ya msamiati mpya uliojitokeza katika matini fupi sahili,mcq,medium,"Kati ya maneno haya, lipi lingepatikana kabla ya neno 'dereva' kwenye kamusi kwa mpangilio wa alfabeti?",chungwa|ghala|kivuli|mbuga,,chungwa,,1,"TET(2023), KISWAHILI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS015-DRS III,Kuonesha uelewa wa jambo alilolisikiliza au kulisoma,Kuonesha stadi za kusikiliza na kuelewa,Kutumia kamusi kupata maana ya msamiati mpya uliojitokeza katika matini fupi sahili,true_false,easy,"Katika kamusi, maneno yamepangwa kwa mpangilio wa alfabeti.",,,Kweli,,1,"TET(2023), KISWAHILI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
2023-JSS015-DRS III,Kuonesha uelewa wa jambo alilolisikiliza au kulisoma,Kuonesha stadi za kusikiliza na kuelewa,Kutumia maneno aliyoyasikia katika miktadha mingine ya mazungumzo,mcq,easy,Ni sentensi ipi inayotumia neno 'shwari' kwa usahihi?,"Leo bahari ni shwari, hakuna mawimbi makubwa.|Mtoto ana shwari nyingi darasani.|Chakula hiki ni shwari sana.|Mimi ninafanya kazi kwa shwari kila siku.",,"Leo bahari ni shwari, hakuna mawimbi makubwa.",,1,"TET(2023), KISWAHILI, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM",sw
