subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,question_type,difficulty,prompt,options,word_bank,correct_answer,solution_steps,marks,source,language
2023-JSS006-DRS II,"Kuthamini Utamaduni, Sanaa na Michezo",Kuheshimu tofauti za kiimani,Kujali matendo ya imani za watu wengine,mcq,easy,Sauti inayowaita Waislamu kwenda kusali Msikitini huitwa nini?,Kengele|Adhana|Wimbo|Ngoma,,Adhana,,1,"TET(2023), KUTHAMINI UTAMADUNI SANAA NA MICHEZO, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS006-DRS II,"Kuthamini Utamaduni, Sanaa na Michezo",Kuheshimu tofauti za kiimani,Kujali matendo ya imani za watu wengine,mcq,easy,Kifaa kinachotumika Kanisani kuwaita Wakristo waende kusali kinaitwa nini?,Ngoma|Adhana|Kengele|Bendera,,Kengele,,1,"TET(2023), KUTHAMINI UTAMADUNI SANAA NA MICHEZO, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS006-DRS II,"Kuthamini Utamaduni, Sanaa na Michezo",Kuheshimu tofauti za kiimani,Kujali matendo ya imani za watu wengine,true_false,medium,Adhana na kengele zote hutumika kuwakumbusha watu muda wa kusali.,,,Kweli,,1,"TET(2023), KUTHAMINI UTAMADUNI SANAA NA MICHEZO, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS006-DRS II,"Kuthamini Utamaduni, Sanaa na Michezo",Kuheshimu tofauti za kiimani,Kujali matendo ya imani za watu wengine,short_answer,medium,Taja dini mbili zilizotajwa katika mazungumzo ya Kabula na Mzee Masanja.,,,Uislamu na Ukristo,,1,"TET(2023), KUTHAMINI UTAMADUNI SANAA NA MICHEZO, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS006-DRS II,"Kuthamini Utamaduni, Sanaa na Michezo",Kuheshimu tofauti za kiimani,Kujali matendo ya imani za watu wengine,fill_blank,easy,Mzee Masanja alikuwa akienda ______ kusali.,,Msikitini|Kanisani|Hekaluni|Shuleni,Msikitini,,1,"TET(2023), KUTHAMINI UTAMADUNI SANAA NA MICHEZO, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS006-DRS II,"Kuthamini Utamaduni, Sanaa na Michezo",Kuheshimu tofauti za kiimani,Kujali matendo ya imani za watu wengine,mcq,medium,"Katika hadithi ya shule ya Msingi Amani, ni mwanafunzi yupi hakupenda kuhudhuria kipindi cha dini?",Furaha|Baraka|Tumaini|Kabula,,Baraka,,1,"TET(2023), KUTHAMINI UTAMADUNI SANAA NA MICHEZO, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS006-DRS II,"Kuthamini Utamaduni, Sanaa na Michezo",Kuheshimu tofauti za kiimani,Kujali matendo ya imani za watu wengine,true_false,easy,Furaha na Tumaini walikuwa watiifu na wenye bidii ya kuhudhuria kipindi cha dini.,,,Kweli,,1,"TET(2023), KUTHAMINI UTAMADUNI SANAA NA MICHEZO, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS006-DRS II,"Kuthamini Utamaduni, Sanaa na Michezo",Kuheshimu tofauti za kiimani,Kujali matendo ya imani za watu wengine,short_answer,medium,Furaha na Tumaini walimshauri Baraka afanye nini kuhusu kipindi cha dini?,,,Ashiriki vipindi vya dini,,1,"TET(2023), KUTHAMINI UTAMADUNI SANAA NA MICHEZO, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS006-DRS II,"Kuthamini Utamaduni, Sanaa na Michezo",Kuheshimu tofauti za kiimani,Kujali matendo ya imani za watu wengine,mcq,hard,"Kwa mujibu wa mwalimu, madhara ya kutokuhudhuria kipindi cha dini ni yapi?",Kukosa kujifunza mambo mema|Kupata zawadi|Kuwa maarufu|Kupanda darasa haraka,,Kukosa kujifunza mambo mema,,1,"TET(2023), KUTHAMINI UTAMADUNI SANAA NA MICHEZO, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
2023-JSS006-DRS II,"Kuthamini Utamaduni, Sanaa na Michezo",Kuheshimu tofauti za kiimani,Kujali matendo ya imani za watu wengine,matching,medium,Oanisha neno na maelezo yake sahihi.,Adhana::Inatumika Msikitini||Kengele::Inatumika Kanisani||Kusali::Kumsaidia mtu kuwa mwema,,"Adhana-Inatumika Msikitini, Kengele-Inatumika Kanisani, Kusali-Kumsaidia mtu kuwa mwema",,1,"TET(2023), KUTHAMINI UTAMADUNI SANAA NA MICHEZO, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",sw
