subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,sla_name,sla_periods,sla_method,sla_leading,sla_assessment_criteria,sla_teaching_aids,sla_references,sla_notes_intro,sla_notes_details,sla_notes_illustrations,sla_notes_daily_life,sla_exercise,sla_diagram_type
2023-JSS012-Awali,Afya na Mazingira,Kutunza mwili,Kubainisha sehemu za mwili na kazi zake,Kutambua sehemu za mwili wangu,3,Maonyesho ya vitendo,Kuwaongoza Wanafunzi,Mtoto anaweza kuonyesha na kutaja angalau sehemu tano za mwili wake bila msaada.,picha ya mtoto inayoonyesha sehemu za mwili|chati ya sehemu za mwili|kioo,"TET(2023), AFYA NA MAZINGIRA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM","Mwili wa mtoto una sehemu nyingi zinazoonekana kama kichwa, nywele, jicho, sikio, pua, mdomo, shingo, tumbo, goti, vidole vya mkono, mkono, kifua, bega, kitovu, mguu na vidole vya mguu, kama inavyoonyeshwa katika picha ya mtoto kitabuni.","Mwalimu anaonyesha picha ya mtoto yenye sehemu za mwili zilizowekwa alama, kisha anawaongoza wanafunzi kutaja kila sehemu kwa zamu huku wakiigusa sehemu hiyo katika miili yao wenyewe.","Kwa mfano: mwalimu anasema 'gusa kichwa chako', mtoto anagusa kichwa; mwalimu anasema 'gusa goti lako', mtoto anagusa goti; hivyo hivyo kwa jicho, sikio, pua, mdomo, shingo, tumbo, mkono, kifua, bega, kitovu, mguu na vidole.",Kila siku mtoto anapoamka anaweza kutambua na kutaja sehemu za mwili wake anapovaa nguo au kuoga.,Taja sehemu moja ya mwili iliyo juu ya shingo::kichwa||Taja sehemu ya mwili unayotumia kusikia::sikio||Taja sehemu ya mwili iliyo katikati ya tumbo::kitovu,
2023-JSS012-Awali,Afya na Mazingira,Kutunza mwili,Kubainisha sehemu za mwili na kazi zake,Kuimba wimbo wa sehemu za mwili,2,Kuimba pamoja,Kuwaongoza Wanafunzi,Mtoto anaweza kuimba wimbo wa sehemu za mwili pamoja na wenzake na kuonyesha sehemu zinazotajwa.,kadi za maneno ya wimbo|picha za mwili,"TET(2023), AFYA NA MAZINGIRA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM","Wimbo 'Tui tui tui, mama nasikia' unawafundisha watoto kuonyesha sehemu za mwili wao wanapoimba, ukitaja kichwa, miguu, mabega, tumbo, pua, masikio, mdomo na mikono.",,"Mwalimu anaimba wimbo mstari kwa mstari: 'Tui tui tui, mama nasikia, onesha sehemu za mwili wako, kichwa na miguu, mabega na tumbo, onesha sehemu za mwili wako, pua, masikio, mdomo, mikono' huku akionyesha sehemu husika, kisha wanafunzi wanarudia wakionyesha.",Mtoto anaweza kuimba wimbo huu nyumbani akicheza na ndugu zake huku akionyesha sehemu za mwili wake.,"Wimbo unasema tuoneshe nini?::sehemu za mwili wako||Taja sehemu mbili za mwili zilizotajwa katika wimbo::kichwa na miguu||Baada ya mabega, wimbo unataja sehemu gani?::tumbo",
2023-JSS012-Awali,Afya na Mazingira,Kutunza mwili,Kubainisha sehemu za mwili na kazi zake,Kuoanisha sehemu za mwili na kazi zake,3,Majadiliano ya picha,Kuwaongoza Wanafunzi,"Mtoto anaweza kuoanisha kwa usahihi sehemu ya mwili na kazi yake, mfano macho na kuona.",chati ya kuoanisha sehemu za mwili na kazi|picha za sehemu za mwili,"TET(2023), AFYA NA MAZINGIRA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM","Kila sehemu ya mwili ina kazi yake maalum: miguu hutumika kutembea, masikio kusikia, pua kunusa, macho kuona na mdomo kula.",,"Mwalimu anaonyesha zoezi la kuoanisha kwa kuchora mstari kati ya sehemu ya mwili na kazi yake: miguu - kutembea, masikio - kusikia, pua - kunusa, macho - kuona, mdomo - kula; wanafunzi wanaigiza kila kazi.",Mtoto anatumia miguu kutembea kwenda shuleni na macho kuona njia anayopita.,Unatembea kwa kutumia sehemu gani ya mwili?::miguu||Unanusa harufu kwa kutumia sehemu gani?::pua||Unaona vitu kwa kutumia sehemu gani?::macho,
2023-JSS012-Awali,Afya na Mazingira,Kutunza mwili,Kusafisha mwili,Kuimba wimbo wa usafi wa mwili,2,Kuimba pamoja,Kuwaongoza Wanafunzi,Mtoto anaweza kuimba wimbo wa usafi wa mwili na kutaja kitendo kimoja cha usafi kilichotajwa ndani yake.,kadi za maneno ya wimbo wa usafi,"TET(2023), AFYA NA MAZINGIRA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM","Wimbo 'Tujioshe mwili mzima twende safi shuleni' unawafundisha watoto matendo ya usafi kama kunawa mwili mzima, kusugua meno, kufua nguo, kuchana nywele na kukata kucha kabla ya kwenda shuleni.",,"Mwalimu anaimba wimbo: 'Tujioshe mwili mzima twende safi shuleni, meno tusugue pia nguo tufue, na kagere keupe mwalimu anataka, nywele tuzichane pia kucha tukate' na wanafunzi wanarudia wakiigiza kila kitendo.","Kabla ya kwenda shuleni kila siku, mtoto anaoga, anasugua meno na kuchana nywele ili awe safi.",Wimbo unasema tujioshe nini kabla ya kwenda shuleni?::mwili mzima||Wimbo unasema tusugue nini?::meno||Wimbo unasema tukate nini?::kucha,
2023-JSS012-Awali,Afya na Mazingira,Kutunza mwili,Kusafisha mwili,Matendo ya usafi wa mwili wa kila siku,3,Maonyesho ya vitendo,Kuwaongoza Wanafunzi,Mtoto anaweza kufanya angalau kitendo kimoja cha usafi wa mwili kama kupiga mswaki au kunawa mikono kwa usahihi.,mswaki|dawa ya meno|sabuni|maji|taulo|picha za matendo ya usafi,"TET(2023), AFYA NA MAZINGIRA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM","Usafi wa mwili unahusisha matendo kama kupiga mswaki, kunawa mikono, kunawa uso, kuoga na kuchana nywele, kama inavyoonyeshwa katika picha za kitabuni.",,"Mwalimu anaonyesha picha tano zinazoonyesha: 'Ninapiga mswaki', 'Ninanawa mikono', 'Ninanawa uso', 'Ninaoga', 'Ninachana nywele', kisha anawaongoza wanafunzi kuigiza kila kitendo kwa zamu.",Mtoto ananawa mikono kabla ya kula chakula na baada ya kutoka chooni ili asipate magonjwa.,Kwa nini unapiga mswaki?::kusafisha meno||Ni wakati gani unanawa mikono?::kabla ya kula na baada ya chooni||Kwa nini unaoga?::kusafisha mwili,
2023-JSS012-Awali,Afya na Mazingira,Kutunza mwili,Kusafisha mwili,Vifaa vya usafi wa mwili na matumizi yake,3,Majadiliano ya picha,Kuwaongoza Wanafunzi,Mtoto anaweza kutaja kifaa kimoja cha usafi wa mwili na kueleza matumizi yake kwa usahihi.,ndoo|miswaki|kitana|taulo|chanu|beseni lenye maji|dawa ya meno|sabuni|kikombe cha kuchotea maji,"TET(2023), AFYA NA MAZINGIRA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM","Vifaa mbalimbali hutumika kusafisha mwili, kila kifaa kikiwa na matumizi yake maalum, mfano ndoo huhifadhi maji na sabuni hutumika kunawia.","Orodha ya vifaa na matumizi: ndoo - kuhifadhi maji, miswaki - kupiga mswaki, kitana - kuchana nywele, taulo - kujikausha, chanu - kuchotea maji, beseni lenye maji - kunawia, dawa ya meno - kusafisha meno, sabuni - kunawia, kikombe cha kuchotea maji - kuchotea maji.","Mwalimu anaonyesha picha za vifaa hivyo na kuuliza wanafunzi kazi ya kila kifaa, kisha wanafunzi wanaeleza kwa zamu.",Mtoto anatumia taulo kujikausha baada ya kuoga na kitana kuchana nywele zake asubuhi.,Sabuni inatumika kufanya nini?::kunawia||Taulo inatumika kufanya nini?::kujikausha||Ndoo inatumika kufanya nini?::kuhifadhi maji,
2023-JSS012-Awali,Afya na Mazingira,Kutunza mwili,Kutunza mavazi,Kutambua aina za mavazi,3,Majadiliano ya picha,Kuwaongoza Wanafunzi,Mtoto anaweza kutaja angalau mavazi matatu anayoyavaa yeye mwenyewe.,picha za mavazi|kaptura|sketi|shati|viatu,"TET(2023), AFYA NA MAZINGIRA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM","Watu huvaa mavazi mbalimbali kama kaptura, suruali, sketi, blauzi, fulana, chupi, sweta, viatu, gauni, mkanda, shati, soksi na tisheti ili kujikinga na baridi na kujistiri.",,"Mwalimu anaonyesha picha za mavazi na kuwauliza wanafunzi kutaja mavazi wanayoyaona na yale wanayoyavaa wao, kisha kila mtoto anaonyesha vazi alilovaa siku hiyo.",Mtoto anavaa shati na kaptura au sketi kila siku anapokwenda shuleni ili awe mstaarabu.,Taja vazi unalovaa miguuni::viatu||Taja vazi la kike linalovaliwa kama vazi refu::gauni||Kwa nini tunavaa mavazi?::kujikinga na baridi na kujistiri,
2023-JSS012-Awali,Afya na Mazingira,Kutunza mwili,Kutunza mavazi,Kutunza nguo na viatu kwa kufua na kusafisha,3,Maonyesho ya vitendo,Kuwaongoza Wanafunzi,Mtoto anaweza kueleza hatua moja ya kufua nguo au kusafisha viatu kwa usahihi.,nguo chafu|sabuni|ndoo|maji|kamba ya kuanika|viatu,"TET(2023), AFYA NA MAZINGIRA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM","Nguo na viatu vichafu vinahitaji kutunzwa kwa kufuliwa, kuanikwa, kukaushwa na kuhifadhiwa vizuri ili kuvifanya visafi na kudumu.",,"Mwalimu anaonyesha picha zinazoonyesha hatua za kufua nguo namba 1, 2, 3 na 4, akitumia sabuni, maji na ndoo, kisha kuanika nguo juani na kuzihifadhi baada ya kukauka; pia anaonyesha jinsi ya kusafisha viatu.","Baada ya kucheza na kuchafua nguo, mtoto anamsaidia mzazi kufua nguo zake na kuzianika juani ili zikauke.",Unatumia kifaa gani kufulia nguo pamoja na maji?::sabuni||Unaanika nguo wapi baada ya kufua?::juani||Unahifadhi nguo wapi baada ya kukauka?::kabatini au kwenye rafu,
2023-JSS012-Awali,Afya na Mazingira,Kuthamini vyakula vya aina mbalimbali,Kubaini vyakula mbalimbali,Kuimba wimbo wa vyakula na kutaja aina za matunda na vyakula,2,Kuimba wimbo pamoja na kutambua vyakula katika picha,Kuwaongoza Wanafunzi,Mwanafunzi anaweza kuimba wimbo wa vyakula na kutaja angalau matunda matatu na vyakula vitatu vilivyotajwa kwenye wimbo.,"Picha za parachichi, papai na tikiti maji|Picha za maharage, mchicha na wali|Kadi za maneno ya wimbo","TET(2023), AFYA NA MAZINGIRA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM","Wimbo wa 'Tuvipende vyakula vyetu' unawafundisha watoto aina za vyakula tofauti ikiwemo matunda kama parachichi, papai na tikiti maji, pamoja na vyakula kama maharage, mchicha, wali na ugali.","Vyakula vinavyotajwa kwenye wimbo vinajumuisha makundi mawili: matunda (parachichi, papai, tikiti maji) na vyakula vingine (maharage - jamii ya kunde, mchicha - mboga za majani, wali na ugali - vyakula vya wanga).","Mfano: 'Parachichi parachichi, Papai papai, Tikiti maji tikiti maji, Aina za matunda, aina za matunda. Maharage maharage, Mchicha mchicha, Wali na ugali wali na ugali, Aina za vyakula, aina za vyakula.'","Nyumbani, mtoto anaweza kutambua matunda kama papai na parachichi wakati wa chakula cha asubuhi au chakula cha mchana.","Taja matunda matatu yaliyotajwa kwenye wimbo::Parachichi, papai na tikiti maji||Taja vyakula viwili vya wanga vilivyotajwa kwenye wimbo::Wali na ugali||Chakula gani ni cha jamii ya kunde kwenye wimbo?::Maharage",
2023-JSS012-Awali,Afya na Mazingira,Kuthamini vyakula vya aina mbalimbali,Kubaini vyakula mbalimbali,Kutambua na kuorodhesha vyakula mbalimbali tunavyokula,3,Majadiliano ya vikundi na zoezi la kuweka alama ya ✓ kwenye orodha ya vyakula,Kuwaongoza Wanafunzi,"Mwanafunzi anaweza kutambua na kutaja angalau vyakula vitano kati ya kumi vilivyoorodheshwa (mahindi, samaki, chungwa, maziwa, kuku, mchicha, maharage, nyama, karoti, mchele).",Orodha ya vyakula yenye visanduku vya kuweka alama|Picha za vyakula mbalimbali|Video inayoonesha aina za vyakula,"TET(2023), AFYA NA MAZINGIRA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM","Watoto hujifunza kutambua vyakula mbalimbali wanavyovifahamu kwa kuangalia picha na kuorodhesha vyakula kama mahindi, samaki, chungwa, maziwa, kuku, mchicha, maharage, nyama, karoti na mchele, kisha kuweka alama ya ✓ kwenye visanduku.","Mwalimu anawaonyesha watoto picha za vyakula mbalimbali na kuwauliza kutaja vyakula wanavyoviona, vyakula wengine wanavyovifahamu, chakula wanachokipenda zaidi, na umuhimu wa vyakula katika miili yao; pia hutazama video inayoonesha aina za vyakula.","Mfano wa orodha ya vyakula ya kuweka alama: mahindi ☐, samaki ☐, chungwa ☐, maziwa ☐, kuku ☐, mchicha ☐, maharage ☐, nyama ☐, karoti ☐, mchele ☐.","Wakati wa chakula cha mchana nyumbani, mtoto anaweza kutambua vyakula alivyokula kama wali, samaki au mchicha na kuvitaja kwa majina.","Taja vyakula vitatu vilivyoko kwenye orodha ya kuweka alama::Mfano: mahindi, samaki na chungwa||Chakula gani unakipenda zaidi kati ya vilivyoorodheshwa?::Majibu hutofautiana kwa kila mtoto, mfano: kuku||Kwa nini tunahitaji kula vyakula mbalimbali?::Vyakula husaidia miili yetu kukua na kuwa na afya njema",
