subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,sla_name,sla_periods,sla_method,sla_leading,sla_assessment_criteria,sla_teaching_aids,sla_references,sla_notes_intro,sla_notes_details,sla_notes_illustrations,sla_notes_daily_life,sla_exercise,sla_diagram_type
2023-JSS020-Kidato I,"Demonstrate mastery of the concepts, principles and processes of Biology","Describe the physiological, anatomical and ecological processes of living organisms","Explain the basic concepts of Biology (meaning, branches, basic terminologies, importance and its relationship with other disciplines)",Meaning and Branches of Biology,9,Group discussion,Kuwaongoza Wanafunzi,Students accurately define biology and correctly categorise at least three branches of biology with examples.,Charts showing branches of Biology|Textbooks|Manila paper for group work|Online resources,"TET(2023), BIOLOGY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","Biology is the natural science that studies living organisms, including their structure, function, growth, origin, evolution and distribution. It helps us understand how life exists and works.","The major branches of biology include botany (study of plants), zoology (study of animals), microbiology (study of microorganisms), ecology (study of interactions between organisms and their environment) and genetics (study of heredity). Basic terminologies used in biology include organism, cell, tissue, organ, species and habitat. Biology is closely related to other disciplines such as chemistry, physics, geography and mathematics, which provide tools and knowledge for biological investigations.","For example, a botanist studying how a bean plant grows uses botany, while a doctor treating malaria applies knowledge from microbiology and human physiology to understand the disease and its treatment.","Knowledge of biology helps people make informed decisions about health, nutrition, farming and conservation of the environment in their daily lives.","What is biology?::Biology is the science that studies living organisms and their life processes.||Name two branches of biology.::Botany (study of plants) and zoology (study of animals).||Why is biology important to human life?::It helps in understanding health, disease prevention, food production and conservation of the environment.",
2023-JSS020-Kidato I,"Demonstrate mastery of the concepts, principles and processes of Biology","Describe the physiological, anatomical and ecological processes of living organisms","Describe a cell (meaning, types, structures and functions)",The Cell as the Basic Unit of Life,9,Practical/experiment,Kuwaongoza Wanafunzi,Students correctly identify the meaning of a cell and distinguish between plant and animal cell structures and their functions.,Light microscope|Prepared slides|Cell charts/models|Onion and cheek cell specimens,"TET(2023), BIOLOGY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","A cell is the smallest structural and functional unit of a living organism, capable of carrying out all life processes. All living things are made up of one or more cells.","There are two main types of cells: prokaryotic cells, which lack a true nucleus (found in bacteria), and eukaryotic cells, which have a true nucleus (found in plants, animals, fungi and protists). Plant cells have a cell wall, large permanent vacuole and chloroplasts, while animal cells lack these structures but have small temporary vacuoles. Common structures found in most cells include the cell membrane, cytoplasm, nucleus and mitochondria, each performing specific functions such as control of cell activities, energy production and protection of the cell.","For example, when an onion epidermis cell is viewed under a light microscope, one can clearly see the rectangular cell wall, nucleus and cytoplasm, while a human cheek cell viewed under the same microscope shows an irregular shape without a cell wall.","Understanding cell structure helps us appreciate how our bodies grow, repair wounds and fight diseases at the cellular level.",Define a cell.::A cell is the smallest structural and functional unit of a living organism.||State one structural difference between a plant cell and an animal cell.::A plant cell has a cell wall and chloroplasts while an animal cell does not.||What is the function of the nucleus in a cell?::The nucleus controls all the activities of the cell and contains genetic material (DNA).,
2023-JSS020-Kidato I,"Demonstrate mastery of the concepts, principles and processes of Biology","Describe the physiological, anatomical and ecological processes of living organisms","Describe nutrition in plants (photosynthesis, leaf structure and mineral requirements)",Photosynthesis and Plant Nutrition,9,Field visit,Kuwaongoza Wanafunzi,"Students correctly describe the process of photosynthesis, the structure of a leaf and the mineral requirements necessary for healthy plant growth.",Fresh leaves|Charts of leaf structure|Potted plants|Water and mineral nutrient samples,"TET(2023), BIOLOGY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","Nutrition in plants mainly occurs through photosynthesis, the process by which green plants manufacture their own food using sunlight, carbon dioxide and water.","Photosynthesis takes place mainly in the leaves, which are structurally adapted for this process through features such as a broad flat lamina, thin cuticle, numerous stomata for gas exchange and chlorophyll-containing chloroplasts in the mesophyll cells. The overall word equation for photosynthesis is carbon dioxide plus water, in the presence of sunlight and chlorophyll, producing glucose and oxygen. Apart from photosynthesis, plants also require essential mineral elements such as nitrogen, phosphorus and potassium, which are absorbed from the soil through roots to support growth, root development and overall health.","For example, a leaf tested for starch after exposure to sunlight turns blue-black with iodine solution, showing that photosynthesis has taken place, while a leaf kept in the dark shows no colour change.","Photosynthesis is the foundation of most food chains, providing food for humans and animals, and mineral fertilizers are applied by farmers to boost crop yields.","Write the raw materials needed for photosynthesis.::Carbon dioxide and water, in the presence of sunlight and chlorophyll.||Name one structural adaptation of a leaf for photosynthesis.::Presence of stomata for gas exchange (or a broad lamina for light absorption).||State one mineral element required by plants and its importance.::Nitrogen is required for the formation of proteins and healthy leaf growth.",
2023-JSS020-Kidato I,Communicating using scientific biological terminologies,Demonstrate mastery of scientific biological terminologies,"Explain the concept and systems of classification (meaning ,importance of classification, rules of scientific naming of organisms, artificial and natural classification systems)",Classification of Living Organisms,14,Group discussion,Kuwaongoza Wanafunzi,Students correctly explain the meaning and importance of classification and apply the binomial rules of scientific naming.,Classification charts|Variety of living organism specimens|Textbooks|Manila paper,"TET(2023), BIOLOGY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM",Classification is the systematic arrangement of living organisms into groups based on their similarities and differences in structure and function.,"Classification is important because it makes the study of the many different living organisms easier, shows evolutionary relationships and helps to identify and name new organisms. Organisms are scientifically named using the binomial nomenclature system, which gives each organism a two-part Latin name consisting of the genus and species, for example Homo sapiens for humans. There are two systems of classification: artificial classification, which groups organisms based on a few convenient visible characteristics, and natural classification, which groups organisms based on many shared characteristics and evolutionary relationships.","For example, the scientific name of a domestic cat is Felis catus, where 'Felis' is the genus and 'catus' is the species, following the binomial naming rule of capitalizing the genus and writing the species in lowercase, both italicised.","Classification helps doctors, farmers and conservationists to correctly identify harmful and useful organisms, such as distinguishing edible mushrooms from poisonous ones.","What is classification?::Classification is the systematic grouping of living organisms based on their similarities and differences.||State one rule of the binomial system of naming organisms.::The genus name is written first with a capital letter and the species name follows in lowercase, both italicised or underlined.||Give one importance of classifying living organisms.::It makes the study of organisms easier and helps show relationships between different organisms.",
2023-JSS020-Kidato I,Communicating using scientific biological terminologies,Demonstrate mastery of scientific biological terminologies,"Describe the major groups of organisms: (Monera, Protista, Fungi, Plantae, Animalia and Viruses)",The Five Kingdoms and Viruses,14,Field visit,Kuwaongoza Wanafunzi,Students correctly identify and describe the characteristics of each of the five kingdoms and viruses.,Preserved specimens|Classification charts|Microscope|Pictures of representative organisms,"TET(2023), BIOLOGY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","Living organisms are broadly grouped into five kingdoms, namely Monera, Protista, Fungi, Plantae and Animalia, based on their cell structure, mode of nutrition and body organisation, while viruses form a separate, non-cellular group.","Kingdom Monera consists of unicellular prokaryotic organisms such as bacteria; Protista consists of simple eukaryotic organisms such as Amoeba and algae; Fungi are eukaryotic organisms that feed by absorbing nutrients, such as mushrooms and moulds; Plantae are multicellular organisms that make their own food through photosynthesis; and Animalia are multicellular organisms that feed on other organisms. Viruses are microscopic, non-cellular particles that can only reproduce inside a living host cell and are therefore considered to be at the border between living and non-living things.","For example, Escherichia coli represents kingdom Monera, Amoeba represents Protista, mushroom represents Fungi, maize plant represents Plantae, and a dog represents Animalia, while the influenza virus is an example of a virus.","Knowledge of these groups helps in understanding diseases caused by bacteria and viruses, and in using fungi such as yeast in baking and brewing.","Name the five kingdoms of living organisms.::Monera, Protista, Fungi, Plantae and Animalia.||Why are viruses not classified in any of the five kingdoms?::Because they are non-cellular and can only reproduce inside a living host cell, unlike organisms in the five kingdoms.||Give one example of an organism in kingdom Fungi.::Mushroom (or yeast/mould).",
2023-JSS020-Kidato I,Conduct biological investigations,Demonstrate mastery of basic skills for conducting biological investigations,"Describe the basic skills for conducting biological experiments (observation, measurement and experimentation)",Basic Skills for Biological Experiments,14,Group discussion,Kuwaongoza Wanafunzi,"Students correctly identify common laboratory apparatus and describe the basic skills of observation, measurement and experimentation.",Rulers|Weighing scales|Thermometers|Beakers and other laboratory apparatus,"TET(2023), BIOLOGY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","Conducting biological investigations requires basic scientific skills, namely observation, measurement and experimentation, which allow learners to gather accurate and reliable information about living organisms.","Observation involves using the senses, sometimes aided by instruments such as a hand lens or microscope, to gather information about an organism or process. Measurement involves the use of appropriate instruments such as rulers, weighing scales and thermometers to obtain quantitative data such as length, mass and temperature. Experimentation involves designing and carrying out a controlled test to investigate a biological question, ensuring that only one variable is changed at a time while others are kept constant.","For example, when investigating the effect of light on plant growth, a student uses a ruler to measure the height of the plant every day (measurement), records the colour and appearance of the leaves (observation), and sets up two plants, one in light and one in darkness, to compare growth (experimentation).","These skills are used by farmers to monitor crop growth, and by health workers to measure a patient's temperature and weight during check-ups.","Name the three basic skills required for conducting a biological investigation.::Observation, measurement and experimentation.||Which instrument is used to measure the mass of a specimen?::A weighing scale (or balance).||What is a controlled experiment?::An experiment in which only one variable is changed while all other conditions are kept constant.",
2023-JSS020-Kidato I,Conduct biological investigations,Demonstrate mastery of basic skills for conducting biological investigations,Carry out microscopic observation of a cell,Observing Cells Under the Microscope,13,Practical/experiment,Kuwaongoza Wanafunzi,Students correctly prepare a microscope slide and identify visible cell structures under the light microscope.,Light microscope|Microscope slides and cover slips|Onion bulb|Iodine solution,"TET(2023), BIOLOGY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM",Microscopic observation of a cell involves the use of a light microscope to view and study the structure of cells that are too small to be seen with the naked eye.,"To observe a cell, a thin section of tissue, such as the inner epidermis of an onion, is placed on a microscope slide, stained with a suitable stain such as iodine solution to make structures more visible, and covered with a cover slip before being viewed under low and then high magnification. Under the microscope, structures such as the cell wall, cell membrane, cytoplasm and nucleus can be identified and their arrangement observed.","For example, when a stained onion epidermal cell is viewed under the microscope at low power, rectangular cells with a visible cell wall and a darkly stained nucleus can be clearly seen and drawn.",Microscopic techniques are used in hospitals and laboratories to diagnose diseases by examining blood and tissue samples.,"Which instrument is used to observe cells that are too small to see with the naked eye?::A light microscope.||Why is iodine solution used when preparing an onion cell slide?::It stains the cell structures, such as the nucleus, making them more visible under the microscope.||Name two cell structures that can be seen when observing a stained onion cell under a microscope.::The cell wall and the nucleus.",
2023-JSS020-Kidato I,Conduct biological investigations,Demonstrate mastery of basic skills for conducting biological investigations,Carry out investigations related to photosynthesis (conditions necessary for photosynthesis),Investigating Conditions Necessary for Photosynthesis,13,Practical/experiment,Kuwaongoza Wanafunzi,"Students correctly design and carry out an experiment to test the necessity of light, chlorophyll and carbon dioxide for photosynthesis.","Potted plants|Variegated leaves|Iodine solution|Beakers, ethanol and source of heat","TET(2023), BIOLOGY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","Investigations on photosynthesis are carried out to prove that factors such as light, chlorophyll and carbon dioxide are necessary for the process to occur.","A common investigation involves destarching a potted plant by keeping it in darkness for 48 hours, then exposing part of a leaf to light while covering another part with black paper, and testing both parts for starch using the iodine test after boiling the leaf in water and then ethanol to remove chlorophyll. A blue-black colour with iodine indicates the presence of starch, showing that photosynthesis has occurred, while a leaf part that remains brown shows no photosynthesis took place.","For example, when a variegated leaf with green and white patches is tested for starch, only the green chlorophyll-containing parts turn blue-black, proving that chlorophyll is necessary for photosynthesis.",Farmers use knowledge from such investigations to ensure crops receive adequate sunlight for maximum food production and yield.,"Why is a potted plant destarched before an investigation on photosynthesis?::To remove any existing starch so that any starch found afterwards results from the investigation, not from before.||What colour change indicates the presence of starch in the iodine test?::The leaf turns blue-black in the presence of starch.||Name one factor necessary for photosynthesis that can be tested using a variegated leaf.::Chlorophyll.",
2023-JSS020-Kidato I,Conduct biological investigations,Prepare and present results of biological investigations,Prepare and present a report on cell and photosynthesis investigations,Writing a Report on Cell and Photosynthesis Investigations,10,Presentation,Kuwaongoza Wanafunzi,Students correctly prepare and present a scientific report following the standard steps of report writing.,Sample investigation report format|Manila paper|Markers|Students' recorded data,"TET(2023), BIOLOGY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","A scientific investigation report is a written record that communicates the aim, procedure, results and conclusion of a biological investigation in a clear and logical manner.","A good biological investigation report includes the title, aim/objective, materials and apparatus used, procedure followed, observations or results, often presented in tables or diagrams, discussion of results, and a conclusion that answers the original question. When reporting on cell and photosynthesis investigations, students should include labelled diagrams of the cells observed and clearly state whether starch was present or absent in the photosynthesis test.","For example, a report on the photosynthesis investigation would present a table comparing the leaf parts covered and uncovered with black paper and the resulting iodine test colour for each, followed by a conclusion that light is necessary for photosynthesis.","Report writing skills learned here are useful in many careers, such as in agriculture and health, where accurate record keeping and communication of findings is essential.","List two parts that should be included in a biological investigation report.::Title/aim and procedure (also materials, results and conclusion).||Why should a report include a conclusion?::The conclusion states whether the results support the aim of the investigation, answering the original question.||What should be included when reporting the results of a cell observation investigation?::A clearly labelled diagram of the cell structures observed under the microscope.",
2023-JSS020-Kidato II,"Demonstrate mastery of the concepts, principles and processes of Biology","Describe the physiological, anatomical and ecological processes of living organisms","Describe nutrition in human and ruminants (nutrients, digestive system and processes)",Nutrition and Digestion in Humans and Ruminants,13,Discussion,Kuwaongoza Wanafunzi,Students correctly describe the classes of food nutrients and explain the digestive processes in humans and ruminants.,Charts of human digestive system|Charts of ruminant digestive system|Food samples|Dissected mammal specimen,"TET(2023), BIOLOGY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","Nutrition is the process by which organisms obtain and use food for energy, growth and repair. In humans and ruminants, food is broken down through digestion before it can be absorbed and used by the body.","The main classes of food nutrients include carbohydrates, proteins, fats, vitamins, minerals, water and fibre, each with specific functions in the body. In humans, digestion occurs in the alimentary canal, starting from the mouth, where food is chewed and mixed with saliva, through the stomach and small intestine, where enzymes break down nutrients into simpler absorbable forms. Ruminants, such as cattle, have a specialised four-chambered stomach, the rumen, reticulum, omasum and abomasum, that allows them to digest cellulose from plant material through microbial fermentation and rumination (chewing the cud).","For example, a cow swallows grass with little chewing, later regurgitates it as cud to chew again, illustrating how the rumen allows microbes to break down tough plant fibre that humans cannot digest.","Understanding balanced nutrition helps people plan healthy diets, while knowledge of ruminant digestion helps farmers feed cattle appropriately for better milk and meat production.","Name three classes of food nutrients.::Carbohydrates, proteins and fats (also vitamins, minerals, water and fibre).||What is rumination in ruminants?::The process of regurgitating swallowed food (cud) back to the mouth for further chewing.||Which organ in ruminants digests cellulose through microbial action?::The rumen.",
