subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,sla_name,sla_periods,sla_method,sla_leading,sla_assessment_criteria,sla_teaching_aids,sla_references,sla_notes_intro,sla_notes_details,sla_notes_illustrations,sla_notes_daily_life,sla_exercise,sla_diagram_type
2023-JSS021-Kidato I,"Demonstrate mastery of basic concepts, theories and principles in Chemistry","Demonstrate mastery of concepts, theories and principles in Chemistry","Describe the concept of Chemistry (meaning, branches, applications and relationships with other disciplines)",Meaning and Branches of Chemistry,13,Discussion,Kuwaongoza Wanafunzi,Learners correctly define chemistry and list its main branches with examples of application.,Chart showing branches of chemistry|Textbook|Manila paper|Marker pens,"TET(2023), CHEMISTRY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","Chemistry is the branch of science that studies the composition, structure, properties and changes that matter undergoes. It links closely with other sciences such as physics, biology and geology.","The major branches of chemistry include organic chemistry (compounds of carbon), inorganic chemistry (non-carbon compounds and elements), physical chemistry (energy and rates of reactions), analytical chemistry (identifying and measuring substances) and biochemistry (chemical processes in living things). Chemistry provides the scientific basis for medicine, agriculture, industry and environmental management.","For example, organic chemistry explains how sugar (C6H12O6) is broken down in the body, while inorganic chemistry explains the properties of table salt (NaCl).","Chemistry knowledge is applied daily in cooking, cleaning, farming (fertilizers) and manufacturing of soap and medicine.","What is chemistry?::Chemistry is the branch of science that studies the composition, structure, properties and changes of matter.||Name any three branches of chemistry.::Organic chemistry, inorganic chemistry and physical chemistry (also analytical chemistry and biochemistry).||State one relationship between chemistry and biology.::Biochemistry applies chemical principles to explain chemical processes occurring in living organisms.",
2023-JSS021-Kidato I,"Demonstrate mastery of basic concepts, theories and principles in Chemistry","Demonstrate mastery of concepts, theories and principles in Chemistry",Discuss the contribution of Chemistry in the development of modern society,Chemistry and the Development of Society,13,Discussion,Kuwaongoza Wanafunzi,Learners correctly explain at least two contributions of chemistry to modern society with examples.,"Pictures/charts of industrial products|Samples of fertilizer, soap and medicine|Manila paper","TET(2023), CHEMISTRY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","Chemistry has contributed enormously to the development of modern society through agriculture, medicine, industry and environmental protection.","In agriculture, chemistry enabled the production of fertilizers such as NPK that increase crop yields, and pesticides that protect crops. In medicine, chemistry underpins the manufacture of drugs such as antibiotics and painkillers. In industry, chemistry enabled production of plastics, soap and building materials, while in environmental management chemistry provides methods for treating water and controlling pollution.","Chlorine gas is used to disinfect public water supplies, killing disease-causing micro-organisms and making water safe for drinking.",Fertilizers manufactured through chemical processes help farmers increase food production for growing populations.,"Give one example of how chemistry has contributed to modern agriculture.::Chemistry enabled the manufacture of fertilizers such as NPK, which increase crop yields.||How does chemistry contribute to public health?::Chemistry enables the manufacture of medicines and disinfectants such as chlorine used to purify drinking water.||Name one industrial product that results from applied chemistry.::Plastics (polymers) or soap are products of applied chemistry.",
2023-JSS021-Kidato I,"Demonstrate mastery of basic concepts, theories and principles in Chemistry","Demonstrate mastery of concepts, theories and principles in Chemistry",Describe the concept of matter (physical and chemical changes of matter),Physical and Chemical Changes of Matter,13,Demonstration,Kuwaongoza Wanafunzi,Learners correctly distinguish physical from chemical changes using given examples.,Ice cubes|Candle|Magnesium ribbon|Beaker|Bunsen burner|Matchbox,"TET(2023), CHEMISTRY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","Matter is anything that has mass and occupies space, and it can exist as a solid, liquid or gas. Matter can undergo physical or chemical changes.","A physical change alters the form or state of matter without forming a new substance, for example melting of ice. A chemical change forms one or more new substances with different properties from the original, for example burning of magnesium ribbon in air, which produces magnesium oxide: 2Mg + O2 -> 2MgO.","Burning magnesium ribbon produces a bright white flame and leaves behind a white powder, magnesium oxide, which is a completely new substance different from the shiny grey metal.","Cooking food, such as frying an egg, is a chemical change, while boiling water to make tea is only a physical change.","Is melting of ice a physical or chemical change? Explain.::It is a physical change because no new substance is formed; only the state of water changes from solid to liquid.||Write the equation for burning magnesium ribbon in air.::2Mg + O2 -> 2MgO||Give one difference between a physical and a chemical change.::A physical change does not form a new substance and is usually reversible, while a chemical change forms a new substance and is usually irreversible.",
2023-JSS021-Kidato I,"Demonstrate mastery of basic concepts, theories and principles in Chemistry","Demonstrate mastery of concepts, theories and principles in Chemistry","Describe the concepts of chemical elements (criteria for assigning chemical symbols), compounds (binary compound) and mixtures (types of solution and separation of mixtures)","Elements, Compounds and Mixtures",13,Demonstration,Kuwaongoza Wanafunzi,"Learners correctly classify given substances as elements, compounds or mixtures and write correct chemical symbols.",Copper wire|Sulphur powder|Iron filings|Salt and water|Periodic table chart|Test tubes,"TET(2023), CHEMISTRY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM",An element is a pure substance made of one type of atom and represented by a chemical symbol; a compound is formed when two or more elements combine chemically in a fixed ratio; a mixture is formed when two or more substances are combined physically without a fixed ratio.,"Chemical symbols are assigned using the first letter (capitalized) of the element's English or Latin name, with a second lower-case letter added if needed to avoid confusion, for example Fe for iron (from Latin ferrum). A binary compound contains exactly two different elements, such as sodium chloride (NaCl). Mixtures can be homogeneous solutions, such as salt dissolved in water, or heterogeneous mixtures, such as sand and iron filings, and unlike compounds, the components of a mixture keep their individual properties and can be separated by physical methods.","Iron filings mixed with sulphur powder form a mixture that can still be separated using a magnet, but heating them together forms the compound iron(II) sulphide: Fe + S -> FeS, which can no longer be separated by a magnet.","Sea water is a natural mixture of water and dissolved salts, while the air we breathe is a mixture of gases such as nitrogen, oxygen and carbon dioxide.","What is a binary compound? Give an example.::A binary compound is a compound made up of two different elements chemically combined, for example sodium chloride, NaCl.||Write the equation for the formation of iron(II) sulphide from iron and sulphur.::Fe + S -> FeS||How can iron filings be separated from sulphur powder in a mixture?::By using a magnet, since iron is magnetic and sulphur is not.",
2023-JSS021-Kidato I,"Demonstrate mastery of basic concepts, theories and principles in Chemistry","Demonstrate mastery of concepts, theories and principles in Chemistry",Compare the properties of compounds with those of constituent elements,Properties of Compounds Compared to Their Elements,13,Practical/experiment,Kuwaongoza Wanafunzi,Learners correctly compare and explain the differences in properties between a compound and its constituent elements.,Iron filings|Sulphur powder|Test tube|Bunsen burner|Magnet|Dilute hydrochloric acid,"TET(2023), CHEMISTRY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","When elements combine chemically to form a compound, the resulting compound has properties that are completely different from those of the individual elements that formed it.","Iron is a grey, magnetic metal, and sulphur is a yellow, non-magnetic non-metal; however, when heated together they form iron(II) sulphide (FeS), a dark solid that is neither magnetic nor yellow. This demonstrates that a compound is a genuinely new substance and cannot be separated back into its elements by simple physical methods such as using a magnet.","Iron(II) sulphide reacts with dilute hydrochloric acid to release hydrogen sulphide gas, a reaction not shown by iron or sulphur alone: FeS + 2HCl -> FeCl2 + H2S.","Rust, iron(III) oxide (Fe2O3), is reddish-brown and brittle, completely unlike the shiny, strong, grey iron metal it forms from.","Is iron(II) sulphide magnetic like iron metal? Explain.::No, iron(II) sulphide is not magnetic because it is a new compound with different properties from its constituent element iron.||Write the equation for the reaction between iron(II) sulphide and dilute hydrochloric acid.::FeS + 2HCl -> FeCl2 + H2S||State one property of rust that differs from iron metal.::Rust (Fe2O3) is reddish-brown and brittle while iron metal is grey, shiny and malleable.",
2023-JSS021-Kidato I,"Demonstrate mastery of basic concepts, theories and principles in Chemistry","Demonstrate mastery of concepts, theories and principles in Chemistry",Explain the concept of the periodic table (1st 20 elements in the Periodic Table; metals and non-metals),The Periodic Table and the First 20 Elements,13,Observation,Kuwaongoza Wanafunzi,Learners correctly locate given elements among the first 20 and classify each as a metal or non-metal.,Periodic table chart|Element cards|Manila paper|Marker pens,"TET(2023), CHEMISTRY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","The periodic table arranges all known elements in order of increasing atomic number into rows called periods and columns called groups, with elements of similar properties placed in the same group.","The first 20 elements range from hydrogen (atomic number 1) to calcium (atomic number 20). Most of these elements are metals, which are generally good conductors of heat and electricity and are malleable, such as sodium, magnesium and calcium, while a smaller number are non-metals, such as carbon, nitrogen, oxygen and chlorine, which are poor conductors.","Group I elements such as lithium, sodium and potassium are soft, reactive metals, while group VII (17) elements such as fluorine and chlorine are reactive non-metal gases.","Aluminium, a metal, is used to make cooking pots because it conducts heat well, while oxygen, a non-metal gas, is essential for breathing and burning fuels.","Name the first element in the periodic table and state whether it is a metal or non-metal.::Hydrogen is the first element; it is generally classified as a non-metal.||In which group are sodium, lithium and potassium found?::Group I (the alkali metals).||State one physical property common to metals.::Metals are generally good conductors of heat and electricity (also malleable and ductile).",
2023-JSS021-Kidato I,Conduct experiments in Chemistry,Conduct experiments in Chemistry,"Describe basic Chemistry laboratory skills (chemistry laboratory rules and safety measures, first aid, fire and firefighting, and Chemistry laboratory apparatus)","Chemistry Laboratory Rules, Safety and Apparatus",13,Demonstration,Kuwaongoza Wanafunzi,Learners correctly identify common laboratory apparatus and state at least three laboratory safety rules.,Test tubes|Beakers|Conical flask|Bunsen burner|Fire extinguisher|First aid kit|Safety goggles|Laboratory coat,"TET(2023), CHEMISTRY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM",A chemistry laboratory is a specially equipped room where experiments are carried out safely using proper apparatus and chemicals.,"Important laboratory rules include wearing protective clothing such as a lab coat and safety goggles, avoiding eating or drinking in the laboratory, reporting spills immediately, and handling chemicals and open flames carefully. Learners must also know basic first aid measures for burns, cuts and chemical splashes, and the location and use of firefighting equipment such as fire extinguishers and fire blankets. Common apparatus include test tubes, beakers, conical flasks, burettes, pipettes and Bunsen burners, each used for a specific purpose.","A Bunsen burner is used to heat substances directly with a controlled flame, while a beaker is used for mixing or holding liquids that do not need very precise measurement.","Safety habits developed in the laboratory, such as careful handling of hot objects and chemicals, also protect people when handling cleaning agents or cooking at home.",Name two pieces of protective clothing/equipment used in the chemistry laboratory.::Laboratory coat and safety goggles.||What should a learner do first if a chemical spills on the skin?::Wash the affected area immediately with plenty of clean water and inform the teacher.||Name one apparatus used to heat substances in the laboratory.::A Bunsen burner.,
2023-JSS021-Kidato I,Conduct experiments in Chemistry,Conduct experiments in Chemistry,Perform experiments on the changes of matter from one state to another,Experiment: Changes of State of Matter,13,Practical/experiment,Kuwaongoza Wanafunzi,"Learners correctly perform and record observations of melting, boiling, freezing and condensation.",Ice|Beaker|Thermometer|Bunsen burner|Tripod stand|Wire gauze|Stopwatch,"TET(2023), CHEMISTRY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","Matter changes from one physical state to another (solid, liquid or gas) when heated or cooled, without any new substance being formed.","Heating ice causes melting, changing it from solid to liquid at 0°C, and continued heating causes boiling, changing it from liquid to gas at 100°C for pure water; cooling water vapour causes condensation back to liquid, and cooling water causes freezing back to solid. These are physical changes because the chemical composition of water, H2O, remains the same throughout.","A heating curve plotted for ice shows the temperature rising, then staying flat at 0°C while the ice melts, rising again, then staying flat at 100°C while the water boils, despite continuous heating.",Formation of dew on grass in the early morning (condensation) and drying of wet clothes in the sun (evaporation) are everyday examples of changes of state.,"At what temperature does pure water boil at standard atmospheric pressure?::100 degrees Celsius (100°C).||What is the term for a liquid changing into a gas?::Boiling (or evaporation).||Why does the temperature stay constant while ice is melting, even though heating continues?::The heat energy is used to break the bonds holding the solid particles together (latent heat) rather than to raise the temperature.",
2023-JSS021-Kidato I,Conduct experiments in Chemistry,Conduct experiments in Chemistry,Perform experiments on separation of different mixtures using different methods,Experiment: Separating Mixtures,13,Practical/experiment,Kuwaongoza Wanafunzi,Learners correctly select and apply an appropriate method to separate a given mixture into its components.,Sand and water|Salt solution|Filter paper and funnel|Evaporating dish|Separating funnel|Magnet|Iron filings,"TET(2023), CHEMISTRY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","Mixtures are separated by methods that exploit differences in the physical properties of their components, such as particle size, solubility, density or magnetism.","Filtration separates an insoluble solid from a liquid, such as sand from water; evaporation and crystallization recover a dissolved solid from a solution, such as salt from salt water; a separating funnel is used to separate two immiscible liquids, such as oil and water; and a magnet separates magnetic materials, such as iron filings, from non-magnetic materials such as sand.","To obtain pure salt from salty water, the mixture is heated in an evaporating dish until the water evaporates completely, leaving behind solid sodium chloride (NaCl) crystals.","Filtering muddy water through a clean cloth before drinking it, and using a sieve to remove stones from rice, are common household applications of separation techniques.",Which method is used to separate sand from water?::Filtration.||Which method is used to recover salt from salt solution?::Evaporation (followed by crystallization).||Which apparatus is used to separate two immiscible liquids such as oil and water?::A separating funnel.,
2023-JSS021-Kidato II,"Demonstrate mastery of basic concepts, theories and principles in Chemistry","Demonstrate mastery of concepts, theories and principles in Chemistry",Describe the modern concept of atomic structure (Dalton's atomic structure and sub-atomic particles),Atomic Structure: Dalton's Theory and Sub-atomic Particles,9,Discussion,Kuwaongoza Wanafunzi,Learners correctly state Dalton's postulates and identify the three sub-atomic particles with their charges.,Atomic structure model/chart|Manila paper|Marker pens|Textbook,"TET(2023), CHEMISTRY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","An atom is the smallest particle of an element that can take part in a chemical reaction. Dalton's atomic theory proposed that all matter is made of tiny, indivisible particles called atoms.","Modern experiments have shown that atoms are actually made up of three sub-atomic particles: protons, which carry a positive charge and are found in the nucleus; neutrons, which carry no charge and are also found in the nucleus; and electrons, which carry a negative charge and move around the nucleus. In a neutral atom, the number of protons equals the number of electrons, which is why the atom has no overall electric charge.","A carbon atom has 6 protons, 6 neutrons and 6 electrons; the protons and neutrons are packed tightly in the small central nucleus, while the electrons move around it in shells.",Understanding atomic structure underlies technologies such as X-ray imaging used in hospitals and smoke detectors that rely on radioactive elements.,"Name the three sub-atomic particles found in an atom.::Protons, neutrons and electrons.||State the charge of a proton, neutron and electron.::Proton is positive, neutron is neutral (no charge), electron is negative.||Where in the atom are protons and neutrons found?::In the nucleus, at the centre of the atom.",
2023-JSS021-Kidato II,"Demonstrate mastery of basic concepts, theories and principles in Chemistry","Demonstrate mastery of concepts, theories and principles in Chemistry",Describe the concept of electronic arrangements,Electronic Arrangement of Atoms,9,Demonstration,Kuwaongoza Wanafunzi,Learners correctly write the electronic arrangement of given elements among the first 20.,Periodic table chart|Bohr model diagrams|Manila paper|Marker pens,"TET(2023), CHEMISTRY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","Electrons in an atom are arranged in energy levels, called shells, around the nucleus, with a maximum number of electrons allowed in each shell.","The first shell can hold a maximum of 2 electrons, the second shell a maximum of 8, and the third shell up to 8 for the first 20 elements. Electrons fill the shell closest to the nucleus first before occupying the next one, and the arrangement is written as numbers separated by commas, for example sodium (atomic number 11) has the arrangement 2,8,1.","Chlorine, atomic number 17, has the electronic arrangement 2,8,7, while calcium, atomic number 20, has the arrangement 2,8,8,2.","The number of electrons in the outer shell largely determines how reactive an element is, which explains why sodium reacts vigorously with water while argon, a noble gas, does not react at all.","What is the maximum number of electrons that the first shell can hold?::2 electrons.||Write the electronic arrangement of sodium (atomic number 11).::2,8,1||Write the electronic arrangement of chlorine (atomic number 17).::2,8,7",
2023-JSS021-Kidato II,"Demonstrate mastery of basic concepts, theories and principles in Chemistry","Demonstrate mastery of concepts, theories and principles in Chemistry",Use the concept of atomic structure to determine the atomic and mass numbers of an element,Atomic Number and Mass Number,9,Question and answer,Kuwaongoza Wanafunzi,"Learners correctly calculate the atomic number, mass number and number of neutrons for given elements.",Periodic table chart|Worked examples on manila paper|Calculators,"TET(2023), CHEMISTRY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","The atomic number (Z) of an element is the number of protons in its nucleus, while the mass number (A) is the total number of protons and neutrons in the nucleus.","Since the number of protons equals the number of electrons in a neutral atom, the atomic number also tells us the number of electrons present. The number of neutrons is found by subtracting the atomic number from the mass number (neutrons = A - Z). Isotopes are atoms of the same element with the same atomic number but different mass numbers, because they have different numbers of neutrons.","An atom of sodium has mass number 23 and atomic number 11, so it has 11 protons, 11 electrons, and 23 - 11 = 12 neutrons.","Carbon-14, an isotope of carbon, is used by scientists to determine the age of ancient wooden artefacts and fossils through radiocarbon dating.",Define atomic number.::The atomic number is the number of protons in the nucleus of an atom.||An atom has mass number 23 and atomic number 11. How many neutrons does it have?::12 neutrons (23 - 11 = 12).||What is an isotope?::An isotope is an atom of the same element with the same atomic number but a different mass number (different number of neutrons).,
2023-JSS021-Kidato II,"Demonstrate mastery of basic concepts, theories and principles in Chemistry","Demonstrate mastery of concepts, theories and principles in Chemistry","Explain the concept of chemical formulae and nomenclature (valence, oxidation state, radicals and naming of binary inorganic compounds using the IUPAC system)",Chemical Formulae and IUPAC Nomenclature of Binary Compounds,9,Discussion,Kuwaongoza Wanafunzi,Learners correctly write the formulae and IUPAC names of given binary inorganic compounds.,Valence/radical chart|Periodic table|Manila paper|Marker pens,"TET(2023), CHEMISTRY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","Valence, or combining power, is the number of electrons an atom gains, loses or shares when forming compounds, and it determines the ratio in which elements combine.","Oxidation state indicates the apparent charge an atom has within a compound, while a radical is a group of atoms that behaves as a single charged unit, such as the sulphate radical, SO4^2-. In naming binary inorganic compounds, the metal (or less electronegative element) is named first, followed by the non-metal with its ending changed to '-ide'; where a metal has variable valence, its oxidation state is shown using Roman numerals in brackets.","Iron(III) chloride, FeCl3, shows iron with an oxidation state of +3 combined with three chloride ions, while sodium and oxygen combine to form Na2O, named sodium oxide.","Reading and understanding the correct chemical name on a fertilizer or medicine label, such as calcium chloride (CaCl2), depends on knowing these nomenclature rules.","What is valence?::Valence is the combining power of an atom, i.e. the number of electrons it gains, loses or shares in forming compounds.||Write the formula of iron(III) chloride.::FeCl3||Give the chemical formula of the sulphate radical.::SO4^2-",
2023-JSS021-Kidato II,"Demonstrate mastery of basic concepts, theories and principles in Chemistry","Demonstrate mastery of concepts, theories and principles in Chemistry",Determine empirical and molecular formulae of common compounds,Empirical and Molecular Formulae,9,Question and answer,Kuwaongoza Wanafunzi,Learners correctly determine the empirical and molecular formula of a compound from given data.,Calculators|Periodic table|Worked example charts|Manila paper,"TET(2023), CHEMISTRY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","The empirical formula shows the simplest whole-number ratio of atoms of each element in a compound, while the molecular formula shows the actual number of atoms of each element present in one molecule.","To find an empirical formula, the mass or percentage of each element is divided by its relative atomic mass to obtain mole values, and the resulting mole ratios are simplified to the smallest whole numbers. The molecular formula is then found as a whole-number multiple of the empirical formula, once the relative molecular mass of the compound is known.","Glucose has empirical formula CH2O, which has a formula mass of 30; since the relative molecular mass of glucose is 180, the multiple is 180 divided by 30, which is 6, giving the molecular formula C6H12O6.",Knowledge of chemical formulae helps pharmacists and chemists accurately determine the exact composition of drugs and industrial chemicals.,"What is the difference between an empirical formula and a molecular formula?::The empirical formula shows the simplest whole-number ratio of atoms in a compound, while the molecular formula shows the actual number of atoms of each element in a molecule.||The empirical formula of glucose is CH2O with formula mass 30. If its molar mass is 180, what is its molecular formula?::C6H12O6||A compound contains carbon and hydrogen only in the ratio CH2. Is this necessarily its molecular formula? Explain.::Not necessarily; CH2 is the empirical (simplest ratio) formula, and the actual molecular formula could be a whole-number multiple of it, such as C2H4.",
2023-JSS021-Kidato II,"Demonstrate mastery of basic concepts, theories and principles in Chemistry","Demonstrate mastery of concepts, theories and principles in Chemistry",Describe the concept of chemical bonding (covalent and electrovalent bonding),Chemical Bonding: Covalent and Electrovalent (Ionic) Bonds,9,Demonstration,Kuwaongoza Wanafunzi,Learners correctly distinguish covalent bonding from electrovalent bonding using given examples.,Ball-and-stick molecular models|Periodic table|Manila paper|Marker pens,"TET(2023), CHEMISTRY SYLLABUS FOR ORDINARY SECONDARY EDUCATION, TET, DAR ES SALAAM","Atoms bond together to achieve a stable electron arrangement, usually eight electrons in the outer shell, by either sharing or transferring electrons.","A covalent bond forms when two atoms, usually non-metals, share one or more pairs of electrons, as in water (H2O) or chlorine gas (Cl2). An electrovalent (ionic) bond forms when electrons are completely transferred from a metal atom to a non-metal atom, producing oppositely charged ions that attract each other, as in sodium chloride, NaCl, where sodium loses one electron to form Na+ and chlorine gains it to form Cl-.","In sodium chloride, sodium's arrangement changes from 2,8,1 to 2,8 by losing one electron, and chlorine's arrangement changes from 2,8,7 to 2,8,8 by gaining that electron, forming Na+ and Cl- ions that attract each other.","Table salt (NaCl) is an ionic compound that dissolves easily in water and conducts electricity when molten or dissolved, properties that make it useful in cooking and food preservation.","What type of bond is formed by sharing of electrons between atoms?::A covalent bond.||What type of bond is formed by transfer of electrons between atoms?::An electrovalent (ionic) bond.||Describe the bond formed in sodium chloride, NaCl.::Sodium transfers one electron to chlorine, forming Na+ and Cl- ions which attract each other by an electrovalent (ionic) bond.",
