subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,sla_name,sla_periods,sla_method,sla_leading,sla_assessment_criteria,sla_teaching_aids,sla_references,sla_notes_intro,sla_notes_details,sla_notes_illustrations,sla_notes_daily_life,sla_exercise,sla_diagram_type
2023-JSS013-Awali,Kutumia Stadi za Awali za Kihisabati Sayansi na TEHAMA,Kutumia mazingira kujenga dhana za kihisabati na kufikiri kimantiki,Kubaini vitu vinavyojenga dhana ya namba katika mazingira,Kutambua vitu mbalimbali katika mazingira yanayotuzunguka,3,Matembezi ya uchunguzi mazingirani na maswali na majibu,Kuwaongoza Wanafunzi,Mtoto anaweza kutaja angalau vitu vitatu anavyoviona katika mazingira yake na kuhesabu idadi yake kwa usahihi.,Picha za mazingira|Vitu halisi vya darasani|Meza na viti,"TET(2023), STADI ZA AWALI ZA KUHESABU SAYANSI NA TEHAMA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM","Watoto hujifunza kutambua vitu mbalimbali vinavyowazunguka kama majengo, miti na samani za darasani, na kuanza kuhesabu idadi yake kama msingi wa dhana ya namba.","Mwalimu anaonyesha picha ya mazingira yenye vitu mbalimbali na kuwauliza watoto kutaja wanavyoviona, kisha kuhesabu majengo na miti iliyopo.","Katika picha ya mazingira, mtoto anahesabu majengo yaliyopo na miti iliyopo; katika picha ya darasa lenye meza na watoto, mtoto anahesabu watoto waliokaa kila meza.","Mtoto anapotembea nyumbani anaweza kuhesabu magari, watu au miti anayoiona njiani.","Unaona vitu gani katika picha ya mazingira?::Majengo, miti na watu||Unaona majengo mangapi katika picha?::Mtoto anahesabu na kutaja idadi anayoiona||Kila meza wamekaa watoto wangapi?::Mtoto anahesabu na kutaja idadi ya watoto mezani",
2023-JSS013-Awali,Kutumia Stadi za Awali za Kihisabati Sayansi na TEHAMA,Kutumia mazingira kujenga dhana za kihisabati na kufikiri kimantiki,Kubaini vitu vinavyojenga dhana ya namba katika mazingira,Kubainisha wingi na uchache wa vitu,2,Michezo ya kulinganisha wingi wa vitu,Kuwaongoza Wanafunzi,Mtoto anaweza kuonyesha kwa usahihi kundi lenye vitu vingi na kundi lenye vitu vichache.,Vitu halisi vya kuhesabu|Picha za makundi ya vitu|Alama ya vema,"TET(2023), STADI ZA AWALI ZA KUHESABU SAYANSI NA TEHAMA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM",Watoto hujifunza kutofautisha kati ya kundi lenye vitu vingi na kundi lenye vitu vichache kwa kuangalia na kulinganisha makundi mawili ya vitu.,"Mwalimu anaonyesha picha zenye vitu vingi na vichache, kisha anawaongoza watoto kuweka alama ya vema kwenye vitu vichache.","Katika picha, mtoto anatazama kundi la vitu vingi na kundi la vitu vichache, kisha anaweka ✓ kwenye kundi lenye vichache.",Nyumbani mtoto anaweza kulinganisha idadi ya vikombe vingi jikoni na vichache vilivyobaki mezani.,Kundi lipi lina vitu vingi?::Kundi lenye vitu vingi zaidi kuliko lingine||Kundi lipi lina vitu vichache?::Kundi lenye vitu vichache kuliko lingine||Weka alama gani kwenye vitu vichache?::Alama ya ✓,
2023-JSS013-Awali,Kutumia Stadi za Awali za Kihisabati Sayansi na TEHAMA,Kutumia mazingira kujenga dhana za kihisabati na kufikiri kimantiki,Kubaini maumbo,"Kutambua maumbo ya msingi: mduara, mstatili, pembetatu na mraba",2,Maonyesho ya maumbo halisi,Kuwaongoza Wanafunzi,"Mtoto anaweza kutaja jina la umbo analoonyeshwa kati ya mduara, mstatili, pembetatu na mraba.",Maumbo halisi ya kadibodi|Picha za maumbo|Vitu vyenye maumbo mbalimbali,"TET(2023), STADI ZA AWALI ZA KUHESABU SAYANSI NA TEHAMA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM","Watoto hujifunza maumbo manne ya msingi: mduara, mstatili, pembetatu na mraba, kwa kuyaona na kuyagusa.","Mwalimu anaonyesha picha ya maumbo manne (mduara, mstatili, pembetatu, mraba) na kuwauliza watoto wamejifunza maumbo gani.","Mwalimu anaonyesha mduara (kama sahani), mstatili (kama mlango), pembetatu (kama paa la nyumba) na mraba (kama kadi).",Mtoto anaweza kutambua kuwa sahani ina umbo la mduara na mlango wa nyumba ni mstatili.,"Umbo lenye mzunguko kamili linaitwaje?::Mduara||Umbo lenye pembe tatu linaitwaje?::Pembetatu||Taja maumbo manne uliyojifunza::Mduara, mstatili, pembetatu na mraba",
2023-JSS013-Awali,Kutumia Stadi za Awali za Kihisabati Sayansi na TEHAMA,Kutumia mazingira kujenga dhana za kihisabati na kufikiri kimantiki,Kubaini maumbo,Kuchora na kupaka rangi maumbo,2,Mazoezi ya kuchora na kupaka rangi,Kuwaongoza Wanafunzi,Mtoto anaweza kuchora umbo analoelekezwa na kulipaka rangi ndani ya mipaka yake.,Karatasi|Rangi za kupaka|Penseli,"TET(2023), STADI ZA AWALI ZA KUHESABU SAYANSI NA TEHAMA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM","Baada ya kutambua maumbo, watoto hufanya mazoezi ya kuchora maumbo hayo na kuyapaka rangi ili kuimarisha uelewa wao.","Mwalimu anawapatia watoto nafasi za kuchora na kupaka rangi maumbo waliyojifunza kama mduara, mstatili, pembetatu na mraba.",Mtoto anachora mduara kisha anaupaka rangi ya kijani; anachora mraba na kuupaka rangi nyekundu.,Mtoto anaweza kuchora na kupamba michoro ya vitu vya nyumbani vyenye maumbo mbalimbali.,"Chora umbo la mduara::Mtoto anachora mzunguko kamili||Paka rangi gani unayopenda kwenye pembetatu uliyochora?::Jibu huru la mtoto, mfano rangi nyekundu||Umbo gani ulilochora leo?::Mtoto anataja umbo alilochora",
2023-JSS013-Awali,Kutumia Stadi za Awali za Kihisabati Sayansi na TEHAMA,Kutumia mazingira kujenga dhana za kihisabati na kufikiri kimantiki,Kubaini maumbo,Kuoanisha umbo na picha ya kitu,1,Mchezo wa kuoanisha vitu,Kuwaongoza Wanafunzi,Mtoto anaweza kuoanisha kwa usahihi umbo na kitu chenye umbo hilo.,Kadi za maumbo|Picha za vitu halisi,"TET(2023), STADI ZA AWALI ZA KUHESABU SAYANSI NA TEHAMA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM","Watoto hujifunza kuoanisha umbo na picha ya kitu chenye umbo hilo, kwa mfano mduara na sahani.","Mwalimu anaonyesha kadi za maumbo na picha za vitu, kisha anawaongoza watoto kuoanisha kila umbo na kitu chake.","Mtoto anaoanisha umbo la mstatili na picha ya mlango, na umbo la mduara na picha ya saa ya ukutani.",Nyumbani mtoto anaweza kutambua kuwa gurudumu la baiskeli lina umbo la mduara.,Oanisha mduara na kitu gani?::Sahani au gurudumu||Oanisha mstatili na kitu gani?::Mlango au dirisha||Kwa nini tunaoanisha umbo na kitu?::Ili kutambua maumbo ya vitu vinavyotuzunguka,
2023-JSS013-Awali,Kutumia Stadi za Awali za Kihisabati Sayansi na TEHAMA,Kutumia mazingira kujenga dhana za kihisabati na kufikiri kimantiki,Kuchambua vitu kulingana na sifa,Kupanga vitu kulingana na sifa zake,3,Michezo ya kupanga vitu katika makundi,Kuwaongoza Wanafunzi,Mtoto anaweza kupanga vitu vinavyofanana katika kundi moja kulingana na sifa zake.,Vitu halisi mbalimbali|Picha za vitu katika makundi,"TET(2023), STADI ZA AWALI ZA KUHESABU SAYANSI NA TEHAMA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM","Watoto hujifunza kupanga picha au vitu kulingana na sifa zake, kwa kuangalia vitu vinavyofanana na kuvitenga na visivyofanana.","Mwalimu anaonyesha picha za vitu katika makundi na kuwauliza watoto wanaona nini, kisha anawaongoza kuzungushia vitu vinavyofanana.","Katika picha yenye vitu mbalimbali vilivyopangwa makundi, mtoto anazungushia vitu vyote vinavyofanana kama kundi moja.","Nyumbani mtoto anaweza kupanga vyombo vya jikoni kulingana na aina zake, kama sahani pamoja na sahani.",Unaona nini katika picha uliyoonyeshwa?::Mtoto anataja vitu alivyoona||Kwa nini tunazungushia vitu vinavyofanana?::Ili kuvitenga na kuvipanga katika kundi moja||Taja vitu viwili vinavyofanana katika picha::Mtoto anataja vitu viwili vyenye sifa zinazofanana,
2023-JSS013-Awali,Kutumia Stadi za Awali za Kihisabati Sayansi na TEHAMA,Kutumia mazingira kujenga dhana za kihisabati na kufikiri kimantiki,Kuchambua vitu kulingana na sifa,Kutambua na kupanga rangi mbalimbali,2,Maonyesho ya vitu vya rangi mbalimbali,Kuwaongoza Wanafunzi,Mtoto anaweza kutaja jina la rangi ya kitu anachoonyeshwa na kupanga vitu vya rangi moja pamoja.,Vitu vya rangi mbalimbali|Vipande vya rangi,"TET(2023), STADI ZA AWALI ZA KUHESABU SAYANSI NA TEHAMA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM",Watoto hujifunza kutambua rangi mbalimbali za vitu vinavyowazunguka na kuvipanga kulingana na rangi zake.,"Mwalimu anaonyesha picha za vitu vya rangi mbalimbali na kuwaelekeza watoto kupanga picha kulingana na rangi zake, kisha kutaja rangi nyingine wasizoziona.","Mtoto anapanga pamoja vitu vyote vyenye rangi nyekundu, kisha anataja rangi nyingine kama bluu na njano asizoziona kwenye picha.",Mtoto anaweza kutambua rangi ya nguo anazovaa au rangi ya matunda anayokula.,"Panga picha kulingana na rangi zake::Mtoto anaweka pamoja vitu vyenye rangi moja||Taja rangi nyingine tofauti na ulizoziona::Mtoto anataja rangi kama bluu, njano au nyeupe||Kitu chenye rangi nyekundu ni kipi?::Mtoto anataja kitu chochote chenye rangi nyekundu",
2023-JSS013-Awali,Kutumia Stadi za Awali za Kihisabati Sayansi na TEHAMA,Kutumia mazingira kujenga dhana za kihisabati na kufikiri kimantiki,Kubaini vipimo,Kubainisha urefu na ufupi wa vitu,2,Ulinganishaji wa vitu halisi,Kuwaongoza Wanafunzi,Mtoto anaweza kuonyesha kwa usahihi kitu kirefu na kitu kifupi kati ya vitu viwili.,Vitu halisi virefu na vifupi|Picha za vitu,"TET(2023), STADI ZA AWALI ZA KUHESABU SAYANSI NA TEHAMA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM","Watoto hujifunza kulinganisha vitu kwa kutambua urefu na ufupi wake, kwa kuangalia vitu viwili kando kando.",Mwalimu anaonyesha picha za vitu virefu na vifupi na kuwaongoza watoto kuweka ✓ kwenye kitu kirefu na ✓ kwenye kitu kifupi.,"Mtoto analinganisha mti mrefu na mche mfupi, kisha anaweka ✓ kwenye mti mrefu na ✓ kwenye mche mfupi.",Mtoto anaweza kulinganisha urefu wake na urefu wa mwenzake au wa mzazi wake.,"Weka ✓ kwenye kitu kirefu::Mtoto anaonyesha kitu chenye urefu zaidi||Weka ✓ kwenye kitu kifupi::Mtoto anaonyesha kitu chenye urefu mdogo||Kati ya mti na mche, kipi ni kirefu?::Mti",
2023-JSS013-Awali,Kutumia Stadi za Awali za Kihisabati Sayansi na TEHAMA,Kutumia mazingira kujenga dhana za kihisabati na kufikiri kimantiki,Kubaini vipimo,Kubainisha vitu vidogo na vikubwa,2,Michezo ya kulinganisha ukubwa wa vitu,Kuwaongoza Wanafunzi,Mtoto anaweza kutambua na kuzungushia vitu vidogo na vitu vikubwa katika picha.,Picha za wanyama wa ukubwa tofauti|Vitu halisi vidogo na vikubwa,"TET(2023), STADI ZA AWALI ZA KUHESABU SAYANSI NA TEHAMA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM","Watoto hujifunza kutofautisha vitu kwa ukubwa wake, wakiangalia ni mnyama au kitu gani chenye umbo dogo au kubwa zaidi.","Mwalimu anaonyesha picha za wanyama wenye ukubwa tofauti na kuwauliza mnyama mwenye umbo dogo kuliko wote na mwenye umbo kubwa zaidi, kisha anawaongoza kuzungushia vitu vidogo na vikubwa.","Katika picha ya wanyama, tembo ana umbo kubwa zaidi na panya ana umbo dogo kuliko wote.",Mtoto anaweza kulinganisha ukubwa wa mpira mkubwa na mpira mdogo anaochezea.,Mnyama yupi ana umbo dogo kuliko wote?::Mtoto anataja mnyama mdogo kama panya||Mnyama yupi ana umbo kubwa zaidi?::Mtoto anataja mnyama mkubwa kama tembo||Zungushia vitu vidogo katika picha::Mtoto anazungushia vitu vyenye ukubwa mdogo,
2023-JSS013-Awali,Kutumia Stadi za Awali za Kihisabati Sayansi na TEHAMA,Kutumia mazingira kujenga dhana za kihisabati na kufikiri kimantiki,Kubaini vipimo,Kubainisha unene na wembamba wa vitu,1,Ulinganishaji wa vitu halisi vinene na vyembamba,Kuwaongoza Wanafunzi,Mtoto anaweza kuzungushia kwa usahihi vitu vinene na vitu vyembamba katika picha.,Picha za vitu vinene na vyembamba|Vitu halisi,"TET(2023), STADI ZA AWALI ZA KUHESABU SAYANSI NA TEHAMA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM",Watoto hujifunza kutofautisha vitu kwa unene na wembamba wake kwa kulinganisha vitu viwili.,Mwalimu anaonyesha picha za vitu vinene na vyembamba na kuwaongoza watoto kuzungushia vitu vyembamba na vitu vinene.,"Mtoto analinganisha kamba nyembamba na mti mnene, kisha anazungushia mti mnene na kamba nyembamba kwa kutofautisha.",Mtoto anaweza kulinganisha unene wa kitabu kikubwa na wembamba wa daftari lake.,Zungushia vitu vyembamba katika picha::Mtoto anazungushia vitu vyenye wembamba||Zungushia vitu vinene katika picha::Mtoto anazungushia vitu vyenye unene||Taja kitu kimoja chembamba unachokijua::Mtoto anataja kitu kama kamba au penseli,
