subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,sla_name,sla_periods,sla_method,sla_leading,sla_assessment_criteria,sla_teaching_aids,sla_references,sla_notes_intro,sla_notes_details,sla_notes_illustrations,sla_notes_daily_life,sla_exercise,sla_diagram_type
2023-JSS019-DRS IV,"Kulinda Historia ya Tanzania, urithi na maadili ya Taifa",Kumudu maarifa ya jamii inayomzunguka,Kutambua wajibu na haki zake katika jamii na Taifa,Haki za mtoto katika jamii na Taifa,4,Bunguabongo,Kuwaongoza Wanafunzi,Mwanafunzi anataja angalau haki tano za mtoto katika jamii na Taifa kwa usahihi.,Kitabu cha mwanafunzi|Ubao|Kielelezo namba 1: Haki za mtoto katika jamii na Taifa|Kielelezo namba 2: Watoto wakiwa darasani,"TET(2023), HISTORIA YA TANZANIA NA MAADILI, KITABU CHA MWANAFUNZI, DARASA LA NNE, TET, DAR ES SALAAM","Mwalimu anaanzisha somo kwa kuwakumbusha wanafunzi kuwa Sheria ya Mtoto, Sura ya 13 ya Mwaka 2009 na Katiba ya Jamhuri ya Muungano wa Tanzania ya Mwaka 1977, Ibara ya 12-24, zinaeleza haki za mtoto katika jamii na Taifa.","Haki ni matendo au vitu vya msingi ambavyo mtoto anastahili kupata na kutendewa katika jamii, tofauti na wajibu ambao ni mambo ya lazima anayopaswa kuyatenda; mtoto si wa familia peke yake bali ni mali ya jamii na Taifa, hivyo haki zake zimetafsiriwa katika ngazi ya jamii na Taifa.","Miongoni mwa haki za mtoto ni kupata elimu na kujielimisha (Kielelezo namba 2), kuheshimiwa na kuthaminiwa utu wake, kulindwa na kupata haki sawa, kusikilizwa kwa ukamilifu, kutokubaguliwa kwa njia yoyote, kupata hifadhi ya maisha, na kujua utamaduni wa jamii na Taifa lake.","Mwanafunzi anapokwenda shuleni kila siku bila malipo, anatumia haki yake ya kupata elimu iliyowekwa na serikali.","Taja haki mbili za mtoto zilizoainishwa katika jamii na Taifa.::Kupata elimu na kujielimisha, na kulindwa na kupata haki sawa.||Haki za mtoto zimetafsiriwa katika sheria ipi ya mwaka 2009?::Sheria ya Mtoto, Sura ya 13.||Kwa nini inasemekana mtoto ni mali ya jamii na Taifa?::Kwa sababu haki zake zimetafsiriwa katika ngazi ya jamii na Taifa, si familia peke yake.||Taja mfano mmoja wa haki ya kutokubaguliwa.::Mtoto kutobaguliwa kwa rangi, jinsi, hali ya maisha au dini.",
2023-JSS019-DRS IV,"Kulinda Historia ya Tanzania, urithi na maadili ya Taifa",Kumudu maarifa ya jamii inayomzunguka,Kutambua wajibu na haki zake katika jamii na Taifa,Wajibu wa mtoto katika jamii na Taifa,4,Majadiliano,Kuwaongoza Wanafunzi,Mwanafunzi anaeleza kwa usahihi angalau wajibu wanne wa mtoto katika jamii na Taifa.,Kitabu cha mwanafunzi|Ubao|Kielelezo namba 3: Wajibu wa mtoto|Kielelezo namba 4: Watoto wakishiriki kusafisha mazingira|Kielelezo namba 5: Watoto wakishiriki kupanda miti,"TET(2023), HISTORIA YA TANZANIA NA MAADILI, KITABU CHA MWANAFUNZI, DARASA LA NNE, TET, DAR ES SALAAM","Mwalimu anawakumbusha wanafunzi kuwa Sheria ya Mtoto ya Mwaka 2009, toleo la 2019, imeeleza wazi wajibu wa mtoto katika jamii na Taifa lake.","Mtoto ni sehemu ya jamii na Taifa, hivyo anao wajibu wa kupenda kufanya kazi, kutii sheria na kanuni za nchi na za jamii, kutunza na kulinda mali za umma na za jamii, na kuonesha heshima na utii kwa watu wanaomzidi umri.",Kielelezo namba 4 kinaonesha watoto wakishiriki kusafisha mazingira ya jamii; Kielelezo namba 5 kinaonesha watoto wakishiriki kupanda miti; Ibara ya 27(1) na 27(2) ya Katiba ya Jamhuri ya Muungano wa Tanzania inaeleza wajibu wa kulinda mali za Taifa na za wananchi.,"Mwanafunzi anaposhiriki kupanda miti au kufanya usafi wa mazingira ya jamii yake, anatekeleza wajibu wake wa kutunza mali za umma.","Taja wajibu mbili za mtoto katika jamii na Taifa.::Kupenda kufanya kazi na kutii sheria na kanuni za nchi.||Kielelezo namba 5 kinaonesha watoto wakifanya nini?::Wanaonesha watoto wakishiriki kupanda miti.||Ibara ya 27 ya Katiba inaeleza wajibu gani?::Wajibu wa kutunza na kulinda mali za Taifa, za umma na za jamii.||Kwa nini mtoto ana wajibu wa kutii sheria za nchi?::Ili kuepuka matatizo na kuishi kwa usalama katika jamii.",
2023-JSS019-DRS IV,"Kulinda Historia ya Tanzania, urithi na maadili ya Taifa",Kumudu maarifa ya jamii inayomzunguka,Kutambua wajibu na haki zake katika jamii na Taifa,Umuhimu wa wajibu na haki za mtoto katika jamii na Taifa,2,Maswali na Majibu,Kuwaongoza Wanafunzi,Mwanafunzi anaeleza kwa usahihi angalau umuhimu mmoja wa wajibu na haki za mtoto katika jamii na Taifa.,Kitabu cha mwanafunzi|Ubao,"TET(2023), HISTORIA YA TANZANIA NA MAADILI, KITABU CHA MWANAFUNZI, DARASA LA NNE, TET, DAR ES SALAAM","Mwalimu anawauliza wanafunzi wafikirie nini kingetokea kama watoto hawakutambua haki na wajibu wao, kisha anaunganisha na somo la umuhimu wa wajibu na haki za mtoto.","Wajibu na haki za mtoto ni muhimu kwani humsaidia kujikinga dhidi ya ukatili, unyanyasaji na udhalilishaji, kujitambua na kuchukua hatua stahiki za usalama, kujenga uhusiano katika jamii na Taifa, kuwa raia mwema, kujenga maadili, na kuimarisha ustawi wake katika jamii na Taifa.",Mtoto anayetambua haki zake ni rahisi kufahamu vitendo vilivyo kinyume na haki zake na kutoa taarifa kwa mamlaka husika; mtoto anayetimiza wajibu wake ni rahisi kujenga uhusiano mwema na kushiriki katika mijadala ya kijamii na kisiasa.,Mwanafunzi anayejua haki na wajibu wake anaweza kudai haki yake ya elimu kwa kuhudhuria shule kila siku na kutii sheria za shule.,"Taja umuhimu mmoja wa mtoto kujua haki zake.::Kumsaidia kujikinga dhidi ya ukatili, unyanyasaji na udhalilishaji.||Taja umuhimu mmoja wa mtoto kutimiza wajibu wake.::Kumsaidia kujenga uhusiano mwema na watu wengine katika jamii na Taifa.||Kwa nini kujua haki na wajibu humsaidia mtoto kuwa raia mwema?::Kwa sababu humwezesha kuishi kulingana na misingi ya maadili, haki na usawa.||Wajibu na haki za mtoto husaidiaje kuimarisha ustawi wake?::Huongeza ushiriki wake katika shughuli za kijamii na kuimarisha usalama na ulinzi wake.",
2023-JSS019-DRS IV,Kumudu historia ya Tanzania na maadili kabla ya ukoloni,Kueleza mifumo mbalimbali za utunzaji na ukuzaji wa maadili ya jamii za Kitanzania kabla ya ukoloni,"Kueleza mamlaka mbalimbali za kijadi kabla ya ukoloni (uchifu, usultani, utemi nk)",Utawala wa Watemi kabla ya ukoloni,5,Simulizi,Kuwaongoza Wanafunzi,Mwanafunzi anaeleza kwa usahihi asili ya jina Mtemi na kutaja angalau viongozi wawili wa Kitemi.,Kitabu cha mwanafunzi|Ubao|Kielelezo namba 2: Mtemi Isike|Kielelezo namba 3: Mtemi Litti Kidanka,"TET(2023), HISTORIA YA TANZANIA NA MAADILI, KITABU CHA MWANAFUNZI, DARASA LA NNE, TET, DAR ES SALAAM","Mwalimu anasimulia kuwa jamii za Watanzania zilikuwa na viongozi shupavu kabla ya ukoloni waliojulikana kwa majina tofauti kama Watemi, Machifu na Wafalme kulingana na eneo lao.","Mfumo wa Kitemi ulianzia katika jamii za Wanyamwezi kisha ukasambaa Usukuma, Usangu, Uhehe, Ukimbu na maeneo mengine; neno 'Mtemi' linatokana na 'kutema', yaani kukata ardhi mpya, na tawala hizi zilikua kutokana na kilimo, ufugaji, ugunduzi wa chuma na biashara za masafa marefu.",Mtemi Mirambo wa Wanyamwezi alikuwa na jeshi la 'warugaruga' na aliitwa 'Napoleon wa Afrika' kutokana na ushujaa wake wa kivita; Mtemi Isike (Kielelezo namba 2) alitawala himaya ya Unyanyembe; Mtemi Litti Kidanka (Kielelezo namba 3) wa Wangoni alitumia nyuki kupambana na Wajerumani kwa zaidi ya miaka mitatu kabla ya kusalitiwa.,Mwanafunzi anaweza kuiga ushujaa na uongozi bora wa Watemi hawa kwa kuwa kiongozi mwenye kupenda watu na kufanya kazi kwa bidii darasani na shuleni.,"Jina 'Mtemi' limetokana na neno gani na maana yake ni ipi?::Limetokana na 'kutema', yenye maana ya kukata ardhi mpya.||Mtemi Mirambo aliitwa jina gani na Wajerumani?::Napoleon wa Afrika.||Mtemi Litti Kidanka alitumia nini kupambana na Wajerumani?::Nyuki na silaha za jadi.||Nini kilichosababisha Wajerumani kufanikiwa kumuua Mtemi Litti Kidanka?::Usaliti uliofanywa na baadhi ya maadui zake.",
2023-JSS019-DRS IV,Kumudu historia ya Tanzania na maadili kabla ya ukoloni,Kueleza mifumo mbalimbali za utunzaji na ukuzaji wa maadili ya jamii za Kitanzania kabla ya ukoloni,"Kueleza mamlaka mbalimbali za kijadi kabla ya ukoloni (uchifu, usultani, utemi nk)",Utawala wa Kifalme na wa Mutwa kabla ya ukoloni,5,Bunguabongo,Kuwaongoza Wanafunzi,Mwanafunzi anataja kwa usahihi angalau viongozi wawili wa tawala za Kifalme na Kimutwa.,Kitabu cha mwanafunzi|Ubao|Kielelezo namba 4: Mutwa Mkwawa|Kielelezo namba 6: Mfumo wa uongozi wa tawala za Kifalme,"TET(2023), HISTORIA YA TANZANIA NA MAADILI, KITABU CHA MWANAFUNZI, DARASA LA NNE, TET, DAR ES SALAAM","Mwalimu anaongoza bunguabongo kuhusu tawala za Kifalme zilizokuwapo Kaskazini Magharibi mwa Tanzania, pembeni mwa Ziwa Victoria, katika jamii za Karagwe na Buhaya.","Utawala wa Kifalme ulikuwa wa kurithi na uliibuka zaidi wakati wa biashara ya masafa marefu; Mutwa Mkwawa aliitwa 'Mukwavinyika' (Mtemi wa ardhi) na alitawala Wahehe eneo la Kalenga, Iringa, akiwa na mfumo imara wa uongozi uliomsaidia kupanua himaya yake.","Mutwa Mkwawa (Kielelezo namba 4) alishinda jeshi la Wajerumani mwaka 1891 akiangamiza zaidi ya askari 300 pamoja na Kamanda Emil Von Zelewiski; Omukama Rumanyika wa Buhaya alimiliki biashara, ardhi, chuma na mifugo chini ya mfumo wa Nyarubanja wenye tabaka la Abatwazi na Abatwana.",Mwanafunzi anaweza kujifunza kutoka kwa Mutwa Mkwawa umuhimu wa kuandaa mikakati imara kabla ya kukabiliana na changamoto shuleni au nyumbani.,"Mutwa Mkwawa aliitwa jina gani na maana yake ni ipi?::Mukwavinyika, yenye maana ya Mtemi wa ardhi.||Mutwa Mkwawa alitawala eneo lipi?::Eneo la Kalenga, Mkoa wa Iringa, akiwa kiongozi wa Wahehe.||Mfumo wa Nyarubanja ulikuwa na matabaka gani mawili?::Abatwazi (wamiliki wa ardhi) na Abatwana (waliolima ardhi ya Abatwazi).||Omukama Rumanyika alitawala jamii ipi?::Jamii ya Wahaya, eneo la Buhaya.",
2023-JSS019-DRS IV,Kumudu historia ya Tanzania na maadili kabla ya ukoloni,Kueleza mifumo mbalimbali za utunzaji na ukuzaji wa maadili ya jamii za Kitanzania kabla ya ukoloni,"Kueleza mamlaka mbalimbali za kijadi kabla ya ukoloni (uchifu, usultani, utemi nk)",Utawala wa Mangi na wa Umwinyi kabla ya ukoloni,5,Majadiliano,Kuwaongoza Wanafunzi,Mwanafunzi anaeleza kwa usahihi tofauti kati ya utawala wa Mangi na utawala wa Umwinyi.,Kitabu cha mwanafunzi|Ubao|Kielelezo namba 7: Mangi Meli wa Old Moshi,"TET(2023), HISTORIA YA TANZANIA NA MAADILI, KITABU CHA MWANAFUNZI, DARASA LA NNE, TET, DAR ES SALAAM",Mwalimu anaongoza majadiliano kuhusu utawala wa Mangi uliokuwapo Mkoa wa Kilimanjaro na utawala wa Umwinyi uliokuwapo Pwani ya Afrika Mashariki na Zanzibar.,"Utawala wa Mangi ulikuwa wa kurithi na ulikua kutokana na ardhi yenye rutuba karibu na Mlima Kilimanjaro; Mangi Sina alitawala Kibosho, Mangi Marealle Marangu na Vunjo, Mangi Shangali Machame na Mangi Meli Old Moshi. Utawala wa Umwinyi ulishamiri Kilwa, Mafia, Bagamoyo, Unguja na Pemba, na Mwinyi Mkuu alikuwa mtu wa kuheshimika sana ambaye watu waliopita mbele yake walipiga magoti.","Mangi Meli (Kielelezo namba 7) aliua kamanda wa Wajerumani Von Bulow na kuwazuia Wajerumani kwa mwaka mmoja na nusu kabla ya kusalitiwa na kunyongwa hadharani; Mwinyi Mkuu alipewa samaki wazuri na nyama ya nundu kutoka kwa wavuvi na wafugaji, na aliwasaidiwa na Masheha na Wajumbe.",Mwanafunzi anaweza kujifunza umuhimu wa kuheshimu viongozi wa jamii yake kama ilivyokuwa desturi ya kuwaheshimu Mangi na Mwinyi Mkuu.,"Mangi Meli alitawala eneo lipi?::Eneo la Old Moshi, Mkoa wa Kilimanjaro.||Mangi Meli alikufa vipi?::Alisalitiwa na kunyongwa hadharani na Wajerumani.||Mwinyi Mkuu aliishi eneo gani?::Kilwa, Mafia, Bagamoyo na Unguja na Pemba.||Nani waliomsaidia Mwinyi Mkuu kutekeleza maagizo yake?::Wajumbe na Masheha.",
2023-JSS019-DRS IV,Kumudu historia ya Tanzania na maadili kabla ya ukoloni,Kueleza mifumo mbalimbali za utunzaji na ukuzaji wa maadili ya jamii za Kitanzania kabla ya ukoloni,"Kueleza mamlaka mbalimbali za kijadi kabla ya ukoloni (uchifu, usultani, utemi nk)",Mamlaka za Kirika na za Kiukoo kabla ya ukoloni,4,Majadiliano,Kuwaongoza Wanafunzi,Mwanafunzi anaeleza kwa usahihi jinsi mamlaka za kirika na za kiukoo zilivyoongoza jamii zao.,Kitabu cha mwanafunzi|Ubao|Kielelezo namba 9: Ramani ya mtawanyiko wa makabila,"TET(2023), HISTORIA YA TANZANIA NA MAADILI, KITABU CHA MWANAFUNZI, DARASA LA NNE, TET, DAR ES SALAAM","Mwalimu anawauliza wanafunzi kufikiria jinsi jamii ambazo hazikuwa na Mfalme au Mtemi zilivyojiongoza, kisha anaanzisha somo la mamlaka za kirika na kiukoo.","Mfumo wa kirika uligawa madaraka kulingana na umri; jamii ya Wamasai ilikuwa na rika la wazee lililoongozwa na Olaiboni na rika la vijana (morani) wenye umri wa miaka 18-35. Baadhi ya jamii kama Wamatumbi, Wamwera na Wamakonde ziliongozwa katika ngazi ya ukoo na mkuu wa ukoo.","Kundi la wazee chini ya Olaiboni lilitoa ushauri na kusuluhisha migogoro katika jamii ya Wamasai, wakati morani walikuwa nguvukazi iliyotafuta maji na malisho na kulinda mali na usalama wa jamii; jamii za Kusini Mashariki mwa Tanzania kama Wangido na Wapangwa ziliongozwa na wakuu wa ukoo.",Mwanafunzi anaweza kuiga mfumo wa kuwasikiliza wazee na kutii ushauri wao kama walivyofanya morani wa Kimasai kwa Olaiboni.,Kiongozi wa rika la wazee wa Wamasai aliitwaje?::Olaiboni.||Rika la morani lilihusisha vijana wa umri gani?::Miaka 18 hadi 35.||Taja jamii mbili zilizokuwa na mfumo wa utawala wa kiukoo.::Wamatumbi na Wamakonde.||Kazi kuu ya morani katika jamii ya Wamasai ilikuwa ipi?::Kutafuta maji na malisho ya mifugo na kulinda mali na usalama wa jamii.,
2023-JSS019-DRS IV,Kumudu historia ya Tanzania na maadili kabla ya ukoloni,Kueleza mifumo mbalimbali za utunzaji na ukuzaji wa maadili ya jamii za Kitanzania kabla ya ukoloni,Kueleza michango ya mamlaka mbalimbali za kijadi katika utunzaji na ukuzaji wa maadili na maendeleo ya jamii kabla ya ukoloni,Mchango wa mamlaka za jadi katika maendeleo ya jamii na uchumi,5,Bunguabongo,Kuwaongoza Wanafunzi,Mwanafunzi anataja angalau mafanikio matano yaliyotokana na mamlaka za jadi katika maendeleo ya jamii na uchumi.,Kitabu cha mwanafunzi|Ubao|Chati ya mafanikio ya tawala za jadi,"TET(2023), HISTORIA YA TANZANIA NA MAADILI, KITABU CHA MWANAFUNZI, DARASA LA NNE, TET, DAR ES SALAAM","Mwalimu anaanzisha somo kwa kuwakumbusha wanafunzi mamlaka za jadi walizojifunza (Watemi, Wafalme, Mangi, Mwinyi) kisha anaelekeza kwenye mchango wao katika maendeleo ya jamii na uchumi.","Mamlaka za jadi zilikuwa na utawala imara uliosimamia shughuli za kisiasa, kiuchumi na kijamii, mamlaka juu ya rasilimali, sheria na utekelezaji wa maadili, hivyo kuleta maendeleo katika jamii husika.","Miongoni mwa mafanikio ya tawala za jadi ni kuwaunganisha watu na kujenga umoja na ushirikiano, kupambana na wavamizi wa ukoloni, kutatua migogoro na kuleta amani, kuimarisha shughuli za uchumi, kupanuka kwa ujenzi wa makazi, na kuondoa migogoro ya ardhi kwa kuweka utaratibu wa matumizi ya ardhi.",Mwanafunzi anaweza kuiga jukumu la kutatua migogoro kwa amani kati ya wenzake shuleni kama walivyofanya viongozi wa jadi katika jamii zao.,"Taja mafanikio mawili ya mamlaka za jadi kabla ya ukoloni.::Kuwaunganisha watu kujenga umoja, na kutatua migogoro ya kuleta amani.||Mamlaka za jadi zilikuwa na mamlaka juu ya nini?::Rasilimali, sheria na utekelezaji wa maadili.||Mamlaka za jadi zilichangiaje harakati za kudai uhuru?::Zilipambana na wavamizi wa kikoloni, hivyo kujenga chachu ya kupinga ukoloni nchini.||Mamlaka za jadi zilisaidiaje migogoro ya ardhi?::Ziliweka utaratibu mzuri wa matumizi ya ardhi uliopunguza migogoro.",
2023-JSS019-DRS IV,Kumudu historia ya Tanzania na maadili kabla ya ukoloni,Kueleza mifumo mbalimbali za utunzaji na ukuzaji wa maadili ya jamii za Kitanzania kabla ya ukoloni,Kueleza michango ya mamlaka mbalimbali za kijadi katika utunzaji na ukuzaji wa maadili na maendeleo ya jamii kabla ya ukoloni,Majukumu ya mamlaka za jadi katika kukuza na kutunza maadili,5,Majadiliano,Kuwaongoza Wanafunzi,Mwanafunzi anaeleza kwa usahihi angalau majukumu matatu ya mamlaka za jadi katika kukuza na kutunza maadili.,Kitabu cha mwanafunzi|Ubao,"TET(2023), HISTORIA YA TANZANIA NA MAADILI, KITABU CHA MWANAFUNZI, DARASA LA NNE, TET, DAR ES SALAAM","Mwalimu anaongoza majadiliano kuhusu jinsi Machifu, Watemi, Wafalme na Mangi walivyosimamia maadili ya jamii zao kwa msaada wa baraza la viongozi wa koo, waganga na watabiri.","Mamlaka za jadi zilikuwa na majukumu ya kutunga sheria, kanuni na taratibu za jamii; kusimamia maadili pale jambo lilipooshindikana kutatuliwa ngazi za chini; kusimamia shughuli za kimila kama ibada na matambiko; na kulinda maadili ya jamii dhidi ya uharibifu kutoka kwa wageni.",Mamlaka za Wangoni zilipinga mfumo wa kilimo ulioletwa na Wajerumani baada ya kuona ulikiuka maadili ya mababu zao; Vita ya Majimaji chini ya Kinjekitile Ngwale ilitokana kwa kiasi kikubwa na Wajerumani kuvuruga maadili ya jamii za Kusini mwa Tanzania.,"Mwanafunzi anaweza kutoa taarifa kwa mwalimu au mzazi pale anapoona jambo linalokiuka maadili ya shule au jamii, kama walivyofanya mamlaka za jadi kwa jamii zao.","Taja jukumu moja la mamlaka za jadi katika kukuza maadili.::Kutunga sheria, kanuni na taratibu za jamii.||Kwa nini mamlaka za jadi zilisimamia ibada na matambiko?::Kwa sababu zilikuwa na watu wenye nguvu za miungu ya kabila, hivyo kusaidia jamii kuthamini mila zao.||Vita ya Majimaji ilihusiana vipi na ulinzi wa maadili?::Ilisababishwa kwa kiasi kikubwa na Wajerumani kuvuruga maadili ya jamii za Kusini mwa Tanzania.||Mamlaka za Wangoni zilifanya nini kupinga mfumo wa kigeni?::Zilipinga mfumo wa kilimo ulioletwa na Wajerumani kwa kuwa ulikiuka maadili ya mababu zao.",
2023-JSS019-DRS IV,Kumudu historia ya Tanzania na maadili kabla ya ukoloni,Kueleza mifumo mbalimbali za utunzaji na ukuzaji wa maadili ya jamii za Kitanzania kabla ya ukoloni,Kueleza michango ya mamlaka mbalimbali za kijadi katika utunzaji na ukuzaji wa maadili na maendeleo ya jamii kabla ya ukoloni,Mbinu za mamlaka za jadi za kukuza na kutunza maadili,5,Bunguabongo,Kuwaongoza Wanafunzi,Mwanafunzi anataja kwa usahihi angalau mbinu tatu zilizotumiwa na mamlaka za jadi kukuza na kutunza maadili.,Kitabu cha mwanafunzi|Ubao|Kadi za miiko,"TET(2023), HISTORIA YA TANZANIA NA MAADILI, KITABU CHA MWANAFUNZI, DARASA LA NNE, TET, DAR ES SALAAM",Mwalimu anaongoza bunguabongo kuhusu mbinu zilizotumiwa na wazazi na jamii ya kale kufundisha na kusimamia maadili kabla ya kuwapo shule kama za sasa.,Mamlaka za jadi zilitumia ibada za kijadi zenye matambiko kuomba nguvu za miungu kusimamia maadili; kuonya kwa kukemea uvunjaji wa maadili; vitisho vilivyoambatana na miiko; na elimu ikiwemo elimu ya jando na unyago kurithisha maadili kwa vijana.,"Jamii iliamini mtu aliyekiuka maadili angeweza kupata laana kama vile kuwa mwehu au kukosa mafanikio; miiko kama vile 'usisimulie hadithi mchana utaota mkia' na 'usipige mluzi usiku, utamwita shetani' ilitumika kuwafanya watu kuogopa madhara ya ukiukaji wa maadili.","Mwanafunzi anapofundishwa na wazazi wake kuhusu tabia njema nyumbani, anapokea elimu ya maadili kama ilivyokuwa desturi ya jamii za kale.","Taja mbinu mbili zilizotumiwa na mamlaka za jadi kukuza maadili.::Ibada za kijadi na elimu ya jando na unyago.||Kwa nini vitisho vilitumika kutunza maadili?::Ili kuifanya jamii kuogopa madhara ya kukiuka maadili yaliyowekwa na miiko.||Elimu ya jando na unyago ilikuwa na kusudi gani?::Kurithisha maadili, mila na desturi za jamii kwa vijana.||Taja mfano mmoja wa mwiko uliotumika kusimamia maadili.::Usisimulie hadithi mchana, utaota mkia.",
