subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,sla_name,sla_periods,sla_method,sla_leading,sla_assessment_criteria,sla_teaching_aids,sla_references,sla_notes_intro,sla_notes_details,sla_notes_illustrations,sla_notes_daily_life,sla_exercise,sla_diagram_type
2023-JSS019-DRS VI,Kumudu Historia ya Ujenzi wa Taifa na Maadili katika Kipindi cha 1961-1966,Kumudu historia ya ujenzi wa Taifa na maadili baada ya uhuru katika kipindi cha 1961-1966,Kueleza historia ya ujenzi wa Taifa na maadili baada ya uhuru katika kipindi cha 1961-1966,Historia ya ujenzi wa Taifa 1961-1966,12,Changanyakete,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kueleza matukio makuu ya ujenzi wa Taifa na maadili baada ya uhuru kati ya mwaka 1961 na 1966.,Kitabu cha mwanafunzi|Ubao|Picha za matukio ya kihistoria ya kipindi hicho,"TET(2023), HISTORIA YA TANZANIA NA MAADILI, KITABU CHA MWANAFUNZI, DARASA LA SITA, TET, DAR ES SALAAM","Baada ya Tanganyika kupata uhuru mwaka 1961, Taifa lilianza mchakato wa kujenga misingi ya utawala, uchumi na maadili ya Kitaifa.","Kipindi hiki kilihusisha kuundwa kwa vyombo vya utawala wa Taifa huru, kuanzishwa kwa sera za elimu na afya kwa wote, na juhudi za kujenga umoja wa kitaifa miongoni mwa makabila mbalimbali ya Tanganyika.",Mfano: kuundwa kwa Jamhuri ya Tanganyika mwaka 1962 chini ya Rais Julius Nyerere kulikuwa hatua muhimu ya kujenga utawala wa kitaifa.,Mwanafunzi anafaidika leo na misingi ya elimu na huduma za jamii zilizoanzishwa katika kipindi hiki cha ujenzi wa Taifa.,Tanganyika ilipata uhuru mwaka gani?::1961.||Nani alikuwa Rais wa kwanza wa Jamhuri ya Tanganyika?::Julius Nyerere.||Taja jambo moja lililofanyika katika ujenzi wa Taifa baada ya uhuru.::Kuundwa kwa vyombo vya utawala au sera za elimu.||Kwa nini kujenga umoja wa kitaifa kulikuwa muhimu baada ya uhuru?::Ili kuunganisha makabila mbalimbali chini ya Taifa moja.,
2023-JSS019-DRS VI,Kumudu Historia ya Ujenzi wa Taifa na Maadili katika Kipindi cha 1961-1966,Kumudu historia ya ujenzi wa Taifa na maadili baada ya uhuru katika kipindi cha 1961-1966,Kubaini mafanikio yaliyofikiwa katika historia ya ujenzi wa Taifa na maadili,Mafanikio ya ujenzi wa Taifa 1961-1966,11,Fikiri-andika-jozisha-shirikisha,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kutaja na kueleza mafanikio yaliyofikiwa katika ujenzi wa Taifa na maadili kati ya 1961 na 1966.,Kitabu cha mwanafunzi|Ubao|Matini za kihistoria,"TET(2023), HISTORIA YA TANZANIA NA MAADILI, KITABU CHA MWANAFUNZI, DARASA LA SITA, TET, DAR ES SALAAM","Katika kipindi hiki, Taifa lilipata mafanikio kadhaa katika nyanja za utawala, elimu, afya na umoja wa kitaifa.","Miongoni mwa mafanikio ni kuundwa kwa Bunge la Taifa lililowawakilisha wananchi, kuongezeka kwa shule na huduma za afya, na kujengwa kwa hisia za uzalendo na umoja miongoni mwa Watanganyika wa makabila tofauti.",Mfano: kuanzishwa kwa shule mpya nyingi vijijini kuliwezesha watoto wengi zaidi kupata elimu baada ya uhuru.,Mafanikio haya ya awali ndiyo msingi wa mfumo wa elimu na afya unaomfaidisha mwanafunzi leo.,Taja mafanikio mawili ya ujenzi wa Taifa 1961-1966.::Kuongezeka kwa shule na huduma za afya.||Ni chombo gani kiliundwa kuwawakilisha wananchi?::Bunge la Taifa.||Mafanikio haya yalichangia nini kwa jamii?::Kuboresha huduma za elimu na afya na kujenga umoja.||Kwa nini elimu iliongezwa baada ya uhuru?::Ili kuwapa watoto wengi zaidi fursa ya kusoma.,
2023-JSS019-DRS VI,Kumudu Historia ya Ujenzi wa Taifa na Maadili katika Kipindi cha 1961-1966,Kumudu historia ya ujenzi wa Taifa na maadili baada ya uhuru katika kipindi cha 1961-1966,Kuelezea changamoto zilizojitokeza wakati wa ujenzi wa Taifa na maadili baada ya uhuru,Changamoto za ujenzi wa Taifa baada ya uhuru,11,Majadiliano,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kutaja na kueleza changamoto zilizojitokeza wakati wa ujenzi wa Taifa na maadili baada ya uhuru.,Kitabu cha mwanafunzi|Ubao|Matini za kihistoria,"TET(2023), HISTORIA YA TANZANIA NA MAADILI, KITABU CHA MWANAFUNZI, DARASA LA SITA, TET, DAR ES SALAAM",Ujenzi wa Taifa baada ya uhuru ulikabiliwa na changamoto mbalimbali licha ya mafanikio yaliyopatikana.,"Changamoto hizo ni pamoja na uhaba wa wataalamu Waafrika waliohitajika kuendesha ofisi za serikali, uhaba wa fedha za maendeleo, na tofauti za kimaeneo/kikabila zilizohitaji juhudi za ziada kujenga umoja wa kitaifa.","Mfano: baada ya uhuru, Taifa lilikuwa na uhaba mkubwa wa madaktari na walimu Waafrika waliohitimu, hivyo kutegemea wataalamu wa kigeni kwa muda.",Kuelewa changamoto hizi humsaidia mwanafunzi kuthamini juhudi zilizofanywa kujenga mfumo wa elimu unaomwezesha kusoma leo.,Taja changamoto moja ya ujenzi wa Taifa baada ya uhuru.::Uhaba wa wataalamu Waafrika au fedha za maendeleo.||Kwa nini kulikuwa na uhaba wa wataalamu?::Kwa sababu elimu ya juu haikuwa imeenea sana wakati wa ukoloni.||Nini kilifanyika kukabiliana na uhaba wa wataalamu?::Taifa lilitegemea wataalamu wa kigeni kwa muda huku likijenga uwezo wa ndani.||Kwa nini ni muhimu kujifunza changamoto hizi?::Ili kuthamini juhudi zilizofanywa kujenga Taifa.,
2023-JSS019-DRS VI,Kutathmini ujenzi wa Taifa na Maadili wakati wa Azimio la Arusha 1967-1985,Kuelezea Misingi na Maadili ya Azimio la Arusha na Siasa ya Ujamaa na Kujitegemea,Kueleza dhana ya Azimio la Arusha na Siasa ya Ujamaa na Kujitegemea (lengo na umuhimu),Dhana ya Azimio la Arusha na Ujamaa na Kujitegemea,11,Bunguabongo,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kueleza maana ya Azimio la Arusha na Siasa ya Ujamaa na Kujitegemea pamoja na lengo na umuhimu wake.,Kitabu cha mwanafunzi|Ubao|Picha/picha mguso za Azimio la Arusha,"TET(2023), HISTORIA YA TANZANIA NA MAADILI, KITABU CHA MWANAFUNZI, DARASA LA SITA, TET, DAR ES SALAAM",Azimio la Arusha lilikuwa tamko la kisiasa lililotolewa mwaka 1967 lililoweka misingi ya Siasa ya Ujamaa na Kujitegemea nchini Tanzania.,"Lengo kuu la Azimio hilo lilikuwa kujenga jamii yenye usawa, kuondoa unyonyaji na kuweka msingi wa kujitegemea badala ya kutegemea misaada ya nje; lilisisitiza umuhimu wa kufanya kazi kwa bidii na kutumia rasilimali za ndani kwa maendeleo.","Mfano: baada ya Azimio la Arusha, viongozi wa serikali walitakiwa wasimiliki mali nyingi za kibinafsi kama sehemu ya kujenga usawa.",Mwanafunzi anaweza kuona athari za Azimio la Arusha katika misingi ya elimu ya bure na huduma za jamii zinazoendelea kutolewa leo.,Azimio la Arusha lilitolewa mwaka gani?::1967.||Azimio la Arusha lililenga nini?::Kujenga jamii yenye usawa na kujitegemea.||Siasa ya Ujamaa na Kujitegemea ina maana gani?::Kutumia rasilimali za ndani na kufanya kazi kwa bidii badala ya kutegemea misaada.||Kwa nini viongozi walitakiwa wasimiliki mali nyingi baada ya Azimio?::Ili kujenga usawa na kuondoa unyonyaji.,
2023-JSS019-DRS VI,Kutathmini ujenzi wa Taifa na Maadili wakati wa Azimio la Arusha 1967-1985,Kuelezea Misingi na Maadili ya Azimio la Arusha na Siasa ya Ujamaa na Kujitegemea,"Kufafanua misingi ya Azimio la Arusha (Ujamaa na Kujitegemea) katika harakati za ujenzi wa Taifa huru na maadili nchini (ushirikiano, haki na usawa, heshima, utu, uwajibikaji, miiko ya uongozi, umoja wa Kitaifa na uzalendo n.k)",Misingi ya Azimio la Arusha katika maadili ya Taifa,11,Majadiliano,Kuwaongoza Wanafunzi,"Mwanafunzi ataweza kufafanua misingi ya Azimio la Arusha kama ushirikiano, haki, usawa, heshima, utu na uwajibikaji katika ujenzi wa Taifa.",Kitabu cha mwanafunzi|Ubao|Matini kuhusu misingi ya Azimio la Arusha,"TET(2023), HISTORIA YA TANZANIA NA MAADILI, KITABU CHA MWANAFUNZI, DARASA LA SITA, TET, DAR ES SALAAM",Azimio la Arusha liliweka misingi kadhaa ya maadili iliyotarajiwa kuongoza viongozi na wananchi katika ujenzi wa Taifa huru.,"Misingi hiyo ni pamoja na ushirikiano wa kijamii, haki na usawa kwa wote, heshima na utu wa binadamu, uwajibikaji wa viongozi, miiko ya uongozi (kama kutomiliki mali nyingi za kibinafsi), na kukuza umoja wa kitaifa na uzalendo.",Mfano: miiko ya uongozi ilikataza kiongozi wa serikali kuwa na hisa katika makampuni binafsi ili kuepusha mgongano wa kimaslahi.,Misingi hii bado ni muhimu leo katika kuwahimiza viongozi wa jamii na Taifa kuwajibika na kutenda kwa haki.,"Taja misingi miwili ya Azimio la Arusha.::Haki na usawa, na uwajibikaji.||Miiko ya uongozi ilikataza nini?::Kiongozi kuwa na hisa za makampuni binafsi au mali nyingi.||Kwa nini umoja wa kitaifa ulisisitizwa katika Azimio?::Ili kuunganisha Watanzania wote katika kujenga Taifa.||Uwajibikaji wa viongozi una maana gani?::Kutoa hesabu na kutimiza wajibu wao kwa wananchi.",
2023-JSS019-DRS VI,Kutathmini ujenzi wa Taifa na Maadili wakati wa Azimio la Arusha 1967-1985,Kuelezea Misingi na Maadili ya Azimio la Arusha na Siasa ya Ujamaa na Kujitegemea,Kueleza mchango wa Azimio la Arusha katika harakati za mapambano dhidi ya rushwa,Mchango wa Azimio la Arusha dhidi ya rushwa,10,Kisamafunzo,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kueleza jinsi Azimio la Arusha lilivyochangia mapambano dhidi ya rushwa nchini.,Kitabu cha mwanafunzi|Ubao|Visa mafunzo kuhusu rushwa,"TET(2023), HISTORIA YA TANZANIA NA MAADILI, KITABU CHA MWANAFUNZI, DARASA LA SITA, TET, DAR ES SALAAM",Azimio la Arusha lilijumuisha misingi iliyolenga kuzuia rushwa na matumizi mabaya ya madaraka miongoni mwa viongozi.,"Kwa kuweka miiko ya uongozi kama kutomiliki mali nyingi na kutopokea zawadi kubwa, Azimio lilipunguza fursa za viongozi kujihusisha na rushwa, na kusisitiza uwajibikaji na uwazi katika utumishi wa umma.",Mfano: kiongozi aliyekiuka miiko ya uongozi kwa kupokea rushwa angeweza kuchukuliwa hatua za kinidhamu kulingana na misingi ya Azimio.,Kuelewa mchango huu humsaidia mwanafunzi kutambua umuhimu wa uadilifu na kupinga rushwa katika jamii ya leo.,Azimio la Arusha lilichangiaje mapambano dhidi ya rushwa?::Kwa kuweka miiko ya uongozi inayozuia matumizi mabaya ya madaraka.||Taja mfano mmoja wa mwiko wa uongozi unaozuia rushwa.::Kutomiliki mali nyingi za kibinafsi au kutopokea zawadi kubwa.||Kwa nini uwazi ni muhimu katika utumishi wa umma?::Ili kuzuia matumizi mabaya ya madaraka na rushwa.||Kwa nini ni muhimu kupinga rushwa katika jamii?::Ili kuhakikisha rasilimali zinatumika kwa manufaa ya wote.,
2023-JSS019-DRS VI,Kutathmini ujenzi wa Taifa na Maadili wakati wa Azimio la Arusha 1967-1985,Kuelezea Misingi na Maadili ya Azimio la Arusha na Siasa ya Ujamaa na Kujitegemea,Kutathmini harakati za ujenzi wa Taifa na maadili wakati wa kipindi cha 1967-1985,Tathmini ya harakati za ujenzi wa Taifa 1967-1985,10,Utafiti mdogo,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kutathmini harakati za ujenzi wa Taifa na maadili zilizofanyika kati ya mwaka 1967 na 1985.,Kitabu cha mwanafunzi|Ubao|Matini za kihistoria za kipindi cha 1967-1985,"TET(2023), HISTORIA YA TANZANIA NA MAADILI, KITABU CHA MWANAFUNZI, DARASA LA SITA, TET, DAR ES SALAAM",Kipindi cha 1967-1985 kilishuhudia jitihada kubwa za kutekeleza Siasa ya Ujamaa na Kujitegemea katika sekta mbalimbali za Taifa.,"Katika kipindi hiki, Taifa lilianzisha vijiji vya Ujamaa, kutaifisha baadhi ya mashirika makubwa, na kuweka mkazo kwenye elimu ya watu wazima na kujitegemea kiuchumi; hata hivyo, baadhi ya sera hizi zilikutana na changamoto za kiutekelezaji.",Mfano: mpango wa vijiji vya Ujamaa (Ujamaa villages) ulilenga kuwakusanya wananchi kufanya kilimo cha pamoja kwa maendeleo ya haraka.,Kutathmini kipindi hiki humsaidia mwanafunzi kuelewa jinsi maamuzi ya kihistoria yanavyoathiri maisha ya jamii kwa muda mrefu.,Taja jambo moja lililofanyika katika kipindi cha 1967-1985.::Kuanzishwa kwa vijiji vya Ujamaa au kutaifisha mashirika.||Vijiji vya Ujamaa vililenga nini?::Kuwakusanya wananchi kufanya kilimo cha pamoja.||Kwa nini baadhi ya sera za kipindi hiki zilikumbana na changamoto?::Kwa sababu ya uzoefu mdogo wa kiutekelezaji na rasilimali chache.||Kwa nini ni muhimu kutathmini historia hii?::Ili kujifunza kutokana na mafanikio na changamoto zilizopita.,
2023-JSS019-DRS VI,Kutathmini ujenzi wa Taifa na Maadili wakati wa Azimio la Arusha 1967-1985,Kuelezea mchango wa Tanzania katika mapambano dhidi ya ukoloni na ukandamizaji,Kueleza mchango wa Tanzania katika ukombozi wa Afrika dhidi ya ukoloni na ukandamizaji (lengo na umuhimu wake kwa Tanzania),Mchango wa Tanzania katika ukombozi wa Afrika,12,Mgeni mtaalamu,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kueleza mchango wa Tanzania katika harakati za ukombozi wa Afrika dhidi ya ukoloni na ukandamizaji pamoja na umuhimu wake.,Kitabu cha mwanafunzi|Ubao|Visa mafunzo kuhusu ukombozi wa Afrika,"TET(2023), HISTORIA YA TANZANIA NA MAADILI, KITABU CHA MWANAFUNZI, DARASA LA SITA, TET, DAR ES SALAAM",Tanzania ilikuwa mstari wa mbele katika kusaidia nchi nyingine za Afrika kupigania uhuru wao dhidi ya ukoloni na ukandamizaji.,"Tanzania ilitoa hifadhi kwa wapigania uhuru kutoka nchi kama Msumbiji, Afrika Kusini, Zimbabwe na Namibia, iliruhusu kambi za mafunzo za kijeshi, na kushiriki katika mikutano ya kimataifa kuunga mkono harakati za ukombozi.",Mfano: jiji la Dar es Salaam liliitwa 'Mecca ya Ukombozi wa Afrika' kwa sababu ya kuwa kituo cha vyama vingi vya ukombozi wa Kiafrika.,Mwanafunzi anaweza kujivunia mchango huu wa Tanzania anapojifunza kuhusu uhusiano wa kirafiki uliopo kati ya Tanzania na nchi nyingine za Afrika Kusini mwa Jangwa la Sahara.,"Tanzania ilisaidiaje harakati za ukombozi wa Afrika?::Kwa kutoa hifadhi na kambi za mafunzo kwa wapigania uhuru.||Dar es Salaam iliitwa jina gani kutokana na mchango huu?::Mecca ya Ukombozi wa Afrika.||Taja nchi moja iliyofaidika na msaada wa Tanzania.::Msumbiji, Afrika Kusini, Zimbabwe au Namibia.||Kwa nini mchango huu ulikuwa muhimu kwa Tanzania?::Uliijengea Tanzania heshima ya kimataifa na kuimarisha undugu wa Kiafrika.",
2023-JSS019-DRS VI,Kutathmini ujenzi wa Taifa na Maadili wakati wa Azimio la Arusha 1967-1985,Kuelezea mchango wa Tanzania katika mapambano dhidi ya ukoloni na ukandamizaji,Kubaini mchango wa Tanzania katika mapambano dhidi ya ukoloni na ukandamizaji,Kubaini mchango wa Tanzania dhidi ya ukoloni na ukandamizaji,11,Maswali na majibu,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kubaini na kutaja mifano mahususi ya mchango wa Tanzania katika mapambano dhidi ya ukoloni na ukandamizaji barani Afrika.,Kitabu cha mwanafunzi|Ubao|Matini na hotuba zinazohusu harakati za ukombozi,"TET(2023), HISTORIA YA TANZANIA NA MAADILI, KITABU CHA MWANAFUNZI, DARASA LA SITA, TET, DAR ES SALAAM","Mchango wa Tanzania katika mapambano dhidi ya ukoloni ulijidhihirisha kwa vitendo vya wazi vya kisiasa, kidiplomasia na kijeshi.","Miongoni mwa mifano ni uongozi wa Mwalimu Nyerere katika Kamati ya Ukombozi ya Umoja wa Nchi Huru za Afrika (OAU), utoaji wa mafunzo ya kijeshi kwa wapigania uhuru, na msaada wa kidiplomasia kwenye mikutano ya kimataifa.",Mfano: Tanzania iliwahi kupambana kijeshi kumsaidia Msumbiji dhidi ya ukoloni wa Ureno na baadaye kumsaidia Uganda dhidi ya utawala wa kikandamizaji wa Idi Amin.,Mwanafunzi anaweza kuthamini historia hii anapoona ushirikiano wa kikanda kati ya Tanzania na nchi jirani leo.,Nani aliongoza Kamati ya Ukombozi ya OAU?::Mwalimu Julius Nyerere.||Taja aina moja ya msaada Tanzania iliyotoa kwa wapigania uhuru.::Mafunzo ya kijeshi au hifadhi.||Tanzania ilimsaidia nani dhidi ya ukoloni wa Ureno?::Msumbiji.||Kwa nini Tanzania ilijihusisha na mapambano haya?::Kwa sababu ya msimamo wake wa kupinga ukoloni na ukandamizaji barani Afrika.,
2023-JSS019-DRS VI,Kutathmini Historia ya Tanzania na Maadili wakati wa Uliberali 1986 hadi sasa,Kufafanua dhana ya uliberali kwa kuhusianisha na maadili ya Kitanzania,Kuelezea dhana ya uliberali (maana na sifa),Dhana ya uliberali,13,Changanyakete,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kueleza maana ya uliberali na kutaja sifa zake muhimu.,Kitabu cha mwanafunzi|Ubao|Matini zenye taarifa za uliberali,"TET(2023), HISTORIA YA TANZANIA NA MAADILI, KITABU CHA MWANAFUNZI, DARASA LA SITA, TET, DAR ES SALAAM","Uliberali ni mfumo wa kiuchumi na kisiasa unaosisitiza uhuru wa mtu binafsi, soko huria na ushiriki mdogo wa serikali katika biashara.","Sifa za uliberali ni pamoja na umiliki binafsi wa mali, ushindani wa kibiashara, uwazi wa masoko, na uhuru wa mtu binafsi katika shughuli za kiuchumi na kisiasa, tofauti na mfumo wa Ujamaa uliokuwa na udhibiti mkubwa wa serikali.","Mfano: kuanzia miaka ya 1986, Tanzania ilianza kuruhusu makampuni binafsi kumiliki mashirika yaliyokuwa ya serikali kama sehemu ya mageuzi ya kiuliberali.",Mwanafunzi anaona athari za uliberali katika kuongezeka kwa maduka na biashara binafsi zinazomzunguka.,"Uliberali ni nini?::Ni mfumo unaosisitiza uhuru wa mtu binafsi na soko huria.||Taja sifa moja ya uliberali.::Umiliki binafsi wa mali au ushindani wa kibiashara.||Uliberali ulianza lini Tanzania?::Karibu na mwaka 1986.||Uliberali unatofautianaje na Ujamaa?::Uliberali unaruhusu umiliki binafsi zaidi, Ujamaa ulisisitiza udhibiti wa serikali.",
