subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,sla_name,sla_periods,sla_method,sla_leading,sla_assessment_criteria,sla_teaching_aids,sla_references,sla_notes_intro,sla_notes_details,sla_notes_illustrations,sla_notes_daily_life,sla_exercise,sla_diagram_type
2023-JSS017-DRS III,Kumudu stadi za awali za ramani na mfumo wa jua,Kutumia ramani katika maisha ya kila siku,"Kueleza dhana ya jiografia na mazingira (maana, uhusiano na umuhimu)",Maana ya Jiografia,5,Bunguabongo,Kuwaongoza Wanafunzi,Mwanafunzi aweze kueleza maana ya Jiografia na kutaja mandhari kuu mbili za uso wa dunia.,Kitabu cha mwanafunzi|Ubao|Kielelezo namba 1,"TET(2023), JIOGRAFIA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM","Somo hili linamjulisha mwanafunzi kuwa Jiografia ni somo linalohusu binadamu na mazingira yake, likijikita katika dunia, angahewa na vitu vilivyopo juu ya uso wa dunia.","Mwalimu atawaongoza wanafunzi kujadili maana ya Jiografia kwa kutumia Kielelezo namba 1 kinachoonesha mandhari ya uso wa dunia, kisha wanafunzi watabainisha mandhari kuu mbili za uso wa dunia.",Kielelezo namba 1: Mandhari ya uso wa dunia kinachoonesha mabara na bahari kama mandhari kuu mbili za uso wa dunia.,Mwanafunzi anaweza kutambua mabara na bahari anapoona ramani au globu shuleni.,"Jiografia ni nini?::Jiografia ni somo linalohusu binadamu na mazingira yake.||Taja mandhari kuu mbili za uso wa dunia.::Mabara na bahari.||Jiografia inahusu nini juu ya uso wa dunia?::Inahusu dunia, angahewa, na vitu vilivyopo juu ya uso wa dunia, mtawanyiko wake na jinsi vinavyohusiana na binadamu.||Jiografia inamwezesha binadamu kufanya nini?::Kuyaelewa mazingira yanayomzunguka, jinsi ya kuyatumia na kuyahifadhi sasa na kwa vizazi vijavyo.",
2023-JSS017-DRS III,Kumudu stadi za awali za ramani na mfumo wa jua,Kutumia ramani katika maisha ya kila siku,"Kueleza dhana ya jiografia na mazingira (maana, uhusiano na umuhimu)",Maana ya mazingira na vipengele vyake,5,Majadiliano,Kuwaongoza Wanafunzi,Mwanafunzi aweze kueleza maana ya mazingira na kutofautisha vitu vya asili na vilivyotengenezwa na binadamu.,Kitabu cha mwanafunzi|Ubao|Kielelezo namba 2|Kielelezo namba 3,"TET(2023), JIOGRAFIA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM","Somo hili linamjulisha mwanafunzi kuwa mazingira ni vitu vyote vinavyomzunguka binadamu, ikiwemo vitu vya asili na vilivyotengenezwa na binadamu.","Kwa kutumia Kielelezo namba 2 na Kielelezo namba 3, mwalimu atawaongoza wanafunzi kubainisha vitu vya asili kama milima, mabonde, misitu, wanyama, mito, bahari, ardhi na hewa, na vitu vilivyotengenezwa na binadamu kama nyumba, barabara, bustani, meza na magari.",Kielelezo namba 2: Vipengele vya mazingira; Kielelezo namba 3: Baadhi ya vitu vinavyopatikana katika mazingira.,Mwanafunzi anaweza kubainisha vitu vya asili na vilivyotengenezwa na binadamu anavyoviona nyumbani na njiani kuelekea shuleni.,"Mazingira ni nini?::Mazingira ni vitu vyote vinavyomzunguka binadamu.||Taja mifano mitatu ya vitu vya asili.::Milima, mito na misitu.||Taja mifano mitatu ya vitu vilivyotengenezwa na binadamu.::Nyumba, barabara na magari.||Kwa nini nyumba haihesabiwi kuwa kitu cha asili?::Kwa sababu imetengenezwa na binadamu.",
2023-JSS017-DRS III,Kumudu stadi za awali za ramani na mfumo wa jua,Kutumia ramani katika maisha ya kila siku,"Kueleza dhana ya jiografia na mazingira (maana, uhusiano na umuhimu)",Mazingira ya shule yetu,5,Kisamafunzo,Kuwaongoza Wanafunzi,Mwanafunzi aweze kutaja vitu vinavyopatikana katika mazingira ya shule na kueleza umuhimu wake.,Kitabu cha mwanafunzi|Ubao|Kielelezo namba 4|Uwanja wa shule,"TET(2023), JIOGRAFIA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM","Somo hili linamwezesha mwanafunzi kuelewa kuwa mazingira ya shule ni vitu vyote vinavyopatikana shuleni kama madarasa, ofisi za walimu, miti na viwanja vya michezo.","Wanafunzi watachunguza Kielelezo namba 4 kinachoonesha mazingira ya shule, kisha wafanye Kazi ya kufanya namba 1 na namba 2 kwa kubainisha vitu vya asili na visivyo vya asili shuleni na kueleza faida zake.","Kielelezo namba 4: Mazingira ya shule, kinachoonesha madarasa, bendera ya taifa, bustani za maua na viwanja vya michezo.","Mwanafunzi anatumia madawati, vitabu na ubao darasani kila siku wakati wa kujifunza.","Taja vitu vitatu vinavyopatikana katika mazingira ya shule.::Madarasa, bustani za maua na viwanja vya michezo.||Ni vitu gani vinavyopatikana ndani ya darasa?::Madawati, viti, meza, vitabu na ubao.||Kwa nini wanafunzi na walimu ni sehemu ya mazingira ya shule?::Kwa sababu wao ni sehemu ya vitu vinavyopatikana shuleni.",
2023-JSS017-DRS III,Kumudu stadi za awali za ramani na mfumo wa jua,Kutumia ramani katika maisha ya kila siku,"Kueleza dhana ya jiografia na mazingira (maana, uhusiano na umuhimu)",Mazingira ya nyumbani,5,Maswali na majibu,Kuwaongoza Wanafunzi,Mwanafunzi aweze kueleza tofauti baina ya mazingira ya ndani na nje ya nyumba.,Kitabu cha mwanafunzi|Ubao|Kielelezo namba 5,"TET(2023), JIOGRAFIA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM","Somo hili linamjulisha mwanafunzi kuwa mazingira ya nyumbani ni vitu vyote vinavyopatikana mahali tunapoishi, ikiwa ni pamoja na mazingira ya nje na ya ndani ya nyumba.","Kwa kutumia Kielelezo namba 5, mwalimu atawaongoza wanafunzi kubainisha vitu vya mazingira ya nje ya nyumba kama miti, magari na maua, na vitu vya mazingira ya ndani kama kitanda, makochi na vyombo vya kupikia, kisha wafanye Zoezi la 1.","Kielelezo namba 5: Mazingira ya nyumbani, kinachoonesha vitu vya nje na ndani ya nyumba.",Mwanafunzi anaishi na kutumia vitu vya mazingira ya nyumbani kama kitanda na vyombo vya kupikia kila siku.,"Taja vitu vitatu vya mazingira ya nje ya nyumba.::Miti, magari na maua.||Taja vitu vitatu vya mazingira ya ndani ya nyumba.::Kitanda, makochi na vyombo vya kupikia.||Eleza tofauti moja baina ya mazingira ya nyumbani na mazingira ya shuleni.::Mazingira ya nyumbani yana vitu vya matumizi ya familia wakati mazingira ya shule yana vitu vya kufundishia na kujifunzia.",
2023-JSS017-DRS III,Kumudu stadi za awali za ramani na mfumo wa jua,Kutumia ramani katika maisha ya kila siku,"Kueleza dhana ya jiografia na mazingira (maana, uhusiano na umuhimu)",Uhusiano wa Jiografia na Mazingira,5,Bunguabongo,Kuwaongoza Wanafunzi,Mwanafunzi aweze kueleza uhusiano uliopo baina ya Jiografia na Mazingira.,Kitabu cha mwanafunzi|Ubao|Kielelezo namba 6,"TET(2023), JIOGRAFIA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM","Somo hili linamwezesha mwanafunzi kuelewa kuwa Jiografia na Mazingira ni dhana zinazohusiana na ni vigumu kuzitenganisha, kwani Jiografia inapambanua kuhusu vitu vilivyomo katika mazingira.","Wanafunzi watachunguza Kielelezo namba 6 kinachoonesha shughuli mbalimbali katika mazingira, kisha wafanye Kazi ya kufanya namba 5 kwa kubainisha shughuli hizo na mazingira yanayofanyika.","Kielelezo namba 6: Shughuli mbalimbali katika mazingira, ikijumuisha vitu kama misitu, milima, maziwa, mito na bahari.",Mwanafunzi anaweza kutambua shughuli zinazofanyika katika mazingira anayoishi kama kilimo au uvuvi karibu na mto au ziwa.,"Jiografia na Mazingira zinahusianaje?::Mazingira ni vitu vyote vinavyotuzunguka, wakati Jiografia inapambanua kuhusu vitu hivyo.||Taja vitu vinne vinavyounganisha Jiografia na Mazingira.::Misitu, milima, mito na bahari.||Jiografia inatupatia nini kuhusu mazingira?::Inatupatia uelewa kuhusu mazingira yanayomzunguka binadamu na namna tunavyoweza kuhusiana nayo.",
2023-JSS017-DRS III,Kumudu stadi za awali za ramani na mfumo wa jua,Kutumia ramani katika maisha ya kila siku,"Kueleza dhana ya jiografia na mazingira (maana, uhusiano na umuhimu)",Umuhimu wa kujifunza Jiografia na Mazingira,5,Majadiliano,Kuwaongoza Wanafunzi,Mwanafunzi aweze kutaja umuhimu wa kujifunza Jiografia na Mazingira katika maisha ya kila siku.,Kitabu cha mwanafunzi|Ubao|Vielelezo vya rasilimali za mazingira,"TET(2023), JIOGRAFIA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM","Somo hili linamjulisha mwanafunzi umuhimu wa kujifunza Jiografia na Mazingira, ikiwa ni pamoja na kuelewa mazingira, kutambua rasilimali, na kubaini majanga ya asili.","Mwalimu atawaongoza wanafunzi kujadili faida za kujifunza Jiografia na Mazingira kama vile kutambua rasilimali za wanyama pori, mito na misitu, kuelewa hali ya hewa, na kubaini majanga ya asili kama mafuriko na vimbunga, kisha wafanye Zoezi la 2.","Mifano kutoka kitabu ya rasilimali kama wanyama pori, mito, maziwa, bahari, misitu, ardhi, madini na milima, pamoja na majanga ya asili kama mafuriko na vimbunga.",Mwanafunzi anaweza kutumia ujuzi wa Jiografia na Mazingira kutunza rasilimali kama mito na miti inayopatikana karibu na anakoishi.,"Kwa nini tunajifunza Jiografia na Mazingira?::Ili kuyaelewa mazingira yetu na kuwa na matumizi sahihi na endelevu ya vitu vilivyomo.||Taja majanga mawili ya asili yaliyotajwa katika somo.::Mafuriko na vimbunga.||Taja rasilimali mbili zinazopatikana katika mazingira.::Wanyama pori na mito.||Kujifunza Jiografia na Mazingira kunasaidia nini katika ujenzi wa miundombinu?::Kunasaidia kupanga na kutekeleza ujenzi wa barabara, hospitali na shule.",
2023-JSS017-DRS III,Kumudu stadi za awali za sura ya nchi na rasilimali zilizopo,Kuonesha uelewa wa awali wa sura ya nchi,"Kueleza dhana ya sura ya nchi (Maana, maumbo - milima, vilima, tambarare, mabonde, uwanda wa juu na basini na mtawanyiko)",Maana ya sura ya nchi,5,Bunguabongo,Kuwaongoza Wanafunzi,Mwanafunzi aeleze kwa usahihi maana ya sura ya nchi na atoe mifano ya maumbo yanayounda sura ya nchi.,Kitabu cha mwanafunzi|Ubao|Picha za maumbo ya ardhi,"TET(2023), JIOGRAFIA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM","Uso wa dunia umefunikwa kwa tabaka gumu liitwalo ardhi, nalo lina maumbo mbalimbali yanayounda sura ya nchi ya eneo husika.","Mwalimu awaongoza wanafunzi kutazama Kielelezo namba 1 kisha kubainisha maumbo mbalimbali ya sura ya nchi wanayoyaona, kisha wajadili kwa vikundi maana ya sura ya nchi.","Kielelezo namba 1 kinaonesha maumbo mbalimbali ya sura ya nchi kama milima, vilima, tambarare, uwanda wa juu, besini na mabonde yanayounda mandhari tofauti.",Wanafunzi hutumia maarifa ya sura ya nchi kutambua mandhari ya maeneo wanayoishi na kuelewa shughuli zinazofaa kufanyika huko.,"Sura ya nchi ni nini?::Ni mwonekano wa maumbo mbalimbali ya ardhi katika uso wa dunia||Taja maumbo makuu manne yanayounda sura ya nchi.::Milima, vilima, tambarare na mabonde (pia uwanda wa juu na besini)||Kwa nini ni muhimu kufahamu maumbo ya sura ya nchi ya eneo lako?::Kwa sababu shughuli za binadamu kama kilimo, ujenzi wa makazi na ufugaji hutegemea maumbo ya sura ya nchi||Eleza kielelezo namba 1 kwa maneno yako mwenyewe.::Kinaonesha maumbo mbalimbali ya ardhi yanayounda sura ya nchi ya eneo fulani",
2023-JSS017-DRS III,Kumudu stadi za awali za sura ya nchi na rasilimali zilizopo,Kuonesha uelewa wa awali wa sura ya nchi,"Kueleza dhana ya sura ya nchi (Maana, maumbo - milima, vilima, tambarare, mabonde, uwanda wa juu na basini na mtawanyiko)",Maumbo makuu sita ya sura ya nchi,4,Maswali na majibu,Kuwaongoza Wanafunzi,Mwanafunzi ataje kwa usahihi maumbo makuu sita ya sura ya nchi kama yalivyoainishwa katika kitabu.,Kitabu cha mwanafunzi|Ubao|Chati ya maumbo ya sura ya nchi,"TET(2023), JIOGRAFIA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM","Sura ya nchi hutofautiana kimuonekano kulingana na urefu na umbo, na maumbo yake makuu ni sita.","Mwalimu awaongoza wanafunzi kutazama Kielelezo namba 2 na kuorodhesha maumbo makuu ya sura ya nchi, kisha wanafunzi waandike orodha hiyo daftarini kwa zamu.","Kielelezo namba 2 kinaonesha maumbo makuu sita ya sura ya nchi: Milima, Mabonde, Vilima, Uwanda wa juu, Besini na Tambarare.",Wanafunzi wanaweza kutambua maumbo haya ya sura ya nchi wanapotembelea au kuishi maeneo mbalimbali ya nchi yao.,"Taja maumbo makuu sita ya sura ya nchi.::Milima, Mabonde, Vilima, Uwanda wa juu, Besini na Tambarare||Umbo lipi lina mwinuko mrefu zaidi kati ya haya sita?::Mlima||Umbo gani hutokea katikati ya milima au vilima?::Bonde||Kielelezo namba 2 kinaonesha nini?::Kinaonesha maumbo makuu ya sura ya nchi",
2023-JSS017-DRS III,Kumudu stadi za awali za sura ya nchi na rasilimali zilizopo,Kuonesha uelewa wa awali wa sura ya nchi,"Kueleza dhana ya sura ya nchi (Maana, maumbo - milima, vilima, tambarare, mabonde, uwanda wa juu na basini na mtawanyiko)",Milima na milima mirefu Tanzania,6,Uchunguzi,Kuwaongoza Wanafunzi,Mwanafunzi aeleze maana ya mlima na ataje angalau milima mitatu mirefu Tanzania pamoja na mikoa yake.,Kitabu cha mwanafunzi|Ramani za topografia|Picha ya Mlima Kilimanjaro,"TET(2023), JIOGRAFIA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM","Mlima ni umbo la ardhi lenye mwinuko mrefu zaidi juu ya uso wa dunia, na sehemu yake ya juu huitwa kilele.","Mwalimu aonesha Kielelezo namba 3 cha Mlima Kilimanjaro na jedwali la milima mirefu Tanzania, kisha awaongoza wanafunzi kusoma na kulinganisha urefu wa milima hiyo kwa mita.","Milima mirefu Tanzania: Kilimanjaro (Kilimanjaro, mita 5,895), Meru (Arusha, mita 4,566), Rungwe (Mbeya, mita 2,981), Uluguru (Morogoro, mita 2,630) na Usambara (Tanga, mita 2,290).",Wanafunzi wanaoishi karibu na milima kama Uluguru au Usambara wanaweza kutambua kilele na miteremko ya milima hiyo katika maisha yao ya kila siku.,"Mlima ni nini?::Ni umbo la ardhi lenye mwinuko mrefu zaidi juu ya uso wa dunia||Sehemu ya juu ya mlima huitwaje?::Kilele cha mlima||Mlima mrefu zaidi Tanzania ni upi na uko mkoa gani?::Mlima Kilimanjaro, mkoa wa Kilimanjaro, wenye mita 5,895||Mlima Uluguru upo mkoa gani?::Morogoro||Mlima Rungwe una urefu wa mita ngapi?::Mita 2,981",
2023-JSS017-DRS III,Kumudu stadi za awali za sura ya nchi na rasilimali zilizopo,Kuonesha uelewa wa awali wa sura ya nchi,"Kueleza dhana ya sura ya nchi (Maana, maumbo - milima, vilima, tambarare, mabonde, uwanda wa juu na basini na mtawanyiko)",Vilima na mifano yake Tanzania,5,Majadiliano,Kuwaongoza Wanafunzi,Mwanafunzi atofautishe mlima na kilima na ataje mifano ya vilima vilivyopo Tanzania.,Kitabu cha mwanafunzi|Ubao|Picha za vilima,"TET(2023), JIOGRAFIA NA MAZINGIRA, KITABU CHA MWANAFUNZI, DARASA LA TATU, TET, DAR ES SALAAM","Vilima ni umbo la ardhi lililoinuka kwa urefu wa wastani, vina urefu mdogo kuliko milima na havina miteremko mikali.","Mwalimu awaongoza wanafunzi kujadili kwa vikundi tofauti kati ya mlima na kilima kwa kutumia Kielelezo namba 4, kisha kutaja mifano ya vilima Tanzania.","Mifano ya vilima Tanzania: Vilima vya Ngorongoro (Arusha), Vilima vya Mererani (Manyara), Vilima vya Sao na Kitonga (Iringa), na Vilima vya Sekenke (Singida).",Wanafunzi wanaoishi maeneo yenye vilima kama Ngorongoro wanaweza kuvitambua na kuelewa jinsi vinavyotofautiana na milima.,"Kilima ni nini?::Ni umbo la ardhi lililoinuka kwa urefu wa wastani, lisilo na miteremko mikali kama mlima||Taja tofauti moja kati ya mlima na kilima.::Mlima una urefu na miteremko mikali zaidi kuliko kilima||Taja mfano wa vilima vilivyopo mkoa wa Singida.::Vilima vya Sekenke||Vilima vya Mererani vipo mkoa gani?::Manyara",
