subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,sla_name,sla_periods,sla_method,sla_leading,sla_assessment_criteria,sla_teaching_aids,sla_references,sla_notes_intro,sla_notes_details,sla_notes_illustrations,sla_notes_daily_life,sla_exercise,sla_diagram_type
2023-JSS015-DRS VI,Kuwasiliana katika miktadha mbalimbali,Kuendeleza mazungumzo katika miktadha mbalimbali,Kutumia msamiati katika mijadala mbalimbali kwa kujiamini,Kutumia msamiati kwa kujiamini katika mijadala,30,Mdahalo,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kutumia msamiati sahihi kwa kujiamini wakati wa kushiriki mijadala mbalimbali.,Kitabu cha mwanafunzi|Ubao|Kadi za mada za mjadala,"TET(2023), KISWAHILI, KITABU CHA MWANAFUNZI, DARASA LA SITA, TET, DAR ES SALAAM",Mjadala ni njia ya mawasiliano inayowawezesha watu kubadilishana mawazo kuhusu mada fulani kwa kutumia hoja na msamiati mwafaka.,"Ili kushiriki mjadala kwa kujiamini, mzungumzaji anapaswa kuandaa mawazo yake vizuri, kutumia msamiati unaoeleweka na unaoendana na mada, na kuwasilisha hoja zake kwa sauti na mkao wenye kujiamini.","Mfano: katika mdahalo kuhusu matumizi ya simu za mkononi shuleni, mwanafunzi anaweza kutumia msamiati kama 'faida', 'hasara' na 'mapendekezo' kuwasilisha hoja zake.","Ustadi huu humsaidia mwanafunzi kujieleza kwa ujasiri katika mikutano ya darasa, familia na jamii.","Mjadala ni nini?::Ni njia ya mawasiliano inayowezesha watu kubadilishana mawazo kwa hoja.||Kwa nini msamiati sahihi ni muhimu katika mjadala?::Husaidia mawazo kueleweka vizuri na kwa ufasaha.||Taja jambo moja linalomsaidia mzungumzaji kujiamini.::Kuandaa mawazo yake vizuri kabla ya mjadala.||Toa mfano wa msamiati unaoweza kutumika kujadili faida na hasara za jambo fulani.::Faida, hasara, mapendekezo.",
2023-JSS015-DRS VI,Kuwasiliana katika miktadha mbalimbali,Kutumia maandishi katika mawasiliano kulingana na miktadha mbalimbali,Kubaini makosa ya kiuandishi katika matini,Kubaini makosa ya kiuandishi,10,Uchunguzi,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kubaini makosa ya kiuandishi (kisarufi na kimaandishi) katika matini mbalimbali.,Kitabu cha mwanafunzi|Ubao|Matini zenye makosa ya kiuandishi,"TET(2023), KISWAHILI, KITABU CHA MWANAFUNZI, DARASA LA SITA, TET, DAR ES SALAAM","Makosa ya kiuandishi ni hitilafu za kisarufi, tahajia au matumizi ya alama za uakifishaji yanayojitokeza katika maandishi.","Mwanafunzi anatakiwa kusoma matini kwa makini kubaini makosa kama tahajia isiyo sahihi, matumizi mabaya ya herufi kubwa/ndogo, au alama za uakifishaji zisizo sahihi.","Mfano: katika sentensi 'mtoto Anacheza mpira,' kosa liko katika matumizi ya herufi kubwa isivyo sahihi kwenye neno 'Anacheza'.",Ustadi huu humsaidia mwanafunzi kuandika kazi zake za shule kwa usahihi zaidi.,"Kosa la kiuandishi ni nini?::Ni hitilafu ya kisarufi, tahajia au uakifishaji katika maandishi.||Taja aina moja ya kosa la kiuandishi.::Tahajia isiyo sahihi au matumizi mabaya ya herufi kubwa.||Kwa nini ni muhimu kubaini makosa kabla ya kuwasilisha kazi?::Ili kuhakikisha ujumbe unaeleweka vizuri.||Ni hatua gani ya kwanza katika kubaini makosa ya kiuandishi?::Kusoma matini kwa makini.",
2023-JSS015-DRS VI,Kuwasiliana katika miktadha mbalimbali,Kutumia maandishi katika mawasiliano kulingana na miktadha mbalimbali,Kusahihisha makosa ya kiuandishi katika matini,Kusahihisha makosa ya kiuandishi,10,Majadiliano,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kusahihisha makosa ya kiuandishi aliyoyabaini katika matini kwa kuandika kilicho sahihi.,Kitabu cha mwanafunzi|Ubao|Matini za mazoezi ya kusahihisha,"TET(2023), KISWAHILI, KITABU CHA MWANAFUNZI, DARASA LA SITA, TET, DAR ES SALAAM",Kusahihisha ni hatua ya kubadilisha kosa lililobainika na kuliandika kwa usahihi kulingana na kanuni za sarufi na uandishi.,"Baada ya kubaini kosa, mwanafunzi anatakiwa ajue kanuni sahihi inayohusika (mfano tahajia sahihi ya neno, au matumizi sahihi ya alama za uakifishaji) na kuiandika upya sehemu husika.",Mfano: sentensi 'watoto wanacheza mpira' iliyoandikwa kimakosa kama 'watoto wanachesa mpira' hurekebishwa kwa kubadilisha 'wanachesa' kuwa 'wanacheza'.,Ustadi huu humsaidia mwanafunzi kuboresha insha na kazi nyingine za maandishi kabla ya kuziwasilisha kwa mwalimu.,"Kusahihisha ni nini?::Ni hatua ya kubadilisha kosa na kuliandika kwa usahihi.||Kwa nini ni muhimu kujua kanuni sahihi kabla ya kusahihisha?::Ili kuhakikisha marekebisho yaliyofanywa ni sahihi.||Sahihisha neno 'wanachesa' liwe sahihi.::Wanacheza.||Baada ya kubaini kosa, hatua inayofuata ni ipi?::Kuandika sehemu husika kwa usahihi.",
2023-JSS015-DRS VI,Kuwasiliana katika miktadha mbalimbali,Kutumia maandishi katika mawasiliano kulingana na miktadha mbalimbali,Kuandika risala na hotuba kwa kuzingatia muundo na muktadha,Kuandika risala na hotuba,10,Majigambo,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kuandika risala na hotuba kwa kuzingatia muundo sahihi na muktadha uliokusudiwa.,Kitabu cha mwanafunzi|Ubao|Mifano ya risala na hotuba,"TET(2023), KISWAHILI, KITABU CHA MWANAFUNZI, DARASA LA SITA, TET, DAR ES SALAAM",Risala na hotuba ni aina za maandishi zinazotumika kutoa taarifa au mawazo mbele ya hadhira au kwa mamlaka husika kwa namna rasmi.,"Risala huwa na muundo maalum unaofuata anwani, salamu, kiini cha ujumbe na hitimisho; hotuba nayo huwa na utangulizi wa kuvutia hadhira, kiini chenye hoja kuu, na hitimisho lenye wito, kila moja ikiendana na muktadha wake (mfano sherehe ya shule au tukio la kijamii).",Mfano: risala inayowasilishwa kwa mkuu wa shule kuomba ruhusa ya safari ya kielimu huanza kwa anwani rasmi na kuishia kwa maombi ya heshima.,Mwanafunzi anaweza kutumia ujuzi huu kuandika risala za shule au hotuba fupi katika sherehe za darasa.,"Risala ni nini?::Ni maandishi rasmi ya kuwasilisha ujumbe au maombi kwa mamlaka husika.||Taja sehemu moja muhimu ya muundo wa hotuba.::Utangulizi, kiini au hitimisho.||Kwa nini muktadha ni muhimu katika uandishi wa hotuba?::Huamua namna na lugha itakayotumika kulingana na hadhira na tukio.||Risala huanza na sehemu gani?::Anwani rasmi.",
2023-JSS015-DRS VI,Kuonesha uelewa wa jambo alilolisikiliza au kulisoma,Kuonesha stadi za kusikiliza na kuelewa,Kusikiliza habari mbalimbali na kunukuu mawazo makuu,Kusikiliza na kunukuu mawazo makuu,13,Masimulizi,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kusikiliza habari mbalimbali kwa makini na kunukuu mawazo makuu yaliyomo.,Kinasasauti|Redio|Televisheni|Kitabu cha mwanafunzi,"TET(2023), KISWAHILI, KITABU CHA MWANAFUNZI, DARASA LA SITA, TET, DAR ES SALAAM",Kusikiliza kwa makini ni ustadi unaomwezesha msikilizaji kuelewa na kunasa mawazo muhimu yaliyowasilishwa kwenye habari.,"Mwanafunzi hutakiwa kuzingatia sauti ya msemaji, msisitizo wa maneno na mtiririko wa habari ili kubaini mawazo makuu, kisha kuyaandika kwa ufupi bila kupoteza maana asilia.","Mfano: baada ya kusikiliza taarifa ya habari kuhusu mafuriko, mwanafunzi ananukuu mawazo makuu kama eneo lililoathirika na msaada uliotolewa.",Ustadi huu humsaidia mwanafunzi kuelewa vizuri maelekezo anayopewa nyumbani na shuleni na kuyakumbuka kwa usahihi.,Kunukuu mawazo makuu ni nini?::Ni kuandika kwa ufupi mawazo muhimu ya habari uliyosikiliza.||Taja jambo moja unalozingatia unaposikiliza habari.::Msisitizo wa maneno au mtiririko wa habari.||Kwa nini ni muhimu kusikiliza kwa makini?::Ili kubaini na kuelewa mawazo makuu bila kupoteza maana.||Ustadi huu humsaidiaje mwanafunzi shuleni?::Humsaidia kuelewa na kukumbuka maelekezo vizuri.,
2023-JSS015-DRS VI,Kuonesha uelewa wa jambo alilolisikiliza au kulisoma,Kuonesha stadi za kusikiliza na kuelewa,Kufupisha habari alizozisikiliza kwa kuzingatia mawazo makuu,Kufupisha habari kwa kuzingatia mawazo makuu,12,Maswali na majibu,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kufupisha habari alizozisikiliza kwa kuzingatia mawazo makuu pekee.,Kinasasauti|Redio|Kitabu cha mwanafunzi,"TET(2023), KISWAHILI, KITABU CHA MWANAFUNZI, DARASA LA SITA, TET, DAR ES SALAAM",Kufupisha habari ni kubainisha na kuandika mawazo makuu ya habari kwa maneno machache bila kubadilisha maana yake asilia.,"Mwanafunzi hutakiwa kutenganisha mawazo makuu na maelezo ya ziada, kisha kuyaunganisha kwa sentensi fupi zenye mtiririko mzuri unaoeleweka.",Mfano: taarifa ndefu kuhusu shughuli za shule wakati wa wiki ya michezo inaweza kufupishwa kwa sentensi chache zinazoeleza tu matukio makuu.,Ustadi huu humsaidia mwanafunzi kutoa taarifa fupi na sahihi anapowaeleza wazazi kuhusu matukio ya shuleni.,Kufupisha habari ni nini?::Ni kuandika mawazo makuu ya habari kwa maneno machache bila kubadilisha maana.||Nini kifanyike kabla ya kufupisha habari?::Kubainisha mawazo makuu na kuacha maelezo ya ziada.||Kwa nini ni muhimu kudumisha maana asilia unapofupisha?::Ili ujumbe uliokusudiwa usipotoshwe.||Ustadi wa kufupisha humsaidiaje mwanafunzi nyumbani?::Humwezesha kutoa taarifa fupi na sahihi kwa wazazi.,
2023-JSS015-DRS VI,Kuwasilisha hoja kwa mazungumzo na kwa maandishi kulingana na muktadha,Kuwasilisha hoja kwa njia ya mazungumzo katika miktadha mbalimbali,Kutumia msamiati mwafaka katika kupinga au kutetea hoja kwa kutoa mifano thabiti kulingana na muktadha,Kutumia msamiati mwafaka kupinga au kutetea hoja,10,Mdahalo,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kutumia msamiati mwafaka kupinga au kutetea hoja kwa kutoa mifano thabiti inayoendana na muktadha.,Kamusi|Kitabu cha mwanafunzi|Kadi za hoja,"TET(2023), KISWAHILI, KITABU CHA MWANAFUNZI, DARASA LA SITA, TET, DAR ES SALAAM","Katika mdahalo, mzungumzaji hutakiwa kutumia msamiati unaofaa kupinga au kutetea hoja fulani kwa hoja madhubuti na mifano halisi.","Msamiati mwafaka husaidia hoja kueleweka wazi na kuwa na mvuto zaidi; mifano thabiti hutolewa kuthibitisha usahihi wa msimamo wa mzungumzaji, kwa mfano kwa kutumia takwimu, matukio halisi au uzoefu wa jamii.","Mfano: katika kupinga hoja kuhusu matumizi ya mifuko ya plastiki, mzungumzaji anaweza kutumia mfano wa uchafuzi wa mazingira unaosababishwa nayo.",Ustadi huu humsaidia mwanafunzi kujenga hoja madhubuti katika mijadala ya darasani na katika maisha ya kila siku.,Kwa nini msamiati mwafaka ni muhimu katika kupinga au kutetea hoja?::Husaidia hoja kueleweka wazi na kuwa na mvuto.||Taja aina moja ya mfano thabiti unaoweza kutumika kuunga mkono hoja.::Takwimu au tukio halisi.||Toa mfano wa hoja inayoweza kutumika kupinga matumizi ya mifuko ya plastiki.::Inasababisha uchafuzi wa mazingira.||Kwa nini muktadha huathiri jinsi hoja inavyowasilishwa?::Huamua lugha na mifano itakayofaa kutumika.,
2023-JSS015-DRS VI,Kuwasilisha hoja kwa mazungumzo na kwa maandishi kulingana na muktadha,Kuwasilisha hoja kwa njia ya mazungumzo katika miktadha mbalimbali,Kutumia lugha ya mvuto katika kuwasilisha hoja,Kutumia lugha ya mvuto,10,Uwasilishaji,Kuwaongoza Wanafunzi,"Mwanafunzi ataweza kutumia lugha ya mvuto (tamathali za semi, nahau, methali na misemo) kuwasilisha hoja kwa ufanisi.",Kamusi ya methali na nahau|Kitabu cha mwanafunzi|Ubao,"TET(2023), KISWAHILI, KITABU CHA MWANAFUNZI, DARASA LA SITA, TET, DAR ES SALAAM","Lugha ya mvuto ni matumizi ya vipengele vya kifasihi kama tamathali za semi, nahau na methali kuongeza uzito na mvuto wa hoja inayowasilishwa.",Matumizi sahihi ya lugha ya mvuto humfanya mzungumzaji kuvutia usikivu wa hadhira zaidi na kuwasilisha hoja kwa njia ya kuvutia na yenye kina cha kifasihi.,"Mfano: badala ya kusema 'kazi ni ngumu', mzungumzaji anaweza kutumia methali 'asiyefunzwa na mamaye hufunzwa na ulimwengu' kuimarisha hoja yake kuhusu umuhimu wa malezi.",Ustadi huu humsaidia mwanafunzi kuwasilisha mawazo yake kwa ufasaha zaidi katika insha na mazungumzo ya kila siku.,"Lugha ya mvuto ni nini?::Ni matumizi ya tamathali za semi, nahau na methali kuongeza uzito wa hoja.||Taja kipengele kimoja cha lugha ya mvuto.::Methali, nahau au tamathali za semi.||Kwa nini lugha ya mvuto ni muhimu katika kuwasilisha hoja?::Huvutia usikivu wa hadhira na kuongeza uzito wa hoja.||Toa mfano wa methali inayoweza kutumika kuimarisha hoja kuhusu malezi.::Asiyefunzwa na mamaye hufunzwa na ulimwengu.",
2023-JSS015-DRS VI,Kuwasilisha hoja kwa mazungumzo na kwa maandishi kulingana na muktadha,Kuwasilisha hoja kwa njia ya mazungumzo katika miktadha mbalimbali,Kuhutubia kwa lugha fasaha katika miktadha ya shuleni,Kuhutubia kwa lugha fasaha,10,Igizo,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kuhutubia kwa lugha fasaha na kwa kujiamini katika miktadha mbalimbali ya shuleni.,Kitabu cha mwanafunzi|Ubao|Mfano wa hotuba,"TET(2023), KISWAHILI, KITABU CHA MWANAFUNZI, DARASA LA SITA, TET, DAR ES SALAAM",Kuhutubia ni sanaa ya kuzungumza mbele ya hadhira kwa lugha fasaha ili kuwasilisha ujumbe fulani kwa ufanisi.,"Mzungumzaji hutakiwa kuzingatia matamshi sahihi, kasi ya mazungumzo, mkao wa mwili na kutumia lugha inayoeleweka na kuvutia hadhira katika mazingira ya shuleni kama kampeni za uongozi au sherehe.",Mfano: mwanafunzi anayewania nafasi ya kiongozi wa darasa anaweza kutoa hotuba fupi akieleza vipaumbele vyake kwa lugha fasaha na kwa kujiamini.,Ustadi huu humsaidia mwanafunzi kujiamini anapohitajika kuzungumza mbele ya watu katika matukio mbalimbali ya kijamii.,Kuhutubia ni nini?::Ni sanaa ya kuzungumza mbele ya hadhira kwa lugha fasaha kuwasilisha ujumbe.||Taja jambo moja linalozingatiwa wakati wa kuhutubia.::Matamshi sahihi au mkao wa mwili.||Toa mfano wa muktadha wa shuleni unaohitaji hotuba.::Kampeni ya uongozi wa darasa au sherehe ya shule.||Kwa nini kujiamini ni muhimu wakati wa kuhutubia?::Huwezesha ujumbe kuwasilishwa kwa ufanisi zaidi.,
2023-JSS015-DRS VI,Kuwasilisha hoja kwa mazungumzo na kwa maandishi kulingana na muktadha,Kuchanganua mawazo yaliyowasilishwa katika matini mbalimbali,Kusoma mashairi na ngonjera mbalimbali,Kusoma mashairi na ngonjera,10,Usomaji wa matini,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kusoma mashairi na ngonjera mbalimbali kwa ufasaha na kuzingatia mahadhi sahihi.,Kitabu cha mwanafunzi|Ubao|Matini za mashairi na ngonjera,"TET(2023), KISWAHILI, KITABU CHA MWANAFUNZI, DARASA LA SITA, TET, DAR ES SALAAM","Mashairi na ngonjera ni aina za kazi za kifasihi zenye muundo maalum wa mizani, vina na mpangilio wa maneno unaotoa ujumbe kwa njia ya kisanaa.","Kusoma mashairi na ngonjera kwa ufasaha kunahitaji kuzingatia mahadhi (mzunguko wa sauti), pumziko sahihi baina ya mishororo, na hisia zinazoendana na maudhui ya kazi hiyo.",Mfano: shairi lenye maudhui ya uzalendo husomwa kwa sauti yenye msisimko na fahari ili kuwasilisha hisia zilizokusudiwa na mtunzi.,Ustadi huu humsaidia mwanafunzi kufurahia na kuthamini fasihi ya Kiswahili katika shughuli za kitamaduni shuleni.,"Mashairi na ngonjera ni nini?::Ni kazi za kifasihi zenye muundo maalum wa mizani, vina na ujumbe wa kisanaa.||Nini kinachozingatiwa unaposoma shairi kwa ufasaha?::Mahadhi na pumziko sahihi baina ya mishororo.||Kwa nini hisia ni muhimu wakati wa kusoma mashairi?::Husaidia kuwasilisha maudhui ya kazi kwa usahihi.||Ustadi huu unamsaidiaje mwanafunzi?::Humwezesha kuthamini na kufurahia fasihi ya Kiswahili.",
