subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,sla_name,sla_periods,sla_method,sla_leading,sla_assessment_criteria,sla_teaching_aids,sla_references,sla_notes_intro,sla_notes_details,sla_notes_illustrations,sla_notes_daily_life,sla_exercise,sla_diagram_type
2023-JSS015-Kidato I,Kumudu misingi ya Kiswahili,Kutambua Kiswahili kama kielelezo cha utaifa na utambulisho wa Mtanzania,Kutumia Kiswahili katika mijadala mbalimbali kwa kuzingatia utamaduni wa Mtanzania (mf. matumizi ya tafsida na uteuzi wa maneno kulingana na mila na desturi za Mtanzania),Kiswahili na Utaifa: Mazungumzo yenye Heshima,8,Majadiliano,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kutumia Kiswahili sanifu chenye tafsida katika mijadala mbalimbali kwa kuzingatia utamaduni wa Mtanzania.,Kadi za maneno ya tafsida|Chati ya mila na desturi|Ubao,"TET(2023), MUHTASARI WA KISWAHILI ELIMU YA SEKONDARI KIDATO CHA I-IV, TET, DAR ES SALAAM","Kiswahili ni lugha inayodhihirisha umoja na utaifa wa Mtanzania, hivyo matumizi yake yanapaswa kuzingatia heshima na tafsida kulingana na mila na desturi za jamii husika.","Katika mazungumzo, mzungumzaji sanifu huepuka maneno ya matusi au yenye kudhalilisha na badala yake hutumia tafsida, yaani maneno laini yanayoficha ukali wa jambo bila kupoteza maana. Uteuzi wa maneno hutegemea muktadha, umri na cheo cha wanaohusika katika mazungumzo. Mwalimu awaongoze wanafunzi kutambua tofauti kati ya lugha ya heshima na lugha ya kawaida.","Kwa mfano, badala ya kusema mtu amefariki dunia, jamii nyingi hutumia tafsida kama amelala au ametutoka, ili kupunguza uzito wa maneno kwa wafiwa.",Wanafunzi hutumia tafsida wanapozungumza na wazee au viongozi shuleni na nyumbani ili kuonyesha heshima.,"Tafsida ni nini katika matumizi ya Kiswahili?::Ni matumizi ya maneno laini badala ya maneno makali au ya moja kwa moja ili kuepuka kuudhi au kudhalilisha.||Toa mfano wa tafsida inayotumika badala ya neno kufa.::Amelala, ametutoka, ameaga dunia.||Kwa nini uteuzi wa maneno ni muhimu katika mijadala ya Kitanzania?::Kwa sababu huonyesha heshima, huzingatia mila na desturi, na huepusha migogoro ya kimawasiliano.",
2023-JSS015-Kidato I,Kumudu misingi ya Kiswahili,Kukuza uelewa wa sarufi ya Kiswahili,"Kusimulia habari na matukio kwa kuzingatia kiimbo, mkazo, na lafudhi pamoja na dhima zake",Kusimulia kwa Kiimbo na Mkazo Sahihi,12,Igizo,Kuwaongoza Wanafunzi,"Mwanafunzi ataweza kusimulia habari na matukio kwa kuzingatia kiimbo, mkazo na lafudhi sahihi.",Kinasa sauti|Kadi za hadithi fupi|Ubao,"TET(2023), MUHTASARI WA KISWAHILI ELIMU YA SEKONDARI KIDATO CHA I-IV, TET, DAR ES SALAAM","Kiimbo, mkazo na lafudhi ni vipengele vya matamshi vinavyoongeza uhalisia na hisia katika usimuliaji wa habari na matukio.","Kiimbo ni kupanda na kushuka kwa sauti wakati wa kuzungumza, mkazo ni kusisitiza silabi au neno fulani ili kuonyesha umuhimu wake, na lafudhi ni namna ya kutamka maneno kulingana na eneo au jamii husika. Vipengele hivi hubeba dhima ya kuwasilisha hisia kama furaha, huzuni, mshangao au hasira wakati wa kusimulia. Msimuliaji stadi hubadilisha kiimbo chake kulingana na tukio analolisimulia.","Mfano, katika kusimulia tukio la ajali, sauti ya msimuliaji hupanda kwa haraka kuonyesha mshtuko, tofauti na anaposimulia tukio la sherehe lenye furaha.",Wanafunzi hutumia kiimbo na mkazo wanaposimulia mambo yaliyowatokea shuleni au nyumbani ili wasikilizaji waelewe hisia zao.,"Kiimbo ni nini?::Ni kupanda na kushuka kwa sauti wakati wa kuzungumza au kusimulia.||Mkazo katika usemaji una dhima gani?::Husisitiza umuhimu wa neno au wazo fulani katika mazungumzo.||Eleza tofauti kati ya lafudhi na kiimbo.::Lafudhi ni namna maalum ya kutamka maneno kulingana na eneo la mzungumzaji, wakati kiimbo ni mabadiliko ya sauti wakati wa usemaji.",
2023-JSS015-Kidato I,Kumudu misingi ya Kiswahili,Kukuza uelewa wa sarufi ya Kiswahili,"Kuandika hadithi kwa kuzingatia mpangilio na uhusiano sahihi wa maneno (nomino, vivumishi, vielezi, viwakilishi, vitenzi, vihisishi, vihusishi na viunganishi) katika sentensi",Uandishi wa Hadithi: Mpangilio wa Maneno,12,Kazimradi,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kuandika hadithi kwa kuzingatia mpangilio na uhusiano sahihi wa aina za maneno katika sentensi.,Chati ya aina za maneno|Kadi za sentensi|Vitabu vya hadithi,"TET(2023), MUHTASARI WA KISWAHILI ELIMU YA SEKONDARI KIDATO CHA I-IV, TET, DAR ES SALAAM","Sentensi bora ya hadithi hujengwa kwa mpangilio sahihi wa aina za maneno kama nomino, vivumishi, vielezi, viwakilishi, vitenzi, vihisishi, vihusishi na viunganishi.","Kila aina ya neno ina nafasi na kazi yake katika sentensi. Nomino hutaja majina, vivumishi huelezea nomino, vitenzi huonyesha kitendo, vielezi huelezea jinsi kitendo kinavyofanyika, viunganishi huunganisha maneno au sentensi, na vihisishi huonyesha hisia. Mwandishi wa hadithi lazima azingatie mpangilio huu ili sentensi zake ziwe na maana iliyo wazi na sahihi kisarufi.","Mfano: Yule mvulana mrefu alikimbia haraka sana shuleni. Hapa 'yule' na 'mrefu' ni vivumishi, 'mvulana' ni nomino, 'alikimbia' ni kitenzi, na 'haraka sana' ni kielezi.","Wanafunzi hutumia mpangilio sahihi wa maneno wanapoandika barua, ujumbe wa simu au insha za shuleni ili wasomaji waelewe ujumbe wao vizuri.","Taja aina tatu za maneno zinazotumika kujenga sentensi.::Nomino, kitenzi na kivumishi (au vielezi, viunganishi, vihisishi).||Kivumishi kina kazi gani katika sentensi?::Huelezea zaidi kuhusu nomino, kama sifa, idadi au aina yake.||Andika sentensi moja fupi inayoonyesha mpangilio sahihi wa nomino na kitenzi.::Mfano: Mwalimu alifundisha somo la Kiswahili.",
2023-JSS015-Kidato I,Kumudu misingi ya Kiswahili,Kukuza uelewa wa sarufi ya Kiswahili,Kuandika hadithi kwa kuzingatia mpangilio na uhusiano sahihi wa sentensi katika aya,Kuandika Hadithi kwa Mpangilio wa Aya,12,Kazimradi,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kuandika hadithi kwa kuzingatia mpangilio na uhusiano sahihi wa sentensi katika aya.,Mfano wa hadithi yenye aya|Karatasi na kalamu|Ubao,"TET(2023), MUHTASARI WA KISWAHILI ELIMU YA SEKONDARI KIDATO CHA I-IV, TET, DAR ES SALAAM","Aya ni kifungu cha sentensi zinazohusiana na kuzungumzia wazo kuu moja, na hadithi bora hujengwa kwa mtiririko wa aya zenye mpangilio wa mwanzo, kati na mwisho.","Kila aya katika hadithi hutakiwa kuwa na sentensi kiongozi inayowasilisha wazo kuu na sentensi nyingine zinazoliunga mkono wazo hilo. Mpangilio wa aya huzingatia mtiririko wa matukio kwa mfuatano wa kimantiki ili msomaji aweze kufuatilia hadithi kwa urahisi. Uhusiano wa aya moja hadi nyingine hutegemea vibainishi vya mfuatano kama vile baadaye, kisha, mwishowe.","Kwa mfano, aya ya kwanza ya hadithi inaweza kueleza mahali na wahusika, aya ya pili tukio kuu, na aya ya tatu matokeo au mafunzo ya hadithi.",Wanafunzi huandika hadithi zenye aya zilizopangika vizuri wanapoandika insha za shindano au ripoti za matukio shuleni.,"Aya ni nini?::Ni kifungu cha sentensi zinazohusiana na kuelezea wazo kuu moja.||Taja sehemu tatu kuu za hadithi kwa mujibu wa mpangilio wa aya.::Mwanzo, kati na mwisho.||Kwa nini ni muhimu kupanga aya kwa mfuatano sahihi katika hadithi?::Ili msomaji aelewe matukio kwa urahisi na hadithi iwe na mtiririko wa kimantiki.",
2023-JSS015-Kidato I,Kumudu lugha ya mazungumzo na ya maandishi,Kusikiliza na kuelewa mazungumzo,Kusikiliza mazungumzo changamani na kujibu maswali,Kusikiliza na Kujibu Maswali ya Mazungumzo,8,Maswali na majibu,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kusikiliza mazungumzo changamani na kujibu maswali kwa usahihi.,Kinasa sauti|Kadi za maswali|Redio,"TET(2023), MUHTASARI WA KISWAHILI ELIMU YA SEKONDARI KIDATO CHA I-IV, TET, DAR ES SALAAM",Kusikiliza kwa umakini ni stadi muhimu inayomwezesha msikilizaji kuelewa ujumbe uliomo katika mazungumzo na kujibu maswali kwa usahihi.,"Mazungumzo changamani huwa na hoja nyingi, wahusika zaidi ya mmoja, na wakati mwingine misamiati migumu inayohitaji umakini wa hali ya juu kuifuatilia. Msikilizaji makini huchambua mawazo makuu, hoja tegemezi, pamoja na lengo la mazungumzo kabla ya kujibu maswali yanayohusiana nayo. Ni muhimu kutofautisha kati ya taarifa za msingi na maelezo ya ziada.","Mfano, baada ya kusikiliza mazungumzo ya redio kuhusu mabadiliko ya tabianchi, mwanafunzi aweza kuulizwa sababu tatu za mabadiliko hayo alizozisikia.",Wanafunzi hutumia stadi hii wanaposikiliza matangazo ya shuleni au taarifa za habari na kuweza kujibu maswali kuhusu yaliyosemwa.,"Kusikiliza kwa umakini kuna faida gani kwa msikilizaji?::Humwezesha kuelewa ujumbe kwa usahihi na kujibu maswali kwa ufasaha.||Taja kikwazo kimoja kinachoweza kumzuia mtu kusikiliza vizuri.::Kelele za mazingira, kutokuwa makini, au msamiati mgumu usioeleweka.||Nini maana ya mazungumzo changamani?::Ni mazungumzo yenye hoja nyingi, wahusika wengi na maudhui yaliyochanganyika yanayohitaji umakini wa hali ya juu.",
2023-JSS015-Kidato I,Kumudu lugha ya mazungumzo na ya maandishi,Kusikiliza na kuelewa mazungumzo,Kueleza kwa muhtasari mazungumzo changamani aliyoyasikiliza,Kutoa Muhtasari wa Mazungumzo Aliyoyasikiliza,8,Uchunguzi,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kueleza kwa muhtasari mazungumzo changamani aliyoyasikiliza.,Kinasa sauti|Karatasi za kunakili hoja|Ubao,"TET(2023), MUHTASARI WA KISWAHILI ELIMU YA SEKONDARI KIDATO CHA I-IV, TET, DAR ES SALAAM",Muhtasari ni ufupisho wa mazungumzo unaobeba hoja kuu bila kupoteza maana asili ya ujumbe uliozungumzwa.,Kutoa muhtasari kunahitaji msikilizaji kutambua wazo kuu na kuliacha wazo dogo lisilo na umuhimu mkubwa. Mtoa muhtasari hutumia maneno yake mwenyewe badala ya kunakili moja kwa moja maneno ya mzungumzaji. Ustadi huu huimarisha uwezo wa kuchambua taarifa na kuziwasilisha kwa ufupi na uwazi.,"Kwa mfano, baada ya kusikiliza mjadala wa dakika kumi kuhusu faida za elimu, mwanafunzi aweza kuueleza kwa sentensi tatu tu bila kupoteza maana kuu.",Wanafunzi hutoa muhtasari wa mikutano ya shule au maagizo ya walimu ili kuwaeleza wenzao waliokosa.,"Muhtasari ni nini?::Ni ufupisho wa habari au mazungumzo unaobeba hoja kuu pekee.||Kwa nini mtoa muhtasari haruhusiwi kunakili maneno yote ya mzungumzaji?::Kwa sababu muhtasari unalenga ufupi na hoja kuu tu, si maelezo yote ya asili.||Taja kigezo kimoja cha muhtasari mzuri.::Uwazi, ufupi, na kubeba hoja kuu pekee bila kupotosha maana.",
2023-JSS015-Kidato I,Kumudu lugha ya mazungumzo na ya maandishi,Kusikiliza na kuelewa mazungumzo,"Kushiriki katika majadiliano ya masuala mbalimbali kwa kuzingatia sifa za lugha ya mazungumzo (mf. lugha ya mkato, kupeana nafasi)",Kushiriki Majadiliano kwa Lugha ya Mkato,8,Mdahalo,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kushiriki katika majadiliano ya masuala mbalimbali kwa kuzingatia sifa za lugha ya mazungumzo.,Mada za mjadala|Kengele ya muda|Ubao,"TET(2023), MUHTASARI WA KISWAHILI ELIMU YA SEKONDARI KIDATO CHA I-IV, TET, DAR ES SALAAM","Lugha ya mazungumzo ina sifa zake bainifu kama vile lugha ya mkato, kupeana nafasi ya kuongea, na matumizi ya ishara za mwili.","Wakati wa majadiliano, wazungumzaji hutumia sentensi fupi fupi (lugha ya mkato) badala ya sentensi ndefu za kimaandishi. Aidha, mzungumzaji mzuri hupeana nafasi wenzake wachangie badala ya kutamalaki mazungumzo peke yake. Sifa nyingine ni matumizi ya viashiria vya kuunga mkono kama vile ndiyo, sawa, wakati mwenzako anazungumza.","Mfano, katika mjadala wa darasani kuhusu ulinzi wa mazingira, mshiriki mmoja aweza kusema kwa ufupi Naunga mkono kabla ya kutoa hoja yake mwenyewe.",Wanafunzi hushiriki mijadala darasani na katika vikundi vya kijamii wakizingatia adabu ya kupeana zamu ya kuzungumza.,Taja sifa mbili za lugha ya mazungumzo.::Lugha ya mkato na kupeana nafasi ya kuzungumza.||Kwa nini kupeana nafasi ni muhimu katika mjadala?::Huwezesha washiriki wote kuchangia mawazo yao na huepusha mvurugiko.||Nini maana ya lugha ya mkato?::Ni matumizi ya sentensi fupi na maneno machache yenye maana kamili wakati wa mazungumzo.,
2023-JSS015-Kidato I,Kumudu lugha ya mazungumzo na ya maandishi,Kusoma matini kwa ufasaha na ufahamu,"Kusoma matini fupi changamani kwa kuzingatia alama za uandishi, kasi sahihi na kiimbo cha tungo",Kusoma kwa Kuzingatia Alama za Uandishi na Kiimbo,8,Uchunguzi,Kuwaongoza Wanafunzi,"Mwanafunzi ataweza kusoma matini fupi changamani kwa kuzingatia alama za uandishi, kasi sahihi na kiimbo cha tungo.",Matini fupi|Chati ya alama za uandishi|Ubao,"TET(2023), MUHTASARI WA KISWAHILI ELIMU YA SEKONDARI KIDATO CHA I-IV, TET, DAR ES SALAAM","Usomaji sanifu wa matini hutegemea uzingatiaji wa alama za uandishi kama nukta, mkato na alama ya kuuliza, pamoja na kasi na kiimbo sahihi.","Alama za uandishi huongoza msomaji ajue mahali pa kusimama, kupumzika au kupandisha sauti. Kasi ya kusoma isiwe ya haraka mno wala ya polepole mno, bali ilingane na maudhui ya matini. Kiimbo cha tungo hubadilika kulingana na aina ya sentensi, iwe ya kuuliza, kutoa amri au kutangaza jambo.","Mfano, sentensi yenye alama ya kuuliza kama Umefika lini? husomwa kwa kupandisha sauti mwishoni, tofauti na sentensi ya kawaida.","Wanafunzi husoma matangazo, barua na vitabu kwa kuzingatia alama za uandishi ili wasikilizaji wawaelewe vizuri.","Alama za uandishi zina kazi gani wakati wa kusoma?::Huonyesha mahali pa kusimama, kupumzika au kubadilisha kiimbo cha sauti.||Sentensi ya kuuliza husomwaje kwa kiimbo?::Sauti hupandishwa mwishoni mwa sentensi.||Kwa nini kasi ya kusoma ni muhimu?::Kasi sahihi huwezesha wasikilizaji kuelewa ujumbe bila kuchoka au kuchanganyikiwa.",
2023-JSS015-Kidato I,Kumudu lugha ya mazungumzo na ya maandishi,Kusoma matini kwa ufasaha na ufahamu,Kueleza namna alama za uandishi na kiimbo vinavyoathiri ujumbe katika usomaji wa matini fupi changamani,Athari za Alama za Uandishi na Kiimbo katika Ujumbe,8,Majadiliano,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kueleza namna alama za uandishi na kiimbo vinavyoathiri ujumbe katika usomaji wa matini fupi changamani.,Matini yenye mifano ya alama tofauti|Ubao|Kadi za sentensi,"TET(2023), MUHTASARI WA KISWAHILI ELIMU YA SEKONDARI KIDATO CHA I-IV, TET, DAR ES SALAAM",Alama za uandishi na kiimbo huweza kubadilisha kabisa maana ya sentensi hata kama maneno yaliyotumika ni yaleyale.,"Sentensi moja iliyoandikwa kwa kutumia alama tofauti au kusomwa kwa kiimbo tofauti hubeba maana tofauti kwa msikilizaji. Kwa mfano, alama ya mshangao huonyesha hisia kali tofauti na nukta ya kawaida. Uzingatiaji sahihi wa vipengele hivi huepusha upotoshaji wa ujumbe uliokusudiwa na mwandishi au mzungumzaji.",Mfano: Njoo hapa. (amri ya kawaida) ikilinganishwa na Njoo hapa! (amri kali yenye hisia) huonyesha jinsi alama inavyobadili uzito wa ujumbe.,Wanafunzi hutumia uelewa huu wanapoandika ujumbe wa simu ili wapokeaji waelewe hisia zilizokusudiwa.,"Alama ya mshangao hutumika lini?::Hutumika kuonyesha hisia kali kama mshangao, hasira au furaha kubwa.||Eleza jinsi kiimbo kinavyoweza kubadilisha maana ya sentensi.::Kiimbo kinaweza kufanya sentensi ya kawaida ionekane ni swali, amri au taarifa ya kawaida kutegemea jinsi inavyotamkwa.||Toa sababu moja kwa nini uandishi sahihi wa alama ni muhimu.::Huepusha upotoshaji wa maana na kumsaidia msomaji kuelewa ujumbe uliokusudiwa.",
2023-JSS015-Kidato I,Kumudu lugha ya mazungumzo na ya maandishi,Kusoma matini kwa ufasaha na ufahamu,"Kuandika hoja kuu kutoka katika matini fupi changamani alizozisoma kwa kuzingatia sifa za lugha ya maandishi (mf. alama za uandishi, miunganiko sahihi ya tungo, usanifu)",Kuandika Hoja Kuu kutoka Matini Fupi,8,Uchunguzi,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kuandika hoja kuu kutoka katika matini fupi changamani alizozisoma kwa kuzingatia sifa za lugha ya maandishi.,Matini fupi zilizochapishwa|Karatasi za kunakilia hoja|Kalamu,"TET(2023), MUHTASARI WA KISWAHILI ELIMU YA SEKONDARI KIDATO CHA I-IV, TET, DAR ES SALAAM","Hoja kuu ni mawazo makubwa yanayobeba ujumbe wa msingi wa matini, na kuyatambua huhitaji usomaji makini na uchambuzi wa kina.","Msomaji stadi hutofautisha kati ya hoja kuu na maelezo ya ziada yanayotolewa kuunga mkono hoja hizo. Uandishi wa hoja kuu huzingatia sifa za lugha ya maandishi kama vile matumizi sahihi ya alama za uandishi, miunganiko ya tungo na usanifu wa lugha. Mchakato huu humsaidia msomaji kuweka kumbukumbu fupi na sahihi za matini aliyoisoma.","Mfano, katika habari kuhusu mafuriko, hoja kuu yaweza kuwa mvua kubwa imesababisha mafuriko makubwa mkoani, huku maelezo mengine yakiwa ni takwimu za waathirika.",Wanafunzi huandika hoja kuu za magazeti au vipeperushi ili kuwasilisha taarifa muhimu kwa wenzao kwa ufupi.,Hoja kuu ni nini?::Ni wazo au mawazo makubwa yanayobeba ujumbe wa msingi wa matini.||Taja sifa moja ya lugha ya maandishi inayopaswa kuzingatiwa wakati wa kuandika hoja kuu.::Matumizi sahihi ya alama za uandishi au usanifu wa lugha.||Kwa nini ni muhimu kutofautisha hoja kuu na maelezo ya ziada?::Ili kupata ujumbe wa msingi wa matini bila kuchanganya na taarifa zisizo na uzito mkubwa.,
