subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,sla_name,sla_periods,sla_method,sla_leading,sla_assessment_criteria,sla_teaching_aids,sla_references,sla_notes_intro,sla_notes_details,sla_notes_illustrations,sla_notes_daily_life,sla_exercise,sla_diagram_type
2023-JSS003-DRS I,Kuandika,Kumudu misingi ya awali ya kuandika,Kutumia stadi za awali za kuandika,Kuchora mistari na michirizi ya awali,3,Mazoezi ya kuchora,Kuwaongoza Wanafunzi,"Mwanafunzi anaweza kuchora mstari ulionyooka wa wima, wa mlalo na mchirizi wa mviringo bila kusaidiwa.",Karatasi|Penseli|Ubao na chaki|Kadi za mistari,"TET(2023), KUANDIKA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM","Katika somo la kwanza la kitabu, 'Ninachora michoro', mwanafunzi anaanza kujifunza kushika penseli vizuri na kuchora michoro rahisi kama msingi wa kuandika. Michoro hii ni pamoja na mistari iliyonyooka, mizunguko na michirizi inayomtayarisha mtoto kuandika herufi baadaye.",Aina za michoro ya awali zinazofundishwa: (1) mstari ulionyooka wa wima (juu kwenda chini); (2) mstari ulionyooka wa mlalo (kushoto kwenda kulia); (3) mchirizi wa mviringo (mzunguko); (4) mstari wa mawimbi (juu chini kwa mfululizo).,"Kitabu kinaonyesha mfano wa maelekezo ya kuchora michoro mbalimbali (picha isiyoweza kunakiliwa hapa, imeandikwa 'Maelekezo ya kuchora michoro mbalimbali') ambapo mwanafunzi anaelekezwa kuchora michoro hiyo hiyo kwenye nafasi iliyoachwa karibu na mfano.",Uwezo wa kushika penseli na kuchora mistari sawia humsaidia mtoto kuandika jina lake na kufanya shughuli nyingine za darasani kama kuchora ramani rahisi.,Chora mstari ulionyooka wa wima::Mstari ulionyooka wa wima umechorwa||Chora mstari ulionyooka wa mlalo::Mstari ulionyooka wa mlalo umechorwa||Chora mchirizi wa mviringo::Mchirizi wa mviringo umechorwa||Chora mstari wa mawimbi::Mstari wa mawimbi umechorwa,
2023-JSS003-DRS I,Kuandika,Kumudu misingi ya awali ya kuandika,Kutumia stadi za awali za kuandika,Kuchora na kufuatisha picha rahisi,2,Kufuatisha kwa penseli,Kuwaongoza Wanafunzi,Mwanafunzi anaweza kufuatisha mchoro uliopo kwenye kitabu na kisha kuchora picha rahisi mwenyewe kwa mkono ulio huru.,Karatasi|Penseli|Rangi za kuchorea|Picha za mfano,"TET(2023), KUANDIKA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM","Katika somo la pili, 'Ninachora picha', mwanafunzi anajifunza kufuatisha michoro iliyopo kabla ya kujaribu kuchora picha peke yake. Hii inamjengea mtoto uwezo wa kudhibiti mkono na jicho pamoja, stadi muhimu kabla ya kuanza kuandika herufi.",,"Kitabu kinatoa maelekezo mawili: kwanza 'Fuatisha michoro hii' yenye mfano wa michoro ya kufuatisha, kisha 'Chora picha hizi' yenye nafasi tupu ambapo mwanafunzi anachora picha rahisi (kama nyumba au mti) bila kuwa na mfano wa kufuatisha.","Mtoto anapojifunza kufuatisha na kuchora picha za vitu anavyoviona nyumbani, kama nyumba yake au mti, anajenga ujasiri wa kutumia penseli kwa madhumuni mengine ya baadaye kama kuandika.",Fuatisha mchoro ulioonyeshwa kwenye kitabu::Mchoro umefuatishwa sawasawa na mfano||Chora picha ya nyumba kwenye nafasi iliyoachwa::Picha ya nyumba imechorwa||Chora picha ya mti::Picha ya mti imechorwa,
2023-JSS003-DRS I,Kuandika,Kumudu misingi ya awali ya kuandika,Kuchora michoro ya herufi,Kuchora michoro inayofanana na maumbo ya herufi,3,Mazoezi ya kuchora,Kuwaongoza Wanafunzi,Mwanafunzi anaweza kuchora mchoro unaofanana na umbo la herufi (mfano mstari na duara) kwa usahihi wa hali ya juu.,Karatasi|Penseli|Ubao na chaki|Kadi za herufi,"TET(2023), KUANDIKA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM","Katika somo la tatu, 'Ninachora michoro ya herufi', mwanafunzi anaanza kuchora michoro ambayo maumbo yake yanafanana na herufi za alfabeti, kama maandalizi ya moja kwa moja kabla ya kuandika herufi halisi.","Michoro inayotolewa mfano ni pamoja na: umbo la mstari mnyoofu unaofanana na herufi 'I', umbo la duara linalofanana na herufi 'O', na umbo la nusu duara linalofanana na herufi 'C'.","Kitabu kinaonyesha maelekezo ya kuchora herufi (picha isiyoweza kunakiliwa hapa, imeandikwa 'Maelekezo ya kuchora herufi') yenye mifano ya maumbo ya herufi ambayo mwanafunzi anayaangalia kabla ya kujaribu kuyachora.","Kuzoea maumbo ya herufi kwa njia ya michoro humwezesha mtoto kutambua herufi anapoziona kwenye vitabu, mabango na majina ya maduka mtaani.",Chora mchoro unaofanana na herufi 'I'::Mchoro unaofanana na 'I' umechorwa||Chora mchoro unaofanana na herufi 'O'::Mchoro unaofanana na 'O' umechorwa||Chora mchoro unaofanana na herufi 'C'::Mchoro unaofanana na 'C' umechorwa,
2023-JSS003-DRS I,Kuandika,Kumudu misingi ya awali ya kuandika,Kuchora michoro ya herufi,Kuchora michoro ya herufi kwenye nafasi iliyoachwa,2,Mazoezi binafsi ya kuchora,Kuwaongoza Wanafunzi,Mwanafunzi anaweza kuchora michoro ya herufi mfululizo kwenye nafasi iliyoachwa bila kutoka nje ya mstari.,Karatasi|Penseli|Kadi za mistari,"TET(2023), KUANDIKA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM","Baada ya kuona mfano, mwanafunzi anapewa nafasi tupu kwenye kitabu ili achore mwenyewe michoro ya herufi aliyoifundishwa, akijizoeza kuirudia mara kwa mara ili aizoee vizuri mkono wake.",,"Kitabu kinaonyesha 'Nafasi za kuchora herufi' (picha isiyoweza kunakiliwa hapa) ambapo mwanafunzi anachora tena michoro ya herufi aliyoiona awali, mara kadhaa, kutoka kushoto kwenda kulia.",Kujizoeza kuchora michoro ya herufi mara kwa mara humjenga mtoto kuwa na mkono thabiti utakaomsaidia kuandika barua pepe... yaani kuandika jina lake na maneno mafupi baadaye shuleni.,Chora michoro ya herufi mfululizo mara tatu kwenye nafasi iliyoachwa::Michoro mitatu ya herufi imechorwa kwa mpangilio||Chora mchoro wa herufi bila kutoka nje ya mstari::Mchoro umechorwa ndani ya mstari||Rudia kuchora mchoro uleule mara mbili::Michoro miwili inayofanana imechorwa,
2023-JSS003-DRS I,Kuandika,Kumudu misingi ya awali ya kuandika,Kufuatisha herufi kwa kuzingatia hatua,Kufuatisha michoro ya herufi hatua kwa hatua,2,Kufuatisha kwa penseli,Kuwaongoza Wanafunzi,"Mwanafunzi anaweza kufuatisha mchoro wa herufi kufuatia hatua zilizoonyeshwa (kuanzia, mwelekeo, na mwisho) bila kuinua penseli isivyo sahihi.",Karatasi|Penseli|Kadi za herufi zenye mishale ya mwelekeo,"TET(2023), KUANDIKA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM","Kabla ya kuchora herufi kamili, mwanafunzi anafundishwa kufuatisha mchoro wa herufi kwa kuzingatia hatua maalum: mahali pa kuanzia, mwelekeo wa mkono, na mahali pa kumalizia, kama inavyoonyeshwa katika somo la tatu la kitabu, 'Fuatisha michoro hii'.",Hatua kuu tatu zinazofundishwa: (1) kutambua sehemu ya kuanzia ya mchoro wa herufi; (2) kufuata mwelekeo sahihi wa penseli (kutoka juu kwenda chini au kushoto kwenda kulia); (3) kumalizia mchoro mahali pa mwisho bila kukatiza katikati.,"Kitabu kinaonyesha maelekezo ya kufuatisha michoro (picha isiyoweza kunakiliwa hapa, imeandikwa 'Maelekezo ya kufuatisha michoro') yenye mishale inayoonyesha hatua na mwelekeo wa kufuatisha mchoro wa herufi.","Kufuata hatua kwa utaratibu humsaidia mtoto kujenga tabia ya uvumilivu na umakini, tabia anazozihitaji pia anapofuata maelekezo katika shughuli nyingine za nyumbani na shuleni.",Tambua sehemu ya kuanzia ya mchoro wa herufi::Sehemu ya kuanzia imetambuliwa kwa usahihi||Fuatisha mchoro wa herufi ukizingatia mwelekeo ulioonyeshwa::Mchoro umefuatishwa kwa mwelekeo sahihi||Malizia mchoro wa herufi mahali pake pa mwisho::Mchoro umekamilika mahali pa mwisho,
2023-JSS003-DRS I,Kuandika,Kumudu misingi ya awali ya kuandika,Kufuatisha herufi kwa kuzingatia hatua,Kufuatisha herufi kutoka mwanzo hadi mwisho bila kukatiza,2,Mazoezi ya kufuatisha kwa vikundi,Kuwaongoza Wanafunzi,Mwanafunzi anaweza kufuatisha herufi nzima kutoka mwanzo hadi mwisho kwa mstari mmoja usiokatika.,Karatasi|Penseli|Ubao na chaki|Kadi za herufi,"TET(2023), KUANDIKA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM","Baada ya kujua hatua za kufuatisha, mwanafunzi sasa anajizoeza kufuatisha herufi nzima kwa mfululizo, kuanzia hatua ya kwanza hadi ya mwisho, ili aweze kuandika herufi kamili bila kusimama katikati bila sababu.",,"Kwa kufuata muundo wa kitabu wa 'Fuatisha michoro hii' ikifuatiwa na 'Chora michoro hii', mwalimu anawaonyesha wanafunzi mfano wa herufi kwenye ubao akifuatisha kwa mkono kutoka mwanzo hadi mwisho, kisha wanafunzi wanafanya vivyo hivyo vikundi vikundi kwenye kadi za herufi.",Uwezo wa kumaliza mchoro wa herufi bila kukatiza utamsaidia mtoto baadaye kuandika herufi za jina lake kwa umbo zuri na la kusomeka.,Fuatisha herufi kutoka mwanzo hadi mwisho kwa mstari mmoja::Herufi imefuatishwa kwa mstari mmoja usiokatika||Fanya kazi hii ukiwa kwenye kikundi na wenzako::Kazi imefanyika kwa ushirikiano wa kikundi||Onyesha herufi uliyoifuatisha kwa mwalimu::Herufi iliyofuatishwa imeonyeshwa kwa mwalimu,
2023-JSS003-DRS I,Kuandika,Kumudu stadi za kuandika,Kuandika herufi ndogo za irabu na konsonanti kwa mpangilio kwa kuzingatia hatua,"Kuandika herufi ndogo za irabu (a,e,i,o,u)",1,Kufuatisha kwa penseli|Mazoezi ya kuandika,Kuwaongoza Wanafunzi,"Mwanafunzi anaweza kuchora, kufuatisha na kuandika kila herufi ndogo ya irabu (a, e, i, o, u) kwa usahihi akifuata hatua sahihi za uandishi.",kadi za herufi|karatasi za mistari|penseli|ubao na chaki|picha zinazoonyesha hatua za kuandika herufi,"TET(2023), KUANDIKA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM","Kila somo huanza kwa mwanafunzi kuchora mchoro unaoonyesha jinsi herufi inavyoandikwa, kisha kufuatisha herufi hiyo kwa kufuata hatua zake, kabla ya kujizoeza kuiandika mwenyewe mara kwa mara katika nafasi zilizoachwa.","Somo la kwanza mpaka la tano hufundisha uandishi wa herufi ndogo za irabu moja baada ya nyingine: 'a' (Somo la kwanza), 'e' (Somo la pili), 'i' (Somo la tatu), 'o' (Somo la nne) na 'u' (Somo la tano). Somo la sita huunganisha irabu zote tano (a e i o u) na kuandika maneno yanayotokana nazo.","Mfano wa mazoezi ya kitabu: kuandika herufi 'a' mara ishirini na moja 'a a a a a a a a a a a a a a a a a a a a a'; kuandika herufi 'e' mara saba 'e e e e e e e'; Zoezi la pili: kutambua irabu zilizopo katika kisanduku 'a k e b f i h w v o d u' (Jibu: a, e, i, o, u).",Kujua kuandika irabu kwa usahihi humwezesha mwanafunzi kuanza kuandika jina lake mwenyewe na maneno mengine rahisi anayoyaona nyumbani na shuleni.,"Andika herufi 'a' mara ishirini na moja kama ilivyo katika kitabu::herufi 'a' imeandikwa mara 21 (a a a a a a a a a a a a a a a a a a a a a)||Andika herufi 'e' mara saba kama ilivyo katika kitabu::herufi 'e' imeandikwa mara 7 (e e e e e e e)||Chagua herufi za irabu zilizopo katika kisanduku: a k e b f i h w v o d u::irabu zilizopo ni a, e, i, o, u||Andika herufi zote za irabu kwa mpangilio::a e i o u zimeandikwa kwa mpangilio",
2023-JSS003-DRS I,Kuandika,Kumudu stadi za kuandika,Kuandika herufi ndogo za irabu na konsonanti kwa mpangilio kwa kuzingatia hatua,"Kuandika herufi ndogo za konsonanti (b,m,k,d,n na l,t,p,s,j)",2,Kufuatisha kwa penseli|Mazoezi ya kuandika|Majadiliano ya vikundi,Kuwaongoza Wanafunzi,"Mwanafunzi anaweza kuandika herufi ndogo za konsonanti b, m, k, d, n, l, t, p, s na j kwa usahihi na kuziunganisha na irabu kuunda silabi na maneno sahihi.",kadi za herufi|karatasi za mistari|penseli|ubao na chaki|chati za silabi,"TET(2023), KUANDIKA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM","Baada ya kujifunza irabu, mwanafunzi anaendelea kujifunza kuandika herufi ndogo za konsonanti kwa kufuata hatua za uandishi, kisha kuunganisha konsonanti hizo na irabu ili kuunda silabi na maneno yenye maana.","Sura ya 3 inafundisha herufi 'b', 'm', 'k', 'd' na 'n', kila moja ikiwa na hatua za uandishi, silabi (mfano ba be bi bo bu) na maneno (mfano baba beba bibi bobo bubu). Sura ya 4 inaendelea na herufi 'l', 't'(inayotumika katika mazoezi ya silabi), 'p', 's' na 'j', ikijumuisha silabi (mfano pa pe pi po pu) na maneno (mfano papa pepa pipo popo pupa, jiko jino jioni jipu joto). Mazoezi ya ziada yanahitaji kuunganisha konsonanti na irabu kuunda silabi na kuunganisha silabi kuunda maneno kamili.",Mifano ya maneno kutoka kitabuni: 'baba beba bibi bobo bubu' (herufi b); 'mama mimi maua mia mea' (herufi m); 'kaka keke kiki koko kuku' (herufi k); 'debe dobi dua duma dubu' (herufi d); 'nane nene neno nini nuna' (herufi n); 'lala lele lili lolo lulu' (herufi l); 'papa pepa pipo popo pupa' (herufi p); 'sasa sesa sisi soso susu' (herufi s); 'jiko jino jioni jipu joto' (herufi j). Mfano wa zoezi la kuunda silabi: konsonanti 'm' + irabu 'a' = 'ma'.,"Mwanafunzi anaweza kutumia herufi hizi kuandika majina ya watu na vitu anavyovifahamu nyumbani, kama vile 'baba', 'mama' na 'jiko'.","Andika silabi za herufi 'b': ba be bi bo bu::silabi ba, be, bi, bo, bu zimeandikwa||Andika maneno: mama mimi maua mia mea::maneno mama, mimi, maua, mia, mea yameandikwa||Unda silabi kwa kuunganisha konsonanti 'k' na irabu 'o'::silabi inayopatikana ni 'ko'||Andika maneno matano yanayoanza na herufi 'd'::mfano dada, debe, dobi, duma, dubu||Andika silabi zinazounda neno 'jino'::ji-no",
2023-JSS003-DRS I,Kuandika,Kumudu stadi za kuandika,Kuandika herufi ndogo za irabu na konsonanti kwa mpangilio kwa kuzingatia hatua,"Kuandika herufi ndogo za konsonanti (f,g,y,z,h na r,w,v,ch)",2,Kufuatisha kwa penseli|Mazoezi ya kuandika|Majadiliano ya vikundi,Kuwaongoza Wanafunzi,"Mwanafunzi anaweza kuandika herufi ndogo za konsonanti f, g, y, z, h, r, w, v na 'ch' kwa usahihi na kuzitumia kuunda silabi na maneno yenye maana.",kadi za herufi|karatasi za mistari|penseli|ubao na chaki|chati za maneno,"TET(2023), KUANDIKA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM","Mwanafunzi anaendelea kufuatisha na kuandika herufi ndogo za konsonanti zilizosalia kwa kufuata hatua za uandishi, kisha kuziunganisha na irabu kuunda silabi na maneno, ikiwa ni hatua ya mwisho ya kujifunza herufi zote ndogo za alfabeti.","Sura ya 5 inafundisha herufi 'f', 'g', 'y', 'z' na 'h', kila moja ikiwa na hatua za uandishi, silabi (mfano fa fe fi fo fu) na maneno (mfano fafu fefi fifa fofo fufa). Sura ya 6 inahitimisha kwa herufi 'r', 'w', 'v' na 'ch' (konsonanti mbili), zikiwa na silabi (mfano cha che chi cho chu) na maneno (mfano chacha cheche chichi chocho chuchu). Mazoezi ya ziada yanahusisha kuunda maneno yenye maana kwa kuunganisha herufi hizi na irabu, na kujaza nafasi kwa kutumia silabi zilizotolewa.",Mifano ya maneno kutoka kitabuni: 'fafu fefi fifa fofo fufa' (herufi f); 'gaga gege gigo gogo gugu' (herufi g); 'yenu yupi yatima yule yote' (herufi y); 'zana zeze zizi zozo zuzu' (herufi z); 'haha hehe hihi hoho huhu' (herufi h); 'rara rere riri roro ruru' (herufi r); 'wawa wewe wiwi wowo wuwu' (herufi w); 'vava veve vivi vovo vuvu' (herufi v); 'chacha cheche chichi chocho chuchu' (herufi ch). Mfano wa zoezi la kuunda maneno yenye maana: 'gogo' na 'zuia'.,"Mwanafunzi anaweza kutumia herufi hizi kuandika majina ya vitu na vinywaji anavyokutana navyo kila siku, kama vile 'chai', 'gogo' na 'zua'.","Andika maneno mawili yenye maana kwa kuunganisha herufi f,g,y,z,h na irabu (mfano gogo, zuia)::majibu yanaweza kuwa gogo, zuia, fika, hodi, yule||Andika silabi za herufi 'ch': cha che chi cho chu::silabi cha, che, chi, cho, chu zimeandikwa||Andika maneno: rara rere riri roro ruru::maneno rara, rere, riri, roro, ruru yameandikwa||Jaza nafasi 'wa___vi' ukitumia silabi kwenye kisanduku chi ra vi vu re cha::neno linalopatikana ni 'wavuvi'",
2023-JSS003-DRS I,Kuandika,Kumudu stadi za kuandika,Kuandika herufi kubwa za irabu na konsonanti kwa mpangilio na kufuata hatua,"Kuandika herufi kubwa za irabu (A,E,I,O,U)",1,Kufuatisha kwa penseli na mazoezi ya kuandika,Kuwaongoza Wanafunzi,"Mwanafunzi anaweza kuandika herufi kubwa zote tano za irabu (A,E,I,O,U) kwa kufuata hatua sahihi na kuzitumia kuanzisha majina na sentensi kwa usahihi.",kadi za herufi|karatasi za mistari|penseli|ubao na chaki|chati ya herufi kubwa na ndogo,"TET(2023), KUANDIKA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM","Herufi kubwa za irabu ni A, E, I, O, U. Kila herufi ina hatua maalum za kuiandika (mfano mistari iliyonyooka na iliyopinda) zinazofuatwa kwa mpangilio kama kitabu kinavyoonyesha kwa kila somo (Fuatisha herufi kwa kufuata hatua, kisha andika herufi, kisha andika majina na sentensi).","Somo la kwanza: herufi 'A' (Sura 7); Somo la pili: herufi 'E'; Somo la tatu: herufi 'I'; Somo la nne: herufi 'O'; Somo la tano: herufi 'U'. Kila somo linahitimishwa na zoezi la kuandika majina yanayoanza na herufi husika, na Zoezi la sita linaoanisha herufi kubwa na ndogo za irabu (A-a, E-e, I-i, O-o, U-u).","Majina: Amina, Adamu, Abedi kwa herufi A; Eli, Elia, Ema kwa herufi E; Idi, Imani, Isaya kwa herufi I; Omar, Omary, Othman kwa herufi O; Udi, Udo, Uka kwa herufi U. Sentensi: 'Ali anachora picha.', 'Elia anakula nanasi.', 'Idi anapika ugali.', 'Omar anasikitiza redio.', 'Udi ameenda Urambo.'",Mwanafunzi anatumia herufi kubwa za irabu anazojifunza kuandika jina lake mwenyewe na majina ya wenzake kwa usahihi mwanzoni mwa sentensi na vitabu vyake.,Andika jina hili kwa herufi kubwa mwanzoni: eriki::Eriki||Andika jina hili kwa herufi kubwa mwanzoni: ema::Ema||Oanisha herufi kubwa 'O' na herufi ndogo yake::o||Andika jina moja linaloanza na herufi 'I'::Imani (au jina lingine linaloanza na I),
