subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,sla_name,sla_periods,sla_method,sla_leading,sla_assessment_criteria,sla_teaching_aids,sla_references,sla_notes_intro,sla_notes_details,sla_notes_illustrations,sla_notes_daily_life,sla_exercise,sla_diagram_type
2023-JSS002-DRS I,Kuhesabu,Kutambua dhana ya namba,Kubaini dhana ya namba kwa kutumia vitu katika mazingira,Kubainisha wingi na uchache wa vitu katika mazingira,2,Majadiliano ya vikundi na uchunguzi wa mazingira,Kuwaongoza Wanafunzi,Mwanafunzi anaweza kutofautisha kundi lenye vitu vingi na kundi lenye vitu vichache akitumia vitu halisi vilivyopo darasani.,"Vitu halisi (mawe, vijiti, madaftari)|Picha za makundi ya vitu|Chati za wingi na uchache","TET(2023), KUHESABU, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM","Mazingira yetu yana vitu mbalimbali, nasi tunaweza kuvibaini katika wingi au uchache kwa kuvilinganisha kundi kwa kundi.","Kulinganisha hufanyika kwa maneno mawili ya msingi: 'mengi/mingi' kuonesha idadi kubwa, na 'machache/michache' kuonesha idadi ndogo.","Kama kitabu kinavyoonesha (Mfano wa 1: Mengi na Machache; Mfano wa 2: Michache na Mingi), mwalimu huonesha makundi mawili ya vitu halisi (mfano vijiti) na wanafunzi hutazama na kutaja fungu lenye vingi na fungu lenye vichache.",Mwanafunzi anaweza kulinganisha idadi ya ndizi zilizopo kwenye sinia moja na sinia nyingine nyumbani ili kubaini iliyo na vingi zaidi.,"Kati ya fungu lenye vitu 3 na fungu lenye vitu 7, fungu lipi lina vitu vingi?::Fungu lenye vitu 7||Kati ya vitu 8 na vitu 2, ni vipi vichache?::Vitu 2||Taja neno linalotumika kuonesha idadi kubwa ya vitu.::Mengi/Mingi||Taja neno linalotumika kuonesha idadi ndogo ya vitu.::Machache/Michache",
2023-JSS002-DRS I,Kuhesabu,Kutambua dhana ya namba,Kubaini dhana ya namba kwa kutumia vitu katika mazingira,Kuhesabu vitu vyenye idadi kati ya moja na tisa,3,Kuhesabu vitu halisi kwa kutumia vidole na vitu vya darasani,Kuwaongoza Wanafunzi,Mwanafunzi anaweza kuhesabu vitu visivyozidi tisa kwa usahihi na kutamka namba sahihi inayowakilisha idadi hiyo.,"Vitu halisi vya kuhesabia (vijiti, mawe, chaki)|Kadi za namba 1-9|Vidole vya mikono","TET(2023), KUHESABU, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM",Idadi ya vitu inapatikana kwa kuvihesabu; kila kitu kinahesabiwa mara moja tu kuanzia moja hadi kufikia idadi yote iliyopo.,"Kuhesabu huanza na 'moja' kisha huendelea kwa mfuatano: mbili, tatu, nne, tano, sita, saba, nane, tisa, kila namba ikiwa na idadi moja zaidi ya iliyotangulia.","Kama ilivyo kwenye jedwali la kitabu (1-moja, 2-mbili, 3-tatu, 4-nne, 5-tano, 6-sita, 7-saba, 8-nane, 9-tisa), mwanafunzi anahesabu picha za vitu kisha anatamka namba huku akionesha idadi hiyo kwa vidole vya mkono.",Mwanafunzi anaweza kuhesabu idadi ya ndugu zake nyumbani au vijiko mezani wakati wa chakula.,"Vitu vitatu vinaitwaje kwa neno?::Tatu||Namba 6 kwa neno ni ipi?::Sita||Namba 9 kwa neno ni ipi?::Tisa||Ukihesabu 1 hadi 9, namba inayofuata baada ya tano ni ipi?::Sita",
2023-JSS002-DRS I,Kuhesabu,Kutambua dhana ya namba,Kubaini dhana ya namba kwa kutumia vitu katika mazingira,Kuoanisha idadi ya vitu na namba inayowakilisha,3,Mazoezi ya kuoanisha na michezo ya kadi za namba,Kuwaongoza Wanafunzi,Mwanafunzi anaweza kuoanisha kundi la vitu na tarakimu au neno linalowakilisha idadi yake kwa usahihi.,Kadi za namba na maneno|Picha za matunda|Chati ya kuoanisha idadi na namba,"TET(2023), KUHESABU, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM",Kila kundi la vitu lililohesabiwa linaweza kuoanishwa na tarakimu au neno linaloonesha idadi yake halisi.,"Uoanishaji hufanyika kwa kuchora mstari kuunganisha picha ya kundi la vitu na tarakimu/neno sahihi, au kwa kuandika idadi ya vitu vilivyohesabiwa kwenye nafasi husika.","Kama kwenye zoezi la kitabu la kuoanisha matunda (nyanya, matango, bilinganya, karoti, vitunguu, kitunguu saumu) na idadi yake, mwanafunzi anahesabu kila aina ya tunda kisha anaandika tarakimu inayolingana nayo kwenye jedwali.",Mwanafunzi anaweza kuandika idadi ya machungwa aliyonunua sokoni kwa tarakimu sahihi.,"Ukihesabu matunda ukapata tisa, andika kwa tarakimu.::9||Kundi lenye vitu vinne linawakilishwa na tarakimu ipi?::4||Oanisha: neno 'saba' linaendana na tarakimu ipi?::7||Oanisha: neno 'moja' linaendana na tarakimu ipi?::1",
2023-JSS002-DRS I,Kuhesabu,Kutambua dhana ya namba,Kubaini namba kuanzia 1-100 kwa tarakimu na maneno,Kusoma namba 1 hadi 9 kwa sauti na kutambua tarakimu zake,2,Kusoma kwa sauti kwa kufuatana na mwalimu,Kuwaongoza Wanafunzi,Mwanafunzi anasoma namba yoyote kati ya 1 na 9 kwa sauti kwa usahihi anapoonyeshwa tarakimu yake.,Chati ya namba 1-9|Kadi za tarakimu|Ubao wa darasa,"TET(2023), KUHESABU, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM",Kusoma namba ni njia ya kujua idadi ya vitu; kila tarakimu kutoka 1 hadi 9 ina jina lake la kusomeka.,"Namba husomwa kwa mfuatano wowote zinapoonyeshwa, siyo lazima kuanzia moja kila wakati; hivyo mwanafunzi anapaswa kutambua kila tarakimu peke yake.","Kama kwenye jedwali la kitabu lenye safu za tarakimu kama '9 8 2 6 4' na '6 2 1 3 7', wanafunzi husoma kila tarakimu kwa sauti mfuatano unapoonyeshwa na mwalimu.",Mwanafunzi anaweza kusoma namba za nyumba au namba za daladala anazoziona njiani.,"Soma kwa sauti: 5::Tano||Soma kwa sauti: 8::Nane||Soma kwa sauti: 2::Mbili||Katika mfuatano '9 8 2 6 4', namba ya tatu ni ipi?::2",
2023-JSS002-DRS I,Kuhesabu,Kutambua dhana ya namba,Kubaini namba kuanzia 1-100 kwa tarakimu na maneno,Kuandika namba 1 hadi 9 kwa tarakimu na kwa maneno,2,Mazoezi ya kuandika kwa kufuata nukta na kunakili,Kuwaongoza Wanafunzi,Mwanafunzi anaweza kuandika namba 1 hadi 9 kwa tarakimu na kwa maneno bila makosa.,Ubao na chaki|Madaftari ya mazoezi|Kadi za namba zenye nukta za kufuatisha,"TET(2023), KUHESABU, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM","Namba zinaweza kuandikwa kwa tarakimu (mfano 6) au kwa maneno (mfano sita), na njia zote mbili zinawakilisha idadi ile ile.","Kuandika kunahusisha kufuatisha nukta za tarakimu, kuandika namba inayofuata au inayotangulia namba fulani, na kubadilisha kati ya tarakimu na maneno.","Kama kwenye zoezi la kitabu la 'andika namba inayofuata' (mfano 3, ______ hujazwa 4) na 'andika namba inayotangulia' (mfano ______, 8 hujazwa 7), na zoezi la kuandika namba kwa maneno (3, 6, 1, 4, 7, 8, 5, 9, 2).",Mwanafunzi anaweza kuandika idadi ya vitu alivyonunua dukani kwa tarakimu.,Andika tarakimu inayofuata baada ya 3.::4||Andika tarakimu inayotangulia 8.::7||Andika namba 6 kwa maneno.::Sita||Andika namba 'nane' kwa tarakimu.::8,
2023-JSS002-DRS I,Kuhesabu,Kutambua dhana ya namba,Kubaini namba kuanzia 1-100 kwa tarakimu na maneno,Kutambua namba sifuri na maana yake,2,Maonesho ya vitendo (chombo tupu kuonesha hakuna kitu) na majadiliano,Kuwaongoza Wanafunzi,Mwanafunzi anaweza kueleza maana ya namba sifuri na kuitambua kwa tarakimu 0.,Vyombo/masanduku matupu|Kadi ya tarakimu 0|Chati ya namba 0-9,"TET(2023), KUHESABU, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM","Kama kitabu kinavyoeleza tunapoanza sura ya namba kumi, 'tumeshajifunza namba kuanzia sifuri hadi tisa'; namba sifuri (0) inaonesha kutokuwepo kabisa kwa vitu katika kundi.",,"Mwalimu anaonesha sanduku lenye vitu, kisha anavitoa vyote moja baada ya jingine; sanduku linapobaki bila kitu chochote, idadi iliyobaki ni sifuri (0).",Mwanafunzi anaweza kueleza kuwa sahani iliyo tupu ina chakula sifuri.,"Sanduku halina kitu chochote ndani, idadi ya vitu ni ngapi?::Sifuri (0)||Andika kwa tarakimu neno 'sifuri'.::0||Namba inayoonesha hakuna kitu ni ipi?::0||Kati ya namba 0 na 1, ipi inaonesha kutokuwepo kwa vitu?::0",
2023-JSS002-DRS I,Kuhesabu,Kutambua dhana ya namba,Kubaini namba kuanzia 1-100 kwa tarakimu na maneno,Kutambua namba 10 kwa tarakimu na kwa maneno,2,Kuhesabu vitu halisi hadi kumi na kutambua kwenye chati ya namba,Kuwaongoza Wanafunzi,Mwanafunzi anaweza kuhesabu hadi kumi na kutambua namba 10 kwenye jedwali la namba.,Vitu halisi vya kuhesabia|Chati ya namba (place value chart)|Kadi ya tarakimu 10,"TET(2023), KUHESABU, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM","Baada ya kujifunza namba sifuri hadi tisa, sasa tunajifunza namba kumi; namba kumi inatusaidia kuandika idadi ya vitu vinavyozidi tisa.",Namba 10 ni namba ya kwanza yenye tarakimu mbili: tarakimu 1 ikiwakilisha kumi moja na tarakimu 0 ikiwakilisha mamoja sifuri.,"Kama kwenye zoezi la kitabu la kuzungushia namba 10 katika jedwali la tarakimu mchanganyiko, mwanafunzi anatambua na kuzungushia kila 10 iliyopo, na anahesabu vitu hadi kumi kwa sauti.",Mwanafunzi anaweza kuhesabu vidole vyote vya mikono miwili akipata kumi.,"Namba 10 kwa maneno ni ipi?::Kumi||Kati ya namba 1,3,4,10,7,6 ni ipi inayofuata baada ya 9?::10||Andika 'kumi' kwa tarakimu.::10||Vidole vyote vya mikono miwili ni vingapi?::10",place_value_chart
2023-JSS002-DRS I,Kuhesabu,Kutambua dhana ya namba,Kubaini namba kuanzia 1-100 kwa tarakimu na maneno,Kusoma namba 11 hadi 100 kwa tarakimu na kwa maneno,3,Kusoma kwa sauti kwa kutumia jedwali la namba 1-100,Kuwaongoza Wanafunzi,Mwanafunzi anasoma namba yoyote kati ya 11 na 100 kwa sauti kwa usahihi.,Jedwali la namba 1-100|Chati ya namba|Kadi za namba za maneno,"TET(2023), KUHESABU, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM","Ikiwa kuna vitu zaidi ya kumi, tunaweza kutambua idadi yake; hivyo tunajifunza kusoma namba kuanzia 11 hadi 100.","Namba za maneno kuanzia 11 huundwa kwa kuunganisha jina la makumi (ishirini, thelathini, arobaini...) na neno 'na' kisha jina la mamoja yanapokuwepo, mfano arobaini na tano.","Kama kwenye zoezi la kitabu (kumi na moja, ishirini na tatu, thelathini na tatu, arobaini na tano, hamsini na sita, sitini na nne) na jedwali la namba 11 hadi 100, wanafunzi husoma kwa sauti namba wanazoonyeshwa.",Mwanafunzi anaweza kusoma umri wake au namba ya basi wanaloendesha wazazi wake.,Soma namba 23 kwa maneno.::Ishirini na tatu||Soma namba 38 kwa maneno.::Thelathini na nane||Soma namba 64 kwa maneno.::Sitini na nne||Namba 'hamsini na sita' ni ipi kwa tarakimu?::56,
2023-JSS002-DRS I,Kuhesabu,Kutambua dhana ya namba,Kubaini namba kuanzia 1-100 kwa tarakimu na maneno,Kuandika namba 11 hadi 100 kwa tarakimu na kwa maneno,3,Mazoezi ya kuandika kwa kunakili na kubadilisha kati ya tarakimu na maneno,Kuwaongoza Wanafunzi,Mwanafunzi anaweza kuandika namba kati ya 11 na 100 kwa tarakimu na kwa maneno kwa usahihi.,Madaftari ya mazoezi|Ubao|Kadi za namba za maneno na tarakimu,"TET(2023), KUHESABU, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM","Tunaweza kuandika idadi ya vitu zaidi ya kumi kwa maneno, na pia namba hizo zinaweza kuandikwa kwa tarakimu.",Kubadilisha namba kutoka maneno kwenda tarakimu (mfano 'kumi na mbili' = 12) na kutoka tarakimu kwenda maneno (mfano 28 = ishirini na nane) ni sehemu mbili za ujuzi huu.,"Kama kwenye mifano ya kitabu (28 = ishirini na nane; 71 = sabini na moja; thelathini na nne = 34), na zoezi la kuandika kwa tarakimu (ishirini na tisa, thelathini na tatu, kumi na nane, hamsini na saba).",Mwanafunzi anaweza kuandika bei ya bidhaa aliyoinunua dukani kwa tarakimu.,Andika 'ishirini na nane' kwa tarakimu.::28||Andika 'sabini na moja' kwa tarakimu.::71||Andika 34 kwa maneno.::Thelathini na nne||Andika 'kumi na nane' kwa tarakimu.::18||Andika 'hamsini na saba' kwa tarakimu.::57,
2023-JSS002-DRS I,Kuhesabu,Kutambua dhana ya namba,Kupanga namba kwa mfuatano 1-100,Kupanga namba 1 hadi 10 kwa mfuatano kuanzia ndogo hadi kubwa na kubwa hadi ndogo,3,Michezo ya kupanga kadi za namba na mazoezi ya vitendo,Kuwaongoza Wanafunzi,Mwanafunzi anaweza kupanga kundi la namba kati ya 1 na 10 kwa mfuatano wa kuongezeka au kupungua.,Kadi za namba 1-10|Ubao wa kupangia namba|Vitu halisi vya kuhesabia,"TET(2023), KUHESABU, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM",Tunaweza kupanga namba 1 hadi 10 kwa mfuatano; namba hupangwa kwa mfuatano kuangalia zilizopo kwenye mpangilio.,"Kupanga kunaweza kuanzia namba ndogo kwenda kubwa zaidi (mfuatano wa kuongezeka), au kuanzia namba kubwa kwenda ndogo zaidi (mfuatano wa kupungua).",Kama kwenye mfano wa kitabu: '1 3 6 2 5 4' ikipangwa ndogo kwenda kubwa inakuwa '1 2 3 4 5 6'; na '8 5 10 9 6 4 7' ikipangwa kubwa kwenda ndogo inakuwa '10 9 8 7 6 5 4'.,Mwanafunzi anaweza kupanga vijiti au vitabu vyake kwa mfuatano wa namba nyumbani.,Panga kwa mfuatano kuanzia ndogo hadi kubwa: 5 4 2 3 6 8 10 9 1::1 2 3 4 5 6 8 9 10||Panga kwa mfuatano kuanzia kubwa hadi ndogo: 3 9 2 5 8 6 1 7 4 10::10 9 8 7 6 5 4 3 2 1||Panga namba 1 3 6 2 5 4 kuanzia ndogo hadi kubwa.::1 2 3 4 5 6||Panga namba 8 5 10 9 6 4 7 kuanzia kubwa hadi ndogo.::10 9 8 7 6 5 4,
