subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,sla_name,sla_periods,sla_method,sla_leading,sla_assessment_criteria,sla_teaching_aids,sla_references,sla_notes_intro,sla_notes_details,sla_notes_illustrations,sla_notes_daily_life,sla_exercise,sla_diagram_type
2023-JSS011-Awali,Kuhusiana,Kujithamini na kuthamini wengine,Kujitambulisha na kutambulisha wengine,Kujitambulisha kwa rafiki yangu,2,Michezo ya kuigiza,Kuwaongoza Wanafunzi,"Mtoto anaweza kutaja jina lake, mahali anapoishi na kuonesha furaha ya kukutana na mwenzake bila msaada.",Picha ya mtoto akijitambulisha|Kadi za majina|Kioo cha darasa,"TET(2023), STADI ZA AWALI ZA MAISHA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM",Kujitambulisha maana yake ni kumwambia mwenzako jina lako na mahali unapoishi ili mfahamiane. Kitabu kinatoa mfano wa Tija anayejitambulisha kwa mwenzake.,"Hatua za kujitambulisha kwa rafiki ni: kutaja jina lako, kutaja mahali unapoishi, na kuonesha furaha ya kukutana naye.","Mfano wa Tija: ""Aahaa! Mimi ninaitwa Tija. Ninaishi Mwenge. Ninafurahi kukufahamu.""",Mtoto anapokutana na rafiki mpya shuleni anajitambulisha kwa kutaja jina lake ili wafahamiane.,Tija anaitwa nani katika mfano wa kitabu?::Tija anaitwa Tija na anaishi Mwenge||Ni nini tunachotakiwa kukisema tunapojitambulisha?::Tunataja jina letu na mahali tunapoishi||Kwa nini tunajitambulisha kwa rafiki mpya?::Ili tufahamiane na kuwa marafiki,
2023-JSS011-Awali,Kuhusiana,Kujithamini na kuthamini wengine,Kujitambulisha na kutambulisha wengine,Kujitambulisha kwa wengine kwa kuimba wimbo,2,Wimbo na maigizo,Kuwaongoza Wanafunzi,Mtoto anaweza kuimba wimbo wa kujitambulisha na kutaja jina lake na majina ya wazazi wake mbele ya wenzake.,"Picha ya Umi akijitambulisha|Maneno ya wimbo ""Jieleze""|Ngoma ndogo","TET(2023), STADI ZA AWALI ZA MAISHA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM","Kujitambulisha kwa wengine ni kujieleza mbele ya kundi la watu wengi ili wote wakufahamu, kama Umi anavyojitambulisha kwa wenzake katika picha.",Njia moja ya kujitambulisha kwa wengine ni kuimba wimbo unaotaja jina lako na majina ya wazazi wako.,"Wimbo: ""Jieleze x 6. Najieleza mimi. Mimi hapa ndio Kai. Baba yangu ni Kalulu. Mama yangu ndiye Tina. Nimejieleza mimi.""","Mtoto anapoingia darasa jipya anajitambulisha kwa wanafunzi wote kwa kutaja jina lake na la wazazi wake, hata kwa wimbo.","Umi anafanya nini katika picha?::Umi anajitambulisha kwa wenzake||Katika wimbo, mtoto anayejitambulisha anaitwa nani?::Anaitwa Kai||Wimbo unatuambia baba na mama wa Kai wanaitwa nani?::Baba anaitwa Kalulu na mama anaitwa Tina",
2023-JSS011-Awali,Kuhusiana,Kujithamini na kuthamini wengine,Kujitambulisha na kutambulisha wengine,Kumtambulisha rafiki yangu kwa wengine,1,Michezo ya kuigiza,Kuwaongoza Wanafunzi,Mtoto anaweza kumtambulisha rafiki yake kwa wenzake kwa kutaja jina la rafiki yake kwa usahihi.,Picha ya mtoto akimtambulisha rafiki yake|Kadi za majina,"TET(2023), STADI ZA AWALI ZA MAISHA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM",Kumtambulisha rafiki kwa wengine maana yake ni kuwaambia wenzako jina la rafiki yako ili nao wamfahamu.,,Mfano wa kitabu unaonesha mtoto akimtambulisha rafiki yake kwa wenzake wengine.,Mtoto anapokuwa na rafiki mpya darasani anamtambulisha kwa wanafunzi wenzake wengine.,Tunamtambulisha rafiki yetu kwa wengine kwa kufanya nini?::Tunataja jina lake mbele ya wenzetu||Kwa nini ni vizuri kumtambulisha rafiki yako kwa wengine?::Ili nao wamfahamu na kuwa naye rafiki||Ukiwa na rafiki mpya darasani unamfanyia nini?::Ninamtambulisha kwa wanafunzi wenzangu,
2023-JSS011-Awali,Kuhusiana,Kujithamini na kuthamini wengine,Kuonesha matendo ya tabia njema,Kuwapokea wakubwa na kushukuru,2,Michezo ya kuigiza,Kuwaongoza Wanafunzi,Mtoto anaweza kuigiza jinsi ya kuwapokea wakubwa kwa heshima na kusema asante anaposaidiwa au kupewa kitu.,Picha za watoto wakiwapokea wakubwa|Picha za watoto wakishukuru,"TET(2023), STADI ZA AWALI ZA MAISHA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM",Kuwapokea wakubwa ni kuwasalimia na kuwahudumia kwa heshima wanapofika; kushukuru ni kuonesha furaha na fadhila kwa kupewa msaada au kitu.,"Wakati wa kuwashukuru wakubwa ni pale unapopewa kitu, unaposaidiwa, au unapofanyiwa jambo jema.",Picha zinaonesha watoto wakiwapokea wakubwa kwa furaha na kuwashukuru wanapowasaidia.,"Mgeni afikapo nyumbani, mtoto anamsalimia kwa heshima, na baba au mama anapomsaidia mtoto anasema asante.",Kwa nini tunawapokea wakubwa vizuri?::Kwa heshima na kuwaonesha tunawajali||Ni wakati gani unapaswa kushukuru?::Unapopewa kitu au kusaidiwa na mtu||Tunashukuru kwa kusema nini?::Tunasema asante,
2023-JSS011-Awali,Kuhusiana,Kujithamini na kuthamini wengine,Kuonesha matendo ya tabia njema,Kucheza kwa upendo na kushirikiana vitu,1,Michezo ya vikundi,Kuwaongoza Wanafunzi,Mtoto anaweza kucheza na wenzake bila ugomvi na kushirikisha vitu vyake wanapocheza pamoja.,Picha za watoto wakicheza|Picha za watoto wakishirikiana vitu|Mpira mdogo,"TET(2023), STADI ZA AWALI ZA MAISHA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM",Kucheza kwa upendo ni kucheza na wenzako bila ugomvi; kushirikiana katika matumizi ya vitu ni kutumia vitu pamoja na wenzako bila choyo.,,Picha zinaonesha watoto wakicheza pamoja kwa furaha na kushirikiana vitu vya kuchezea.,Mtoto anapocheza na wenzake anawashirikisha vifaa vya kuchezea kama mpira badala ya kucheza peke yake.,Tunacheza vipi na wenzetu?::Tunacheza kwa upendo bila ugomvi||Tunashirikiana nini na wenzetu tunapocheza?::Tunashirikiana vitu tunavyovitumia pamoja||Kwa nini ni vizuri kushirikiana vitu na wenzako?::Ili tuwe na urafiki na kuepuka choyo,
2023-JSS011-Awali,Kuhusiana,Kujithamini na kuthamini wengine,Kuonesha matendo ya tabia njema,Kuwajali wengine,2,Hadithi na maadili,Kuwaongoza Wanafunzi,"Mtoto anaweza kuigiza tendo la kumjali mwenzake anayehitaji msaada, kama kumfariji au kumsaidia.","Picha za watoto wakisaidiana|Kadi za mazungumzo ya Betty, Lawi, Ima na Juma","TET(2023), STADI ZA AWALI ZA MAISHA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM","Kuwajali wengine ni kuwafariji, kuwasaidia au kuwaonya kwa upole wanapokuwa katika shida au hatari.","Kuwajali wengine kunajumuisha kufariji anayelia, kushukuru anayekusaidia, kumsaidia mwenzako, na kumkumbusha mwenzako kuwa makini.","Mazungumzo: ""Pole Betty usilie."" ""Asante Lawi."" ""Ima, msaidie Juma."" ""Juma, kuwa makini.""",Mtoto anapoona rafiki yake ameanguka anamsaidia kusimama na kumwambia pole.,"Betty anaambiwa nini anapolia?::Anaambiwa ""Pole Betty usilie""||Lawi anaambiwa nini baada ya kusaidia?::Anaambiwa ""Asante Lawi""||Kwa nini ni vizuri kuwajali wengine?::Ili kuwafariji na kuwasaidia wanapokuwa na shida",
2023-JSS011-Awali,Kuhusiana,Kujithamini na kuthamini wengine,Kubaini haki na wajibu wake,Haki yangu ya kwenda shule na kulindwa,2,Majadiliano ya vikundi,Kuwaongoza Wanafunzi,Mtoto anaweza kutaja haki yake ya kupelekwa shule na kulindwa dhidi ya ukatili na unyanyasaji.,Picha ya mtoto akipelekwa shule|Picha ya mtoto akilindwa|Picha za watoto kwenda shule,"TET(2023), STADI ZA AWALI ZA MAISHA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM","Haki zangu ni mambo ninayostahili kupata kama mtoto, mfano kupelekwa shule kujifunza na kulindwa dhidi ya ukatili na unyanyasaji.","Miongoni mwa haki za mtoto ni kupelekwa shule, kulindwa dhidi ya ukatili na unyanyasaji, na kwenda shule kila siku.",Picha zinaonesha mtoto akipelekwa shule na mwingine akilindwa dhidi ya unyanyasaji.,Kila siku mzazi wangu ananipeleka shule na ananilinda nisidhurike popote nilipo.,Ni nani anayekupeleka shuleni?::Mzazi au mlezi wangu||Kwa nini tunahitaji kulindwa dhidi ya ukatili na unyanyasaji?::Ili tusidhurike na tuwe salama||Kwa nini unakwenda shuleni?::Ili kujifunza,
2023-JSS011-Awali,Kuhusiana,Kujithamini na kuthamini wengine,Kubaini haki na wajibu wake,Wajibu wangu wa kufanya kazi nyumbani,2,Majadiliano ya vikundi,Kuwaongoza Wanafunzi,Mtoto anaweza kutaja angalau kazi moja ndogo anayoifanya nyumbani kama wajibu wake.,Picha za watoto wakifanya kazi nyumbani,"TET(2023), STADI ZA AWALI ZA MAISHA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM","Wajibu wangu ni mambo ninayopaswa kuyafanya, mfano kusaidia kazi ndogo ndogo nyumbani kama walivyofundishwa watoto katika kitabu.",,Picha zinaonesha watoto wakifanya kazi mbalimbali za nyumbani wakiwa na furaha.,Mtoto anasaidia kufagia chumba chake au kuosha vyombo vidogo nyumbani kama sehemu ya wajibu wake.,Watoto wanafanya nini katika picha za kazi za nyumbani?::Wanafanya kazi ndogo ndogo nyumbani||Kazi ya nyumbani unayoifanya wewe ni ipi?::Kwa mfano kufagia au kuosha vyombo||Kwa nini ni wajibu wetu kufanya kazi nyumbani?::Ili kusaidia familia yetu,
2023-JSS011-Awali,Kuhusiana,Kujithamini na kuthamini wengine,Kubaini kazi zinazotendwa na wanafamilia na watu wengine,Kazi mbalimbali zinazofanywa na watu,2,Majadiliano ya vikundi,Kuwaongoza Wanafunzi,Mtoto anaweza kutaja aina moja au mbili za kazi zinazofanywa na watu wazima wanaowajua.,Picha za watu katika kazi mbalimbali,"TET(2023), STADI ZA AWALI ZA MAISHA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM","Watu wazima wanafanya kazi mbalimbali, kama vile ualimu, udaktari, uuguzi na kilimo, ili kuwahudumia wengine.","Kazi za watu zinatofautiana kulingana na mahitaji ya jamii, na kila kazi ina umuhimu wake.",Picha zinaonesha watu wakifanya kazi mbalimbali katika jamii.,Baba au mama wa mtoto anafanya kazi fulani kila siku ili kumtunza na kumlea familia yake.,Watu wazima wanafanya kazi gani katika picha?::Wanafanya kazi mbalimbali kama ualimu na udaktari||Kwa nini watu wanafanya kazi mbalimbali?::Ili kuwahudumia wengine na kutunza familia zao||Baba au mama yako anafanya kazi gani?::Majibu hutofautiana kwa kila mtoto,
2023-JSS011-Awali,Kuhusiana,Kujithamini na kuthamini wengine,Kubaini kazi zinazotendwa na wanafamilia na watu wengine,Kazi ninayopenda kufanya nikiwa mkubwa,2,Michezo ya kuigiza,Kuwaongoza Wanafunzi,Mtoto anaweza kutaja na kuigiza kazi anayopenda kuifanya atakapokuwa mkubwa.,Picha za watu katika kazi mbalimbali|Vifaa vya kuigiza kazi kama koti la daktari na kofia ya polisi,"TET(2023), STADI ZA AWALI ZA MAISHA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM","Kila mtoto anaweza kupenda kufanya kazi fulani atakapokuwa mkubwa, kama vile ualimu, udaktari au uuguzi, kutokana na kazi anazoziona zikifanywa na watu wazima.",,Kitabu kinauliza: Ungependa ufanye kazi gani ukiwa mkubwa? Kwa nini unapenda kazi hiyo? Kisha watoto wanaigiza kazi mbalimbali wanazozipenda.,Mtoto anaigiza kuwa daktari au mwalimu anapocheza na wenzake nyumbani au shuleni.,"Ungependa ufanye kazi gani ukiwa mkubwa?::Majibu hutofautiana kwa kila mtoto, mfano udaktari au ualimu||Kwa nini unapenda kazi hiyo?::Kwa sababu inasaidia watu wengine||Tunaigiza vipi kazi tunazozipenda?::Kwa kutumia vitendo na vifaa kama koti la daktari",
2023-JSS011-Awali,Kuhusiana,Kutawala hisia katika miktadha mbalimbali,Kutaja vitu anavyovipenda na asivyovipenda,Kutaja vitu ninavyovipenda,3,Majadiliano ya picha,Kuwaongoza Wanafunzi,Mwanafunzi anaweza kutaja angalau vitu vitatu anavyovipenda akitumia picha alizoonyeshwa.,Picha za mtoto msafi|Picha za mtoto akila|Picha za watoto wakicheza,"TET(2023), STADI ZA AWALI ZA MAISHA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM","Kila mtoto ana vitu anavyovipenda katika maisha yake ya kila siku, kama vile usafi, chakula, na kucheza na wenzake.","Mwalimu awaonyeshe wanafunzi picha za mtoto msafi, mtoto akila, na watoto wakicheza, kisha awaulize wanaona nini katika picha hizo na kwa nini wanavipenda vitu hivyo.",Mfano: Picha ya mtoto msafi - mwanafunzi anasema 'Napenda kuwa msafi'; Picha ya watoto wakicheza - mwanafunzi anasema 'Napenda kucheza na wenzangu'.,"Nyumbani, mtoto anaweza kumwambia mzazi wake vitu anavyovipenda kama kuoga, kula chakula kizuri, na kucheza na ndugu zake.","Unaona nini katika picha ya mtoto msafi?::Ninaona mtoto ameoga na amevaa nguo safi||Vitu gani vingine unavyovipenda?::Napenda kula, kucheza na kusoma||Kwa nini unapenda kucheza na watoto wenzako?::Kwa sababu tunafurahi pamoja",
2023-JSS011-Awali,Kuhusiana,Kutawala hisia katika miktadha mbalimbali,Kutaja vitu anavyovipenda na asivyovipenda,Kutaja vitu nisivyovipenda,3,Majadiliano ya picha,Kuwaongoza Wanafunzi,Mwanafunzi anaweza kutaja vitu asivyovipenda na kueleza kwa nini havipendi.,Picha za taka zikizagaa|Picha za watoto wasiosameheana,"TET(2023), STADI ZA AWALI ZA MAISHA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM","Kama vile kuna vitu tunavyovipenda, kuna pia vitu ambavyo hatuvipendi kwa sababu vinatuletea usumbufu au hisia mbaya.","Mwalimu awaonyeshe wanafunzi picha zinazoonesha taka zikiwa zimetapakaa na watoto wasiosameheana, kisha awaulize wanaona nini na kwa nini hawavipendi.",Mfano: Picha ya taka zikizagaa - mwanafunzi anasema 'Sipendi mazingira machafu'; Picha ya kutosameheana - mwanafunzi anasema 'Sipendi ugomvi'.,"Nyumbani, mtoto anaweza kuepuka kutupa taka ovyo na kuomba radhi anapomkosea mwenzake.",Unaona nini katika picha ya taka zikizagaa?::Ninaona uchafu umetapakaa chini||Vitu gani vingine usivyovipenda?::Sipendi ugomvi na uchafu||Eleza kwa nini huvipendi vitu hivyo?::Kwa sababu vinaleta madhara na hisia mbaya,
2023-JSS011-Awali,Kuhusiana,Kutawala hisia katika miktadha mbalimbali,Kueleza namna ya kutawala hisia,Kutawala hisia za uchokozi kwa uvumilivu,2,Michezo ya kuigiza hisia,Kuwaongoza Wanafunzi,Mwanafunzi anaweza kuonesha tabia ya uvumilivu badala ya uchokozi anapokasirishwa.,Picha za watoto wakivumiliana,"TET(2023), STADI ZA AWALI ZA MAISHA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM","Wakati mwingine tunakasirika au kuchokozwa na wenzetu, lakini ni vizuri kujifunza kuvumiliana badala ya kuchokoza.","Mwalimu aoneshe picha ya watoto wakivumiliana yenye mazungumzo 'Tunu, sipendi uchokozi' na 'Abuu, njoo tusubiri', kisha awaulize wanaona nini na hisia gani nyingine wanaweza kuzitawala.",Mfano: Tunu anamwambia mwenzake 'Sipendi uchokozi'; Abuu anamwalika mwenzake 'Njoo tusubiri' badala ya kugombana.,"Mtoto anapochezeshwa vibaya na mwenzake, anaweza kusema kwa upole badala ya kupigana.",Tunu anasema nini anapochokozwa?::Anasema 'Sipendi uchokozi'||Abuu anamwambia nini mwenzake?::Anamwambia 'Njoo tusubiri'||Hisia gani nyingine unaweza kuzitawala?::Hasira na wivu,
2023-JSS011-Awali,Kuhusiana,Kutawala hisia katika miktadha mbalimbali,Kueleza namna ya kutawala hisia,Kutawala hisia za hamu wakati wa kusubiri chakula,3,Hadithi na maadili,Kuwaongoza Wanafunzi,Mwanafunzi anaweza kusubiri kwa utulivu bila kulalamika wakati wa kusubiri zamu au chakula.,Picha za watoto wakisubiri chakula,"TET(2023), STADI ZA AWALI ZA MAISHA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM","Wakati mwingine ni lazima kusubiri, kama vile kusubiri chakula kiive, na hii inahitaji uvumilivu.",Mwalimu atumie mazungumzo ya picha 'Subirini chakula kiive' kuwafundisha wanafunzi umuhimu wa kusubiri kwa utulivu bila kulia wala kugombana.,Mfano: Watoto wanaambiwa 'Subirini chakula kiive' nao wanakaa kimya wakisubiri kwa utulivu.,"Nyumbani, mtoto anaweza kusubiri zamu yake ya kuoga au kula bila kulalamika.",Watoto wanaambiwa nini kuhusu chakula?::Wanaambiwa 'Subirini chakula kiive'||Kwa nini ni muhimu kusubiri kwa utulivu?::Ili tusigombane na tuepuke hatari||Unafanyaje unaposubiri zamu yako?::Ninakaa kimya na kuvumilia,
