subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,sla_name,sla_periods,sla_method,sla_leading,sla_assessment_criteria,sla_teaching_aids,sla_references,sla_notes_intro,sla_notes_details,sla_notes_illustrations,sla_notes_daily_life,sla_exercise,sla_diagram_type
2023-JSS004-DRS I,Kusoma,Kutambua sauti za herufi,"Kubaini sauti za irabu (a, e, i, o, u) katika maneno",Kubaini sauti ya mwanzo ya herufi a na e katika maneno,2,Kutamka kwa sauti na michezo ya kutambua sauti,Kuwaongoza Wanafunzi,Mwanafunzi anaweza kutazama picha ya kitu au tendo na kutamka kwa usahihi sauti ya mwanzo ya jina lake iwapo ni 'a' au 'e'.,picha za vitu|picha za majina|picha za matendo|chati ya sauti,"TET(2023), KUSOMA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM","Kila neno huanza na sauti fulani. Mwanafunzi hutazama picha ya kitu au tendo, hutaja jina lake, kisha hutamka sauti ya mwanzo ya neno hilo ili kubaini kama ni sauti 'a' au 'e'.","Kwa herufi a, mwanafunzi hutazama picha ya kitu kinachoanza na sauti 'a' na kutaja majina mengine yenye sauti hiyo ya mwanzo. Kwa herufi e, mwanafunzi hutazama picha za watoto wakifanya matendo na kutaja tendo linaloanza na sauti 'e'.","Mfano wa zoezi: mwanafunzi anaangalia picha ya kitu kinachoanza na sauti 'a', kisha anaangalia picha za majina kadhaa na kubainisha yale yenye sauti za mwanzo zinazofanana na 'a'. Vivyo hivyo kwa picha za matendo zenye sauti ya mwanzo 'e'.","Mwanafunzi anaweza kutumia ujuzi huu kutambua sauti za mwanzo za majina ya vitu na watu anaowaona nyumbani na sokoni, kama vile 'ardhi' au 'embe'.",Tamka sauti ya mwanzo ya neno ulilotaja kutokana na picha ya kitu::Mwanafunzi hutamka sauti 'a'||Taja maneno mengine yanayoanza na sauti 'a'::Mwanafunzi hutaja majina mengine yenye sauti ya mwanzo 'a'||Tamka sauti ya mwanzo ya tendo ulilotaja kutokana na picha::Mwanafunzi hutamka sauti 'e'||Onesha na tamka sauti ya herufi a na e::Mwanafunzi anaonesha kila herufi na kutamka sauti yake ipasavyo,
2023-JSS004-DRS I,Kusoma,Kutambua sauti za herufi,"Kubaini sauti za irabu (a, e, i, o, u) katika maneno","Kubaini sauti ya mwanzo ya herufi i, o na u katika maneno",2,Kutamka kwa sauti na michezo ya kuoanisha picha na sauti,Kuwaongoza Wanafunzi,"Mwanafunzi anaweza kutazama picha na kubainisha kwa usahihi sauti ya mwanzo ya jina au tendo iwapo ni 'i', 'o' au 'u'.",picha za watoto wakifanya matendo|picha za majina|kadi za herufi|chati ya sauti,"TET(2023), KUSOMA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM","Baada ya kujifunza sauti 'a' na 'e', mwanafunzi anaendelea kubaini sauti za mwanzo za maneno kwa herufi i, o na u kwa kutazama picha za matendo na vitu na kutamka sauti ya mwanzo ya jina lake.","Kwa herufi i, mwanafunzi hutazama picha ya mwanafunzi mwenzake akifanya tendo na kutamka sauti ya mwanzo ya tendo hilo. Kwa herufi o, hutazama picha ya mtoto akifanya tendo. Kwa herufi u, hutazama picha ya kitu na picha za majina kisha hulinganisha sauti za mwanzo zinazofanana.","Mfano wa zoezi: mwanafunzi anatazama picha za watoto wakifanya matendo mbalimbali na kubainisha tendo lenye sauti ya mwanzo isiyofanana na mengine, kisha anaoanisha picha na sauti ya mwanzo ya jina la picha hiyo.","Mwanafunzi anaweza kutumia ujuzi huu kutambua sauti za mwanzo za majina ya matendo anayoyafanya kila siku shuleni, kama vile 'imba' au 'oga'.",Tamka sauti ya mwanzo ya tendo ulilotaja kutokana na picha (herufi i)::Mwanafunzi hutamka sauti 'i'||Taja maneno mengine yanayoanza na sauti 'o'::Mwanafunzi hutaja majina mengine yenye sauti ya mwanzo 'o'||Majina yapi ya picha yana sauti za mwanzo zinazofanana na herufi 'u'?::Mwanafunzi hulinganisha majina ya picha na kubainisha yenye sauti ya mwanzo 'u'||Oanisha picha na sauti ya mwanzo ya jina la picha hiyo::Mwanafunzi anaoanisha kila picha na sauti sahihi ya mwanzo ya jina lake,
2023-JSS004-DRS I,Kusoma,Kutambua sauti za herufi,"Kuunganisha sauti za irabu ili kuunda maneno (oa, au, ua)","Kuunganisha sauti za herufi kuunda maneno au, ua, oa",2,Michezo ya kuunganisha sauti,Kuwaongoza Wanafunzi,"Mwanafunzi anaweza kuunganisha sauti mbili za irabu alizopewa na kutamka neno sahihi linaloundwa, kama vile au, ua au oa.",kadi za herufi|chati ya sauti|picha za maneno,"TET(2023), KUSOMA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM","Sauti mbili za herufi zinaweza kuunganishwa ili kuunda neno jipya. Kama inavyoonyeshwa katika kitabu, sauti ya herufi a na u zinaunda neno 'au'.","Mchakato huu unahusisha kutamka sauti ya kwanza, kisha sauti ya pili, na hatimaye kuziunganisha kwa kasi ili kupata neno kamili. Utaratibu huo huo unatumika kuunda maneno 'ua' (u + a) na 'oa' (o + a).","Mfano kutoka kitabu: sauti ya herufi a na u zinaunda neno 'au'. Vivyo hivyo, sauti u na a zinaunda neno 'ua', na sauti o na a zinaunda neno 'oa'.",Mwanafunzi anaweza kutumia ujuzi huu wa kuunganisha sauti kusoma maneno mapya anayokutana nayo katika vitabu na mazingira yake ya kila siku.,Unganisha sauti a na u kuunda neno::au||Unganisha sauti u na a kuunda neno::ua||Unganisha sauti o na a kuunda neno::oa||Sauti ya herufi a na u zinaunda neno gani?::au,
2023-JSS004-DRS I,Kusoma,Kutambua sauti za herufi,"Kuunganisha sauti za irabu ili kuunda maneno (oa, au, ua)","Kutenganisha na kusoma maneno au, ua, oa",2,Majadiliano ya vikundi na kusoma kwa sauti,Kuwaongoza Wanafunzi,Mwanafunzi anaweza kutenganisha neno alilopewa kuwa sauti zake mbili za irabu na kulisoma neno hilo kwa ufasaha.,kadi za maneno|chati ya sauti|ubao,"TET(2023), KUSOMA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM","Kama vile maneno yanavyoweza kuundwa kwa kuunganisha sauti, yanaweza pia kutenganishwa kurudi kwenye sauti zake asili. Mfano kutoka kitabu: sauti za herufi za neno 'oa' ni o a.","Mwanafunzi hutazama neno kamili (au, ua, au oa), hulitamka, kisha hulitenganisha katika sauti mbili zinazolijenga, na baadaye hulisoma tena neno zima kwa ufasaha.","Mfano kutoka kitabu: sauti za herufi za neno 'oa' ni o a. Vivyo hivyo, neno 'au' linatenganishwa kuwa a u, na neno 'ua' linatenganishwa kuwa u a.",Mwanafunzi anaweza kutumia ujuzi huu kusoma na kuelewa maneno mafupi anayoyaona kwenye vibao na vitabu vyake vya shuleni.,Sauti za herufi za neno 'oa' ni zipi?::o a||Tenganisha sauti za herufi za neno 'au'::a u||Tenganisha sauti za herufi za neno 'ua'::u a||Soma neno 'au'::au||Soma neno 'oa'::oa,
2023-JSS004-DRS I,Kusoma,Kutambua uhusiano wa sauti na herufi,"Kuhusianisha sauti na herufi za irabu (a, e, i, o, u) katika matini",Kuhusianisha sauti na herufi a na e katika matini,2,Kutazama na kutamka,Kuwaongoza Wanafunzi,Mwanafunzi anaweza kutazama herufi a au e iliyoandikwa na kutamka sauti sahihi inayolingana nayo.,kadi za herufi|chati ya herufi|ubao,"TET(2023), KUSOMA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM","Kila herufi iliyoandikwa inawakilisha sauti fulani. Baada ya kutambua sauti ya mwanzo ya neno, mwanafunzi hutazama umbo la herufi husika ili kuhusianisha sauti hiyo na herufi inayoiwakilisha katika maandishi.",Kama kitabu kinavyoonyesha: 'Tazama herufi hii: a. Tamka sauti ya herufi hii: a.' Utaratibu huo huo unafanyika kwa herufi e.,Mfano kutoka kitabu: mwanafunzi anatazama herufi iliyoandikwa 'a' na kutamka sauti 'a'; kisha anatazama herufi iliyoandikwa 'e' na kutamka sauti 'e'.,Mwanafunzi anaweza kutumia ujuzi huu kusoma majina ya vitu vilivyoandikwa kwenye vifurushi au vibao anavyokutana navyo nyumbani.,Tazama herufi 'a' kisha tamka sauti yake::a||Tazama herufi 'e' kisha tamka sauti yake::e||Herufi gani inawakilisha sauti 'a'?::herufi a||Herufi gani inawakilisha sauti 'e'?::herufi e,
2023-JSS004-DRS I,Kusoma,Kutambua uhusiano wa sauti na herufi,"Kuhusianisha sauti na herufi za irabu (a, e, i, o, u) katika matini",Kuhusianisha sauti na herufi i na o katika matini,2,Kutazama na kutamka,Kuwaongoza Wanafunzi,Mwanafunzi anaweza kutazama herufi i au o iliyoandikwa na kutamka sauti sahihi inayolingana nayo.,kadi za herufi|chati ya herufi|ubao,"TET(2023), KUSOMA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM","Mwanafunzi anaendelea kuhusianisha sauti na maumbo ya herufi kwa herufi i na o, kama inavyofundishwa kwa herufi a na e: 'Tazama herufi hii. Tamka sauti ya herufi hii.'","Utaratibu huu unamsaidia mwanafunzi kuunganisha kile anachokisikia (sauti) na kile anachokiona kimeandikwa (herufi), msingi muhimu wa kusoma matini.",Mfano kutoka kitabu: mwanafunzi anatazama herufi iliyoandikwa 'i' na kutamka sauti 'i'; kisha anatazama herufi iliyoandikwa 'o' na kutamka sauti 'o'.,Mwanafunzi anaweza kutumia ujuzi huu kusoma majina ya wanafunzi wenzake au maneno mafupi yaliyoandikwa darasani.,Tazama herufi 'i' kisha tamka sauti yake::i||Tazama herufi 'o' kisha tamka sauti yake::o||Herufi gani inawakilisha sauti 'i'?::herufi i||Herufi gani inawakilisha sauti 'o'?::herufi o,
2023-JSS004-DRS I,Kusoma,Kutambua uhusiano wa sauti na herufi,"Kuhusianisha sauti na herufi za irabu (a, e, i, o, u) katika matini",Kuhusianisha sauti na herufi u katika matini,1,Kusikiliza na kutamka,Kuwaongoza Wanafunzi,Mwanafunzi anaweza kutazama au kusikiliza sauti ya herufi u na kuhusianisha kwa usahihi na herufi inayoiwakilisha.,kadi za herufi|kinasa sauti|chati ya herufi,"TET(2023), KUSOMA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM","Hatua ya mwisho ya sura hii inamalizia mzunguko wa irabu tano kwa kuhusianisha sauti na herufi u, ikiwa ni pamoja na kusikiliza sauti za herufi zilizorekodiwa na kuzitamka.","Kama kitabu kinavyoelekeza: 'Sikiliza na tamka sauti za herufi a e i o u zilizorekodiwa', mwanafunzi anazingatia hasa herufi u katika hatua hii.","Mfano kutoka kitabu: mwanafunzi anatazama herufi iliyoandikwa 'u' na kutamka sauti 'u', na pia anasikiliza sauti ya herufi u iliyorekodiwa na kuitamka.",Mwanafunzi anaweza kutumia ujuzi huu kusoma na kutamka sauti sahihi za herufi anazoziona kwenye vitabu na matangazo shuleni.,Tazama herufi 'u' kisha tamka sauti yake::u||Herufi gani inawakilisha sauti 'u'?::herufi u||Sikiliza sauti ya herufi u iliyorekodiwa kisha itamke::u,
2023-JSS004-DRS I,Kusoma,Kutambua sauti za herufi,Kutambua sauti za konsonanti kwenye maneno,"Kutambua sauti za konsonanti b, m, k, d, n kwenye maneno",2,Maswali na majibu ya mdomo yakiongozwa na picha; kutamka sauti ya mwanzo ya majina ya vitu vilivyoonyeshwa kwenye picha,Kuwaongoza Wanafunzi,Mwanafunzi anaweza kutamka kwa usahihi sauti ya mwanzo ya neno analoliona kwenye picha na kutaja maneno mengine yenye sauti hiyohiyo ya mwanzo,"kadi za herufi|picha za vitu (babu, mama, duka, nanasi, kuku)|chati ya sauti","TET(2023), KUSOMA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM",Kila neno huanza na sauti fulani inayowakilishwa na herufi ya konsonanti; kutambua sauti hiyo ni hatua ya kwanza ya kujifunza kusoma,"Mwalimu anaonyesha picha ya kitu, mwanafunzi anataja jina la kitu hicho kisha anatamka sauti ya mwanzo ya jina hilo; baadaye anataja maneno mengine yanayoanza na sauti hiyohiyo","babu (b), mama (m), kuku (k), duka (d), nanasi (n) -- kila neno linatambuliwa kwa sauti yake ya mwanzo",Mtoto anapoona picha ya babu yake nyumbani anaweza kutamka sauti ya mwanzo 'b' ya neno babu,Sauti ya mwanzo ya neno babu ni ipi?::b||Sauti ya mwanzo ya neno mama ni ipi?::m||Sauti ya mwanzo ya neno duka ni ipi?::d,
2023-JSS004-DRS I,Kusoma,Kutambua sauti za herufi,Kutambua herufi kubwa na ndogo,"Kutambua herufi kubwa na ndogo za b, m, k, d, n",2,Kuonyesha kadi za herufi na kuzitamka; kulinganisha umbo la herufi kubwa na herufi ndogo ubaoni,Kuwaongoza Wanafunzi,"Mwanafunzi anaweza kuonesha na kutamka herufi B/b, M/m, K/k, D/d, N/n zikiwa kubwa au ndogo bila kuchanganya",kadi za herufi kubwa na ndogo|ubao|chati ya alfabeti,"TET(2023), KUSOMA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM",Kila herufi ina umbo la herufi kubwa (inayotumika mwanzoni mwa sentensi au jina) na umbo la herufi ndogo (inayotumika sehemu nyingine ya neno),"Mwalimu anaonyesha herufi b iliyoandikwa kwa herufi kubwa B na herufi ndogo b, mwanafunzi anatazama na kutamka sauti ya herufi hiyo katika maumbo yote mawili; hurudiwa kwa m/M, k/K, d/D, n/N","B/b kama katika Babu, M/m kama katika Mama, K/k kama katika Kuku, D/d kama katika Duka, N/n kama katika Nanasi","Mtoto anapoandika jina lake analotumia herufi kubwa mwanzoni, mfano Baraka, anahitaji kutambua tofauti kati ya B kubwa na b ndogo",Herufi kubwa ya b ni ipi?::B||Herufi ndogo ya M ni ipi?::m||Andika herufi kubwa ya k::K,
2023-JSS004-DRS I,Kusoma,Kutambua sauti za herufi,Kuunganisha sauti za konsonanti na irabu ili kuunda silabi,"Kuunganisha sauti za konsonanti b, m, k, d, n na irabu a e i o u ili kuunda silabi",2,Mazoezi ya kuunganisha sauti kwa kutamka pamoja na kadi za silabi; mwalimu anaonyesha mfano kisha wanafunzi wanaiga,Kuwaongoza Wanafunzi,Mwanafunzi anaweza kuunganisha sauti ya konsonanti na irabu kwa mdomo na kutamka silabi sahihi inayotokana nazo,kadi za silabi|chati ya irabu a e i o u|ubao,"TET(2023), KUSOMA, KITABU CHA MWANAFUNZI, DARASA LA KWANZA, TET, DAR ES SALAAM",Sauti ya konsonanti inapoungana na sauti ya irabu huunda silabi; kwa mfano sauti b na a zinaunda silabi ba,"Mwalimu anatamka sauti mbili kwa zamu, mfano b na a, kisha anaonyesha zinavyoungana kuunda silabi ba; hurudiwa kwa herufi m, k, d, n na irabu zote tano","b+a=ba, b+e=be (kama katika Zoezi la kwanza); m+a=ma, m+e=me; k+a=ka, k+e=ke; d+a=da, d+e=de; n+a=na, n+e=ne",Mtoto anapotaka kuandika jina la mama yake anahitaji kuunganisha sauti za konsonanti na irabu ili kupata silabi ma,Sauti b na a zinaunda silabi gani?::ba||Sauti m na u zinaunda silabi gani?::mu||Sauti d na o zinaunda silabi gani?::do,
