subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,sla_name,sla_periods,sla_method,sla_leading,sla_assessment_criteria,sla_teaching_aids,sla_references,sla_notes_intro,sla_notes_details,sla_notes_illustrations,sla_notes_daily_life,sla_exercise,sla_diagram_type
2023-JSS006-DRS II,"Kuthamini Utamaduni, Sanaa na Michezo",Kuthamini utamaduni wake na wa watu wengine,Kubaini makazi ya asili ya Kitanzania,Kutambua aina za nyumba za asili za Kitanzania,1,Majadiliano ya vikundi,Kuwaongoza Wanafunzi,"Mwanafunzi anaweza kutaja aina tatu za nyumba za asili za Kitanzania (msonge, banda na tembe).",picha za nyumba za asili|chati ya aina za nyumba|vielelezo halisi,"TET(2023), KUTHAMINI UTAMADUNI SANAA NA MICHEZO, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM","Nyumba ni jengo ambalo watu huishi, na nyumba za asili hutumika kama makazi ya jamii za Kitanzania. Kuna aina mbalimbali za nyumba za asili kama vile msonge, banda na tembe.","Kila aina ya nyumba ya asili hutofautiana kwa umbo la paa na vifaa vinavyotumika kuijenga, na hutumiwa na jamii tofauti za Kitanzania kulingana na mazingira yao.","Mfano: nyumba ya msonge ina paa lililochongoka, nyumba ya banda ina paa la pande mbili, na nyumba ya tembe ina paa tambarare.",Mwanafunzi anaweza kutambua aina ya nyumba anayoishi nyumbani kwake na kuilinganisha na nyumba za asili alizojifunza.,"Taja aina tatu za nyumba za asili za Kitanzania::Msonge, banda na tembe||Nyumba ni nini?::Jengo ambalo watu huishi||Nyumba za asili hutumika kwa ajili gani?::Kama makazi ya jamii za Kitanzania",
2023-JSS006-DRS II,"Kuthamini Utamaduni, Sanaa na Michezo",Kuthamini utamaduni wake na wa watu wengine,Kubaini makazi ya asili ya Kitanzania,Nyumba ya msonge: ujenzi na jamii zinazoitumia,2,Maonyesho ya picha na majadiliano,Kuwaongoza Wanafunzi,Mwanafunzi anaweza kueleza vifaa vinavyotumika kujenga nyumba ya msonge na kutaja jamii mbili zinazoitumia.,picha za nyumba ya msonge|fito|nyasi ngumu|chati,"TET(2023), KUTHAMINI UTAMADUNI SANAA NA MICHEZO, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",Nyumba ya msonge ni nyumba ambayo inajengwa ikiwa na paa lililochongoka.,"Nyumba hii hujengwa kwa kutumia fito, magamba ya migomba, magome ya miti, matope, matawi ya mimea au nyasi ngumu. Jamii zinazotumia nyumba hii ni pamoja na Wahaya, Wasafwa, Wafipa, Wachaga, Waha na Wanyambo.","Mfano: nyumba ya msonge yenye paa lililochongoka lililojengwa kwa fito na nyasi ngumu, kama zinavyotumiwa na Wachaga na Waha.",Mwanafunzi anaweza kutambua nyumba ya msonge anapoiona kijijini au kwenye picha na kueleza vifaa vilivyotumika kuijenga.,"Nyumba ya msonge ina paa la aina gani?::Paa lililochongoka||Taja vifaa vinne vinavyotumika kujenga nyumba ya msonge::Fito, magamba ya migomba, matope na nyasi ngumu||Taja jamii mbili zinazotumia nyumba ya msonge::Wahaya na Wachaga",
2023-JSS006-DRS II,"Kuthamini Utamaduni, Sanaa na Michezo",Kuthamini utamaduni wake na wa watu wengine,Kubaini makazi ya asili ya Kitanzania,Nyumba ya banda: ujenzi na jamii zinazoitumia,1,Majadiliano ya vikundi,Kuwaongoza Wanafunzi,Mwanafunzi anaweza kueleza umbo la paa la nyumba ya banda na kutaja vifaa vitatu vinavyotumika kuijenga.,picha za nyumba ya banda|mianzi|matete|chati,"TET(2023), KUTHAMINI UTAMADUNI SANAA NA MICHEZO, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",Nyumba ya banda ni aina ya nyumba yenye paa la pande mbili.,"Ujenzi wake hutumia fito, mianzi, matete, mirunda, udongo, kinyesi cha mifugo, nyasi, makuti au matawi ya mimea. Jamii zinazotumia nyumba hii ni Wanyamwezi, Wasukuma, Wanyakyusa na Wamwera.","Mfano: nyumba ya banda yenye paa la pande mbili iliyojengwa kwa mianzi na matete, kama inavyotumiwa na Wasukuma.",Mwanafunzi anaweza kulinganisha paa la nyumba ya banda na paa la nyumba anayoishi.,Nyumba ya banda ina paa la aina gani?::Paa la pande mbili||Taja vifaa viwili vinavyotumika kujenga nyumba ya banda::Mianzi na matete||Taja jamii mbili zinazotumia nyumba ya banda::Wasukuma na Wanyamwezi,
2023-JSS006-DRS II,"Kuthamini Utamaduni, Sanaa na Michezo",Kuthamini utamaduni wake na wa watu wengine,Kubaini makazi ya asili ya Kitanzania,Nyumba ya tembe: ujenzi na jamii zinazoitumia,1,Majadiliano ya vikundi,Kuwaongoza Wanafunzi,Mwanafunzi anaweza kueleza umbo la paa la nyumba ya tembe na kutaja jamii mbili zinazoitumia.,picha za nyumba ya tembe|udongo|nyasi|chati,"TET(2023), KUTHAMINI UTAMADUNI SANAA NA MICHEZO, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",Nyumba ya tembe ni aina ya nyumba ambayo paa lake ni tambarare.,"Paa hilo hufunikwa kwa nyasi na udongo. Nyumba hii hujengwa kwa kutumia fito, udongo na nyasi. Jamii zinazotumia nyumba hii ni Wagogo, Wanyaturu, Wanyiramba, Wasandawe na Wanyisanzu.","Mfano: nyumba ya tembe yenye paa tambarare lililofunikwa kwa udongo na nyasi, kama inavyotumiwa na Wagogo.",Mwanafunzi anaweza kutambua nyumba ya tembe kijijini na kueleza kwa nini paa lake ni tambarare.,Nyumba ya tembe ina paa la aina gani?::Paa tambarare||Paa la nyumba ya tembe hufunikwa kwa nini?::Nyasi na udongo||Taja jamii mbili zinazotumia nyumba ya tembe::Wagogo na Wanyaturu,
2023-JSS006-DRS II,"Kuthamini Utamaduni, Sanaa na Michezo",Kuthamini utamaduni wake na wa watu wengine,Kubaini shughuli mbalimbali za jamii za Kitanzania,Ufugaji: wanyama na ndege wanaofugwa na jamii za Kitanzania,1,Majadiliano ya vikundi,Kuwaongoza Wanafunzi,Mwanafunzi anaweza kutaja wanyama na ndege wanaofugwa na kueleza faida za ufugaji.,picha za wanyama wafugwao|picha za ndege wafugwao|chati,"TET(2023), KUTHAMINI UTAMADUNI SANAA NA MICHEZO, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",Ufugaji ni shughuli inayohusisha utunzaji wa wanyama na ndege.,"Baadhi ya wanyama wafugwao ni ng'ombe, mbuzi, kondoo na sungura, na ndege wafugwao ni kuku, bata na kanga. Ufugaji unamsaidia mtu kujipatia chakula na fedha. Jamii zinazojishughulisha na ufugaji ni pamoja na Wamasai, Wasukuma, Wakurya, Wanyambo, Wanyaturu na Wagogo.","Mfano: Wamasai na Wasukuma hufuga ng'ombe, mbuzi na kondoo kwa ajili ya chakula na biashara.",Mwanafunzi anaweza kutambua wanyama au ndege wanaofugwa nyumbani kwake na kueleza faida zake.,"Taja wanyama wanne wanaofugwa::Ng'ombe, mbuzi, kondoo na sungura||Taja ndege watatu wanaofugwa::Kuku, bata na kanga||Ufugaji unamsaidia mtu kupata nini?::Chakula na fedha",
2023-JSS006-DRS II,"Kuthamini Utamaduni, Sanaa na Michezo",Kuthamini utamaduni wake na wa watu wengine,Kubaini shughuli mbalimbali za jamii za Kitanzania,Kilimo: mazao na jamii za wakulima wa Kitanzania,2,Maonyesho ya mazao na majadiliano,Kuwaongoza Wanafunzi,Mwanafunzi anaweza kutaja mazao manne yanayolimwa na kueleza matumizi yake.,"mazao halisi (mahindi, maharagwe)|picha za mazao|chati ya mazao","TET(2023), KUTHAMINI UTAMADUNI SANAA NA MICHEZO, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",Kilimo ni shughuli inayohusisha uzalishaji wa mazao ya chakula na biashara.,"Wakulima hujihusisha na kilimo cha mazao kama mahindi, mpunga, maharagwe, migomba, viazi, korosho, karanga, mkonge, michikichi na pamba. Jamii za wakulima ni pamoja na Wahehe, Wanyakyusa, Wanyamwezi, Wahaya, Wazigua, Wasukuma, Wapogoro, Wayao, Waluguru na Waha.","Mfano: mahindi na mpunga hutumika kwa chakula, huku korosho na pamba hutumika kwa biashara.",Mwanafunzi anaweza kutambua zao analolila nyumbani na kueleza kama linatumika kwa chakula au biashara.,"Taja mazao matatu ya chakula::Mahindi, mpunga na maharagwe||Taja zao moja la biashara::Pamba||Taja jamii mbili za wakulima::Wahehe na Wasukuma",
2023-JSS006-DRS II,"Kuthamini Utamaduni, Sanaa na Michezo",Kuthamini utamaduni wake na wa watu wengine,Kubaini shughuli mbalimbali za jamii za Kitanzania,Uvuvi: vifaa na samaki wanaovuliwa na jamii za Kitanzania,1,Majadiliano ya vikundi,Kuwaongoza Wanafunzi,Mwanafunzi anaweza kutaja vifaa vya uvuvi na aina za samaki wanaovuliwa.,picha za shughuli za uvuvi|nyavu|ndoano|chati,"TET(2023), KUTHAMINI UTAMADUNI SANAA NA MICHEZO, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",Uvuvi ni shughuli inayohusisha uvuaji wa samaki.,"Shughuli hii hufanyika katika maziwa, mito, mabwawa na bahari. Vifaa vinavyotumika ni nyavu, ndoano, chambo, mitumbwi na meli. Samaki wanaovuliwa ni perege, sangara, sato, kambale, dagaa na pweza. Jamii za wavuvi ni Wanyasa, Wapemba, Wadigo, Wajita, Wasukuma na Waha.",Mfano: wavuvi wa Ziwa Victoria huvua sangara na dagaa kwa kutumia nyavu na mitumbwi.,Mwanafunzi anaweza kutambua samaki wanaoliwa nyumbani kwake na kujua wanakotoka.,Taja maeneo mawili yanayofanyika uvuvi::Maziwa na bahari||Taja vifaa viwili vya uvuvi::Nyavu na ndoano||Taja aina mbili za samaki::Sangara na dagaa,
2023-JSS006-DRS II,"Kuthamini Utamaduni, Sanaa na Michezo",Kuthamini utamaduni wake na wa watu wengine,Kubaini shughuli mbalimbali za jamii za Kitanzania,Biashara: bidhaa zinazouzwa na jamii za Kitanzania,1,Ziara ya mazingira,Kuwaongoza Wanafunzi,Mwanafunzi anaweza kutaja bidhaa zinazouzwa na kueleza umuhimu wa biashara.,picha za bidhaa za biashara|vitu halisi vya kuuza|chati,"TET(2023), KUTHAMINI UTAMADUNI SANAA NA MICHEZO, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM",Biashara ni shughuli inayohusisha uuzaji na ununuzi wa vitu ili kupata faida.,"Baadhi ya bidhaa zinazouzwa ni mbogamboga, matunda, nguo, viatu, kalamu, vitabu, daftari, simu, kompyuta na vyombo vya nyumbani. Jamii za wafanyabiashara ni Wachaga, Wakinga na Wapemba.","Mfano: sokoni huuzwa mbogamboga, matunda na nguo kwa ajili ya faida.",Mwanafunzi anaweza kutambua bidhaa zinazouzwa sokoni karibu na nyumbani kwake.,"Biashara ni nini?::Shughuli ya kuuza na kununua vitu ili kupata faida||Taja bidhaa tatu zinazouzwa::Mbogamboga, matunda na nguo||Taja jamii moja ya wafanyabiashara::Wachaga",
2023-JSS006-DRS II,"Kuthamini Utamaduni, Sanaa na Michezo",Kuheshimu tofauti za kiimani,Kuhusianisha imani na maadili mema,Kutambua imani mbalimbali na mchango wa ibada katika kujenga maadili mema,3,Majadiliano ya vikundi,Kuwaongoza Wanafunzi,Mwanafunzi anaweza kutaja aina za imani zilizopo katika jamii yake na kueleza jinsi kusali kunavyomsaidia mtu kuwa na maadili mema.,Kitabu cha mwanafunzi|Picha za maeneo ya ibada|Kadi za maneno,"TET(2023), KUTHAMINI UTAMADUNI SANAA NA MICHEZO, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM","Watu huenda kusali ili wawe watu wema na wenye maadili. Katika jamii yetu kuna imani za dini mbalimbali kama vile Uislamu, Ukristo na Uhindu. Kusali humsaidia mtu kuwa mwema, mwenye upendo, anayejiheshimu, mvumilivu na kufanya kazi pamoja na wengine.","Kusali pia humsaidia mtu kujiepusha na tabia mbaya kama vile uchoyo, wizi, ugomvi, uongo na rushwa. Watu wanaposali wanajifunza kuwa wema na wenye tabia njema, na tabia njema ni muhimu katika maendeleo ya mtu na jamii yake. Mtu mwema na mwenye maadili hukubalika katika jamii.","Mfano: Katika habari ya kitabuni, imeelezwa kuwa mtu anayeshiriki ibada hujifunza upendo, uvumilivu na ushirikiano, na huepuka tabia mbaya kama wizi na uongo, hivyo hukubalika katika jamii yake.","Mwanafunzi anapokwenda msikitini, kanisani au hekaluni pamoja na wazazi wake, hujifunza kuwa mpole na mvumilivu, hivyo huwasaidia wenzake vizuri shuleni na nyumbani.","Ni matendo gani ya tabia njema uliyoyasoma katika habari hii?::Kuwa mwema, mwenye upendo, anayejiheshimu, mvumilivu na kufanya kazi pamoja||Kwa nini watu wanashiriki ibada?::Ili wawe watu wema na wenye maadili, na kujiepusha na tabia mbaya kama uchoyo, wizi, ugomvi, uongo na rushwa||Taja dini tatu zinazopatikana katika jamii yetu.::Uislamu, Ukristo na Uhindu",
2023-JSS006-DRS II,"Kuthamini Utamaduni, Sanaa na Michezo",Kuheshimu tofauti za kiimani,Kuhusianisha imani na maadili mema,"Kujifunza tabia njema kupitia hadithi ya Furaha, Tumaini na Baraka",2,Usimuliaji wa hadithi,Kuwaongoza Wanafunzi,"Mwanafunzi anaweza kusimulia kwa ufupi hadithi ya Furaha, Tumaini na Baraka na kueleza umuhimu wa kuhudhuria kipindi cha dini.",Kitabu cha mwanafunzi|Picha za wanafunzi shuleni|Chati ya hadithi,"TET(2023), KUTHAMINI UTAMADUNI SANAA NA MICHEZO, KITABU CHA MWANAFUNZI, DARASA LA PILI, TET, DAR ES SALAAM","Katika Shule ya Msingi Amani kulikuwa na wanafunzi watatu wa Darasa la Pili, Furaha, Tumaini na Baraka, wenye imani tofauti. Katika kipindi cha dini walijifunza kuwa na upendo, uvumilivu, ushirikiano na kuwajali wengine.","Furaha na Tumaini walikuwa watiifu na wenye bidii ya kuhudhuria kipindi cha dini, lakini Baraka hakupenda kuhudhuria na alikuwa mkorofu, mchoyo na asiyejali wenzake. Mwalimu alieleza kuwa asiyehudhuria kipindi cha dini hukosa kujifunza mambo mema na hatakubalika katika jamii. Furaha na Tumaini walimshauri Baraka, naye akakubali na kuanza kushiriki, hivyo wote watatu wakawa na tabia njema na upendo.","Mfano: Baraka alipoendelea kutorokea kipindi cha dini, wenzake Furaha na Tumaini hawakumwacha bali walimshauri kwa upendo, naye akabadilika na kuwa mtoto mwenye tabia njema kama wenzake.","Mwanafunzi anapoona mwenzake hataki kushiriki shughuli njema za darasani, anaweza kumshauri kwa upendo kama walivyofanya Furaha na Tumaini kwa Baraka.","Ni mwanafunzi yupi katika hadithi alikuwa hapendi kushiriki kipindi cha dini?::Baraka||Baraka alikuwa na tabia gani kabla ya kushauriwa na wenzake?::Alikuwa mkorofu, mchoyo na asiyejali wenzake||Taja mambo matatu yanayofundishwa katika kipindi cha dini.::Upendo, uvumilivu na ushirikiano",
