subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,sla_name,sla_periods,sla_method,sla_leading,sla_assessment_criteria,sla_teaching_aids,sla_references,sla_notes_intro,sla_notes_details,sla_notes_illustrations,sla_notes_daily_life,sla_exercise,sla_diagram_type
2023-JSS018-DRS V,Kubuni kazi za sanaa,Kumudu misingi ya uimbaji na uigizaji,Kuigiza kwa kutumia vitendo na sauti na vitendo bila sauti (mime),Maana na mambo ya kuzingatia katika uigizaji wa vitendo na sauti,3,Maelezo na Majadiliano,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kueleza maana ya uigizaji wa vitendo na sauti na kutaja angalau mambo manne ya kuzingatia katika uigizaji huo.,Kitabu cha mwanafunzi|Barakoa|Maleba|Kielelezo namba 1,"TET(2023), SANAA NA MICHEZO, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM",Uigizaji wa vitendo na sauti ni aina ya uigizaji ambayo hutumia maneno na vitendo kufikisha ujumbe kwa hadhira. Ufanisi wa igizo unategemea sana uwezo wa muigizaji katika kuweka uwiano wa vitendo na sauti.,"Mambo ya kuzingatia ni pamoja na kumuelewa mhusika unayemuigiza (tabia, historia na malengo yake), matumizi ya lugha ya mwili na ishara zinazoendana na hisia, matumizi sahihi ya sauti kwa kubadilisha matamshi na kasi, na uhalisia katika uigizaji kwa kuepuka kurudia hisia zilezile.",Kielelezo namba 1 kinaonesha wanafunzi wakionesha igizo jukwaani wakitumia vitendo na sauti kuwasilisha ujumbe kwa hadhira.,Wanafunzi hutumia vitendo na sauti wanapoigiza kwenye sherehe za shule au wanapowasilisha hadithi mbele ya wenzao darasani.,Uigizaji wa vitendo na sauti ni nini?::Ni aina ya uigizaji inayotumia maneno na vitendo kufikisha ujumbe kwa hadhira.||Taja mambo mawili ya kuzingatia katika uigizaji wa vitendo na sauti.::Kumuelewa mhusika unayemuigiza na matumizi sahihi ya sauti (pia lugha ya mwili na uhalisia).||Kielelezo namba 1 kinaonesha nini?::Kinaonesha wanafunzi wakionesha igizo jukwaani.||Ufanisi wa igizo unategemea nini?::Unategemea uwezo wa muigizaji katika kuweka uwiano wa vitendo na sauti.,
2023-JSS018-DRS V,Kubuni kazi za sanaa,Kumudu misingi ya uimbaji na uigizaji,Kuigiza kwa kutumia vitendo na sauti na vitendo bila sauti (mime),"Ushirikiano, kutawala jukwaa na uwiano wa sauti na vitendo katika uigizaji",2,Igizo,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kuonesha ushirikiano na waigizaji wenzake na kutawala jukwaa akizingatia uwiano wa sauti na vitendo.,Kitabu cha mwanafunzi|Jukwaa la darasa|Maleba,"TET(2023), SANAA NA MICHEZO, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM","Muigizaji anapaswa kushirikiana na waigizaji wenzake kwa kusikiliza na kujibu ipasavyo mazungumzo yao, na kujenga uwezo wa kutawala jukwaa asionekane akikaa sehemu moja muda wote.","Muigizaji anapaswa kufanya mazoezi ya mara kwa mara ili kuboresha sauti na mwonekano wake jukwaani, na kuhakikisha sauti na vitendo vinaendana; kwa mfano muigizaji mwenye huzuni hatakiwi kuwa na sauti yenye nguvu au kuonyesha hisia za msisimko.",Mfano wa Kazi ya kufanya namba 2 unaonesha igizo la Manenge na Mandawa wanaosimulia hadithi ya vijiji vya Kumekucha na Mtakuja wakizingatia uwiano wa sauti na vitendo.,Watoto hujifunza kusikiliza na kuitikia mazungumzo ya wenzao wanapoigiza michezo shuleni.,Kwa nini muigizaji anapaswa kusikiliza waigizaji wenzake?::Ili aweze kujibu ipasavyo mazungumzo yao wakati wa mazoezi na maonesho ya uigizaji.||Toa mfano wa jinsi ya kuweka uwiano kati ya sauti na vitendo.::Muigizaji mwenye huzuni hapaswi kuwa na sauti yenye nguvu au kuonesha hisia za msisimko.||Nini kifanyike ili kuboresha uigizaji mara kwa mara?::Kusoma matini ya tamthilia au kutazama filamu za maigizo ya jukwaani na kujaribu kuigiza wahusika.,
2023-JSS018-DRS V,Kubuni kazi za sanaa,Kumudu misingi ya uimbaji na uigizaji,Kuigiza kwa kutumia vitendo na sauti na vitendo bila sauti (mime),Maana na vipengele muhimu vya uigizaji bubu,2,Maelezo na Majadiliano,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kueleza maana ya uigizaji bubu na kutaja vipengele muhimu vinavyotumika kufikisha ujumbe bila maneno.,Kitabu cha mwanafunzi|Picha za uigizaji bubu,"TET(2023), SANAA NA MICHEZO, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM","Uigizaji bubu ni sanaa ya uigizaji ambayo muigizaji hutumia vitendo bila maneno kufikisha ujumbe kwa hadhira, ukitegemea lugha ya ishara, miondoko ya mwili na muonekano wa uso badala ya maneno.","Aina hii ya uigizaji hujulikana kama uigizaji wa kimyakimya na inasadikika kuwa ilianza pale mwanadamu wa kwanza alipoanza kuishi duniani. Vipengele muhimu vyake ni kufikisha ujumbe kwa miondoko ya mwili, muziki na hisia, ishara za uso, lugha ya alama, na mbinu ya kuonyesha matumizi ya vitu visivyoonekana.",Mfano wa mbinu ya kuonyesha matumizi ya vitu visivyoonekana ni kufunga mlango bila kuwepo mlango halisi au kushika kikombe kisichoonekana.,"Watu hutumia vitendo bila maneno wanapowasiliana pale maneno yasipokuwa ya lazima, mfano kuashiria kimya kwa kuweka kidole mdomoni.",Uigizaji bubu ni nini?::Ni sanaa ya uigizaji ambapo muigizaji hutumia vitendo bila maneno kufikisha ujumbe kwa hadhira.||Taja vipengele viwili muhimu vya uigizaji bubu.::Miondoko ya mwili na ishara za uso (pia muziki na mivumo ya sauti).||Toa mfano wa mbinu ya kuonyesha matumizi ya vitu visivyoonekana.::Kufunga mlango bila kuwepo mlango halisi au kushika kikombe kisichoonekana.,
2023-JSS018-DRS V,Kubuni kazi za sanaa,Kumudu misingi ya uimbaji na uigizaji,Kuigiza kwa kutumia vitendo na sauti na vitendo bila sauti (mime),Mambo ya kuzingatia katika uigizaji bubu,2,Kufuatisha,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kuigiza kwa kufuata angalau mambo matatu ya kuzingatia katika uigizaji bubu.,Kitabu cha mwanafunzi|Nafasi ya jukwaa,"TET(2023), SANAA NA MICHEZO, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM","Uigizaji bubu unahitaji matumizi ya viungo vya mwili kuelezea mawazo na hisia, na mawasiliano kwa ishara za uso yanayoeleweka kwa hadhira kirahisi.","Mambo mengine ya kuzingatia ni mbinu ya matumizi ya vitu visivyoonekana kwa kuzingatia ukubwa na uzito wake, mpangilio wa miondoko unaoendana na kasi ya tukio, ushirikishaji wa hadhira kwa kuikabili, mpangilio na mtiririko mzuri wa igizo, na mazoezi ya nguvu na unyumbufu wa mwili.",Mfano wa kuonesha hisia za furaha ni kuruka kwa nguvu au kuruka huku ukicheka; mfano wa kubadilisha kasi ya miondoko ni kutotembea kwa mwendo wa kawaida unapoigiza kupanda mlima mkali.,Watoto huwasiliana kwa ishara wanapocheza michezo isiyohitaji maneno kama vile mchezo wa kuku na mwewe.,Kwa nini muigizaji bubu anapaswa kudumisha uhusiano na hadhira?::Ili kuhakikisha hadhira inafuatilia igizo kwa karibu.||Toa mfano wa jinsi ya kuonesha hisia za furaha kwa mwili.::Kuruka kwa nguvu au kuruka huku ukicheka.||Kwa nini mazoezi ya nguvu na unyumbufu wa mwili ni muhimu katika uigizaji bubu?::Kwa sababu uigizaji bubu unahitaji mwili wenye nguvu na unyumbufu wa kutosha.,
2023-JSS018-DRS V,Kubuni kazi za sanaa,Kumudu misingi ya uimbaji na uigizaji,Kuigiza kwa kutumia vitendo na sauti na vitendo bila sauti (mime),Umuhimu na changamoto za uigizaji bubu,1,Majadiliano,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kutaja angalau faida mbili na changamoto mbili za uigizaji bubu.,Kitabu cha mwanafunzi,"TET(2023), SANAA NA MICHEZO, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM","Uigizaji bubu una nafasi kubwa katika jamii na ulimwengu wa sanaa kwa ujumla, ikiwemo kutangaza mila na desturi za taifa na kukuza ubunifu wa hali ya juu.","Miongoni mwa faida zake ni kutumika kama njia ya kufundishia watoto wenye mahitaji maalumu kama walemavu wa kusikia, na kuburudisha kwa mvuto wa kipekee. Changamoto zake ni waigizaji kupata ugumu bila ustadi wa kutosha, kuhitaji muda mrefu wa mazoezi, na uelewa mdogo wa baadhi ya hadhira.",Mfano wa umuhimu wake ni matumizi yake kufundishia watoto wenye ulemavu wa kusikia kuwasilisha ujumbe kwa vitendo.,Watu huona uigizaji bubu kwenye maonesho ya jukwaani na filamu za kuchekesha zisizo na maneno.,Taja faida mbili za uigizaji bubu.::Kukuza ubunifu na kutumika kama njia ya kufundishia watoto wenye ulemavu wa kusikia.||Taja changamoto moja ya uigizaji bubu.::Waigizaji kupata ugumu endapo hawana ustadi wa kutosha kuwasilisha ujumbe kwa njia ya matendo.||Kwa nini baadhi ya watu hawaelewi ujumbe wa uigizaji bubu kwa urahisi?::Kwa sababu si kila mtu ana ujuzi wa kutafsiri uigizaji bubu ili kupata ujumbe uliokusudiwa.,
2023-JSS018-DRS V,Kubuni kazi za sanaa,Kumudu misingi ya uimbaji na uigizaji,Kuimba kwa kuzingatia mienendo ya muziki (dynamics) na uwiano wa sauti (voice balancing),Mienendo ya muziki na istilahi zake,3,Maonesho,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kutaja na kueleza maana ya angalau istilahi tano za mienendo ya muziki.,Kitabu cha mwanafunzi|Kinanda|Chati ya alama za mienendo,"TET(2023), SANAA NA MICHEZO, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM","Mienendo ya muziki inahusisha mabadiliko ya kiwango au ukubwa wa sauti wakati wa kuimba au kupiga ala, ikihusisha kuongezeka na kupungua kwa sauti.","Istilahi za mienendo ni piano (p) kwa sauti nyororo, mezzo-piano (mp) kwa sauti nyororo kiasi, pianissimo (pp) kwa sauti nyororo sana, forte (f) kwa sauti kubwa, mezzo-forte (mf) kwa sauti kubwa kiasi, fortissimo (ff) kwa sauti kubwa zaidi, crescendo kwa kuongeza sauti taratibu, na decrescendo au diminuendo kwa kupunguza sauti taratibu.",Alama za crescendo (<) na decrescendo (>) huwakilisha kuongeza au kupunguza sauti taratibu wakati wa kuimba au kupiga ala.,"Wimbo wa taifa unapoimbwa kwenye tukio kubwa, waimbaji hutumia forte kuonesha msisimko na piano wanapoimba sehemu tulivu.","Piano (p) inamaanisha nini katika uimbaji?::Kuimba au kupiga ala kwa sauti nyororo, mara nyingi katika hali ya utulivu.||Forte (f) inamaanisha nini?::Kuimba au kupiga ala kwa sauti kubwa, mara nyingi katika hali ya msisimko.||Crescendo inawakilishwa kwa alama gani?::Alama ya < inayoonesha kuongeza sauti taratibu.||Decrescendo au diminuendo inamaanisha nini?::Kuimba au kupiga ala kwa kupunguza sauti taratibu, huwakilishwa kwa alama ya >.",
2023-JSS018-DRS V,Kubuni kazi za sanaa,Kumudu misingi ya uimbaji na uigizaji,Kuimba kwa kuzingatia mienendo ya muziki (dynamics) na uwiano wa sauti (voice balancing),Umuhimu wa mienendo katika muziki,2,Majadiliano,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kueleza umuhimu wa mienendo ya muziki katika uimbaji wa kikundi.,Kitabu cha mwanafunzi|Rekodi za nyimbo,"TET(2023), SANAA NA MICHEZO, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM","Katika muziki, hususani uimbaji wa kikundi, ni muhimu kuwa na uelewa wa mienendo ya muziki ili kuongeza uzuri na mvuto wa wimbo.","Mienendo ya muziki husaidia kuwasilisha ujumbe na hisia za wimbo kwa ufasaha kwani kupanda na kushuka kwa sauti huleta hisia, na huongeza utofauti kuepusha uimbaji wa aina moja.",Mfano wa wimbo wenye mabadiliko ya nguvu ya sauti kati ya sehemu ndogo na kubwa unavutia zaidi kusikiliza kuliko wimbo wa sauti moja daima.,Kwaya za shule hutumia mienendo ya muziki ili nyimbo zao ziwavutie wasikilizaji wakati wa maonesho.,Kwa nini mienendo ya muziki ni muhimu katika uimbaji wa kikundi?::Huongeza uzuri na mvuto wa wimbo na husaidia kuwasilisha ujumbe na hisia za wimbo kwa ufasaha.||Mabadiliko ya nguvu ya sauti husaidiaje wasikilizaji?::Husaidia wasikilizaji kuelewa wimbo vizuri kwa kuleta hisia.||Nini hutokea endapo uimbaji hauna mienendo ya muziki?::Uimbaji huwa wa aina moja na hauvutii.,
2023-JSS018-DRS V,Kubuni kazi za sanaa,Kumudu misingi ya uimbaji na uigizaji,Kuimba kwa kuzingatia mienendo ya muziki (dynamics) na uwiano wa sauti (voice balancing),Uwiano wa sauti katika uimbaji,3,Ufaraguzi na Maonesho,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kueleza maana ya uwiano wa sauti na kuimba kwa kuzingatia uwiano huo pamoja na wenzake.,Kitabu cha mwanafunzi|Kinanda|Kikundi cha waimbaji,"TET(2023), SANAA NA MICHEZO, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM","Uwiano wa sauti ni ulinganifu wa viwango vya ukubwa wa sauti katika uimbaji, muhimu hasa unaohusisha sauti zaidi ya moja kwa wakati mmoja.","Ili kupata uwiano mzuri, mwimbaji anapaswa kuimba kwa kusikiliza sauti za wengine, hakuna sauti inayopaswa kuzidi nyingine bila mpangilio, na sauti zote zinapaswa kuwa katika kiwango sawa cha ukubwa.",Mfano wa kikundi cha waimbaji kinachoimba wimbo mmoja kwa sauti tofauti lakini zenye uwiano mzuri bila kuzidiana kama ilivyoainishwa katika Kazi ya kufanya namba 2.,Kwaya za kanisani na misikitini hutumia uwiano wa sauti ili nyimbo zisikike vizuri bila mtu mmoja kuzidi wengine.,Uwiano wa sauti ni nini?::Ni ulinganifu wa viwango vya ukubwa wa sauti katika uimbaji.||Kwa nini uwiano wa sauti ni muhimu katika uimbaji unaohusisha sauti zaidi ya moja?::Ili kupata uwiano mzuri na kuepuka sauti moja kuzidi nyingine.||Taja jambo moja la kuzingatia ili kupata uwiano mzuri wa sauti.::Kuimba kwa kusikiliza sauti za wengine.||Sauti zote katika kikundi zinapaswa kuwa katika kiwango gani?::Kiwango sawa cha ukubwa wa sauti.,
2023-JSS018-DRS V,Kubuni kazi za sanaa,Kumudu misingi ya uimbaji na uigizaji,Kuimba kwa kuzingatia mienendo ya muziki (dynamics) na uwiano wa sauti (voice balancing),Mambo ya kuzingatia ili kupata uwiano mzuri wa sauti,2,Mazoezi yanayoratibiwa,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kufanya mazoezi ya kupumua na kutamka maneno vizuri ili kuboresha uwiano wa sauti.,Kitabu cha mwanafunzi|Saa ya kupimia muda,"TET(2023), SANAA NA MICHEZO, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM",Kuboresha uwiano wa sauti kunahitaji mazoezi ya kupumua kwa usahihi na kudhibiti sauti kwa kutamka maneno vizuri.,Sauti zote zinapaswa kuwa na uwiano mzuri unaosikika vyema bila kuzidiana; hivyo mazoezi ya mara kwa mara ya kupumua na kutamka maneno huboresha uwezo huo.,Mfano wa Kazi ya kufanya namba 2 ambapo wanafunzi huimba wimbo wenye sauti zaidi ya moja kisha hujiuliza kama sauti yao ilikuwa sawa na ya wenzao.,Waimbaji wa vikundi vya muziki hufanya mazoezi ya pumzi kabla ya maonesho ili kuboresha uwiano wa sauti.,"Taja jambo moja linalosaidia kuboresha uwiano wa sauti.::Mazoezi ya kupumua kwa usahihi na kudhibiti sauti kwa kutamka maneno vizuri.||Baada ya kuimba pamoja, mwimbaji anapaswa kujiuliza nini?::Kama sauti yake ilikuwa kwenye kiwango sawa na sauti za wenzake.||Nini hutokea endapo sauti moja inazidi nyingine katika kikundi?::Uwiano wa sauti hupotea na wimbo hausikiki vizuri.",
2023-JSS018-DRS V,Kubuni kazi za sanaa,Kumudu misingi ya uimbaji na uigizaji,Kutumia ala za muziki kusindikiza uimbaji wa solfege (d r m f s l t d'),Uimbaji wa solfa na noti za muziki,2,Maelezo na Majadiliano,Kuwaongoza Wanafunzi,"Mwanafunzi ataweza kutaja silabi saba za solfa na kueleza idadi ya mapigo ya noti nzima, nusu noti na robo noti.",Kitabu cha mwanafunzi|Jedwali la noti za muziki,"TET(2023), SANAA NA MICHEZO, KITABU CHA MWANAFUNZI, DARASA LA TANO, TET, DAR ES SALAAM","Uimbaji wa solfa ni mbinu ya kuimba kwa kutumia silabi maalumu za do, re, mi, fa, so, la, ti badala ya maneno ya wimbo, mbinu inayorahisisha kujifunza uimbaji wa noti kwa usahihi.","Noti za muziki ni alama zinazowakilisha thamani kwa kuonesha idadi ya mapigo; kwa mujibu wa Jedwali 1, noti nzima ina mapigo manne, nusu noti ina mapigo mawili, na robo noti ina pigo moja.","Jedwali 1 linaonesha alama, jina na idadi ya mapigo ya noti nzima, nusu noti na robo noti.",Wanafunzi wa kwaya hutumia solfa kujifunza noti za nyimbo kabla ya kuzitia maneno.,"Taja silabi za solfa kwa mpangilio.::Do, re, mi, fa, so, la, ti.||Noti nzima ina mapigo mangapi?::Mapigo manne.||Robo noti ina mapigo mangapi?::Pigo moja.",
