subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,sla_name,sla_periods,sla_method,sla_leading,sla_assessment_criteria,sla_teaching_aids,sla_references,sla_notes_intro,sla_notes_details,sla_notes_illustrations,sla_notes_daily_life,sla_exercise,sla_diagram_type
2023-JSS016-DRS IV,Kumudu nadharia za kisayansi,Kuonesha uelewa wa nadharia za kisayansi,"Kueleza kanuni za afya (mlo kamili, mazoezi ya mwili, usafi wa mwili na mazingira, alama na taarifa muhimu)",Mlo kamili na makundi ya vyakula,4,Maswali na majibu,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kueleza maana ya mlo kamili na kutaja makundi matatu makuu ya vyakula.,Kitabu cha mwanafunzi|Ubao|Vielelezo vya vyakula (Kielelezo namba 2-5),"TET(2023), SAYANSI, KITABU CHA MWANAFUNZI, DARASA LA NNE, TET, DAR ES SALAAM","Kwa mujibu wa Sura ya 1 ya kitabu cha mwanafunzi, afya bora ni msingi imara katika maisha na hutegemea kuzingatia kanuni za afya zikiwemo mlo kamili.","Mlo kamili ni mlo wenye virutubisho vyote vya chakula katika uwiano sahihi, unaoundwa na makundi matatu makuu: vyakula vya kuupa mwili nguvu (kabohaidreti na mafuta), vyakula vya kujenga mwili (protini), na vyakula vya kulinda mwili (vitamini na madini); pia maji ni muhimu kwa umeng'enywaji na kuondoa takamwili.","Kama ilivyo kwenye Kielelezo namba 3a na 3b, mahindi, viazi na wali ni mifano ya kabohaidreti wakati nazi na karanga ni mifano ya mafuta; Kielelezo namba 4 kinaonesha samaki, maziwa na mayai kama vyakula vya kujenga mwili, na Kielelezo namba 5 kinaonesha kabichi na machungwa kama vyakula vya kulinda mwili.",Kila siku wanafunzi hula chakula nyumbani kinachopaswa kuwa na uwiano wa makundi haya matatu ili kukua vizuri na kuwa na afya bora.,"Mlo kamili ni nini?::Mlo kamili ni mlo wenye virutubisho vyote vya chakula katika uwiano sahihi.||Taja makundi matatu makuu ya vyakula katika mlo kamili.::Vyakula vya kuupa mwili nguvu, vyakula vya kujenga mwili na vyakula vya kulinda mwili.||Toa mfano wa chakula chenye protini.::Samaki, maziwa, nyama au mayai.||Kwa nini maji ni muhimu mwilini ingawa si sehemu ya makundi makuu ya vyakula?::Husaidia umeng'enywaji wa chakula na kuondoa takamwili mwilini.",
2023-JSS016-DRS IV,Kumudu nadharia za kisayansi,Kuonesha uelewa wa nadharia za kisayansi,"Kueleza kanuni za afya (mlo kamili, mazoezi ya mwili, usafi wa mwili na mazingira, alama na taarifa muhimu)",Mazoezi ya mwili: faida na madhara,3,Bunguabongo,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kutaja faida za mazoezi ya mwili na madhara ya kutofanya mazoezi.,Kitabu cha mwanafunzi|Ubao|Kielelezo namba 11,"TET(2023), SAYANSI, KITABU CHA MWANAFUNZI, DARASA LA NNE, TET, DAR ES SALAAM","Mazoezi ya mwili ni muhimu ili kujenga afya bora, kama inavyoelezwa kitabuni kwa mfano wa wanafunzi wakicheza mpira.","Faida za mazoezi ya mwili ni pamoja na kuwa na afya bora, kurekebisha utendaji wa mifumo ya mwili, kuimarisha kinga ya mwili, kuondoa msongo wa mawazo na kuchangamsha ubongo; kutofanya mazoezi husababisha afya duni, kiribatumbo, na magonjwa ya shinikizo la damu na kisukari.","Kama Kielelezo namba 11 kinavyoonesha, kucheza mpira wa miguu, kukimbia, kuruka viunzi na kutembea ni mifano ya mazoezi ya mwili yanayoweza kufanywa shuleni au nyumbani.",Wanafunzi wanaweza kufanya mazoezi kila siku kwa kutembea kwenda shuleni au kucheza michezo wakati wa mapumziko.,"Taja faida mbili za mazoezi ya mwili.::Kuwa na afya bora na kuimarisha kinga ya mwili.||Nini maana ya kiribatumbo?::Ni tumbo lililotutumuka na kuwa kubwa kutokana na kutofanya mazoezi.||Taja mfano mmoja wa mazoezi ya mwili.::Kucheza mpira wa miguu, kukimbia au kuruka viunzi.||Taja ugonjwa mmoja unaoweza kusababishwa na kutofanya mazoezi.::Shinikizo la damu au kisukari.",
2023-JSS016-DRS IV,Kumudu nadharia za kisayansi,Kuonesha uelewa wa nadharia za kisayansi,"Kueleza kanuni za afya (mlo kamili, mazoezi ya mwili, usafi wa mwili na mazingira, alama na taarifa muhimu)","Usafi wa mwili, mazingira na alama za usalama",3,Majadiliano,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kueleza njia za usafi wa mwili na mazingira na kutambua alama nne za usalama kwa rangi na umbo lake.,Kitabu cha mwanafunzi|Ubao|Vielelezo namba 13-16 (Alama za usalama),"TET(2023), SAYANSI, KITABU CHA MWANAFUNZI, DARASA LA NNE, TET, DAR ES SALAAM",Usafi wa mwili na mazingira pamoja na kutambua alama za usalama ni sehemu ya kanuni za afya zinazolinda binadamu dhidi ya magonjwa na ajali.,"Usafi unahusisha kupiga mswaki mara mbili kwa siku, kuoga kwa sabuni kila siku, na kusafisha mazingira ili kuzuia mazalia ya wadudu kama nzi na mbu; alama za usalama ni nne: omyo/tahadhari (pembetatu ya njano), kuzuia/kukataza (duara jekundu), dharura (pembe nne kijani), na lazima/amri (duara bluu).","Kama jedwali la alama kitabuni linavyoonesha, alama ya pembetatu ya njano huonya hatari, wakati duara jekundu huonesha jambo lisiloruhusiwa; pia bidhaa zenye 'expiry date' iliyopita (kuchotora) hazifai kutumika.","Wanafunzi wanapoona alama za tahadhari barabarani au kwenye bidhaa madukani, hutakiwa kuzizingatia ili kujilinda dhidi ya hatari.",Taja rangi na umbo la alama ya tahadhari.::Rangi ya njano na umbo la pembetatu.||Kwa nini ni muhimu kusafisha mazingira?::Ili kuzuia mazalia ya wadudu kama nzi na mbu wanaoeneza magonjwa.||Alama ya duara jekundu ina maana gani?::Inaonesha jambo lisiloruhusiwa (kuzuia/kukataza).||Nini maana ya neno 'kuchotora'?::Ni bidhaa kutofaa kutumika kwa sababu muda wake wa matumizi umeisha.,
2023-JSS016-DRS IV,Kumudu nadharia za kisayansi,Kuonesha uelewa wa nadharia za kisayansi,"Kueleza magonjwa makuu ya binadamu (njia za maambukizi visababishi, kudhibiti na kujikinga)",Magonjwa ya kuambukiza: malaria na kipindupindu,4,Majadiliano,Kuwaongoza Wanafunzi,"Mwanafunzi ataweza kueleza visababishi, dalili na njia za kuzuia malaria na kipindupindu.",Kitabu cha mwanafunzi|Ubao|Kielelezo namba 1 na 2 (uenezwaji wa malaria na kipindupindu),"TET(2023), SAYANSI, KITABU CHA MWANAFUNZI, DARASA LA NNE, TET, DAR ES SALAAM",Ugonjwa ni hali inayodhoofisha afya na kuathiri utendaji wa kawaida wa mwili; magonjwa mengi ya kuambukiza husababishwa na vimelea.,"Malaria husababishwa na vimelea vya plasmodium vinavyoenezwa na mbu jike anofelesi, dalili zake ni homa kali na kutetemeka; kipindupindu husababishwa na bakteria kwa kula chakula au maji yenye vimelea au kwa njia ya nzi, dalili zake ni kuharisha na kutapika mfululizo.","Kama Kielelezo namba 1 kinavyoonesha uenezwaji wa malaria, mbu anofelesi huuma mtu na kumwambukiza vimelea vya plasmodium; kuzuia malaria hufanyika kwa kuharibu mazalia ya mbu na kutumia vyandarua vyenye dawa, na kuzuia kipindupindu hufanyika kwa kutumia maji safi na kunawa mikono kwa sabuni.",Familia zinazolala kwenye vyandarua vyenye dawa na kunywa maji safi hujikinga dhidi ya malaria na kipindupindu nyumbani.,Malaria husababishwa na kiumbe gani?::Vimelea vya plasmodium vinavyoenezwa na mbu jike anofelesi.||Taja dalili moja ya kipindupindu.::Kuharisha na kutapika mfululizo.||Taja njia mbili za kuzuia malaria.::Kutumia vyandarua vyenye dawa na kuharibu mazalia ya mbu.||Kwa nini ni muhimu kunywa maji safi?::Ili kujikinga na kipindupindu kinachoenezwa na maji yenye vimelea.,
2023-JSS016-DRS IV,Kumudu nadharia za kisayansi,Kuonesha uelewa wa nadharia za kisayansi,"Kueleza magonjwa makuu ya binadamu (njia za maambukizi visababishi, kudhibiti na kujikinga)","Magonjwa ya kuambukiza: tetekuwanga, kifua kikuu na VVU/UKIMWI",3,Kisa mafunzo,Kuwaongoza Wanafunzi,"Mwanafunzi ataweza kutaja visababishi na njia za kujikinga na tetekuwanga, kifua kikuu na VVU/UKIMWI.",Kitabu cha mwanafunzi|Ubao|Vielelezo namba 3-5,"TET(2023), SAYANSI, KITABU CHA MWANAFUNZI, DARASA LA NNE, TET, DAR ES SALAAM","Tetekuwanga, kifua kikuu na VVU/UKIMWI ni miongoni mwa magonjwa ya kuambukiza yanayoathiri watu wengi.",Tetekuwanga husababishwa na virusi kwa kugusana au kuvaliana nguo na mgonjwa; kifua kikuu husababishwa na bakteria unaosambaa kwa hewa kwa kukohoa; VVU vinashambulia chembe hai nyeupe za damu na huenezwa kwa kuchangia vifaa vyenye ncha kali au kufanya ngono na mtu mwenye VVU.,Kama Kielelezo namba 3 kinavyoonesha mgonjwa wa tetekuwanga mwenye vipele vinavyobadilika kuwa malengelenge; Vielelezo namba 4-5 vinaonesha vifaa vinavyoweza kuchangia maambukizi ya VVU kama sindano na wembe.,"Kutochangia mswaki, sindano au wembe na wenzetu husaidia kuepuka maambukizi ya VVU nyumbani na shuleni.","Tetekuwanga huambukizwaje?::Kwa kugusana na mtu mwenye ugonjwa au kuvaliana nguo.||Kifua kikuu huenezwaje?::Kwa hewa, kama kukohoa, kupiga chafya au kutema mate.||Taja njia moja ya maambukizi ya VVU.::Kuchangia vifaa vyenye ncha kali kama sindano au wembe.||Nini kinashambuliwa na virusi vya UKIMWI mwilini?::Chembe hai nyeupe za damu zinazojenga kinga ya mwili.",
2023-JSS016-DRS IV,Kumudu nadharia za kisayansi,Kuonesha uelewa wa nadharia za kisayansi,"Kueleza magonjwa makuu ya binadamu (njia za maambukizi visababishi, kudhibiti na kujikinga)","Magonjwa yasiyoambukiza: saratani, kisukari na pumu",3,Maswali na majibu,Kuwaongoza Wanafunzi,"Mwanafunzi ataweza kutofautisha magonjwa yasiyoambukiza na kutaja dalili za saratani, kisukari na pumu.",Kitabu cha mwanafunzi|Ubao,"TET(2023), SAYANSI, KITABU CHA MWANAFUNZI, DARASA LA NNE, TET, DAR ES SALAAM","Tofauti na magonjwa ya kuambukiza, magonjwa yasiyoambukiza hayaenezwi kutoka kwa mtu mmoja kwenda mwingine na yanaweza kuwa ya kurithi.","Saratani hutokea kwenye chembe hai za mwili zinazojigawa bila mpangilio na kutengeneza uvimbe; kisukari hutokea mwili unaposhindwa kudhibiti sukari ya damu kutokana na kongosho kushindwa kutengeneza insulini; pumu huathiri mfumo wa upumuaji na huchochewa na moshi, vumbi au chavua za maua.","Kwa mujibu wa kitabu, dalili za kisukari ni kukojoa mara kwa mara, kiu isiyoisha na vidonda visivyopona; dalili za pumu ni kubanwa kifua na sauti kama filimbi wakati wa kupumua.",Kuepuka moshi na vumbi husaidia watu wenye pumu kutopata mashambulizi wanapocheza au kutembea nje.,"Saratani hutokeaje mwilini?::Chembe hai za mwili hujigawa bila mpangilio na kutengeneza uvimbe.||Kisukari husababishwa na nini?::Kongosho kushindwa kutengeneza homoni ya insulini.||Taja dalili moja ya pumu.::Kubanwa kifua na sauti kama filimbi wakati wa kupumua.||Taja kichochezi kimoja cha pumu.::Moshi, vumbi au chavua za maua.",
2023-JSS016-DRS IV,Kumudu nadharia za kisayansi,Kuonesha uelewa wa nadharia za kisayansi,Kueleza dhana ya maada (aina na sifa),Maana ya maada na hali tatu za maada,4,Uchunguzi,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kueleza maana ya maada na kutaja hali tatu za maada kwa mifano.,"Kitabu cha mwanafunzi|Ubao|Vitu halisi (jiwe, maji, puto)","TET(2023), SAYANSI, KITABU CHA MWANAFUNZI, DARASA LA NNE, TET, DAR ES SALAAM","Mazingira yanahusisha vitu vyenye uzito na vinavyochukua nafasi, kama ilivyoelezwa katika Sura ya 3 ya maada.","Maada ni kitu chochote chenye uzito na kinachochukua nafasi, na huwa katika hali tatu: yabisi (imara na ngumu, ina umbo maalumu), kimiminika (haina umbo maalumu, huchukua umbo la chombo) na gesi (haina umbo maalumu, ni nyepesi kuliko yabisi na kimiminika).","Kama Vielelezo namba 1-3 vinavyoonesha, mawe na kuni ni mifano ya yabisi, maji na juisi ni mifano ya kimiminika, na hewa iliyomo kwenye puto ni mfano wa gesi.","Wanafunzi hukutana na maada kila siku kama kunywa maji (kimiminika), kukaa juu ya jiwe (yabisi), na kupumua hewa (gesi).","Maada ni nini?::Ni kitu chochote chenye uzito na kinachochukua nafasi.||Taja hali tatu za maada.::Yabisi, kimiminika na gesi.||Toa mfano wa kitu kilicho katika hali ya yabisi.::Jiwe au kuni.||Kwa nini gesi inasemekana kuwa nyepesi kuliko yabisi na kimiminika?::Kwa sababu chembe zake ni huru zaidi na hazina umbo wala mvuto mkubwa kama yabisi na kimiminika.",
2023-JSS016-DRS IV,Kumudu nadharia za kisayansi,Kuonesha uelewa wa nadharia za kisayansi,Kueleza dhana ya maada (aina na sifa),Sifa za maji katika hali yabisi na kimiminika,3,Majaribio,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kueleza sifa za maji katika hali ya yabisi (barafu) na kimiminika kwa kutumia matokeo ya majaribio.,Kitabu cha mwanafunzi|Barafu|Glasi ya maji,"TET(2023), SAYANSI, KITABU CHA MWANAFUNZI, DARASA LA NNE, TET, DAR ES SALAAM","Maji ni mfano mzuri wa maada unaoweza kubadilika kutoka hali moja kwenda nyingine, kama Jaribio namba 1 na 2 vinavyoonesha.","Katika Jaribio namba 1, barafu (maji katika hali yabisi) haina rangi, haibonyei, ina umbo na ujazo maalum na huelea juu ya maji; katika Jaribio namba 2, maji katika hali ya kimiminika hayana umbo maalum bali huchukua umbo la chombo yalimowekwa na hutiririka kwa uhuru.","Kama matokeo ya Jaribio namba 1 yanavyoonesha, barafu huyeyuka inapokutana na joto; kwa Jaribio namba 2, maji hubaki na ujazo wake hata yakiwekwa kwenye vyombo vyenye maumbo tofauti.",Watu huweka maji kwenye friji ili yaganda kuwa barafu ya kutumia nyumbani wakati wa joto.,"Barafu ina umbo la aina gani?::Ina umbo na ujazo maalum.||Kwa nini barafu huelea juu ya maji?::Kwa sababu ni nyepesi zaidi kuliko maji ya kimiminika kwa ujazo sawa.||Maji ya kimiminika yana umbo gani?::Hayana umbo maalum, huchukua umbo la chombo yalimowekwa.||Nini hutokea barafu ikipata joto?::Huyeyuka na kuwa kimiminika.",
2023-JSS016-DRS IV,Kumudu nadharia za kisayansi,Kuonesha uelewa wa nadharia za kisayansi,Kueleza dhana ya maada (aina na sifa),"Sifa za maji katika hali ya gesi, kizingiti cha mgando na mchemko",3,Majaribio,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kueleza sifa za mvuke wa maji na kutaja vizingiti vya mgando na mchemko wa maji kwa nyuzijoto sentigredi.,Kitabu cha mwanafunzi|Sufuria|Chanzo cha joto,"TET(2023), SAYANSI, KITABU CHA MWANAFUNZI, DARASA LA NNE, TET, DAR ES SALAAM","Maji yanapopashwa joto au kupozwa hubadilika kutoka hali moja kwenda nyingine, kama Jaribio namba 3 hadi 6 vinavyoonesha.","Kwa mujibu wa Jaribio namba 3, maji huchemka na kutoa mvuke usio na umbo wala ujazo maalum yanapofikia nyuzijoto sentigredi 100; Jaribio namba 5 linaonesha kizingiti cha mgando wa maji ni nyuzijoto sentigredi 0, na Jaribio namba 6 linaonesha kizingiti cha mchemko wa maji ni nyuzijoto sentigredi 100.","Kama Jaribio namba 4 linavyoonesha, mvuke unapogusa kioo chenye jotoridi la chini hukusanyika na kuwa matone ya maji (utoneshaji).",Wanafunzi huona mvuke ukitoka kwenye chungu cha ugali kinachochemka jikoni nyumbani.,"Maji huchemka kwenye jotoridi lipi?::Nyuzijoto sentigredi 100.||Maji huganda kuwa barafu kwenye jotoridi lipi?::Nyuzijoto sentigredi 0.||Utoneshaji ni nini?::Ni mvuke unapopozwa na kubadilika kuwa kimiminika.||Mvuke wa maji una sifa gani?::Hauna rangi, harufu, umbo wala ujazo maalum.",
2023-JSS016-DRS IV,Kumudu nadharia za kisayansi,Kuonesha uelewa wa nadharia za kisayansi,"Kueleza kitendo cha uunguaji wa vitu (combustion: maana, visababishi, na matokeo)",Maana ya uunguaji wa vitu na mahitaji matatu ya uunguaji,6,Bunguabongo,Kuwaongoza Wanafunzi,Mwanafunzi ataweza kueleza maana ya uunguaji wa vitu na kutaja mahitaji matatu yanayohitajika ili uunguaji utokee.,Kitabu cha mwanafunzi|Ubao|Kielelezo namba 1 (Pembetatu ya moto),"TET(2023), SAYANSI, KITABU CHA MWANAFUNZI, DARASA LA NNE, TET, DAR ES SALAAM","Uunguaji wa vitu hutokea katika maisha ya kila siku, kama inavyoelezwa katika Sura ya 4 ya kitabu.","Uunguaji wa vitu ni mchakato unaotokea wakati fueli (vitu vyenye uwezo wa kuungua) vinapoungana na gesi ya oksijeni na kutoa joto na mwanga; mahitaji matatu ya uunguaji ni joto, oksijeni na fueli.","Kama Kielelezo namba 1 (Pembetatu ya moto) kinavyoonesha, ukiondoa kimoja kati ya joto, oksijeni au fueli, moto hauwezi kuwaka; mfano wa fueli ni kuni, mkaa, gesi na mafuta.",Wanafunzi huona mahitaji haya matatu yakitumika nyumbani wanapowasha jiko la kuni au gesi kupikia chakula.,"Uunguaji wa vitu ni nini?::Ni mchakato wa fueli kuungana na gesi ya oksijeni na kutoa joto na mwanga.||Taja mahitaji matatu ya uunguaji.::Joto, oksijeni na fueli.||Fueli ni nini?::Ni vitu vinavyoweza kuungua kama kuni, mkaa, gesi na mafuta.||Nini kitatokea ukiondoa oksijeni kwenye moto unaowaka?::Moto utazimika.",
