subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,sla_name,sla_periods,sla_method,sla_leading,sla_assessment_criteria,sla_teaching_aids,sla_references,sla_notes_intro,sla_notes_details,sla_notes_illustrations,sla_notes_daily_life,sla_exercise,sla_diagram_type
2023-JSS010-Awali,Kumudu Stadi za Awali za Lugha ya Mawasiliano,Kusikiliza katika miktadha mbalimbali,Kutofautisha sauti na milio katika mazingira yake,Kutambua na kuigiza sauti za wanyama na ndege,4,Michezo ya kuigiza sauti za wanyama,Kuwaongoza Wanafunzi,Mtoto anaweza kuigiza kwa usahihi sauti za wanyama walau watatu tofauti anaowaona kwenye picha.,Picha za wanyama na ndege|Sauti zilizorekodiwa za wanyama|Kadi za picha za wanyama,"TET(2023), STADI ZA AWALI ZA LUGHA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM","Mwalimu aonyeshe picha za wanyama na ndege mbalimbali na kuwauliza wanafunzi kama wanazijua sauti za wanyama hao, kisha awahamasishe kuigiza sauti hizo kwa sauti zao wenyewe.","Wanafunzi hutofautisha sauti za wanyama tofauti (kwa mfano mbwa, paka, ng'ombe, kuku, njiwa) na kujifunza kuwa kila mnyama ana sauti yake maalum inayomtambulisha.","Kwa kutumia picha za wanyama na ndege kwenye kitabu, mwalimu auliza 'Je, unajua sauti za wanyama na ndege wafuatao?' kisha wanafunzi waigize sauti za kila mnyama anayeonekana kwenye picha, mfano mbwa, paka, ng'ombe.",Mtoto anaposikia mbwa akibweka nje ya nyumbani anaweza kutambua kuwa ni sauti ya mbwa hata bila kumwona.,Igiza sauti ya mbwa::Woof woof||Igiza sauti ya paka::Miau miau||Igiza sauti ya ng'ombe::Moo||Ni sauti gani uliyoipenda zaidi? Kwa nini?::Mtoto ataeleza sauti aliyoipenda na sababu yake,
2023-JSS010-Awali,Kumudu Stadi za Awali za Lugha ya Mawasiliano,Kusikiliza katika miktadha mbalimbali,Kutofautisha sauti na milio katika mazingira yake,Kutofautisha milio ya vitu mazingirani,4,Michezo ya kusikiliza milio ya vitu,Kuwaongoza Wanafunzi,Mtoto anaweza kutofautisha na kuigiza milio ya vitu vitatu tofauti alivyosikiliza.,"Picha za vitu mbalimbali|Milio iliyorekodiwa ya vitu|Vitu halisi vinavyotoa milio (kengele, ngoma)","TET(2023), STADI ZA AWALI ZA LUGHA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM",Mwalimu awasikilize wanafunzi milio ya vitu mbalimbali vilivyopo mazingirani na kuwaelekeza kutofautisha kila mlio unaotokana na kitu gani.,"Wanafunzi hujifunza kwamba kila kitu kina mlio wake wa pekee, kama vile mlio wa gari, kengele, ngoma au maji, na kujifunza kuutambua kwa kusikiliza tu bila kuona kitu chenyewe.","Kwa kutumia picha za vitu mbalimbali, mwalimu asema 'Sikiliza milio ya vitu mbalimbali' kisha wanafunzi waigize milio ya vitu vilivyopo katika picha, mfano mlio wa gari au kengele.",Mtoto anaposikia mlio wa gari linalokaribia barabarani anaweza kutambua hatari na kusimama kando.,Igiza mlio wa gari::Vroom vroom||Igiza mlio wa kengele::Kling kling||Ni mlio upi uliopenda zaidi? Kwa nini?::Mtoto ataeleza mlio aliyoupenda na sababu||Ni mlio upi ambao haujaupenda? Kwa nini?::Mtoto ataeleza mlio asiyeupenda na sababu,
2023-JSS010-Awali,Kumudu Stadi za Awali za Lugha ya Mawasiliano,Kusikiliza katika miktadha mbalimbali,Kutofautisha sauti na milio katika mazingira yake,Kulinganisha na kueleza sauti na milio ninayoipenda,3,Maswali na majadiliano baada ya kusikiliza,Kuwaongoza Wanafunzi,Mtoto anaweza kueleza kwa sentensi fupi sauti au mlio anaoupenda na sababu yake.,Sauti zilizorekodiwa za wanyama na vitu|Picha za wanyama na vitu,"TET(2023), STADI ZA AWALI ZA LUGHA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM","Baada ya kusikiliza sauti za wanyama na milio ya vitu, mwalimu awaulize wanafunzi wanapenda sauti gani zaidi na kwa nini, ili kukuza uwezo wao wa kutofautisha na kutoa maoni.","Zoezi hili huwapa wanafunzi nafasi ya kuigiza sauti nyingine wanazozifahamu zisizo kwenye picha, hivyo kupanua uwezo wao wa kutofautisha sauti mbalimbali mazingirani.","Mwalimu auliza 'Ni sauti gani uliyoipenda zaidi? Kwa nini?' na 'Igiza sauti/milio mingine unayoifahamu' kisha kila mtoto aigize sauti aipendayo, mfano sauti ya paka au mlio wa ngoma.",Mtoto anapocheza nyumbani anaweza kuigiza sauti za wanyama anaowapenda ili kuwafurahisha wenzake.,"Ni sauti gani uliyoipenda zaidi kati ya wanyama? Kwa nini?::Mtoto ataeleza sauti aipendayo na sababu||Igiza sauti nyingine unayoifahamu isiyo ya wanyama wala vitu vilivyotajwa::Mtoto ataigiza sauti nyingine anayoifahamu, mfano ndege||Kwa nini ni muhimu kutofautisha sauti mbalimbali?::Ili kutambua vitu na hatari zinazotuzunguka",
2023-JSS010-Awali,Kumudu Stadi za Awali za Lugha ya Mawasiliano,Kusikiliza katika miktadha mbalimbali,Kufuata maelekezo yanayotolewa,Kufuata maelekezo rahisi ya nyumbani,4,Maelekezo ya vitendo,Kuwaongoza Wanafunzi,Mtoto anatekeleza kwa usahihi maelekezo mawili rahisi anayopewa na mwalimu.,"Picha za watoto wakifuata maelekezo|Vitu halisi vya darasani (mlango, ufagio)","TET(2023), STADI ZA AWALI ZA LUGHA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM","Mwalimu aonyeshe picha za watoto wakifuata maelekezo na kuwauliza wanaona nini katika picha, kisha awafundishe umuhimu wa kusikiliza kwa makini na kutekeleza wanachoambiwa.","Wanafunzi hufunzwa kusikiliza maelekezo kwa makini kabla ya kuyatekeleza, na kuigiza matendo yanayooneshwa kwenye picha kama vile kufungua mlango au kufagia.","Kwa kutumia picha za watoto wakifuata maelekezo, mwalimu asome maelekezo 'Fungua mlango tafadhali.' na 'Endelea kufagia tafadhali.' kisha wanafunzi waigize matendo hayo.",Mtoto anapoambiwa na mzazi 'funga mlango tafadhali' anasikiliza na kutekeleza mara moja.,Unaona nini katika picha?::Watoto wakifuata maelekezo kama kufungua mlango na kufagia||Fanya kama unavyoambiwa: 'Fungua mlango tafadhali.'::Mtoto anaigiza kufungua mlango||Fanya kama unavyoambiwa: 'Endelea kufagia tafadhali.'::Mtoto anaigiza kufagia,
2023-JSS010-Awali,Kumudu Stadi za Awali za Lugha ya Mawasiliano,Kusikiliza katika miktadha mbalimbali,Kufuata maelekezo yanayotolewa,Kufuata maelekezo ya usalama ninapovuka barabara,4,Hadithi na maigizo ya vitendo,Kuwaongoza Wanafunzi,Mtoto anaweza kuigiza hatua sahihi za kuvuka barabara kwa usalama kama alivyoelekezwa.,Picha ya watoto wakivuka barabara,"TET(2023), STADI ZA AWALI ZA LUGHA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM","Mwalimu aonyeshe picha ya watoto wakivuka barabara na kuwauliza wanatakiwa kufanya nini wanapovuka barabara, akisisitiza umuhimu wa kusikiliza na kufuata maelekezo ya usalama.","Wanafunzi hujifunza hatua za kuvuka barabara kwa usalama, kama vile kusimama, kuangalia pande zote mbili, na kuvuka polepole wakiongozwa na mtu mzima.","Kwa kutumia picha ya watoto wakivuka barabara, mwalimu auliza 'Unatakiwa kufanya nini unapovuka barabara?' kisha wanafunzi waigize namna ya kuvuka barabara kwa kufuata maelekezo.","Mtoto anapotaka kuvuka barabara kwenda shuleni anasimama, anaangalia pande zote mbili, kisha anavuka akiwa na mtu mzima.","Unatakiwa kufanya nini unapovuka barabara?::Kusimama, kuangalia pande zote mbili kisha kuvuka polepole na mtu mzima||Igiza namna ya kuvuka barabara kwa kufuata maelekezo::Mtoto anaigiza hatua za kusimama, kuangalia, na kuvuka||Kwa nini ni hatari kuvuka barabara bila kufuata maelekezo?::Unaweza kugongwa na gari",
2023-JSS010-Awali,Kumudu Stadi za Awali za Lugha ya Mawasiliano,Kusikiliza katika miktadha mbalimbali,Kufuata maelekezo yanayotolewa,Kueleza umuhimu wa kufuata maelekezo,3,Maswali na majadiliano,Kuwaongoza Wanafunzi,Mtoto anaweza kueleza kwa sentensi moja kwa nini ni muhimu kufuata maelekezo anayopewa.,Picha za watoto wakifuata maelekezo|Picha ya watoto wakivuka barabara,"TET(2023), STADI ZA AWALI ZA LUGHA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM","Baada ya kujifunza kufuata maelekezo mbalimbali, mwalimu awaulize wanafunzi kwa nini ni muhimu kufuata maelekezo wanayopewa na watu wazima.","Wanafunzi hujadili matokeo ya kutokufuata maelekezo, kama vile hatari inayoweza kutokea, na kupendekeza ushauri kwa rafiki asiyefuata maelekezo.","Mwalimu auliza 'Kwa nini unatakiwa kufuata maelekezo?' na 'Utamshauri nini rafiki yako asiyefuata maelekezo?' kisha wanafunzi watoe majibu yao kwa kutumia mifano kutoka picha za kufagia, kufungua mlango, na kuvuka barabara.",Mtoto anapofuata maelekezo ya mwalimu darasani anaepuka matatizo na kujifunza vizuri zaidi.,"Kwa nini unatakiwa kufuata maelekezo?::Ili kuepuka hatari na kufanya mambo kwa usahihi||Utamshauri nini rafiki yako asiyefuata maelekezo?::Nitamshauri asikilize kwa makini na afuate maelekezo||Toa mfano wa maelekezo unayopaswa kuyafuata nyumbani::Kufunga mlango, kufagia, kuvuka barabara na mtu mzima",
2023-JSS010-Awali,Kumudu Stadi za Awali za Lugha ya Mawasiliano,Kusikiliza katika miktadha mbalimbali,Kusikiliza hadithi,Kusikiliza hadithi fupi za wanyama,4,Hadithi na maswali,Kuwaongoza Wanafunzi,Mtoto anasikiliza hadithi fupi kwa utulivu bila kukatiza mpaka mwisho.,Kitabu cha hadithi|Picha za wanyama zinazohusiana na hadithi,"TET(2023), STADI ZA AWALI ZA LUGHA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM","Mwalimu asimulie hadithi fupi kwa kutumia wanyama walioonekana kwenye picha za sauti (kama mbwa, paka, ng'ombe) ili kukuza uwezo wa mtoto wa kusikiliza kwa umakini.","Wanafunzi hufunzwa kukaa kimya na kusikiliza kwa makini bila kuzungumza wakati mwalimu anasimulia hadithi, wakiangalia sura za nyuso na ishara za msimuliaji.","Mwalimu asimulie hadithi fupi kuhusu mnyama, kwa mfano hadithi ya mbwa aliyempoteza rafiki yake paka, akitumia picha za wanyama walizojifunza sauti zao kama zana ya kuvutia usikivu.",Mtoto anaposikiliza hadithi za bibi au babu nyumbani anajifunza kukaa kimya na kusikiliza kwa makini.,Hadithi ilikuwa inahusu mnyama gani?::Mbwa na paka||Kwa nini ni muhimu kukaa kimya wakati wa kusikiliza hadithi?::Ili kuelewa hadithi vizuri na kutosumbua wenzako||Unapenda hadithi za wanyama gani zaidi?::Majibu hutofautiana kwa kila mtoto,
2023-JSS010-Awali,Kumudu Stadi za Awali za Lugha ya Mawasiliano,Kusikiliza katika miktadha mbalimbali,Kusikiliza hadithi,Kujibu maswali kuhusu hadithi niliyosikiliza,4,Maswali na majibu baada ya hadithi,Kuwaongoza Wanafunzi,Mtoto anaweza kujibu kwa usahihi walau swali moja kuhusu hadithi aliyoisikiliza.,Kitabu cha hadithi|Picha zinazoonesha matukio ya hadithi,"TET(2023), STADI ZA AWALI ZA LUGHA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM","Baada ya kusimuliwa hadithi, mwalimu awaulize wanafunzi maswali rahisi ya kuwasaidia kukumbuka na kuelewa walichosikiliza.","Wanafunzi hufunzwa kutambua wahusika wa hadithi, mahali tukio lilipotokea, na kile kilichotokea mwanzo, katikati na mwisho wa hadithi.","Baada ya kusimulia hadithi ya wanyama wanaosaidiana, mwalimu auliza 'Nani alikuwa kwenye hadithi?' na 'Ilitokea nini mwishoni?' kuwasaidia wanafunzi kukumbuka matukio ya hadithi.",Mtoto anaposikiliza hadithi shuleni anajifunza kueleza tena kwa maneno yake mwenyewe alichosikia nyumbani.,Nani alikuwa mhusika mkuu wa hadithi?::Mtoto ataeleza jina la mhusika mkuu wa hadithi aliyosikiliza||Tukio lilifanyika wapi?::Mtoto ataeleza mahali tukio lilipotokea||Nini kilitokea mwishoni mwa hadithi?::Mtoto ataeleza mwisho wa hadithi kwa maneno yake mwenyewe,
2023-JSS010-Awali,Kumudu Stadi za Awali za Lugha ya Mawasiliano,Kusikiliza katika miktadha mbalimbali,Kusikiliza hadithi,Kuigiza matukio ya hadithi niliyosikiliza,4,Michezo ya kuigiza,Kuwaongoza Wanafunzi,Mtoto anaweza kuigiza tukio moja la hadithi aliyoisikiliza kwa ushirikiano na wenzake.,Kitabu cha hadithi|Vinyago au vitu vya kuigiza wahusika,"TET(2023), STADI ZA AWALI ZA LUGHA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM","Baada ya kusikiliza na kuelewa hadithi, mwalimu awaongoze wanafunzi kuigiza matukio muhimu ya hadithi kwa vitendo na sauti, kama walivyofanya katika kuigiza sauti za wanyama na maelekezo.","Zoezi hili huunganisha stadi za kusikiliza na kuigiza alizojifunza awali, likiwapa wanafunzi nafasi ya kushirikiana katika vikundi kuigiza wahusika mbalimbali wa hadithi.","Wanafunzi wagawanywe makundi madogo na kuigiza hadithi ya wanyama waliyosikiliza, kila mtoto akichukua nafasi ya mhusika mmoja na kuigiza sauti na matendo yake.",Mtoto anapocheza na wenzake nyumbani anaweza kuigiza hadithi aliyosikia shuleni ili kuwafurahisha.,Chagua mhusika mmoja wa hadithi na muigize::Mtoto anaigiza mhusika aliyemchagua kwa sauti na matendo||Kwa nini tunaigiza matukio ya hadithi tuliyosikiliza?::Ili kuelewa vizuri na kukumbuka hadithi||Ungependa kuigiza sehemu gani ya hadithi? Kwa nini?::Majibu hutofautiana kwa kila mtoto,
2023-JSS010-Awali,Kumudu Stadi za Awali za Lugha ya Mawasiliano,Kuzungumza katika miktadha mbalimbali,Kusimulia matukio mbalimbali,Kusimulia tukio kwa kutumia picha,3,Maswali na majibu ya picha,Kuwaongoza Wanafunzi,Mtoto anaweza kuelezea kwa maneno yake mwenyewe tukio analoliona katika picha kwa sentensi kamili.,Picha ya mtoto anapiga ngoma|Picha za matukio mbalimbali|Kadi za picha,"TET(2023), STADI ZA AWALI ZA LUGHA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM",Kusimulia tukio ni kueleza kwa maneno kile kinachotokea katika picha au mahali fulani. Mwalimu anaonesha picha ya mtoto anayepiga ngoma na kuwauliza watoto maswali kuhusu picha hiyo.,"Mwalimu huanza kwa maswali rahisi ya 'nani', 'nini' na 'kwa nini' ili kumsaidia mtoto kujenga sentensi kamili anaposimulia tukio.",Picha: Mtoto anapiga ngoma. Swali: Unafikiri watoto wanafanya nini katika picha? Jibu: Wanapiga ngoma. Swali: Kwa nini mtoto anapiga ngoma? Jibu: Anapiga ngoma kwa sababu kuna sherehe. Swali: Watu hucheza ngoma katika matukio gani? Jibu: Watu hucheza ngoma katika harusi na sherehe.,"Mtoto anaweza kusimulia nyumbani alichokiona shuleni, kama mchezo aliocheza na wenzake.",Unafikiri watoto wanafanya nini katika picha?::Wanapiga ngoma||Kwa nini mtoto anapiga ngoma?::Kwa sababu kuna sherehe au tukio la kufurahisha||Watu hucheza ngoma katika matukio gani?::Watu hucheza ngoma katika harusi na sherehe,
