subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,sla_name,sla_periods,sla_method,sla_leading,sla_assessment_criteria,sla_teaching_aids,sla_references,sla_notes_intro,sla_notes_details,sla_notes_illustrations,sla_notes_daily_life,sla_exercise,sla_diagram_type
2023-JSS009-Awali,"Kuthamini Utamaduni wa Jamii Yake, Elimu ya Imani na Tunu za Taifa",Kuthamini alama na tunu za taifa,Kubaini alama za taifa,Bendera ya taifa - rangi na maana yake,3,Maonyesho ya vitendo na maswali,Kuwaongoza Wanafunzi,Mtoto anaweza kutaja rangi nne za bendera ya Tanzania na kueleza alipoiona.,Bendera ya taifa|Picha ya bendera|Chati ya rangi,"TET(2023), NINAIPENDA NCHI YANGU TANZANIA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM","Bendera ya taifa ni alama inayoonyesha nchi yetu ya Tanzania. Bendera ina rangi nne: bluu, nyeusi, kijani na njano.","Kila rangi ina maana yake: nyeusi - watu wenyewe, kijani - mazao yetu, bluu - bahari yetu, njano - madini yetu.","Wimbo: 'Bendera yetu, Yapepea Tanzania, Ina rangi bluu, nyeusi, kijani na njano.' Wimbo mwingine: 'Bendera yetu sasa ina rangi nne, Nyeusi sisi wenyewe, Kijani mazao yetu, Bluu bahari yetu, Njano madini yetu.'","Mtoto anaweza kuiona bendera ya taifa ikipepea shuleni, ofisini au siku ya sherehe za kitaifa.","Bendera ya taifa ina rangi ngapi?::Rangi nne||Taja rangi za bendera ya Tanzania.::Bluu, nyeusi, kijani na njano||Rangi ya kijani inawakilisha nini?::Mazao yetu",
2023-JSS009-Awali,"Kuthamini Utamaduni wa Jamii Yake, Elimu ya Imani na Tunu za Taifa",Kuthamini alama na tunu za taifa,Kubaini alama za taifa,Wimbo wa taifa - kuuimba na kuuheshimu,3,Kuimba pamoja,Kuwaongoza Wanafunzi,Mtoto anaweza kuimba sehemu ya wimbo wa taifa na kusimama kwa heshima wakati unapoimbwa.,Maneno ya wimbo wa taifa|Bendera ya taifa,"TET(2023), NINAIPENDA NCHI YANGU TANZANIA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM",Wimbo wa taifa ni wimbo maalum unaoimbwa kuonyesha upendo na heshima kwa nchi yetu.,Tanzania inaimba nyimbo mbili za taifa pamoja: 'Mungu Ibariki Afrika' na 'Mungu Ibariki Tanzania'.,"Wimbo wa Taifa (Mungu Ibariki Afrika): 'Mungu ibariki Afrika, Wabariki viongozi wake, Hekima, umoja na amani, Hizi ni ngao zetu, Afrika na watu wake. Ibariki, Afrika, Ibariki, Afrika, Tubariki, watoto wa Afrika.' Wimbo wa Taifa (Mungu Ibariki Tanzania): 'Mungu ibariki Tanzania, Dumisha uhuru na umoja, Wake kwa waume na watoto, Mungu, ibariki, Tanzania na watu wake. Ibariki, Tanzania, Ibariki, Tanzania, Tubariki, Watoto wa Tanzania.'",Mtoto anasimama kwa heshima na kuimba wimbo wa taifa wakati wa mikusanyiko shuleni.,Nyimbo za taifa za Tanzania zinaitwa nani?::Mungu Ibariki Afrika na Mungu Ibariki Tanzania||Tunapaswa kufanya nini tunapoimba wimbo wa taifa?::Kusimama kwa heshima||Wimbo wa taifa unaomba tunu gani kutoka kwa Mungu?::Umoja na amani,
2023-JSS009-Awali,"Kuthamini Utamaduni wa Jamii Yake, Elimu ya Imani na Tunu za Taifa",Kuthamini alama na tunu za taifa,Kubaini alama za taifa,Nembo ya taifa - kuitambua na kuipamba,2,Maonyesho ya vitendo na kupaka rangi,Kuwaongoza Wanafunzi,Mtoto anaweza kuitambua nembo ya taifa anapoiona na kueleza alipoiona.,Picha ya nembo ya taifa|Rangi za kupaka|Karatasi,"TET(2023), NINAIPENDA NCHI YANGU TANZANIA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM",Nembo ya taifa ni alama nyingine muhimu ya Tanzania inayoonekana kwenye vitu vya serikali.,"Watoto wanatazama nembo, wanaeleza wameona nini ndani yake, na kutaja mahali walipoiona, kwa mfano kwenye pesa au majengo ya serikali.","Mwalimu anaonyesha picha ya nembo ya taifa na kuuliza: 'Umeona nini kwenye nembo ya taifa?', 'Umewahi kuiona wapi nembo ya taifa?', 'Umependa nini katika nembo ya taifa?' Kisha watoto wanapaka rangi nembo ya taifa.","Mtoto anaweza kuona nembo ya taifa kwenye fedha, vyeti au majengo ya serikali.",Nembo ya taifa ni nini?::Alama ya taifa letu||Unaweza kuiona wapi nembo ya taifa?::Kwenye pesa au majengo ya serikali||Shughuli: Paka rangi nembo ya taifa.::Mtoto anapaka rangi nembo kwa usahihi,
2023-JSS009-Awali,"Kuthamini Utamaduni wa Jamii Yake, Elimu ya Imani na Tunu za Taifa",Kuthamini alama na tunu za taifa,"Kubaini tunu za taifa (uzalendo, uwajibikaji na lugha ya taifa)",Lugha ya Kiswahili - lugha yetu ya taifa,3,Kuimba na kurudia maneno,Kuwaongoza Wanafunzi,Mtoto anaweza kusema kuwa Kiswahili ni lugha ya taifa letu na kuonyesha furaha kuizungumza.,Chati ya shairi|Picha zinazohusiana na Kiswahili,"TET(2023), NINAIPENDA NCHI YANGU TANZANIA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM",Kiswahili ni lugha yetu ya taifa. Tunapaswa kuipenda na kuitumia kwa fahari.,"Lugha ya Kiswahili ni utambulisho wetu na nguzo ya umoja wetu kama Watanzania, na inazungumzwa hata nje ya Tanzania - Ulaya, Asia na Afrika.","Shairi: 'Tukipende Kiswahili lugha yetu, Utambulisho wetu, Nguzo yetu, umoja wetu, tufurahi, Watu wote waipenda lugha yetu, Ulaya, Asia na Afrika. Tukikuze, tukiendeleze na tukitangaze, Lugha yetu yavutia, twajivunia.'","Mtoto anazungumza Kiswahili nyumbani, shuleni na sokoni kila siku.","Lugha ya taifa letu ni ipi?::Kiswahili||Kiswahili ni nini kwetu?::Utambulisho na nguzo ya umoja wetu||Kiswahili kinazungumzwa katika mabara gani mengine?::Ulaya, Asia na Afrika",
2023-JSS009-Awali,"Kuthamini Utamaduni wa Jamii Yake, Elimu ya Imani na Tunu za Taifa",Kuthamini alama na tunu za taifa,"Kubaini tunu za taifa (uzalendo, uwajibikaji na lugha ya taifa)",Wajibu wa kuwaheshimu wazazi,3,Hadithi na majadiliano,Kuwaongoza Wanafunzi,Mtoto anaweza kueleza jinsi anavyowaheshimu wazazi wake nyumbani.,Picha ya mtoto akiwaheshimu wazazi,"TET(2023), NINAIPENDA NCHI YANGU TANZANIA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM",Kila mtoto ana wajibu wa kuwaheshimu wazazi wake. Hii ni sehemu ya tunu ya uwajibikaji.,"Kuwaheshimu wazazi ni pamoja na kuwasikiliza, kuwasalimia na kuwatii wanapotoa maelekezo mazuri.",Mwalimu anaonyesha picha ya mtoto akiwaheshimu wazazi na kuwauliza watoto wanamwona mtoto huyo akifanya nini.,Mtoto anasalimia wazazi wake asubuhi na kuwasaidia kazi ndogo za nyumbani.,"Ni wajibu gani unao kwa wazazi wako?::Kuwaheshimu na kuwasikiliza||Unawasalimiaje wazazi wako asubuhi?::Kwa heshima, mfano kuwaamkia||Kuwaheshimu wazazi ni tunu ipi ya taifa?::Uwajibikaji",
2023-JSS009-Awali,"Kuthamini Utamaduni wa Jamii Yake, Elimu ya Imani na Tunu za Taifa",Kuthamini alama na tunu za taifa,"Kubaini tunu za taifa (uzalendo, uwajibikaji na lugha ya taifa)",Kushirikiana kusafisha darasa,2,Maonyesho ya vitendo,Kuwaongoza Wanafunzi,Mtoto anashiriki kikamilifu na wenzake katika kusafisha darasa.,"Vifaa vya usafi (ufagio, ndoo)|Picha za watoto wakifanya usafi","TET(2023), NINAIPENDA NCHI YANGU TANZANIA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM",Kushirikiana na wenzetu kusafisha darasa ni njia ya kuonyesha uwajibikaji na uzalendo tangu utotoni.,Watoto wanatazama picha za wenzao wakifanya usafi darasani na kueleza wanachojifunza.,"Mwalimu anauliza: 'Watoto hawa wanafanya nini?', 'Unajifunza nini katika picha hii?' kisha anawaomba watoto washirikiane kusafisha darasa lao.",Mtoto anashirikiana na ndugu zake kufagia nyumbani au kuosha vyombo.,Watoto katika picha wanafanya nini?::Wanasafisha darasa||Kwa nini tunashirikiana kusafisha darasa?::Ili darasa liwe safi na kuonyesha uwajibikaji||Taja kazi moja unayoshirikiana kufanya nyumbani.::Mfano: kufagia au kuosha vyombo,
2023-JSS009-Awali,"Kuthamini Utamaduni wa Jamii Yake, Elimu ya Imani na Tunu za Taifa",Kuthamini alama na tunu za taifa,Kuelezea Muungano wa Tanganyika na Zanzibar,Nchi mbili kabla ya Muungano - Tanganyika na Zanzibar,3,Hadithi na majadiliano,Kuwaongoza Wanafunzi,Mtoto anaweza kutaja majina ya nchi mbili zilizokuwepo kabla ya Muungano na viongozi wao.,Picha inayohusiana na hadithi ya Muungano|Ramani rahisi,"TET(2023), NINAIPENDA NCHI YANGU TANZANIA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM","Hapo zamani kulikuwa na nchi mbili: Tanganyika na Zanzibar, kila moja ikiwa na kiongozi wake.",Kiongozi wa Tanganyika alikuwa Julius Nyerere. Kiongozi wa Zanzibar alikuwa Abeid Karume.,Hadithi: 'Hapo zamani palikuwa na nchi mbili. Nchi moja iliitwa Tanganyika na nyingine Zanzibar. Kiongozi wa Tanganyika alikuwa Julius Nyerere. Kiongozi wa Zanzibar alikuwa Abeid Karume.',Mtoto anajifunza kuwa nchi yake ilikuwa na historia ya nchi mbili zilizoungana kuwa moja.,Nchi mbili zilizokuwepo kabla ya Muungano ziliitwaje?::Tanganyika na Zanzibar||Kiongozi wa Tanganyika aliitwa nani?::Julius Nyerere||Kiongozi wa Zanzibar aliitwa nani?::Abeid Karume,
2023-JSS009-Awali,"Kuthamini Utamaduni wa Jamii Yake, Elimu ya Imani na Tunu za Taifa",Kuthamini alama na tunu za taifa,Kuelezea Muungano wa Tanganyika na Zanzibar,Hadithi ya kuungana - kuzaliwa kwa Tanzania,3,Hadithi na majadiliano,Kuwaongoza Wanafunzi,Mtoto anaweza kueleza kwa maneno rahisi kuwa Tanganyika na Zanzibar ziliungana na kuitwa Tanzania.,Picha inayohusiana na hadithi ya Muungano|Bendera ya taifa,"TET(2023), NINAIPENDA NCHI YANGU TANZANIA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM",Watu wa Tanganyika na Zanzibar waliishi kwa umoja na hatimaye waliamua kuungana na kuwa nchi moja.,"Baada ya kuungana, nchi mpya ilipewa jina zuri: Tanzania.",Hadithi inaendelea: 'Watu wa nchi hizo waliishi kwa umoja. Kutokana na umoja wao waliamua kuungana. Walipoungana ikawa nchi moja. Wakaipa nchi hiyo jina zuri Tanzania.',Mtoto anaishi katika nchi ya Tanzania inayotokana na umoja wa Tanganyika na Zanzibar.,Tanganyika na Zanzibar zilipoungana ziliitwa jina gani?::Tanzania||Kwa nini Tanganyika na Zanzibar ziliungana?::Kwa sababu ya umoja wao||Muungano unatufundisha tunu gani?::Umoja,
2023-JSS009-Awali,"Kuthamini Utamaduni wa Jamii Yake, Elimu ya Imani na Tunu za Taifa",Kuthamini alama na tunu za taifa,Kutaja majina ya viongozi wa kitaifa,Mwalimu Julius Kambarage Nyerere - Rais wa kwanza,2,Maonyesho ya picha na majadiliano,Kuwaongoza Wanafunzi,Mtoto anaweza kutaja jina la Rais wa kwanza wa Tanzania.,Picha ya Julius Kambarage Nyerere,"TET(2023), NINAIPENDA NCHI YANGU TANZANIA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM","Mwalimu Julius Kambarage Nyerere alikuwa Rais wa kwanza wa Tanzania, Awamu ya kwanza.",Nyerere pia ndiye aliyekuwa kiongozi wa Tanganyika wakati wa Muungano na Zanzibar.,Mwalimu anaonyesha picha ya Mwalimu Julius Kambarage Nyerere na kueleza: 'Rais wa kwanza wa Tanzania. Awamu ya kwanza.',Mtoto anaweza kuona picha ya Mwalimu Nyerere kwenye fedha au majengo ya umma.,Rais wa kwanza wa Tanzania aliitwa nani?::Mwalimu Julius Kambarage Nyerere||Nyerere alikuwa Rais wa awamu ipi?::Awamu ya kwanza||Nyerere alikuwa kiongozi wa nchi gani kabla ya Muungano?::Tanganyika,
2023-JSS009-Awali,"Kuthamini Utamaduni wa Jamii Yake, Elimu ya Imani na Tunu za Taifa",Kuthamini alama na tunu za taifa,Kutaja majina ya viongozi wa kitaifa,Benjamin Mkapa na Jakaya Kikwete - Rais wa tatu na nne,2,Maonyesho ya picha na majadiliano,Kuwaongoza Wanafunzi,Mtoto anaweza kutaja majina ya Rais wa tatu na wa nne wa Tanzania.,Picha za marais wengine,"TET(2023), NINAIPENDA NCHI YANGU TANZANIA, KITABU CHA MTOTO, DARASA LA AWALI, TET, DAR ES SALAAM",Benjamin Mkapa alikuwa Rais wa tatu na Jakaya Kikwete alikuwa Rais wa nne wa Tanzania.,"Kila rais alikuwa na kauli mbiu yake: Mkapa - 'Ukweli na uwazi', Kikwete - 'Ari mpya, nguvu mpya na kasi mpya'.","Mwalimu anaonyesha picha za marais na kueleza: 'Benjamin Mkapa, Awamu ya tatu, Kauli mbiu: Ukweli na uwazi.' na 'Jakaya Kikwete, Awamu ya nne, Kauli mbiu: Ari mpya, nguvu mpya na kasi mpya.'",Mtoto anasikia majina haya yakitajwa na wakubwa wanapozungumzia historia ya nchi.,Rais wa tatu wa Tanzania aliitwa nani?::Benjamin Mkapa||Rais wa nne wa Tanzania aliitwa nani?::Jakaya Kikwete||Kauli mbiu ya Mkapa ilikuwa ipi?::Ukweli na uwazi,
