subject_version_code,main_competence_name,specific_competence_name
2023-JSS004-DRS I,Kusoma,Kutambua sauti za herufi
2023-JSS004-DRS I,Kusoma,Kutambua uhusiano wa sauti na herufi
2023-JSS004-DRS I,Kusoma,Kusoma kwa ufasaha
2023-JSS004-DRS I,Kusoma,Kusoma na kusikiliza kwa ufahamu
2023-JSS004-DRS II,Kusoma,Kutambua sauti za herufi
2023-JSS004-DRS II,Kusoma,Kutambua uhusiano wa sauti na herufi
2023-JSS004-DRS II,Kusoma,Kusoma kwa ufasaha
2023-JSS004-DRS II,Kusoma,Kusoma na kusikiliza kwa ufahamu
2023-JSS005-DRS I,Kutunza Afya na Mazingira,Kutunza afya yake na jamii inayomzunguka
2023-JSS005-DRS I,Kutunza Afya na Mazingira,Kujilinda na mazingira hatarishi
2023-JSS005-DRS II,Kutunza Afya na Mazingira,Kuchunguza vitu vilivyopo katika mazingira
2023-JSS005-DRS II,Kutunza Afya na Mazingira,Kujilinda na mazingira hatarishi
2023-JSS005-DRS II,Kutunza Afya na Mazingira,Kuwa na mtazamo chanya kuhusu mazingira
2023-JSS006-DRS II,"Kuthamini Utamaduni, Sanaa na Michezo",Kuthamini utamaduni wake na wa watu wengine
2023-JSS006-DRS II,"Kuthamini Utamaduni, Sanaa na Michezo",Kuheshimu tofauti za kiimani
2023-JSS006-DRS II,"Kuthamini Utamaduni, Sanaa na Michezo",Kubuni kazi za sanaa
2023-JSS006-DRS II,"Kuthamini Utamaduni, Sanaa na Michezo",Kushiriki katika michezo mbalimbali
2023-JSS007-DRS II,Demonstrate Mastery of Basic English Language Skills,Develop listening and speaking skills in different contexts
2023-JSS007-DRS II,Demonstrate Mastery of Basic English Language Skills,Develop early Literacy and numeracy skills
2023-JSS008-Awali,"Kumudu Stadi za Kisanii, Ubunifu na Michezo",Kuonesha sanaa za maonyesho
2023-JSS008-Awali,"Kumudu Stadi za Kisanii, Ubunifu na Michezo",Kubuni sanaa zinazohusisha utendaji wa mikono
2023-JSS008-Awali,"Kumudu Stadi za Kisanii, Ubunifu na Michezo",Kutumia stadi za ubunifu zinazohusisha utendaji wa mwili
