name,code,description,periods_per_week
Hisabati,JSS001,Hisabati - Mtaala wa Elimu ya Msingi Darasa la I-VI 2023,6
Kuhesabu,JSS002,Kuhesabu - Muhtasari wa Elimu ya Msingi Darasa la I na la II 2023,7
Kuandika,JSS003,Kuandika - Muhtasari wa Elimu ya Msingi Darasa la I na la II 2023,5
Kusoma,JSS004,Kusoma - Muhtasari wa Elimu ya Msingi Darasa la I na la II 2023,8
Kutunza Afya na Mazingira,JSS005,Kutunza Afya na Mazingira - Muhtasari wa Elimu ya Msingi Darasa la I na la II 2023,2
"Kuthamini Utamaduni, Sanaa na Michezo",JSS006,"Kuthamini Utamaduni, Sanaa na Michezo - Muhtasari wa Elimu ya Msingi Darasa la I na la II 2023",2
Demonstrate Mastery of Basic English Language Skills,JSS007,Demonstrate Mastery of Basic English Language Skills - Muhtasari wa Elimu ya Msingi Darasa la I na la II 2023,6
"Kumudu Stadi za Kisanii, Ubunifu na Michezo",JSS008,"Kumudu Stadi za Kisanii, Ubunifu na Michezo - Muhtasari wa Elimu ya Awali 2023",3
"Kuthamini Utamaduni wa Jamii Yake, Elimu ya Imani na Tunu za Taifa",JSS009,"Kuthamini Utamaduni wa Jamii Yake, Elimu ya Imani na Tunu za Taifa - Muhtasari wa Elimu ya Awali 2023",3
Kumudu Stadi za Awali za Lugha ya Mawasiliano,JSS010,Kumudu Stadi za Awali za Lugha ya Mawasiliano - Muhtasari wa Elimu ya Awali 2023,5
Kuhusiana,JSS011,Kuhusiana - Muhtasari wa Elimu ya Awali 2023,2
Afya na Mazingira,JSS012,Afya na Mazingira - Muhtasari wa Elimu ya Awali 2023,3
Kutumia Stadi za Awali za Kihisabati Sayansi na TEHAMA,JSS013,Kutumia Stadi za Awali za Kihisabati Sayansi na TEHAMA - Muhtasari wa Elimu ya Awali 2023,4
English,JSS014,English - English Language Syllabus for Primary Education Standard III-VI 2023,7
Kiswahili,JSS015,Kiswahili - Muhtasari wa Somo la Kiswahili Elimu ya Msingi Darasa la III-VI 2023,5
Sayansi,JSS016,Sayansi - Muhtasari wa Somo la Sayansi Elimu ya Msingi Darasa la III - VI 2023,5
Jiografia na Mazingira,JSS017,Jiografia na Mazingira - Muhtasari wa Somo la Jiografia na Mazingira Elimu ya Msingi Darasa la III - VI 2023,4
Sanaa na Michezo,JSS018,Sanaa na Michezo - Muhtasari wa Somo la Sanaa na Michezo Elimu ya Msingi Darasa la III - VI 2023,4
Historia ya Tanzania na Maadili,JSS019,Historia ya Tanzania na Maadili - Muhtasari wa Somo la Historia ya Tanzania na Maadili Elimu ya Msingi Darasa la III-VI 2023,5
Biology,,Biology - Biology Syllabus for Ordinary Secondary Education Form I-IV 2023,4
Chemistry,,Chemistry - Chemistry Syllabus for Ordinary Secondary Education Form I-IV 2023,4
Physics,,Physics Syllabus for Ordinary Secondary Education Form I-IV 2023,4
Book-keeping,,Book-keeping - Book-keeping Syllabus for Ordinary Secondary Education Form I-IV 2023,3
Business Studies,,Business Studies - Business Studies Syllabus for Ordinary Secondary Education Form I-IV 2023,3
