syllabus_year,subject_code,class_level_name,is_english,is_awali
2023,JSS002,DRS I,0,0
2023,JSS002,DRS II,0,0
2023,JSS003,DRS I,0,0
2023,JSS003,DRS II,0,0
2023,JSS004,DRS I,0,0
2023,JSS004,DRS II,0,0
2023,JSS005,DRS I,0,0
2023,JSS005,DRS II,0,0
2023,JSS006,DRS II,0,0
2023,JSS007,DRS II,1,0
2023,JSS008,Awali,0,1
2023,JSS009,Awali,0,1
2023,JSS010,Awali,0,1
2023,JSS011,Awali,0,1
2023,JSS012,Awali,0,1
2023,JSS013,Awali,0,1
2023,JSS014,DRS III,1,0
2023,JSS015,DRS III,0,0
2023,JSS016,DRS III,0,0
2023,JSS001,DRS III,0,0
2023,JSS001,DRS IV,0,0
2023,JSS001,DRS V,0,0
2023,JSS001,DRS VI,0,0
2023,JSS017,DRS III,0,0
2023,JSS018,DRS III,0,0
2023,JSS019,DRS III,0,0
2023,JSS014,DRS IV,1,0
2023,JSS015,DRS IV,0,0
2023,JSS016,DRS IV,0,0
2023,JSS017,DRS IV,0,0
2023,JSS018,DRS IV,0,0
2023,JSS019,DRS IV,0,0
2023,JSS015,DRS V,0,0
2023,JSS014,DRS V,1,0
2023,JSS019,DRS V,0,0
2023,JSS016,DRS V,0,0
2023,JSS018,DRS V,0,0
2023,JSS017,DRS V,0,0
2023,JSS016,DRS VI,0,0
2023,JSS018,DRS VI,0,0
2023,JSS017,DRS VI,0,0
