subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,la_periods
2023-JSS020-Kidato I,"Demonstrate mastery of the concepts, principles and processes of Biology","Describe the physiological, anatomical and ecological processes of living organisms","Explain the basic concepts of Biology (meaning, branches, basic terminologies, importance and its relationship with other disciplines)",9
2023-JSS020-Kidato I,"Demonstrate mastery of the concepts, principles and processes of Biology","Describe the physiological, anatomical and ecological processes of living organisms","Describe a cell (meaning, types, structures and functions)",9
2023-JSS020-Kidato I,"Demonstrate mastery of the concepts, principles and processes of Biology","Describe the physiological, anatomical and ecological processes of living organisms","Describe nutrition in plants (photosynthesis, leaf structure and mineral requirements)",9
2023-JSS020-Kidato I,Communicating using scientific biological terminologies,Demonstrate mastery of scientific biological terminologies,"Explain the concept and systems of classification (meaning ,importance of classification, rules of scientific naming of organisms, artificial and natural classification systems)",14
2023-JSS020-Kidato I,Communicating using scientific biological terminologies,Demonstrate mastery of scientific biological terminologies,"Describe the major groups of organisms: (Monera, Protista, Fungi, Plantae, Animalia and Viruses)",14
2023-JSS020-Kidato I,Conduct biological investigations,Demonstrate mastery of basic skills for conducting biological investigations,"Describe the basic skills for conducting biological experiments (observation, measurement and experimentation)",14
2023-JSS020-Kidato I,Conduct biological investigations,Demonstrate mastery of basic skills for conducting biological investigations,Carry out microscopic observation of a cell,13
2023-JSS020-Kidato I,Conduct biological investigations,Demonstrate mastery of basic skills for conducting biological investigations,Carry out investigations related to photosynthesis (conditions necessary for photosynthesis),13
2023-JSS020-Kidato I,Conduct biological investigations,Prepare and present results of biological investigations,Prepare and present a report on cell and photosynthesis investigations,10
2023-JSS020-Kidato II,"Demonstrate mastery of the concepts, principles and processes of Biology","Describe the physiological, anatomical and ecological processes of living organisms","Describe nutrition in human and ruminants (nutrients, digestive system and processes)",13
2023-JSS020-Kidato II,"Demonstrate mastery of the concepts, principles and processes of Biology","Describe the physiological, anatomical and ecological processes of living organisms","Describe the mechanism of transportation of materials in flowering plants (vascular system, absorption and movement of water and mineral salts and transpiration)",13
2023-JSS020-Kidato II,"Demonstrate mastery of the concepts, principles and processes of Biology","Describe the physiological, anatomical and ecological processes of living organisms","Describe the mechanism of transportation of materials in the human body (the mammalian heart, blood vessels, blood, blood circulation)",13
2023-JSS020-Kidato II,"Demonstrate mastery of the concepts, principles and processes of Biology","Describe the physiological, anatomical and ecological processes of living organisms","Describe the mechanisms of gaseous exchange and respiration in mammals (gaseous exchange in mammals, aerobic and anaerobic respiration)",13
2023-JSS020-Kidato II,"Demonstrate mastery of the concepts, principles and processes of Biology","Describe the physiological, anatomical and ecological processes of living organisms",Describe the mechanism of gaseous exchange in plants (parts of plants responsible for gaseous exchange and the process),12
2023-JSS020-Kidato II,Conduct biological investigations,Demonstrate mastery of basic skills for conducting biological investigations,Investigate food nutrients in various food samples,8
2023-JSS020-Kidato II,Conduct biological investigations,Demonstrate mastery of basic skills for conducting biological investigations,Investigate processes of transportation of materials in flowering plants,8
2023-JSS020-Kidato II,Conduct biological investigations,Demonstrate mastery of basic skills for conducting biological investigations,Carry out experiments to determine the pulse rate in human,8
2023-JSS020-Kidato II,Conduct biological investigations,Demonstrate mastery of basic skills for conducting biological investigations,Investigate aerobic and anaerobic respiration in living organisms,7
2023-JSS020-Kidato II,Conduct biological investigations,Prepare and present results of biological investigations,"Prepare and present a report of a biological investigation on ( food nutrients in various food samples, transportation of materials in flowering plants, pulse rate in human, aerobic and anaerobic respiration )",10
2023-JSS020-Kidato III,"Demonstrate mastery of the concepts, principles and processes of Biology","Describe the physiological, anatomical and ecological processes of living organisms","Describe coordination in plants (tropic responses) and animals (nervous coordination in human, structure of neurones, sense organs and endocrine system)",27
2023-JSS020-Kidato III,"Demonstrate mastery of the concepts, principles and processes of Biology","Describe the physiological, anatomical and ecological processes of living organisms","Describe the mechanism of excretion in the human body (systems: organs, products)",27
2023-JSS020-Kidato III,"Demonstrate mastery of the concepts, principles and processes of Biology","Describe the physiological, anatomical and ecological processes of living organisms","Describe the mechanism of regulation in the human body (temperature regulation, blood sugar regulation and osmoregulation)",26
2023-JSS020-Kidato III,Conduct biological investigations,Demonstrate mastery of basic skills for conducting biological investigations,Investigate the process of nervous coordination (reflex arc and knee jerk),20
2023-JSS020-Kidato III,Conduct biological investigations,Demonstrate mastery of basic skills for conducting biological investigations,Investigate tropic responses in plants,20
2023-JSS020-Kidato III,Conduct biological investigations,Carry out a biological project work using biological principles,Develop and carry out a simple research project in Biology,20
2023-JSS020-Kidato IV,"Demonstrate mastery of the concepts, principles and processes of Biology","Describe the physiological, anatomical and ecological processes of living organisms","Describe reproduction in plants (concept of reproduction in plants, asexual and sexual reproduction, pollination and fertilization)",22
2023-JSS020-Kidato IV,"Demonstrate mastery of the concepts, principles and processes of Biology","Describe the physiological, anatomical and ecological processes of living organisms","Describe reproduction in humans (sexual reproduction in human, fertilization, pregnancy and child birth)",22
2023-JSS020-Kidato IV,"Demonstrate mastery of the concepts, principles and processes of Biology","Describe the physiological, anatomical and ecological processes of living organisms","Describe the mechanisms of growth in mammals and flowering plants (concept of growth, mitosis and growth, growth and developmental stages in human and seed germination)",21
2023-JSS020-Kidato IV,"Demonstrate mastery of the concepts, principles and processes of Biology","Describe the physiological, anatomical and ecological processes of living organisms","Explore the basic tenets of genetics (genetic materials, principles of inheritance, monohybrid, Mendelian and non-Mendelian inheritance; variation)",21
2023-JSS020-Kidato IV,Conduct biological investigations,Demonstrate mastery of basic skills for conducting biological investigations,Carry out investigation related to reproduction in flowering plants (flower structure and embryo),18
2023-JSS020-Kidato IV,Conduct biological investigations,Demonstrate mastery of basic skills for conducting biological investigations,Investigate growth in flowering plants (hypogeal and epigeal germination),18
2023-JSS020-Kidato IV,Conduct biological investigations,Carry out a biological project work using biological principles,Complete and submit a report for the research project started in Form Three,18
