subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,la_periods
2023-JSS023-Kidato I,Demonstrate mastery of the principles of Book-keeping,Demonstrate an understanding of the basic principles and theories of Book-keeping,"Explain the concept of Book Keeping (origin, meaning, purpose, relationship with other disciplines and basic terms)",5
2023-JSS023-Kidato I,Demonstrate mastery of the principles of Book-keeping,Demonstrate an understanding of the basic principles and theories of Book-keeping,Explain the basis for recording business transactions (accounting assumptions and principles),5
2023-JSS023-Kidato I,Demonstrate mastery of the principles of Book-keeping,Demonstrate an understanding of the basic principles and theories of Book-keeping,Describe the theory of the double-entry system of Book-keeping (the accounting equation),4
2023-JSS023-Kidato I,Demonstrate mastery of the principles of Book-keeping,Demonstrate an understanding of the basic principles and theories of Book-keeping,"Describe various types of accounts (assets, liabilities, capital, revenue and expenses)",4
2023-JSS023-Kidato I,Demonstrate mastery of the principles of Book-keeping,Record business transactions using source documents,Identify sources of business transactions (source documents),9
2023-JSS023-Kidato I,Demonstrate mastery of the principles of Book-keeping,Record business transactions using source documents,Record business transactions from various source documents,9
2023-JSS023-Kidato I,Demonstrate mastery of the principles of Book-keeping,Record business transactions using source documents,Post recorded business transactions from books of original entry to ledger accounts and balance off the accounts,9
2023-JSS023-Kidato I,Demonstrate mastery of the principles of Book-keeping,Prepare a trial balance,Describe the trial balance,3
2023-JSS023-Kidato I,Demonstrate mastery of the principles of Book-keeping,Prepare a trial balance,Prepare a trial balance to check the arithmetical accuracy of ledger accounts,2
2023-JSS023-Kidato I,Prepare basic financial statements,Prepare basic profit or loss statements,"Describe basic financial statements (meaning, types, purpose, content and format)",5
2023-JSS023-Kidato I,Prepare basic financial statements,Prepare basic profit or loss statements,Prepare a basic income statement,5
2023-JSS023-Kidato I,Prepare basic financial statements,Prepare basic business financial position statements,Classify assets and liabilities,5
2023-JSS023-Kidato I,Prepare basic financial statements,Prepare basic business financial position statements,Prepare a basic statement of financial position,5
2023-JSS023-Kidato II,Demonstrate mastery of the principles of Book-keeping,Record business transactions using source documents,Describe cash and banking transactions (types of cash books),15
2023-JSS023-Kidato II,Demonstrate mastery of the principles of Book-keeping,Record business transactions using source documents,"Record cash/bank receipts and payments from various source documents in the Cash Book (double column, three-column or petty cash book)",15
