subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,la_periods
2023-JSS024-Kidato I,Demonstrate mastery of business knowledge,"Demonstrate mastery of the concepts, theories and principles of Business Education","Describe the concept and scope of business studies, and its relationship with other disciplines",24
2023-JSS024-Kidato I,Demonstrate mastery of business knowledge,"Demonstrate mastery of the concepts, theories and principles of Business Education","Describe the concept and theories of entrepreneurship (meaning, characteristics, skills and importance)",23
2023-JSS024-Kidato I,Demonstrate mastery of business knowledge,"Demonstrate mastery of the concepts, theories and principles of Business Education","Describe sole proprietorship (meaning, features, advantages and disadvantages and start-up)",23
2023-JSS024-Kidato II,Demonstrate mastery of business knowledge,"Demonstrate mastery of the concepts, theories and principles of Business Education","Explain the concept of production (meaning, types, factors and importance)",12
2023-JSS024-Kidato II,Demonstrate mastery of business knowledge,"Demonstrate mastery of the concepts, theories and principles of Business Education","Describe sources of capital for small businesses (loans, savings, deferred payments, funds from family and friends)",11
2023-JSS024-Kidato II,Demonstrate mastery of business knowledge,"Demonstrate mastery of the concepts, theories and principles of Business Education",Describe the role of microfinancing and cooperatives in facilitating business formation and operations,11
2023-JSS024-Kidato II,Solve social challenges using business skills,Demonstrate mastery of the basic skills of operating a small-scale business,"Describe the basic aspects of management for small businesses (meaning, financial and other records keeping, calculation of profit and loss, budgeting and control and administration)",13
2023-JSS024-Kidato II,Solve social challenges using business skills,Demonstrate mastery of the basic skills of operating a small-scale business,Describe the basic aspects of warehousing and inventorying for small businesses (meaning and functions),13
2023-JSS024-Kidato II,Apply business knowledge in various contexts,Apply business theories into practice,Identify business opportunities available in the local environment,10
2023-JSS024-Kidato III,Demonstrate mastery of business knowledge,"Demonstrate mastery of the concepts, theories and principles of Business Education","Describe the basic aspects of marketing for small businesses (meaning and importance, product, price, place/distribution, promotion)",21
2023-JSS024-Kidato III,Demonstrate mastery of business knowledge,"Demonstrate mastery of the concepts, theories and principles of Business Education",Describe the basic aspects of e-marketing for small businesses (upload business biography in social media),21
2023-JSS024-Kidato III,Solve social challenges using business skills,Demonstrate mastery of the basic skills of operating a small-scale business,"Explore the basic aspects of the policy and regulatory environment governing small businesses in Tanzania (roles of government and non-governmental agencies, policies, laws and by-laws)",26
2023-JSS024-Kidato III,Solve social challenges using business skills,Demonstrate mastery of the basic skills of operating a small-scale business,"Describe procedures for registering small businesses in Tanzania (types of licenses, importance of registration and sanctions for non-compliance)",26
2023-JSS024-Kidato III,Apply business knowledge in various contexts,Apply business theories into practice,"Develop a plan for a small business identified from the opportunities in Form II (identification, financing, production and distribution, and marketing)",28
2023-JSS024-Kidato III,Apply business knowledge in various contexts,Demonstrate mastery of basic business ethics,"Describe the basic tenets of ethics for small businesses (meaning, norms, and values)",18
2023-JSS024-Kidato IV,Demonstrate mastery of business knowledge,"Demonstrate mastery of the concepts, theories and principles of Business Education","Explain the basic aspects of insurance for small businesses (meaning, principles, importance, choice of appropriate insurance plan and procedures of filing insurance claims)",20
2023-JSS024-Kidato IV,Demonstrate mastery of business knowledge,"Demonstrate mastery of the concepts, theories and principles of Business Education","Describe business partnerships (meaning, types, features, advantages and disadvantages, formation and dissolution)",20
2023-JSS024-Kidato IV,Solve social challenges using business skills,Demonstrate mastery of the basic skills of operating a small-scale business,"Describe taxes and levies associated with small businesses in Tanzania (meaning, types, importance, and sanctions for non-compliance)",17
2023-JSS024-Kidato IV,Solve social challenges using business skills,Demonstrate mastery of the basic skills of operating a small-scale business,Describe the basic principles of communication and networking for small businesses,17
2023-JSS024-Kidato IV,Solve social challenges using business skills,Demonstrate mastery of the basic skills of trading locally and internationally,Use pricing techniques to determine appropriate prices of products,14
2023-JSS024-Kidato IV,Solve social challenges using business skills,Demonstrate mastery of the basic skills of trading locally and internationally,Identify relevant procedures and practices for buying and selling products within and outside the country,13
2023-JSS024-Kidato IV,Solve social challenges using business skills,Demonstrate mastery of the basic skills of trading locally and internationally,"Use appropriate selling methods and techniques (branding, logos, packaging, after sales services, barcoding, direct mail and internet auctions) to facilitate trade",13
2023-JSS024-Kidato IV,Apply business knowledge in various contexts,Apply business theories into practice,Complete and present the business plan developed in Form Three,26
