subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,la_periods
2023-JSS021-Kidato I,"Demonstrate mastery of basic concepts, theories and principles in Chemistry","Demonstrate mastery of concepts, theories and principles in Chemistry","Describe the concept of Chemistry (meaning, branches, applications and relationships with other disciplines)",13
2023-JSS021-Kidato I,"Demonstrate mastery of basic concepts, theories and principles in Chemistry","Demonstrate mastery of concepts, theories and principles in Chemistry",Discuss the contribution of Chemistry in the development of modern society,13
2023-JSS021-Kidato I,"Demonstrate mastery of basic concepts, theories and principles in Chemistry","Demonstrate mastery of concepts, theories and principles in Chemistry",Describe the concept of matter (physical and chemical changes of matter),13
2023-JSS021-Kidato I,"Demonstrate mastery of basic concepts, theories and principles in Chemistry","Demonstrate mastery of concepts, theories and principles in Chemistry","Describe the concepts of chemical elements (criteria for assigning chemical symbols), compounds (binary compound) and mixtures (types of solution and separation of mixtures)",13
2023-JSS021-Kidato I,"Demonstrate mastery of basic concepts, theories and principles in Chemistry","Demonstrate mastery of concepts, theories and principles in Chemistry",Compare the properties of compounds with those of constituent elements,13
2023-JSS021-Kidato I,"Demonstrate mastery of basic concepts, theories and principles in Chemistry","Demonstrate mastery of concepts, theories and principles in Chemistry",Explain the concept of the periodic table (1st 20 elements in the Periodic Table; metals and non-metals),13
2023-JSS021-Kidato I,Conduct experiments in Chemistry,Conduct experiments in Chemistry,"Describe basic Chemistry laboratory skills (chemistry laboratory rules and safety measures, first aid, fire and firefighting, and Chemistry laboratory apparatus)",13
2023-JSS021-Kidato I,Conduct experiments in Chemistry,Conduct experiments in Chemistry,Perform experiments on the changes of matter from one state to another,13
2023-JSS021-Kidato I,Conduct experiments in Chemistry,Conduct experiments in Chemistry,Perform experiments on separation of different mixtures using different methods,13
2023-JSS021-Kidato II,"Demonstrate mastery of basic concepts, theories and principles in Chemistry","Demonstrate mastery of concepts, theories and principles in Chemistry",Describe the modern concept of atomic structure (Dalton's atomic structure and sub-atomic particles),9
2023-JSS021-Kidato II,"Demonstrate mastery of basic concepts, theories and principles in Chemistry","Demonstrate mastery of concepts, theories and principles in Chemistry",Describe the concept of electronic arrangements,9
2023-JSS021-Kidato II,"Demonstrate mastery of basic concepts, theories and principles in Chemistry","Demonstrate mastery of concepts, theories and principles in Chemistry",Use the concept of atomic structure to determine the atomic and mass numbers of an element,9
2023-JSS021-Kidato II,"Demonstrate mastery of basic concepts, theories and principles in Chemistry","Demonstrate mastery of concepts, theories and principles in Chemistry","Explain the concept of chemical formulae and nomenclature (valence, oxidation state, radicals and naming of binary inorganic compounds using the IUPAC system)",9
2023-JSS021-Kidato II,"Demonstrate mastery of basic concepts, theories and principles in Chemistry","Demonstrate mastery of concepts, theories and principles in Chemistry",Determine empirical and molecular formulae of common compounds,9
2023-JSS021-Kidato II,"Demonstrate mastery of basic concepts, theories and principles in Chemistry","Demonstrate mastery of concepts, theories and principles in Chemistry",Describe the concept of chemical bonding (covalent and electrovalent bonding),9
2023-JSS021-Kidato II,"Demonstrate mastery of basic concepts, theories and principles in Chemistry","Demonstrate mastery of concepts, theories and principles in Chemistry","Describe the concept of chemical reactions (chemical equations, balancing chemical equations, and types of chemical reactions)",9
2023-JSS021-Kidato II,"Demonstrate mastery of basic concepts, theories and principles in Chemistry","Demonstrate mastery of concepts, theories and principles in Chemistry",Relate the types of chemical reactions with common processes in daily life such as burning of fuel and digestion in living organisms,9
2023-JSS021-Kidato II,"Demonstrate mastery of basic concepts, theories and principles in Chemistry","Demonstrate mastery of concepts, theories and principles in Chemistry","Describe acids, bases and salts (reactions of acids and bases with various substances) and their applications in daily life",9
2023-JSS021-Kidato II,"Demonstrate mastery of basic concepts, theories and principles in Chemistry",Demonstrate an understanding of the physical and chemical properties of elements on the basis of their arrangements in the periodic table,Explain the changes in the physical and chemical properties of elements across and down the periodic table,9
2023-JSS021-Kidato II,"Demonstrate mastery of basic concepts, theories and principles in Chemistry",Demonstrate an understanding of the physical and chemical properties of elements on the basis of their arrangements in the periodic table,Use the electronic configuration of an element to locate their positions in the periodic table,9
2023-JSS021-Kidato II,Conduct experiments in Chemistry,Conduct experiments in Chemistry,Prepare acid-base indicators using locally available materials,9
2023-JSS021-Kidato II,Conduct experiments in Chemistry,Conduct experiments in Chemistry,Use the prepared indicators to test acidity and alkalinity of substances found in the locality,9
2023-JSS021-Kidato III,"Demonstrate mastery of basic concepts, theories and principles in Chemistry","Demonstrate mastery of concepts, theories and principles in Chemistry",Describe the mole concept (comparison of the mole with other units of measurements and molar quantities of substances),10
2023-JSS021-Kidato III,"Demonstrate mastery of basic concepts, theories and principles in Chemistry","Demonstrate mastery of concepts, theories and principles in Chemistry",Explain Avogadro's law in relation to molar quantities,10
2023-JSS021-Kidato III,"Demonstrate mastery of basic concepts, theories and principles in Chemistry","Demonstrate mastery of concepts, theories and principles in Chemistry",Explain the principles of volumetric analysis (preparation of standard solutions and volumetric calculations),10
2023-JSS021-Kidato III,"Demonstrate mastery of basic concepts, theories and principles in Chemistry","Demonstrate mastery of concepts, theories and principles in Chemistry","Describe the applications of volumetric analysis in real life and industrial settings as in soft drinks and cocktail making, medicine and in agriculture",10
2023-JSS021-Kidato III,"Demonstrate mastery of basic concepts, theories and principles in Chemistry","Demonstrate mastery of concepts, theories and principles in Chemistry","Explore the basic tenets of ionic theory and electrolysis (ionic theory, mechanism of electrolysis and laws of electrolysis)",10
2023-JSS021-Kidato III,"Demonstrate mastery of basic concepts, theories and principles in Chemistry","Demonstrate mastery of concepts, theories and principles in Chemistry","Describe the preparation and properties of various compounds of metals (oxides, hydroxides, carbonates, hydrogen carbonates, nitrates, chlorides and sulphates of metals)",9
2023-JSS021-Kidato III,"Demonstrate mastery of basic concepts, theories and principles in Chemistry","Demonstrate mastery of concepts, theories and principles in Chemistry","Describe the oxidizing and displacement properties of non-metal compounds (oxygen, hydrogen, chlorine, hydrogen chloride, sulphur dioxide, nitrogen, ammonia, and carbon dioxide)",9
2023-JSS021-Kidato III,Conduct experiments in Chemistry,Conduct experiments in Chemistry,Perform experiments on volumetric analysis,10
2023-JSS021-Kidato III,Conduct experiments in Chemistry,Conduct experiments in Chemistry,Perform experiments on the applications of electrolysis in corrosion inhibition and purification of metals,10
2023-JSS021-Kidato III,Conduct experiments in Chemistry,Conduct experiments in Chemistry,Use appropriate software to sketch the set-ups of experiments,10
2023-JSS021-Kidato III,Conduct experiments in Chemistry,Conduct experiments in Chemistry,"Prepare various compounds of metals (oxides, hydroxides, carbonates, hydrogen carbonates, nitrates, chlorides, and sulphates)",10
2023-JSS021-Kidato III,Conduct experiments in Chemistry,Conduct experiments in Chemistry,"Demonstrate oxidizing and displacement properties of non-metallic compounds (oxygen, hydrogen, chlorine, hydrogen chloride, sulphur dioxide, nitrogen, ammonia and carbon dioxide)",9
2023-JSS021-Kidato III,Conduct experiments in Chemistry,Conduct experiments in Chemistry,Prepare sulphuric acid from sulphur dioxide,9
2023-JSS021-Kidato III,Demonstrate mastery of basic principles of extraction of metals,Demonstrate mastery of the principles of extraction of metals,"Describe the extraction of iron from its ore (ores, stages, and methods of extraction)",10
2023-JSS021-Kidato III,Conduct a project in Chemistry,Conduct a project in Chemistry,Design and carry-out a simple research project in Chemistry,20
2023-JSS021-Kidato IV,"Demonstrate mastery of basic concepts, theories and principles in Chemistry","Demonstrate mastery of concepts, theories and principles in Chemistry","Explore the basic tenets of qualitative analysis (preliminary analysis, tests in solution and confirmatory test)",18
2023-JSS021-Kidato IV,"Demonstrate mastery of basic concepts, theories and principles in Chemistry","Demonstrate mastery of concepts, theories and principles in Chemistry",Explore the basic tenets of Organic Chemistry (organic compounds; aliphatic hydrocarbons and alcohols),18
2023-JSS021-Kidato IV,Demonstrate mastery of basic terminologies in Chemistry,Use the International Union of Pure and Applied Chemistry nomenclature to name chemical species,Use Chemistry software to draw organic structures of hydrocarbons and alcohols with 1 carbon to 10 carbon atoms,18
