subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,la_periods
2023-JSS014-Kidato I,Manage information search from different sources for lifelong learning,Use ICT tools to search for information from different sources,"Familiarise with various types of search engines (e.g., Google, Google Scholar, Bing)",9
2023-JSS014-Kidato I,Manage information search from different sources for lifelong learning,Use ICT tools to search for information from different sources,"Utilise ICT tools to search for general information (e.g., books, journals)",9
2023-JSS014-Kidato I,Demonstrate mastery of English language skills,Develop listening skills,Answer questions based on information from presentations/tasks,4
2023-JSS014-Kidato I,Demonstrate mastery of English language skills,Develop listening skills,Practise pronunciation of words from oral and audio/audio-visual sources,4
2023-JSS014-Kidato I,Demonstrate mastery of English language skills,Develop listening skills,Write words heard from oral and audio/audio-visual sources,4
2023-JSS014-Kidato I,Demonstrate mastery of English language skills,Develop listening skills,Reproduce messages from oral presentations,3
2023-JSS014-Kidato I,Demonstrate mastery of English language skills,Produce short and coherent oral messages with intelligible pronunciation and fluency,Distinguish words with minimal sound distinctions that have different meanings (cut/cat; paper/pepper; date/debt),4
2023-JSS014-Kidato I,Demonstrate mastery of English language skills,Produce short and coherent oral messages with intelligible pronunciation and fluency,Practise pronunciation with proper word stress assignment,4
2023-JSS014-Kidato I,Demonstrate mastery of English language skills,Produce short and coherent oral messages with intelligible pronunciation and fluency,"Practise pronunciation of words with short and long vowels (e.g., sit/seat, hit/heat, pot/port)",4
2023-JSS014-Kidato I,Demonstrate mastery of English language skills,Produce short and coherent oral messages with intelligible pronunciation and fluency,"Practise pronunciation of unfamiliar sounds (e.g., through the use of tongue twisters, songs, poems)",3
2023-JSS014-Kidato I,Demonstrate mastery of English language skills,Produce short and coherent oral messages with intelligible pronunciation and fluency,"Practise pronunciation of words with similar sounds that have different spellings (e.g., one/won, ewe/you)",3
2023-JSS014-Kidato I,Demonstrate mastery of English language skills,Develop vocabulary from conversations and written texts,"Write new vocabulary from conversations and written texts on particular topics (e.g., politics, sports, tourism, agriculture)",7
2023-JSS014-Kidato I,Demonstrate mastery of English language skills,Develop vocabulary from conversations and written texts,Construct sentences using vocabulary acquired from conversations and written texts,6
2023-JSS014-Kidato I,Demonstrate mastery of English language skills,Develop vocabulary from conversations and written texts,"Play vocabulary building games using digital and non-digital resources (e.g., word board games, charades, picture games, flash cards)",6
2023-JSS014-Kidato I,Demonstrate mastery of English language skills,Use appropriate grammar and vocabulary in oral and in written language tasks,"Express ideas or opinions in contextualised oral and written language tasks using proper grammar and vocabulary (e.g hospital, market, library, bus stop, sport and games)",6
2023-JSS014-Kidato I,Demonstrate mastery of English language skills,Use appropriate grammar and vocabulary in oral and in written language tasks,"Construct sentences using appropriate grammar and vocabulary relating to a specific context (structure: tenses – simple past, simple present, articles, present progressive, pronouns, coordinators, prepositions, adjectives, adverbs)",5
2023-JSS014-Kidato I,Demonstrate mastery of English language skills,Use appropriate grammar and vocabulary in oral and in written language tasks,Debate on topics using proper grammar and vocabulary,5
2023-JSS014-Kidato I,Comprehend oral and written information,Read texts for comprehension,Sequence the order of events in stories,6
2023-JSS014-Kidato I,Comprehend oral and written information,Read texts for comprehension,Make a summary of stories,6
2023-JSS014-Kidato I,Comprehend oral and written information,Read texts for comprehension,Retell stories,6
2023-JSS014-Kidato I,Comprehend oral and written information,Comprehend oral messages with increasing difficulty,Paraphrase various oral messages from different contexts,6
2023-JSS014-Kidato I,Comprehend oral and written information,Comprehend oral messages with increasing difficulty,Respond to oral messages from different contexts,5
