subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,la_periods
2023-JSS019-Kidato I,Demonstrate mastery of African history before colonialism,Demonstrate an understanding of the concept of History and sources of historical information,Describe the concept of History and the sources of historical information,12
2023-JSS019-Kidato I,Demonstrate mastery of African history before colonialism,Demonstrate an understanding of theories of the origin of human beings,Describe the theories of the origin of human beings,9
2023-JSS019-Kidato I,Demonstrate mastery of African history before colonialism,Demonstrate an understanding of theories of the origin of human beings,Describe the stages of human evolution and their technological Ages,9
2023-JSS019-Kidato I,Demonstrate mastery of African history before colonialism,"Demonstrate an understanding of the economic, political, social and technological development in pre-colonial Africa",Describe different modes of production in pre-colonial Africa,14
2023-JSS019-Kidato I,Demonstrate mastery of African history before colonialism,"Demonstrate an understanding of the economic, political, social and technological development in pre-colonial Africa",Explain different economic activities and their impact on pre-colonial African societies,13
2023-JSS019-Kidato I,Demonstrate mastery of African history before colonialism,"Demonstrate an understanding of the economic, political, social and technological development in pre-colonial Africa",Describe social-political organisations and education in pre-colonial African societies,13
2023-JSS019-Kidato II,Demonstrate mastery of African history before colonialism,Demonstrate an understanding of interactions among African societies during the pre-colonial period,"Describe the pre-colonial interactions among the societies of Indian Ocean Islands, Eastern, Western, Northern and Southern Africa (conditions and consequences)",24
2023-JSS019-Kidato II,Demonstrate mastery of African history before colonialism,"Demonstrate an understanding of the early contacts among the people of Africa, the Middle East, the Far East and Europe from the 1st Century to the 19th Century","Describe the early contacts between African societies and the Middle East, Far East and Europe from the 1st Century up to the 15th Century (conditions and consequences)",16
2023-JSS019-Kidato II,Demonstrate mastery of African history before colonialism,"Demonstrate an understanding of the early contacts among the people of Africa, the Middle East, the Far East and Europe from the 1st Century to the 19th Century","Explain the contacts between African societies and the Portuguese, French, Dutch and British from the 15th Century up to the 18th Century",15
2023-JSS019-Kidato II,Demonstrate mastery of African history before colonialism,"Demonstrate an understanding of the early contacts among the people of Africa, the Middle East, the Far East and Europe from the 1st Century to the 19th Century","Describe the origin, development and effects of the slave trade from the 15th Century to the 19th Century",15
2023-JSS019-Kidato III,Demonstrate mastery of the relationship between capitalism and Africa,Demonstrate an understanding of the development of capitalism and its impact on Africa,Describe the development of capitalism in Europe and its impact on Africa,43
2023-JSS019-Kidato III,Demonstrate mastery of the relationship between capitalism and Africa,Demonstrate an understanding of colonial systems in Africa,"Discuss colonial administrative systems in Africa (German, French, British and Portuguese)",8
2023-JSS019-Kidato III,Demonstrate mastery of the relationship between capitalism and Africa,Demonstrate an understanding of colonial systems in Africa,"Discuss colonial economic systems in Africa (Establishment, characteristics, sectors, labour issues)",8
2023-JSS019-Kidato III,Demonstrate mastery of the relationship between capitalism and Africa,Demonstrate an understanding of colonial systems in Africa,Assess the nature and patterns of colonial social services in Africa,7
2023-JSS019-Kidato III,Demonstrate mastery of the relationship between capitalism and Africa,Demonstrate an understanding of colonial systems in Africa,"Relate colonial economic, political, infrastructure, and education systems in Africa with the current African systems (focusing on similarities and differences)",7
2023-JSS019-Kidato III,Demonstrate mastery of the relationship between capitalism and Africa,Demonstrate an understanding of the history of nationalist movements in Africa,Describe nationalist movements in Africa,11
2023-JSS019-Kidato III,Demonstrate mastery of the relationship between capitalism and Africa,Demonstrate an understanding of the history of nationalist movements in Africa,Assess the rise of nationalist movements in Africa,11
2023-JSS019-Kidato III,Demonstrate mastery of the relationship between capitalism and Africa,Demonstrate an understanding of the history of nationalist movements in Africa,Appraise the lessons drawn from the nationalist movements in Africa,10
2023-JSS019-Kidato IV,Demonstrate mastery of the history of nation-building in post-colonial Africa,Demonstrate mastery of the history of nation-building in post-colonial Africa,Describe the concept and origin of nation-building in Africa,15
2023-JSS019-Kidato IV,Demonstrate mastery of the history of nation-building in post-colonial Africa,Demonstrate mastery of the history of nation-building in post-colonial Africa,Evaluate the strategies used in nation-building,15
2023-JSS019-Kidato IV,Demonstrate mastery of the history of nation-building in post-colonial Africa,Demonstrate an understanding of the successes and challenges of nation-building in post-colonial Africa,Appraise the achievements and challenges of nation-building in post-colonial Africa,15
2023-JSS019-Kidato IV,Demonstrate mastery of the history of nation-building in post-colonial Africa,Demonstrate an understanding of the successes and challenges of nation-building in post-colonial Africa,Design and carry out a project on nation-building between the 1960s and 1970s (use one African country as a case study),15
2023-JSS019-Kidato IV,Demonstrate mastery of the history of Africa's participation in regional and international affairs,Demonstrate an understanding of the regional integration in Africa,"Describe the origin and development of the Organisation of African Unity (OAU/African Union (AU) and economic regional groupings in Africa (OAU/AU, EAC, SADC & ECOWAS, Arab Maghreb Union)",15
2023-JSS019-Kidato IV,Demonstrate mastery of the history of Africa's participation in regional and international affairs,Demonstrate an understanding of the regional integration in Africa,Assess the performance of continental and regional integration efforts in Africa,15
2023-JSS019-Kidato IV,Demonstrate mastery of the history of Africa's participation in regional and international affairs,Demonstrate an understanding of the history of Africa's participation in the United Nations Organisation,Appraise African participation in the United Nations and its agencies,15
