subject_version_code,main_competence_name,specific_competence_name,learning_activity_name,la_periods
2023-JSS015-Kidato I,Kumudu misingi ya Kiswahili,Kutambua Kiswahili kama kielelezo cha utaifa na utambulisho wa Mtanzania,Kutumia Kiswahili katika mijadala mbalimbali kwa kuzingatia utamaduni wa Mtanzania (mf. matumizi ya tafsida na uteuzi wa maneno kulingana na mila na desturi za Mtanzania),8
2023-JSS015-Kidato I,Kumudu misingi ya Kiswahili,Kukuza uelewa wa sarufi ya Kiswahili,"Kusimulia habari na matukio kwa kuzingatia kiimbo, mkazo, na lafudhi pamoja na dhima zake",12
2023-JSS015-Kidato I,Kumudu misingi ya Kiswahili,Kukuza uelewa wa sarufi ya Kiswahili,"Kuandika hadithi kwa kuzingatia mpangilio na uhusiano sahihi wa maneno (nomino, vivumishi, vielezi, viwakilishi, vitenzi, vihisishi, vihusishi na viunganishi) katika sentensi",12
2023-JSS015-Kidato I,Kumudu misingi ya Kiswahili,Kukuza uelewa wa sarufi ya Kiswahili,Kuandika hadithi kwa kuzingatia mpangilio na uhusiano sahihi wa sentensi katika aya,12
2023-JSS015-Kidato I,Kumudu lugha ya mazungumzo na ya maandishi,Kusikiliza na kuelewa mazungumzo,Kusikiliza mazungumzo changamani na kujibu maswali,8
2023-JSS015-Kidato I,Kumudu lugha ya mazungumzo na ya maandishi,Kusikiliza na kuelewa mazungumzo,Kueleza kwa muhtasari mazungumzo changamani aliyoyasikiliza,8
2023-JSS015-Kidato I,Kumudu lugha ya mazungumzo na ya maandishi,Kusikiliza na kuelewa mazungumzo,"Kushiriki katika majadiliano ya masuala mbalimbali kwa kuzingatia sifa za lugha ya mazungumzo (mf. lugha ya mkato, kupeana nafasi)",8
2023-JSS015-Kidato I,Kumudu lugha ya mazungumzo na ya maandishi,Kusoma matini kwa ufasaha na ufahamu,"Kusoma matini fupi changamani kwa kuzingatia alama za uandishi, kasi sahihi na kiimbo cha tungo",8
2023-JSS015-Kidato I,Kumudu lugha ya mazungumzo na ya maandishi,Kusoma matini kwa ufasaha na ufahamu,Kueleza namna alama za uandishi na kiimbo vinavyoathiri ujumbe katika usomaji wa matini fupi changamani,8
2023-JSS015-Kidato I,Kumudu lugha ya mazungumzo na ya maandishi,Kusoma matini kwa ufasaha na ufahamu,"Kuandika hoja kuu kutoka katika matini fupi changamani alizozisoma kwa kuzingatia sifa za lugha ya maandishi (mf. alama za uandishi, miunganiko sahihi ya tungo, usanifu)",8
2023-JSS015-Kidato I,Kumudu lugha ya mazungumzo na ya maandishi,Kusoma matini kwa ufasaha na ufahamu,Kutumia TEHAMA kutafuta maana ya maneno mapya kutoka katika matini aliyoisoma,8
2023-JSS015-Kidato I,Kuwasiliana katika miktadha mbalimbali,Kutumia kamusi katika miktadha mbalimbali,Kutumia msamiati kwa usahihi katika mazungumzo na maandishi,8
2023-JSS015-Kidato I,Kuwasiliana katika miktadha mbalimbali,Kutumia kamusi katika miktadha mbalimbali,Kutumia taarifa mbalimbali za kamusi katika mawasiliano ya mazungumzo na maandishi,8
2023-JSS015-Kidato I,Kuwasiliana katika miktadha mbalimbali,Kuwasiliana kwa ufasaha kwa njia ya mazungumzo,"Kuzungumza kwa ufasaha katika miktadha mbalimbali (mf. nyumbani, shuleni na hospitalini)",8
2023-JSS015-Kidato I,Kuwasiliana katika miktadha mbalimbali,Kuwasiliana kwa ufasaha kwa njia ya mazungumzo,Kutumia lugha kwa ufasaha katika malumbano ya hoja,8
2023-JSS015-Kidato I,Kuwasiliana katika miktadha mbalimbali,Kuwasiliana kwa njia ya maandishi katika miktadha mbalimbali,Kujieleza kwa ufasaha kwa maandishi katika miktadha mbalimbali,8
2023-JSS015-Kidato II,Kumudu misingi ya Kiswahili,Kukuza uelewa wa sarufi ya Kiswahili,Kuandika habari kwa kuzingatia upatanisho wa kisarufi (kwa kuzingatia ngeli za nomino na viambishi vya upatanisho),14
